"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","maximumElevationInMeters","typeStatus","individualCount","class","fieldNumber"
"11","2020-10-14 10:06:41-03","FURB","FURB","42337","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","Giacomin, LL","Uhlmann, A.; et al.","495","2012","05","07",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Pico da Caledônia.","-42.5869444","-22.3533333","2200",NA,NA,"FURB04669","FURB04669","-42.5869444","-22.3533333",NA,NA,NA,NA,NA,"2200",NA,NA,NA,NA
"12","2020-12-21 16:45:41-03","MBM","MBM","415120","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","Stehmann, J.R.","Stehmann, J.R.","6398","2016","11","18","Southern America","Brazil","Minas Gerais","Camanducaia","Monte Verde, bairro da cidade","-46.026667","-22.860556","1600",NA,"Arvoreta ca. 3 m de altura; corola branca, fruto esverdeado, sucoso, envolto pelo cálice acrescente.; Na borda de fragmento de Floresta Ombrófila Mista.","MBM415120",NA,"-46.026667","-22.860556","2016","11","18",NA,NA,"1600",NA,NA,NA,NA
"13","2020-12-11 11:42:06-03","UFMG","BHCB","169352","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"Sucre, D; Ichaso, CL; Guimarães, EF","6577","1970","04","09","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Serra do Mendanha.","-42.485272","-22.376353","600",NA,"Arbusto com cerca de 3 metros de altura; cálice de cor ferrugínea, corola alba","BHCB014589",NA,"-42.485272","-22.376353","2014","01",NA,NA,NA,"700",NA,NA,NA,NA
"14","2020-12-11 11:42:05-03","UFMG","BHCB","166565","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"Uhlmann, A","495","2012","04","07","Southern America","Brasil","Rio de Janeiro","Nova Friburgo","Pico da Caledônia","-42.587028","-22.353425","2200",NA,"Árvore de aproximadamente 7m de altura; Frutos imaturos verdes; Floresta Ombrófila densa altomontana.","BHCB038309",NA,"-42.587028","-22.353425","2013","09",NA,NA,NA,"2200",NA,NA,NA,NA
"15","2020-12-11 11:42:06-03","UFMG","BHCB","169353","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"Lima, HC de","74","1977","07","06","Southern America","Brasil","Rio de Janeiro","Campo Grande","Serra do Mendanha., Rio de Prata",NA,NA,NA,NA,"Árvore de 6-7 metros de altura, com folhas discolor verde na face superior e verde esbranquiçada na face inferior. Fruto esverdeado com cálice persistente da mesma cor","BHCB014590",NA,NA,NA,"2014","01",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-11 11:42:06-03","UFMG","BHCB","182410","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"Giacomin, LL; Kamino, LHY; Almeida, TE","309","2008","10","31","Southern America","Brasil","Minas Gerais","Paraisópolis","Parque ecologico do Brejo Grande.","-45.81","-22.591667","1245",NA,"Arbusto em pasto, flores alvas.; Floresta ombrófila secundária.","BHCB040383",NA,"-45.81","-22.591667","2016","07",NA,NA,NA,"1245",NA,NA,NA,NA
"17","2020-12-11 11:42:06-03","UFMG","BHCB","65190","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"Stehmann, JR; Castro, IB","3018","2001","10","23","Southern America","Brasil","Minas Gerais","Camanducaia","Próximo à Gonçalves","-45.945361","-22.714222","1800",NA,"Árvore, ca. 5m de altura; na borda da floresta ombrófila montana.; Árvore, ca. 5m de altura; na borda da floresta ombrofila montana","BHCB002552","BHCB002552","-45.945361","-22.714222",NA,NA,NA,NA,NA,"1800",NA,NA,NA,NA
"18","2020-12-11 11:42:06-03","UFMG","BHCB","91954","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"Sá, CFC de","659","1985","04","05","Southern America","Brasil","São Paulo","São José do Barreiro","Parque Nacional da Bocaina., Mata de galeria próxima à entrada do parque.","-44.5699996948242","-22.6399993896484","1800",NA,"Arvoreta, 5 metros de altura, folhas discolores verdes futos imaturos verdes hialinos, frutos maduros pretos.; Umbrófila;","BHCB046791",NA,NA,NA,"2018","03",NA,"30784","auto","1800",NA,NA,NA,NA
"19","2020-12-11 11:42:05-03","UFMG","BHCB","157112","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"Rodrigues, IMC; Fraga, CN de; Bünger, MO; Falcão, BF","476","2011","11","13","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Serra do Mendanha., Estrada para as antenas de Furnas.","-43.2075004577637","-22.9027996063232",NA,NA,"Arbusto ca. de 2,5m. Com flores e frutos jovens. Flores brancas.","BHCB046923",NA,NA,NA,"2018","08","16","57442","auto",NA,NA,NA,NA,NA
"20","2013-07-15 16:20:00-03","MO","MOBOT","2321619","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","L.L. Giacomin (BHCB)","J. Lhotsky","Lhotsky 109","1831",NA,NA,"South America","Brazil",NA,NA,"In capoeira montis dicti Serra dos Oragaos in Brasilia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","1",NA,NA
"21","2009-10-10 16:09:00-03","MO","MOBOT","456027","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"J. Lhotsky","Lhotsky s.n.","1831",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"22","2020-07-10 09:49:28-03","MBML","MBML-HERBARIO","52924",NA,"Plantae",NA,NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","L.L. Giacomin/Jan.2014","H.C. de Lima","74","1977","07","06",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Campo Grande. Serra do Mendanha, Rio de Prata","-43.446111","-22.774722",NA,NA,"Árvore de 6-7 metros de altura, com folhas discolor verde na face superior e verde esbranquiçada na face inferior. Fruto esverdeado com cálice persistente da mesma cor","MBML052924",NA,"43W26'46","22S46'29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","1779944","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"M. Barreto",NA,"1935","7","14","South America - Neotropics","Brazil",NA,NA,"Fazenda da Vargem Alegre",NA,NA,NA,NA,NA,"US01914937","US01914937_01 US01914937_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"24","2020-09-12 05:00:02-03","US","US","62165","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"Wilkes Explor. Exped.","s.n.","1838",NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Rio Janeiro",NA,NA,NA,NA,NA,"US00899125","US00899125_01 US00899125_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"25","2020-09-12 05:00:02-03","US","US","1779945","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"M. Barreto",NA,"1935","7","6","South America - Neotropics","Brazil",NA,NA,"Fazenda da Cachoeira",NA,NA,NA,NA,NA,"US01914938","US01914938_01 US01914938_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"26","2020-09-12 05:00:02-03","US","US","62104","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"Wilkes Explor. Exped.","s.n.","1838",NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Organ Mountains",NA,NA,NA,NA,NA,"US00899126","US00899126_01 US00899126_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"27","2020-09-12 05:00:02-03","US","US","1570305","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"A. C. Brade",NA,"1931","5","24",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Gericinó","-43.2075004577637","-22.9027996063232",NA,NA,NA,"US01914936","US01914936_01 US01914936_02",NA,NA,NA,NA,NA,"57442","auto",NA,NA,"1","Dicotyledonae",NA
"28","2020-09-12 05:00:02-03","US","US","1544790","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"A. C. Brade",NA,"1929","10","19",NA,"Brazil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,"US01914935","US01914935_01 US01914935_02",NA,NA,NA,NA,NA,"38539","auto",NA,NA,"1","Dicotyledonae",NA
"29","2020-09-12 05:00:02-03","US","US","1484441","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"L. Riedel",NA,"1905","1","8","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos",NA,NA,NA,NA,NA,"US01914939","US01914939_01 US01914939_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"30","2019-09-04 18:36:58-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum",NA,NA,"J. Lhotsky","109","1831","9",NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,"Dicotyledoneae",NA
"31","2015-03-07 08:28:40-03","F","FMNH-SEEDPLANTS","V0128191F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0128191F","V0128191F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"32","2020-04-07 16:32:47-03","IAC","IAC","38875","S","Plantae",NA,NA,"Solanaceae-8.Solanoideae","Solanum","capoerum","Solanum capoerum","Dunal","Y.F. Gouvêa","R.B. Torres & J. Sebastião Barbosa et al.","1052","1999","12","22",NA,"Brasil","Minas Gerais","Camanducaia","Mata do Altair","-46.1447","-22.7553",NA,NA,"nome popular: coreana",NA,NA,"-46.1447","-22.7553","2019","02","15",NA,NA,NA,NA,NA,NA,NA
"33","2020-11-12 17:03:38-03","UEL","FUEL","16944","PreservedSpecimen","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","Gouvêa, YF","Torres, RB; Sebastião, J; et al.","1052","1999","12","22",NA,"Brasil","Minas Gerais","Camanducaia","Mata do Altair","-46.1446990966797","-22.7553005218506",NA,NA,NA,"FUEL018384",NA,NA,NA,"2019","02",NA,"22140","auto",NA,NA,NA,NA,NA
"34","2021-02-08 12:45:46-03","UFRGS","ICN","185413","S","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","cf. capoerum","Solanum cf. capoerum","Dunal","Mentz, LA","Kuhlmann, M","2930","1953","11","07","América do Sul","Brasil","MG","Sapucaí-Mirim","Serra da Mantiqueira","-45.7425003051758","-22.7478008270264",NA,NA,"Doação SP 79407; Arbusto dos pastos com 3-4m altura","ICN00035731",NA,NA,NA,"2016","05","05","23877","auto",NA,NA,NA,NA,NA
"35","2014-09-23 11:02:21-03","G","G-DC","G00145056","S","Plantae",NA,NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","CAT.HERB.PRODR.","Lhotsky, J.","109","1831",NA,"00","AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,NA,"-42.9125","-22.48222222",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=143444&base=img&lang=en","G00145056","G00145056","-42.9125","-22.48222222","2008","01","01",NA,NA,NA,"HOLOTYPUS of Solanum capoerum Dunal",NA,NA,NA
"36","2015-10-23 03:10:55-02","UM","RECOLNAT_UM_MPU","MPU012779","PreservedSpecimen",NA,NA,NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","Schäfer","Lhotsky, J.",NA,"1831",NA,NA,NA,"Brésil",NA,NA,"Serra dos Orgaos",NA,NA,NA,"hb","Fragment d'Holotype <a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu012779' target='other'> <mi>dwc_moreinfo</mi></a>","MPU012779",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,"109"
