"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","minimumElevationInMeters","individualCount","relatedCatalogItem"
"11","2019-08-20 10:01:54-03","UNICAMP","UEC","75222","S","Plantae","Liliopsida",NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Wanderley, MDGL","Basso, ME; Nakagomi, MY; Moncaio, E; Pomari, ML","MEB-07","1994","09","08",NA,"Brazil","São Paulo","Cananéia","Ilha Comprida, Estrada entre balsa e a Praia da Ilha Comprida. Área de mata de restinga com transição para dunas. Solo arenoso.","-47.9125","-25.017778",NA,NA,"UEC000574","UEC000574",NA,NA,NA,NA,"-47.9125","-25.017778","1998","06","24",NA,NA,NA,NA
"12","2019-08-20 10:01:54-03","UNICAMP","UEC","75223","S","Plantae","Liliopsida",NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Wanderley, MDGL","Basso, ME; Nakagomi, MY; Moncaio, E; Pomari, ML","MEB-22","1994","09","08",NA,"Brazil","São Paulo","Cananéia","Ilha Comprida, Estrada entre balsa e a Praia da Ilha Comprida. Área de mata de restinga com transição para dunas. Solo arenoso.","-47.9125","-25.017778",NA,"Erva, ca. 30 cm alt.","UEC000573","UEC000573",NA,NA,NA,NA,"-47.9125","-25.017778","1998","06","24",NA,NA,NA,NA
"13","2020-06-29 09:32:40-03","UFRRJ","RBR","7263","S","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"L.F.T. Menezes","1178","2004","06","11",NA,"Brasil","Rio de Janeiro","Mangaratiba","'Restinga da Marambaia, Próximo ao bravo 6, em área de moitas, formação de Ericaceas.'","-44.040599822998","-22.9596996307373",NA,NA,"RBR00007263",NA,NA,"17272","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 09:32:40-03","UFRRJ","RBR","12754","S","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"L.F.T. Menezes","s.n.","2005","01","05",NA,"Brasil","Rio de Janeiro","Mangaratiba","'Restinga da Marambaia, Próximo ao bravo 6, em área de moitas, inundável.'","-44.040599822998","-22.9596996307373",NA,NA,"RBR00012754",NA,NA,"17272","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-14 16:14:45-03","UFC","EAC","26055","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Lozano, E.D.","Rodrigues, S.M.","s.n.","1995","06","06","Southern America","Brasil","Piauí","Gilbués","Brejinho","-45.3438987731934","-9.83166980743408",NA,"Flor amarela, erva, alt. 26 cm.","EAC0026055","EAC0026055",NA,"69776","auto",NA,NA,NA,"2018","09",NA,NA,NA,NA,NA
"16","2020-12-14 16:14:45-03","UFC","EAC","26054","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Lozano, E.D.","Rodrigues, S.M.","s.n.","1995","06","06","Southern America","Brasil","Piauí","Gilbués","Brejinho","-45.3438987731934","-9.83166980743408",NA,"Flor amarela, erva, altura 30 cm.","EAC0026054","EAC0026054",NA,"69776","auto",NA,NA,NA,"2018","09",NA,NA,NA,NA,NA
"17","2020-12-21 16:47:46-03","MBM","MBM","345552","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Viana, G.","D'Ávila, J.S.","3653","1985","11","14","Southern America","Brazil","Sergipe","Pacatuba",NA,"-36.6514015197754","-10.4533004760742",NA,"Erva 60cm. (interface de turfeira)","MBM345552","MBM345552",NA,"19793","auto",NA,NA,NA,"1985","11","14",NA,NA,NA,NA
"18","2015-09-05 07:49:32-03","MNHN","RECOLNAT_MNHN_P","P00746216","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Smith & Downs","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil","Rio de Janeiro",NA,"Province de Rio de Janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00746216' target='other'> <mi>dwc_moreinfo</mi></a>","P00746216","P00746216_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B2 121",NA,NA,NA
"19","2017-07-21 13:49:17-03","MNHN","RECOLNAT_MNHN_P","P00746218","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Schwacke","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil","Rio de Janeiro",NA,"Province de Rio de Janeiro, Langue defr teme du lai de Saquarema",NA,NA,"hb","Xyris brevifolia Mich. Bor. 23 OM Voy I 390 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00746218' target='other'> <mi>dwc_moreinfo</mi></a>","P00746218","P00746218_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B2 505",NA,NA,NA
"20","2015-09-03 21:11:51-03","MNHN","RECOLNAT_MNHN_P","P01760014","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"Weddell, H.A.",NA,"1843","3","1",NA,"Brasil","Rio de Janeiro",NA,"Brésil, environs de Rio-Janeiro. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01760014' target='other'> <mi>dwc_moreinfo</mi></a>","P01760014","P01760014_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"407",NA,NA,NA
"21","2015-09-04 07:57:37-03","MNHN","RECOLNAT_MNHN_P","P00746217","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Smith & Downs","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil","Rio de Janeiro",NA,"Province de Rio de Janeiro, Langue defr teme du lai de Saquarema",NA,NA,"hb","Xyris brevifolia Mich. Bor. 23 AM Voy I 390 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00746217' target='other'> <mi>dwc_moreinfo</mi></a>","P00746217","P00746217_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B2 505",NA,NA,NA
"22","2015-09-26 11:07:44-03","MNHN","RECOLNAT_MNHN_P","P00746215","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Smith","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil","Rio de Janeiro",NA,"Province de Rio de Janeiro",NA,NA,"hb","placentae parietal! <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00746215' target='other'> <mi>dwc_moreinfo</mi></a>","P00746215","P00746215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B2 121",NA,NA,NA
"23","2015-09-03 21:11:51-03","MNHN","RECOLNAT_MNHN_P","P01760015","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"Leprieur",NA,NA,NA,NA,NA,"Guyane française",NA,NA,". Guiana Francesa",NA,NA,"hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01760015' target='other'> <mi>dwc_moreinfo</mi></a>","P01760015","P01760015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:45:33-03","UFMG","BHCB","113187","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"Rezende, SG; Rezende, EG","1845","2006","11","28","Southern America","Brasil","Bahia","Prado","Fazenda Riacho das Ostras","-39.254167","-17.215",NA,"Herbáceo.; Muçununga.","BHCB037643",NA,"35",NA,NA,NA,"-39.254167","-17.215","2013","06","25",NA,"35",NA,NA
"25","2021-03-01 11:53:03-03","UFPE","UFP","11591","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Malme",NA,"Yoshida-Arns, K","79","1995","10","06",NA,"Brasil","Pernambuco","Cabo de Santo Agostinho",NA,"-35.0349998474121","-8.28666973114014",NA,"Flores amarelas.; Área de solo arenoso parcialmente alagada.","UFP011591",NA,NA,"25282","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 11:53:03-03","UFPE","UFP","23582","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Malme","Silva, MB; Costa","Guedes, ML","3989","1996","09","01",NA,"Brasil","Bahia","Salvador",NA,"-38.510799407959","-12.9710998535156",NA,"Erva aprox. 15cm. Folhas simples. Inflorescência com brácteas e flores amarelas. Ocasional.","UFP023582",NA,NA,"26018","auto",NA,NA,NA,"2001","07","14",NA,NA,NA,NA
"27","2021-03-01 11:53:03-03","UFPE","UFP","19711","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Malme","Silva, MB; Costa","Rocha, EA","195","1997","09","30",NA,"Brasil","Rio Grande do Norte","Natal",NA,"-35.209400177002","-5.79500007629395",NA,"Erva bastante frequente, aprox. 30cm de compriemnto. Flores amarelas e brácteas castanho-ferrugíneas.; Área estuarina. Solo argilo arenoso. Planta encontrada em área próximo ao manguezal.","UFP019711",NA,NA,"12751","auto",NA,NA,NA,"2001","07","14",NA,NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","2565854","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"A. F. C. P. de Saint-Hilaire",NA,"1890","1",NA,"South America - Neotropics","Brazil","Rio de Janeiro","Saquarema",NA,"-42.5102996826172","-22.9200000762939",NA,NA,"US01915547","US01915547_01",NA,"17036","auto","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"29","2020-09-12 05:00:02-03","US","US","2566085","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"A. F. C. P. de Saint-Hilaire",NA,"1904","12","20","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"US01915544","US01915544_01",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"30","2020-09-12 05:00:02-03","US","US","2338319","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"F. Segadas-Vianna, L. Dau, W. T. Ormond, G. Machline & J. Lorêdo Jr.",NA,"1953","6","3","South America - Neotropics","Brazil","Rio de Janeiro","Arraial do Cabo","Cabo Frio, Arraial do Cabo, Pontal Beach.","-42.0278015136719","-22.966100692749",NA,NA,"US01915550","US01915550_01",NA,"25964","auto","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"31","2020-09-12 05:00:02-03","US","US","2840955","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"R. M. Harley, S. J. Mayo, R. M. Storr, T. S. Santos & R. S. Pinheiro",NA,"1977","1","20","South America - Neotropics","Brazil","Bahia","Porto Seguro","Reserva Biológica do Pau Brasil (CEPLAC) 17 km W from Porto Seguro on road to Eunápolis","-39.18","-16.4",NA,NA,"US01915548","US01915548_01",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"32","2020-09-12 05:00:02-03","US","US","2850052","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"S. Mori, T. S. Santos & I. White",NA,"1978","7","28","South America - Neotropics","Brazil","Bahia",NA,"Estrada velha de Sta. Cruz de Cabrália, 2-4 km a W de Sta. Cruz Cabrália. Folha SE-24 (19-39 c)",NA,NA,NA,NA,"US01915546","US01915546_01",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"33","2020-09-12 05:00:02-03","US","US","2840983","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"R. M. Harley, S. J. Mayo, R. M. Storr, T. S. Santos & R. S. Pinheiro",NA,"1977","1","15","South America - Neotropics","Brazil","Bahia",NA,"On the coast road between Alcobaça and Prado. 7 Km NW of Alcobaça and 1 Km N along road from the Rio Itanhentinga","-39.22","-17.52",NA,NA,"US01915549","US01915549_01",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"34","2020-09-12 05:00:02-03","US","US","2423880","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"F. M. R. Leprieur","s.n.",NA,NA,NA,"Southern America","French Guiana",NA,NA,NA,NA,NA,NA,NA,"US03842150",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"35","2020-09-12 05:00:02-03","US","US","2775535","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"J. Lanna Sobrinho & L. Castellanos",NA,"1965","1","29","South America - Neotropics","Brazil","Bahia","Canavieiras",NA,"-38.9472007751465","-15.6750001907349",NA,NA,"US01915545","US01915545_01",NA,"48203","auto","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"36","2019-10-07 09:22:44-03","UEFS","HUEFS","141325","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","M.G.L.Wanderley","Rezende, S.G.","1845","2006","11","28",NA,"Brasil","Bahia","Prado","Fazenda Riacho das Ostras.","-39.233333","-17.215",NA,NA,"HUEFS0141325",NA,"35",NA,NA,"Lilianae","39W14'0''","17S12'54''","2011","01",NA,NA,"35",NA,NA
"37","2020-07-23 12:24:43-03","CEPLAC","CEPEC","21354","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia",NA,"R. Kral","R. M. Harley","17967","1977","01","15",NA,"Brasil","Bahia","ALCOBAÇA","7Km NW Rod. Alcobaca/Prado e 1Km ao N p/ Rio Itanhentinga.","-39.216667","-17.516667",NA,NA,NA,NA,NA,NA,NA,NA,"39W13'0","17S31'0",NA,NA,NA,NA,NA,NA,"30/12/1981"
"38","2020-07-23 12:24:43-03","CEPLAC","CEPEC","21352","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia",NA,"R. Kral","R. M. Harley","18121","1977","01","20",NA,"Brasil","Bahia","PORTO SEGURO","17Km W cidade, Rod. p/ Eunapolis. ESPAB.","-39.183333","-16.4",NA,NA,NA,NA,NA,NA,NA,NA,"39W11'0","16S24'0",NA,NA,NA,NA,NA,NA,"30/12/1981"
"39","2020-07-23 12:24:43-03","CEPLAC","CEPEC","34889","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia",NA,"R. Kral","R. Callejas","1699","1983","11","05",NA,"Brasil","Bahia","PORTO SEGURO","Rod. p/ Trancoso, Km 5 apos o Arraial D'ajuda.","-39.0647010803223","-16.4496994018555",NA,NA,NA,NA,NA,"68835","auto",NA,"0*0'0","0*0'0",NA,NA,NA,NA,NA,NA,"01/07/1985"
"40","2020-07-23 12:24:43-03","CEPLAC","CEPEC","13859","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia",NA,"R. Kral","S. A. Mori","10390","1978","07","28",NA,"Brasil","Bahia","SANTA CRUZ CABRÁLIA","2-4Km a W estr. velha.","-39.0247001647949","-16.2780990600586",NA,NA,NA,NA,NA,"49584","auto",NA,"0*0'99","99*99'99",NA,NA,NA,NA,NA,NA,"30/12/1980"
"41","2019-11-01 15:17:36-03","UnB","UB","213914","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"Silva, DP; Munhoz, CBR; Amaral, AG; Bijos, NR; Chagas, UR; Cardoso, DE; Reis, GR","526","2015","06","06","Southern America","Brasil","Tocantins","Rio da Conceição","Estação Ecológica Serra Geral do Tocantins","-46.616167","-10.86275",NA,"Erva 25 cm; Vereda. Margem direita do Rio Novo, próximo à casa do Sr. Jucelino","UB0031605","UB0031605",NA,NA,NA,NA,"-46.616167","-10.86275",NA,NA,NA,NA,NA,NA,NA
"42","2020-07-16 10:06:10-03","IBt","SP","290999","S","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Wanderley, MGL","Basso, ME","22","1994","09","08",NA,"Brasil","São Paulo","Cananéia",NA,"-47.9125","-25.017778",NA,NA,NA,NA,NA,NA,NA,NA,"-47.9125","-25.017778","2003",NA,NA,NA,NA,NA,NA
"43","2020-07-16 10:06:10-03","IBt","SP","291000","S","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Wanderley, MGL","Basso, ME","7","1994","09","08",NA,"Brasil","São Paulo","Cananéia",NA,"-47.9125","-25.017778",NA,NA,NA,NA,NA,NA,NA,NA,"-47.9125","-25.017778","2003",NA,NA,NA,NA,NA,NA
"44","2020-09-10 10:18:33-03","IBt","SP","312448","S","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"Kral, R","58215","1976","08","08",NA,"Estados Unidos","Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-11-21 10:19:55-03","IBt","SP","234789","S","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"Kral, R; Wanderley, MGL","75678","1988","11","13",NA,"Brasil","Bahia","Porto Seguro",NA,"-39.0647010803223","-16.4496994018555",NA,NA,NA,NA,NA,"68835","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-09-24 08:25:37-03","IBt","SP","329775","S","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"Rocha, EA","195","1997","09","30",NA,"Brasil","Rio Grande do Norte","Natal",NA,"-35.209400177002","-5.79500007629395",NA,NA,NA,NA,NA,"12751","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
