"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"18","2021-04-05 14:25:22-03","UNESC","CRI","12527","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Alexandre Medeiros",NA,"2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 35.","CRI010734","CRI010734","Aline Votri Guislon & Renato colares","2017","07","25","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-23 10:40:03-03","E","E","114651","PreservedSpecimen","Plantae","Labiatae","Aegiphila","obducta","Aegiphila obducta",NA,"Tweedie, John",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00114651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114651",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:122976",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","541986","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","H. L. de M. Barreto","15007","1943","10","10","Brazil","Rio de Janeiro","Sapucaia","Serra das flores","-42.9142","-21.9953",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541986","NY00541986_01","H. N. Moldenke",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00541989","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","G. G. Hatschbach","30078","1972","08","08","Brazil","Minas Gerais","Jaboticatubas","Rod. MG-2, Campo Redondo","-43.7447","-19.5136",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541989","NY00541989_01","H. N. Moldenke",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","541963","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","O. Handro","33523","1935","06","10","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541963","NY00541963_01","A. Gehrt",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","541984","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","A. F. M. Glaziou","6652","1873","07","07","Brazil","Rio de Janeiro","Petrópolis","Petropolis (Retiro)","-43.1783","-22.505",NA,NA,NA,NA,"donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541984","NY00541984_01",NA,NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","541977","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","H. F. Martins","s.n.","1968","07","05","Brazil","Rio de Janeiro","Rio de Janeiro","Na subida para o Pico da Tijuca","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541977","NY00541977_01","H. N. Moldenke",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","541969","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","R. Reitz","3368","1956","07","10","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624911' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541969","NY00541969_01","H. N. Moldenke",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01857462","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","H. Gusmao","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2086191' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857462","NY01857462_01",NA,NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","589224","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","O. Handro","s.n.","1938","04","01","Brazil","São Paulo","Sao Paulo","Sao Paulo, Jabaquara","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00589224","NY00589224_01","C. S. Zickel; J. Y. Tamashiro",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01023577","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","H. Wawra","342","1879",NA,NA,"Brazil","Rio de Janeiro",NA,"Orgelgebirge (Organ Mountains).","-43.073169","-22.496706",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1195664' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023577","NY01023577_01","H. N. Moldenke",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","541985","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","A. L. Moldenke","19991","1948","09","18","Brazil","Rio de Janeiro","Teresópolis","Granja Comari","-42.980648","-22.453946",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541985","NY00541985_01",NA,NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00955541","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","J. Bowie","s.n.","1815","05","26","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955541","NY00955541_01","H. L. de M. Barreto",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00955540","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","H. L. de M. Barreto","9111","1937","09","19","Brazil","Minas Gerais","Conceição do Mato Dentro","Municipio Conceição, Serra do Cipó- k. 150 - estrada de Conceição.","-43.4247","-19.0372",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955540","NY00955540_01","H. L. de M. Barreto",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","541945","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","E. Barbosa","305","1999","06","12","Brazil","Paraná","Guaratuba","Serra do Araçatuba","-48.5744","-25.8831",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541945","NY00541945_01","G. G. Hatschbach",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","541975","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","W. A. Ducke","22551","1928","06","12","Brazil","Rio de Janeiro","Rio de Janeiro","Ad urbem in montibus Tijuca loco Excelsior","-43.2075","-22.9031",NA,NA,NA,NA,"I. B. V. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541975","NY00541975_01","H. N. Moldenke",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","541965","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","G. G. Hatschbach","32230","1973","07","13","Brazil","Paraná","Sao José dos Pinhais","Usina Chamino","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624919' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541965","NY00541965_01","G. G. Hatschbach",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","01857461","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","H. Gusmao","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2086190' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857461","NY01857461_01",NA,NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","541961","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","F. C. Hoehne","5478","1921","04","21","Brazil","São Paulo","Sao Paulo","Pico do Jaraguá","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541961","NY00541961_01","H. N. Moldenke",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","541971","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","R. Reitz","5854","1954","06","27","Brazil","Santa Catarina","Canelinha","Canelinha, Tijucas","-48.7678","-27.265",NA,NA,"20","20","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541971","NY00541971_01","H. N. Moldenke",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","541966","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","R. Negrelle","A-300","1992","07","31","Brazil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.65","-26.15",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541966","NY00541966_01","S. Romaniuc Neto",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","541959","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","A. L. Moldenke","19626","1948","09","22","Brazil","São Paulo","Sao Paulo","Instituto Botanico, Capital","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541959","NY00541959_01","H. N. Moldenke",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","541987","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Bowie","s.n.","1815","05","29","Brazil","São Paulo","Sao Paulo","Collected on the road to Sta. Amaro, near Sta. Paulo","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541987","NY00541987_01",NA,NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","541949","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","A. P. Duarte","4964","1959","08","11","Brazil","Rio de Janeiro","Rio de Janeiro","Vista Chineza","-43.249313","-22.973268",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541949","NY00541949_01","A. P. Duarte",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","541964","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","J. Cordeiro","1396","1996","11","30","Brazil","Paraná","Campina Grande do Sul","Sítio do Belizário","-49.0553","-25.3058",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541964","NY00541964_01","G. G. Hatschbach",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","541982","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","A. C. Brade","10542","1929","07","16","Brazil","Rio de Janeiro","Rio de Janeiro","D. F. - Pico da Tijuca","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541982","NY00541982_01",NA,NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","541944","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","G. G. Hatschbach","49524","1985","07","15","Brazil","Santa Catarina","Garuva","Itapoa","-48.8547","-26.0269",NA,NA,"3","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541944","NY00541944_01","G. G. Hatschbach",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","541943","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","R. Reitz","801","1953","06","12","Brazil","Santa Catarina","Araquari","Inferninho, Araquarí","-48.7219","-26.3703",NA,NA,"10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541943","NY00541943_01","H. N. Moldenke",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","541988","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","M. Kuhlmann","s.n.","1948","11","10","Brazil","São Paulo","Sao Paulo","Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=624902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00541988","NY00541988_01","H. N. Moldenke",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
