"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","imagecode","verbatimLongitude","verbatimLatitude","class","order","continentOcean","individualCount","typeStatus","fieldNumber","sex","preparationType"
"11","2019-11-21 10:13:21-03","IBt","SP","59644","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams","Mamede, MCH","2011","03",NA,"Handro, O","996","1961","11","14","Brasil","Minas Gerais","Camanducaia","Encosta do Pico Selado","-46.1446990966797","-22.7553005218506","22140",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 10:13:20-03","IBt","SP","329721","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"Bicalho, HD","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Camanducaia","Vila de Monte Verde","-46.1446990966797","-22.7553005218506","22140",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 10:13:20-03","IBt","SP","105085","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams","Mamede, MCH","2011","03","13","Bicalho, HD","37","1962","03","22","Brasil","Minas Gerais","Camanducaia","Vila de Monte Verde","-46.1446990966797","-22.7553005218506","22140",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 10:13:20-03","IBt","SP","329716","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"Bicalho, HD","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Camanducaia","Vila de Monte Verde","-46.1446990966797","-22.7553005218506","22140",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 10:13:20-03","IBt","SP","329714","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"Bicalho, HD","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Camanducaia","Vila Monte Verde","-46.1446990966797","-22.7553005218506","22140",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-21 10:13:21-03","IBt","SP","42281","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams","Mamede, MCH","2011","03","11","Handro, O","305",NA,NA,NA,"Brasil","Minas Gerais","Delfim Moreira",NA,"-45.2799987792969","-22.5091991424561","20219",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 10:13:21-03","IBt","SP","342968","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams","Mamede, MCH","2011","03",NA,"Sakane, PT","s.n.","1994","03",NA,"Brasil","São Paulo","Campos do Jordão","Abernéssia, Vila Albertina","-45.5900001525879","-22.7299995422363","21048",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 10:13:20-03","IBt","SP","174817","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams","Mamede, MCH","2011","03",NA,"Sakane, M","s.n.","1981","10","18","Brasil","São Paulo","Campos do Jordão","Bairro Renópolis","-45.5900001525879","-22.7299995422363","21048",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-21 10:13:21-03","IBt","SP","330885","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2017",NA,NA,"Sakane, M","s.n.","1996","02","20","Brasil","São Paulo","Campos do Jordão","Cultivada no Instituto de Botânica sob nº 16776, fl. X/1997","-45.5900001525879","-22.7299995422363","21048",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2010-08-16 16:38:33-03","AMES","HU-HERB","AMES 00271992","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","welteri","Oncidium welteri","Pabst",NA,NA,NA,NA,"H. L. Welter","34","1952","10",NA,"Brazil","São Paulo",NA,"Serra da Mantiqueira, Santo Antonio de Pinhal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,"Isotype","34","undetermined","Sheet"
