"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","locality","imagecode","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","01173347","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","L. O. A. Teixeira","1371","1982","06","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388368' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173347","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. C. Baleeiro S.","Estrada Humaitá-Jacarecanga, Km 150 a 65 Km ao Sul, rio de nome Branco","NY01173347_01","Amazonas","-63.0206","-7.5061",NA,NA,"Humaitá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","929731","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","E. P. Heringer","6804","1981","04","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929731","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. C. Baleeiro S.","Bacia do Rio São Bartolomeu.","NY00929731_01","Distrito Federal","-47.9294","-15.7797",NA,NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","929775","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","L. O. Williams","6562","1945","04","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929775","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"Lagôa Grande","NY00929775_01","Minas Gerais","-43.8467","-19.9858","1300","1500","Nova Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01173279","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","B. W. Nelson","BN1705",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387696' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173279","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor",NA,"NY01173279_01","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3857620","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","B. Maguire","30197","1950","12","13","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135089' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857620","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"Summit Camp, along right fork of Cano de Dios, Cerro Huachamacari, Río Cunucunuma",NA,"Amazonas",NA,NA,"1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1032809","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","G. Martinelli","7530","1980","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206680' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032809","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. C. Baleeiro S.","Estado do Rio de Janeiro, Chapada dos Veadeiros, estrada para Niquelândia, 52 km W de Alto Paraiso de Goiás, próximo a cachoeira do Rio Preto","NY01032809_01","Goiás","-47.5097","-14.1325","700","700","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","3857614","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","J. A. Steyermark","124544","1981","02","17","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135083' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857614","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"Cerro Sipapo, summit: wet savanna along stream",NA,"Amazonas",NA,NA,"1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","929785","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","H. S. Irwin","28948","1971","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929785","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Serra do Espinhaço, lower slopes of Serra da Caraça, ca. 10 km W. of Barão de Cocais","NY00929785_01","Minas Gerais","-43.4927778","-20.1263","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","929788","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","H. S. Irwin","34212","1972","01","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929788","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Serra dos Pirineus, ca. 18 km E. of Pirenópolis","NY00929788_01","Goiás","-48.78195","-15.85","1000","1000","Corumbá de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","929779","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","W. R. Anderson","35865","1972","02","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929779","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Serra do Espinhaço, eastern slopes of Pico do Itambé","NY00929779_01","Minas Gerais","-43.392","-18.43185","1550","1550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01173283","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","J. M. Pires","6223",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387700' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173283","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor",NA,"NY01173283_01","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","3857626","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","O. Huber","10978","1985","10","20","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135095' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857626","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"Serranía Guanay, sector nororiental. Altiplanicie poco disectada, inclinada hacia el S y SW, en las cabeceras más orientales del Río Parguaza",NA,"Bolívar","-66.38","5.92","1700",NA,"Cedeño",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","778374","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","H. García-Barriga","17129","1959","01",NA,"South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778374","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Llanos Orientales: La Macarena (Parte Sur); Rio Guayabero, Sabanas de Arenisca",NA,NA,NA,NA,"235","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","778329","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","R. M. Harley","52826","1992","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778329","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Garimpo do Bicota","NY00778329_01","Bahia","-41.85","-13.33","1400","1750","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","929778","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","W. R. Anderson","9757","1973","05","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929778","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Eastern base of mountain ca. 9 km NE of Barra do Garças","NY00929778_01","Mato Grosso","-52.19058","-15.82579","450","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1182014","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","J. S. Blanchet","2864","1839",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391328' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182014","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"Serra de Açurua.","NY01182014_01","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","3857615","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","O. Huber","4391","1979","10","05","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135084' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857615","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"Serranía del Parú (Aroko). Sabanas sobre colinas onduladas en el sector contro-nororiental de la serranía, al S del río Parú",NA,"Amazonas","-65.52","4.55","710",NA,"Atabapo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","929783","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","H. S. Irwin","24489","1969","03","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929783","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Chapada dos Veadeiros, ca. 30 km north of Alto Paraíso de Goiás (formerly Veadeiros).","NY00929783_01","Goiás","-47.5167","-13.84555","1000","1000","Cavalcante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","929781","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","H. S. Irwin","20056","1968","02","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929781","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","NY00929781_01","Minas Gerais","-43.4","-18.87","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01173282","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","I. L. do Amaral","1530","1984","02","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387699' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173282","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Plato da Serra Araca, parte SE da Serra Norte.","NY01173282_01","Amazonas","-63.37","0.85","1150","1250","Barcelos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","3857618","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","B. Maguire","35203","1953","02","12","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135087' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857618","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"Serranía Yutaje, Río Manapiare, Cerro Yutaje, along left fork Cano Yutaje",NA,"Amazonas",NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01173281","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","M. G. da Silva","3021",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387698' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173281","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,NA,"NY01173281_01","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","3857623","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","B. G. Stergios D.","11285","1987","09","24","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135092' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857623","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"Jajas de piedra asociadas con arroyo de manantial, a 20 km de Pto. Ayacucho, carretera hacia El Burro",NA,"Amazonas",NA,NA,"160","180","Atures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01922107","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","A. M. Amorim","4028","2004","04","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2184808' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922107","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. C. Baleeiro S.","Trilha de acesso ao Pico das Almas, em Campo rupestre do Queiróz","NY01922107_01","Bahia","-41.9506","-13.5169",NA,NA,"Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","02591556","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","A. J. Arruda","1238","2012","07","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2894773' target='other'> <mi>dwc_moreinfo</mi></a>","NY02591556","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"N1, Floresta ombrofila densa","NY02591556_01","Pará","-50.2944","-6.0408","533",NA,"Parauapebas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","3857624","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","R. L. Liesner","17686","1985","02","19","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135093' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857624","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"Slope of Cerro de Marahuaca, Río Yameduaka arriba",NA,"Amazonas","-65.47","3.63","1225",NA,"Atabapo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","778377","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","G. Gardner","3960","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778377","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,NA,"NY00778377_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","01173278","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","A. J. Henderson","284",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387695' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173278","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor",NA,"NY01173278_01","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","929787","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","H. S. Irwin","32754","1971","03","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929787","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Chapada dos Veadeiros, ca. 20 km N of Alto Paraíso","NY00929787_01","Goiás","-47.5167","-13.93593","1250","1250","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01173345","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","A. S. L. da Silva","1922",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388365' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173345","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. C. Baleeiro S.",NA,"NY01173345_01","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","929782","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","H. S. Irwin","22385","1969","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929782","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Serra do Espinhaço, ca. 20 km S.W. of Diamantina","NY00929782_01","Minas Gerais","-43.6836","-18.358","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","686996","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","R. M. Harley","19515","1977","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=847627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686996","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. Taylor","Serra das Almas. Lower NE slopes of the Pico das Almas, ca. 25 km WNW of the Vila do Rio de Contas.","NY00686996_01","Bahia","-41.95","-13.55","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
