"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","phylum","order","continentOcean","preparationType","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","individualCount","typeStatus","fieldNumber"
"21","2021-03-01 16:32:10-03","UNICAMP","UEC","48879","S","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.",NA,"Britez, RM; Silva, SM","587","1986","04","23","Brazil","Paraná","São Mateus do Sul","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"Erva com flores brancas.","UEC043746","UEC043746","Fazenda do Durgo.","Magnoliopsida",NA,NA,NA,NA,"31353","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-01-17 11:25:53-02","PUCRS","MPUC","10829","S","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A. St.-Hil.ex Benth.","M.G. Buchoski","A.F. Bellan",NA,"1988","12","20","Brasil","SC","Campos Novos","-51.2247222","-27.4016667","-51.2247222000","-27.4016667000",NA,NA,NA,NA,NA,"Bom Jesus",NA,"Lamiales","South America",NA,"2018",NA,NA,"Magnoliopsida","01","01",NA,NA,"1",NA,NA
"23","2019-01-17 11:25:53-02","PUCRS","MPUC","5328","S","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A. St.-Hil.ex Benth.","M.G. Buchoski",NA,NA,"1988","12","20","Brasil","SC","Campos Novos","-51.2247222","-27.4016667","-51.2247222000","-27.4016667000",NA,NA,NA,NA,NA,"Bom Jesus",NA,"Lamiales","South America",NA,"2018",NA,NA,"Magnoliopsida","01","01",NA,NA,"1",NA,NA
"24","2020-10-14 10:02:08-03","FURB","FURB","49704","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","Funes, L","Schwirkowski, P.","1636","2016","03","05","Brasil","Santa Catarina","São Bento do Sul","-49.3630556","-26.28","-49.3630556","-26.2800000","800","800",NA,"FURB49704","FURB49704","Serra Alta. Propriedade do Sr. Ivo Drechsler, ao lado da Estrada Saraiva.",NA,NA,NA,NA,"2016",NA,NA,NA,"03","05",NA,NA,NA,NA,NA
"25","2019-11-27 09:30:03-03","FURB","FURB","50272","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","Funez, L.A.","Funez, L.A.; Trevisan, R.; Ferreira, J.P.R. & Venturi, S.","3825","2014","11","04","Brasil","Santa Catarina","Garuva","-48.9544444","-26.0391666","-48.9544444","-26.0391666","1200","1200",NA,"FURB50272","FURB50272","Alto Quiriri.",NA,NA,NA,NA,"2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-10-14 10:02:08-03","FURB","FURB","57487","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","Funez, L.","Schwirkowski, P.","2617","2018","01","14","Brasil","Santa Catarina","São Bento do Sul","-49.3630556","-26.28","-49.3630556","-26.2800000","850","850","Flores rosadas Habitat: Banhado Habito: Herbácea","FURB57487","FURB57487","Serra Alta. Propriedade do Sr. Ivo Drechsler, ao lado da Estrada Saraiva.",NA,NA,NA,NA,"2018",NA,NA,NA,"01","14",NA,NA,NA,NA,NA
"27","2020-10-14 10:02:08-03","FURB","FURB","64157","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","Funez, L.A.","Kassner-Filho, A.","5225","2019","06","05","Brasil","Santa Catarina","Guaramirim","-48.9375","-26.4458333","-48.9375000","-26.4458333","18","18","flor branco-rosada Habitat: banhado Habito: erva terrícola","FURB64157","FURB64157","Bairro Caixa D#?#água.",NA,NA,NA,NA,"2019",NA,NA,NA,"06","08",NA,NA,NA,NA,NA
"28","2020-02-27 12:51:39-03","FURB","FURB","66163","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","Gonzatti, F.","Dani, J.G.; Gonzatti, F.; Abreu, F.P.","77","2019","04","12","Brasil","Rio Grande do Sul","Caxias do Sul","-51.2363889","-29.1847222","-51.2363889","-29.1847222","740","740","borda da lagoa","FURB66163","FURB66163","Parque Jardim da Lagoa - Desvio Rizzo.",NA,NA,NA,NA,"2019",NA,NA,NA,"05","07",NA,NA,NA,NA,NA
"29","2019-11-27 09:30:03-03","FURB","FURB","58170","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","Funez, L.A.","Funez, L.A.","7164","2018","02","15","Brasil","Santa Catarina","Ascurra","-49.3755989074707","-26.9552993774414",NA,NA,NA,NA,"Flores rosadas Habitat: Banhado Habito: Erva","FURB58170","FURB58170","Fazenda cristal.",NA,NA,NA,NA,"2018","11742","auto",NA,"02","15",NA,NA,NA,NA,NA
"30","2020-10-14 10:02:08-03","FURB","FURB","58157","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","Funez, L.A.","Funez, L.A.","7138","2018","02","04","Brasil","Santa Catarina","Rio dos Cedros","-49.2742004394531","-26.7383003234863",NA,NA,NA,NA,"Flores róseas, planta muito odorífera Habitat: banhado Habito: Erva","FURB58157","FURB58157","Cachoeira Formosa.",NA,NA,NA,NA,"2018","35192","auto",NA,"02","22",NA,NA,NA,NA,NA
