"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","dayIdentified"
"14","2020-11-18 11:39:48-03","UERJ","HRJ","10359","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"?","s.n.","2002","11","28",NA,"Brasil","Minas Gerais","Estrada Diamantina.",NA,NA,NA,NA,"HRJ00010359",NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","2818722","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lychnophora","souzae","Lychnophora souzae","H. Rob.","Isotype","H. S. Irwin","22690","1969","1","27","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhaco, NE of Diamantina on road to Mendanha.","1300","1300",NA,NA,"US00147448","US00147448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"16","2021-03-15 18:25:32-03","USP","SPF","211434","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Rando, JG; Cota, MMT; Watanabe, MTC; Baleeiro, P","1234","2012","06","09",NA,"Brasil","Minas Gerais","Univ. Federal dos Vales do Jequitinhonha e Mucuri, Próximo ao córrego Soberbo, seguindo pela trilha que passa por trás do antigo apiário da Universidade. Sobre o morro à esquerda.","1315","1315",NA,"Arbusto, ca. 50 cm alt., em grande população. Flores lilás. Coleta em FAA. Prensado em álcool.; Campo rupestre.","SPF00211434",NA,"Loeuille, B","2014",NA,"Diamantina","-43.567889","-18.196472","-43.567889","-18.196472",NA,NA,NA,NA,NA,NA
"17","2019-11-14 14:50:58-03","USP","SPF","228075","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Franco, IM","710","2011","02","25",NA,"Brasil","Minas Gerais",NA,"1310","1310",NA,NA,"SPF00228075",NA,"Loeuille, B","2016",NA,"Diamantina","-43.567917","-18.194667","-43.567917","-18.194667",NA,NA,NA,NA,NA,NA
"18","2020-04-29 16:29:34-03","UFVJM","HDJF","7221","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Faria, JEQ","7333","2017","03","21","Southern America","Brasil","Minas Gerais","Campus JK da UFVJM, próximo a captação de água do Soberbo","1324","1324",NA,NA,"HDJF007221",NA,"Faria, JEQ","2017","03","Diamantina","-43.568056","-18.196389","-43.568056","-18.196389",NA,NA,NA,NA,NA,NA
"19","2020-04-29 16:29:34-03","UFVJM","HDJF","7180","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Faria, JEQ; Otoni, TJO","7292","2017","03","16","Southern America","Brasil","Minas Gerais","Campus JK da UFVJM, estrada para o Córrego Soberbo","1314","1314",NA,NA,"HDJF007180",NA,"Loeuille, B","2017","03","Diamantina","-43.568056","-18.196667","-43.568056","-18.196667",NA,NA,NA,NA,NA,NA
"20","2020-06-30 11:00:06-03","UFU","HUFU","61980","S","Plantae",NA,NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Marques, D.; Araújo, I.M.","385","2011","12","14",NA,"Brasil","Minas Gerais","Parque Estadual do Biribiri, São Miguel.","1188","1188",NA,"Arbusto, ca. 1m. Brácteas involucrais vináceas, corola e ramos do estilete púrpuros.","HUFU00047812","HUFU00047812","Marques, D.","2012","03","Diamantina","-43.609722","-18.193056","-43.609722","-18.193056",NA,NA,NA,NA,NA,"09"
"21","2019-05-06 11:53:41-03","UFU","HUFU","63612","S","Plantae",NA,NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Marques, D.; Franco, I.M. & Silva, K.R.","477","2012","06","28",NA,"Brasil","Minas Gerais","Parque Estadual do Biribiri, Jatobazeiro.","1204","1204",NA,"Arvoreta candelabriforme, ca. 1,2 m alt. Brácteas involucrais castanho-alarajadas, antera roxa, estilete roxo, papus palha.; Campo rupestre, próximo a curso d'água.","HUFU00048022","HUFU00048022",NA,NA,NA,"Diamantina","-43.576667","-18.140278","-43.576667","-18.140278",NA,NA,NA,NA,NA,NA
"22","2019-05-06 11:53:41-03","UFU","HUFU","64086","S","Plantae",NA,NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Franco, I.M.; Rando, J.G.; Watanabe, P.C.; Baleeiro, P.C. & Cota, M.M.T.","975","2012","06","09",NA,"Brasil","Minas Gerais","Campus JK da UFVJM, No fim da estradad e terra depos da Pocilga (Prédio da Zootecnia).","1385","1385",NA,"Arvoreta, ca. 1,3 m alt. Flores lilases.; Campo rupestre, solo arenoso, próximo a afloramentos rochosos.","HUFU00048023","HUFU00048023",NA,NA,NA,"Diamantina","-43.578611","-18.203056","-43.578611","-18.203056",NA,NA,NA,NA,NA,NA
"23","2019-05-06 11:53:41-03","UFU","HUFU","64087","S","Plantae",NA,NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Franco, I.M.; Rando, J.G.; Watanabe, P.C.; Baleeiro, P.C. & Cota, M.M.T.","977","2012","06","09",NA,"Brasil","Minas Gerais","Campus JK da UFVJM, Descendo do lado esquerdo da estrada de terra depois da Pocilga (Prédio da Zootecnia).","1385","1385",NA,"Arbusto. Planta com frutos.; Campo rupestre, afloramentos rochosos ao lado de curso d'água.","HUFU00048024","HUFU00048024",NA,NA,NA,"Diamantina","-43.578611","-18.203056","-43.578611","-18.203056",NA,NA,NA,NA,NA,NA
