"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","fieldNumber","class","individualCount","sex"
"11","2021-03-01 16:31:42-03","UNICAMP","UEC","132338","S","Plantae","Magnoliopsida",NA,"Gesneriaceae","Sinningia","cardinalis","Sinningia cardinalis","(Lehm.) H.E.Moore","San Martin-Gajardo, I","s.n.","2000",NA,"Brazil",NA,"Arbusto, flores vermelhas.","UEC060512","UEC060512","03","15","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Trilha para a Pedra do Sino.","-42.9655990600586","-22.4122009277344",NA,NA,"2000","2000","38539","auto","Chautems, A",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:29:12-03","MBM","MBM","24644","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","Hatschbach, G.; Ahumada, L.Z.; Ahumada, L.Z.","31361",NA,"Southern America","Brazil",NA,NA,"MBM024644","MBM024644",NA,NA,"Espírito Santo","Domingos Martins","Aracê","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"48150","auto","Chautems, A.",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:29:12-03","MBM","MBM","238672","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","Ribas, O.S.; Cordeiro, J.; Cordeiro, J.","2208B","1997","Southern America","Brazil",NA,NA,"MBM238672","MBM238672","12","31","Paraná","Tijucas do Sul","Serra de Papanduva","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"25228","auto","Chautems, A.",NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:29:12-03","MBM","MBM","255369","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","Krieger, L.; et al.; et al.","9905","1971","Southern America","Brazil",NA,NA,"MBM255369","MBM255369","01","30","Rio de Janeiro","Petrópolis","Petrópolis","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"36524","auto","Chautems, A.",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:29:12-03","MBM","MBM","22103","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","Pereira, E.; et al.; et al.","2659",NA,"Southern America","Brazil",NA,NA,"MBM022103","MBM022103",NA,NA,"Minas Gerais",NA,"Topo da Serra da Piedade",NA,NA,NA,NA,NA,NA,NA,NA,"Chautems, A.",NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:29:12-03","MBM","MBM","422957","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6277","2019","Southern America","Brazil",NA,"Erva rupícola; flor alaranjada.; Refúgio Vegetacional Altomontano (campo de altitude).","MBM422957",NA,"04","09","Espírito Santo","Venda Nova do Imigrante","Pedra do Rego, trilha","-41.167778","-20.301389","-41.167778","-20.301389","1400","1400",NA,NA,"Barboza, E.","2019","06","26",NA,NA,NA,NA
"17","2020-12-21 16:29:12-03","MBM","MBM","90019","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","Hatschbach, G.","47696",NA,"Southern America","Brazil",NA,NA,"MBM090019","MBM090019",NA,NA,"Espírito Santo","Dom","Rod. BR-262, Pedra Azul",NA,NA,NA,NA,NA,NA,NA,NA,"Chautems, A.",NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:29:12-03","MBM","MBM","201702","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","65260",NA,"Southern America","Brazil",NA,NA,"MBM201702","MBM201702",NA,NA,"Espírito Santo","Alfredo Chaves","Estrada São Bento de Urânia - Castelinho","-40.749698638916","-20.6350002288818",NA,NA,NA,NA,"32447","auto","Chautems, A.",NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:29:12-03","MBM","MBM","89695","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","Hatschbach, G.; Guimarães, O.; Guimarães, O.","46885",NA,"Southern America","Brazil",NA,NA,"MBM089695","MBM089695",NA,NA,"Espírito Santo","Domingos Martins","Pedra Azul","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"48150","auto","Chautems, A.",NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:29:12-03","MBM","MBM","24654","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","Hatschbach, G.; Ahumada, L.Z.; Ahumada, L.Z.","31415",NA,"Southern America","Brazil",NA,NA,"MBM024654","MBM024654",NA,NA,"Minas Gerais","Caparaó","Vale Verde","-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"15056","auto","Chautems, A.",NA,NA,NA,NA,NA,NA,NA
"21","2015-09-04 12:13:03-03","MNHN","RECOLNAT_MNHN_P","P03511945","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","cardinalis","Sinningia cardinalis","(Lehm.) H.E.Moore","Glaziou, A.",NA,"1882",NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03511945' target='other'> <mi>dwc_moreinfo</mi></a>","P03511945","P03511945_01","8","30","Rio de Janeiro","Petrópolis","Serra da Estrella.","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"36524","auto",NA,NA,NA,NA,"14041",NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","2853820","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Sinningia","cardinalis","Sinningia cardinalis","(Lehm.) H.E. Moore","L. E. Skog","4237","1978","South America - Neotropics","Brazil",NA,NA,"US00320626","US00320626_01","2","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"23","2020-09-12 05:00:02-03","US","US","68065","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Sinningia","cardinalis","Sinningia cardinalis","(F. Lehm.) H.E. Moore","Wilkes Explor. Exped.","s.n.","1838","South America - Neotropics","Brazil",NA,NA,"US00320629","US00320629_01",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"24","2020-09-12 05:00:02-03","US","US","1980149","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Sinningia","cardinalis","Sinningia cardinalis","(Lehm.) H.E. Moore",NA,NA,NA,"South America - Neotropics","Peru",NA,NA,NA,NA,NA,NA,"Cajamarca","Jaén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"25","2020-09-12 05:00:02-03","US","US","3065980","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","G. Hatschbach","47696","1984","South America - Neotropics","Brazil",NA,NA,"US00320794","US00320794_01","4","7","Espirito Santo",NA,"Rod. BR-262, Pedra Azul",NA,NA,NA,NA,NA,NA,NA,NA,"Chautems, A. P.",NA,NA,NA,NA,"Dicotyledonae","1",NA
"26","2020-09-12 05:00:02-03","US","US","3185566","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","A. P. Chautems & J. Barcia","321","1989","South America - Neotropics","Brazil",NA,NA,"US00326366","US00326366_01","2","14","Rio de Janeiro",NA,"Petropolis, vale do Rio Bonfim",NA,NA,NA,NA,"900","1200",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"27","2020-09-12 05:00:02-03","US","US","2728316","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","F. Vianna","2575","1951","South America - Neotropics","Brazil",NA,NA,"US00320793","US00320793_01","3","25","São Paulo",NA,"Silveiras: Serra da Bocaina, Morro da Boa Vista",NA,NA,NA,NA,"2100",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"28","2017-09-11 17:10:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Gesneriaceae","Gesneria","cardinalis","Gesneria cardinalis","Lehm.","?","s.n.",NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Tubera e Parasiis Berolinum missa a cl. Spruceo in Brasilia lecta esse traduntur.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-11 17:10:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Gesneriaceae","Gesneria","cardinalis","Gesneria cardinalis","Lehm.","?","s.n.",NA,"Southern America","Brazil",NA,"Najas",NA,NA,NA,NA,NA,NA,"Specimina spontanea non vidimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2017-09-11 17:10:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Gesneriaceae","Gesneria","lateritia","Gesneria lateritia","Lindl.","?","s.n.",NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Lindleyo teste e Brasilia allata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-09-11 17:10:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Gesneriaceae","Gesneria","splendens","Gesneria splendens","Van Houtte ex Hanst.","Riedel, L","s.n.",NA,"Southern America","Brazil",NA,"Fl. m. Septembri",NA,NA,NA,NA,NA,NA,"Habitat in rupibus montis Estrella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-09-11 17:10:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Gesneriaceae","Gesneria","splendens","Gesneria splendens","Van Houtte ex Hanst.","Riedel, L","s.n.",NA,"Southern America","Brazil",NA,"Pl. Dryas",NA,NA,NA,NA,NA,NA,"Habitat in rupibus montis Estrella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2017-09-11 17:10:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Gesneriaceae","Gesneria","suttonii","Gesneria suttonii","Booth","?","s.n.",NA,"Southern America","Brazil",NA,"Dryas",NA,NA,NA,NA,NA,NA,"Prope Boa Viagem ditionis Sebastianopolitanae in alt. 30 - 40 ped. prope maris ripam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2017-09-11 17:10:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Gesneriaceae","Gesneria","suttonii","Gesneria suttonii","Booth","?","s.n.",NA,"Southern America","Brazil",NA,"teste Lindleyo",NA,NA,NA,NA,NA,NA,"Prope Boa Viagem ditionis Sebastianopolitanae in alt. 30 - 40 ped. prope maris ripam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2018-12-06 09:05:59-02","GH","HU-HERB","GH 00246082","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","cardinalis","Sinningia cardinalis","(Lehmann) H. E. Moore","Wilkes Expedition",NA,NA,"South America","Brazil","Sheet",NA,NA,NA,NA,NA,"Rio de Janeiro",NA,"near Rio Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"L. E. Skog (US)",NA,NA,NA,NA,NA,NA,"undetermined"
