"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem"
"120","2016-08-13 14:57:00-03","MO","MOBOT","100915368","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","James A. Ratter|R. Reis dos Santos|R. Souza","Ratter 1196A","1968","4","26","South America","Brazil","Mato Grosso",NA,"C. 15 km N of the Base Camp of the Expedition. Base Camp on the Xavantina-São Felix road, c. 275 km N of Xavantina.","-51.8666667","-12.9",NA,NA,NA,NA,NA,"Kurt Potgieter (ILL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"121","2011-02-28 10:14:00-03","MO","MOBOT","3274485","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","Auguste F.M. Glaziou","Glaziou 20414","1893","2","6","South America","Brazil","Rio de Janeiro",NA,"Alt Marasbé Grand cubre.",NA,NA,NA,NA,NA,NA,NA,"Kurt Potgieter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","2015-04-21 05:44:00-03","MO","MOBOT","3419596","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","Luzmila Arroyo P.|M. Vargas|Ivan Linneo|C. Roth","Arroyo Padilla 3613","2006","10","14","South America","Bolivia","Santa Cruz","Nuflo de Chavez","Camino norte de Concepción; balneario Zapocó.","-62.04333","-16.13111","800.00000000",NA,NA,NA,NA,"A. Fuentes (LPB)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","2009-12-05 05:27:00-02","MO","MOBOT","3303308","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","Gert G. Hatschbach|J.M. Silva|F. Deodato","Hatschbach 65639","1996","11","17","South America","Brazil","Mato Grosso",NA,"Rio Guaporé, proximo a barra do Rio Sararé. Mun Vila Bela da Sma Trindade.",NA,NA,NA,NA,NA,NA,NA,"A.J.M. Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2019-09-17 15:25:00-03","MO","MOBOT","100914473","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","J.B.E. Pohl","Pohl s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K. Potgieter (ILL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"125","2018-08-01 15:55:00-03","MO","MOBOT","100914476","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","J.B.E. Pohl","Pohl 1229","1866",NA,NA,"South America","Brazil",NA,NA,"In via a Brejon ad Rio Bonaventura-ad Laveinhas.",NA,NA,NA,NA,NA,NA,NA,"K. Potgieter (ILL)",NA,"Fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"126","2016-08-13 14:53:00-03","MO","MOBOT","100915372","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","C.A. Cid Ferreira","Cid Ferreira 8801","1987","4","11","South America","Brazil","Rondônia","Guajará-Mirim","Chapada dos Pacaás Novos a 10 km da cidade de Guajará-Mirim, próximo a BR-425.","-65.25","-10.7166667",NA,NA,NA,NA,NA,"K. Potgieter (ILL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"127","2008-05-27 22:02:00-03","MO","MOBOT","1153348","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","Bonifacio Mostacedo C.|S. Cabrera","Mostacedo C. 1929","1994","5","19","South America","Bolivia","Santa Cruz","Velasco","Parque Nacional Noel Kempff Mercado; Campamento Huanchaca I; vegetación del Cerrado. Parcela permanente de estudio a 500 m de la pista de aterrizaje.","-60.81444","-13.90611","400.00000000",NA,NA,NA,NA,"E. Gutiérrez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","2008-05-27 22:02:00-03","MO","MOBOT","1716845","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","Timothy J. Killeen","Killeen 2154","1990","9","5","South America","Bolivia","Santa Cruz",NA,NA,"-62","-16","500.00000000",NA,NA,NA,NA,"M.Nee, 88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","2009-10-26 23:36:00-02","MO","MOBOT","2796030","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","Ludwig Riedel","Riedel s.n.","1824",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W. Macondes Ferreira VII",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
