"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","typeStatus","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"11","2020-12-21 16:32:12-03","MBM","MBM","46708","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Hatschbach, G.","37515",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM046708",NA,NA,"Mart. & Koehne","Mato Grosso","Ribeirão Motuca","-56.0966987609863","-15.5960998535156","MBM046708","Cuiabá",NA,NA,"Graham, S.A.",NA,NA,NA,NA,"74875","auto",NA,NA,NA,NA,NA
"12","2020-12-21 16:32:12-03","MBM","MBM","222121","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Dubs, B.","1543",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM222121",NA,NA,"Mart. & Koehne","Mato Grosso","Serra das Araras","-56.4824981689453","-14.5136003494263","MBM222121","Alto Paraguai",NA,NA,"Graham, S.A.",NA,NA,NA,NA,"78022","auto",NA,NA,NA,NA,NA
"13","2015-01-27 10:47:52-02","MNHN","RECOLNAT_MNHN_P","P01901697","PreservedSpecimen",NA,"Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Silva Manso, P. da",NA,NA,NA,NA,NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901697' target='other'> <mi>dwc_moreinfo</mi></a>","P01901697",NA,NA,"Koehne",NA,"Serra da Cima bei Cuiaba",NA,NA,"P01901697_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","3156197","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Keiichi Mizoguchi","Mizoguchi 2550","1985","11","6","South America","Brazil",NA,NA,NA,NA,NA,NA,"Koehne","Mato Grosso","Bairro de Papua Campo, Municipio de Diamantino. 2500km NW. from São Pauro.",NA,NA,NA,NA,NA,NA,"T.B. Cavalcanti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-02 16:30:52-03","Cenargen","CEN","33929","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Gert Guenther Hatschbach","62726","1995","05","13",NA,"Brasil","Exsicatas",NA,"Doação da Prefeitura Municipal de Curitiba - Museu Botânico Municipal.","CEN00033929",NA,NA,"Mart.","MT","Rio Padre Manuel. Coletado sobre rochas ao longo do rio encachoeirado.","-56.4460983276367","-14.4085998535156","CEN00033929","DIAMANTINO",NA,NA,"T. B. Cavalcanti","1998","01",NA,NA,"134442","auto","1",NA,NA,NA,NA
"16","2020-09-02 16:30:52-03","Cenargen","CEN","27135","PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Taciana Barbosa Cavalcanti","2383","1997","06","26",NA,"Brasil","Exsicatas",NA,"Folhas glaucas. Tubo floral todo vermelho. Apêndices vináceos.","CEN00027135",NA,NA,"Mart.","MT","MT-251. Cuiabá - Chapada dos Guimarães. A 24 km de Cuiabá. Balneário Rutemar. Rio do Peixe.","-56.0966987609863","-15.5960998535156","CEN00027135","CUIABA",NA,NA,"S. Graham","1997","06",NA,NA,"74875","auto","6","-5598778.0","-1539500.0","260","260"
"17","2019-09-04 18:35:37-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis",NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Type [status unknown]","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-08-23 11:00:34-03","NHMLondon","NHM-LONDON-BOT","BM000073507","S","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Carl Friedrich Philipp von Martius; b.1794; d.1868; Mart.","870",NA,NA,NA,NA,"Brasil",NA,"NHMUK:ecatalogue:481860","<a href=http://www.nhm.ac.uk/services/media-store/asset/00687c78f216f45eee2a09a550185255699d75a5/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Angiosperm",NA,"Koehne",NA,NA,"-53.08982","-10.773109",NA,NA,"Isotype",NA,"Shirley Ann Tousch Graham; b.1935; S.A.Graham","2001","02",NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA
"19","2018-09-18 22:12:31-03","UFMT","UFMT","24011","S","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Dubs, B.","2614","1998","11","28",NA,"Brasil",NA,NA,"Subshrub, 40 cm high; midnerve of leaves flushed red. tube of corolla bright red, lobes greenish-brown, hairs glandular-sticky.; Margin of a small river.",NA,NA,NA,"Koehne","Mato Grosso","Serra das Araras.","-56.1324996948242","-15.6466999053955",NA,"Várzea Grande",NA,NA,"Dubs, B.","2000",NA,NA,NA,"37223","auto",NA,NA,NA,NA,NA
"20","2017-09-11 17:10:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Silva Manso, ALP","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"(Mart. Hb. Fl. Bras. n. 870)",NA,NA,NA,"Koehne","Mato Grosso","Habitat in provinciae Mato Grosso montibus Serra da Cima prope Cuiabá","-56.0967","-15.5961","P13P2N0054","Cuiabá",NA,NA,NA,NA,NA,NA,NA,"74875","auto",NA,NA,NA,NA,NA
"21","2014-09-23 10:58:31-03","G","G","G00227395","S","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Martius, C. F. P.","870","1841",NA,"00","AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=205922&base=img&lang=en","G00227395",NA,NA,"Koehne",NA,NA,"-53.08972222","-10.77305556","G00227395",NA,"ISOTYPUS of Cuphea cuiabensis Koehne",NA,"Graham, S. A. T.","2001","01","01",NA,NA,NA,NA,"-53.08972222","-10.77305556",NA,NA
"22","2014-09-23 10:58:31-03","G","G","G00227396","S","Plantae","Lythraceae","Cuphea","cuiabensis","Cuphea cuiabensis","Martius, C. F. P.","870","1841",NA,"00","AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=205923&base=img&lang=en","G00227396",NA,NA,"Koehne",NA,NA,"-53.08972222","-10.77305556","G00227396",NA,"ISOTYPUS of Cuphea cuiabensis Koehne",NA,"Graham, S. A. T.","2001","01","01",NA,NA,NA,NA,"-53.08972222","-10.77305556",NA,NA
