"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","monthIdentified","dayIdentified","recordNumber","month","day","imagecode","phylum","order","continentOcean","preparationType","class","coordinatePrecision","geoFlag","typeStatus","individualCount"
"11","2020-12-04 13:18:58-03","UDESC","LUSC","6762","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto","SEGER, G.D.S.","2019","Floriani, M.M.P.","2012","Brasil","Santa Catarina","Rio Rufino","Fazenda Santo Antônio.","-49.785833","-27.898611","49º47'9''W","27º53'55''S",NA,NA,"Habitat: floresta ombrófila mista altomontana Habito: Trepadeira","LUSC007865","02","25","217","03","30","LUSC007865",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-04 13:18:58-03","UDESC","LUSC","2009","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto","Martins,D.; Chaves,C.",NA,"Martins, D.","2008","Brasil","Santa Catarina","Urupema","Fazenda as Nascentes.","-49.8731002807617","-27.9528007507324",NA,NA,NA,NA,NA,"LUSC007855",NA,NA,NA,"06","07","LUSC007855",NA,NA,NA,NA,NA,"23096","auto",NA,NA
"13","2020-12-04 13:18:58-03","UDESC","LUSC","3921","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto","Martins, D.",NA,"Martins, D.","2008","Brasil","Santa Catarina","Urupema","Fazenda as Nascentes.","-49.8731002807617","-27.9528007507324",NA,NA,NA,NA,NA,"LUSC007854",NA,NA,"478","09","10","LUSC007854",NA,NA,NA,NA,NA,"23096","auto",NA,NA
"14","2020-10-14 09:59:14-03","FURB","FURB","13188","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto","Ritter, MR","2010","Verdi, M.; Hasckel, R.P. & Klemz, G.","2009","Brasil","Santa Catarina","Urubici","Morro da Igreja - Parque Nacional São Joaquim.","-49.4983333","-28.0744445","-49.4983333","-28.0744445","1546","1546","Florística IFFSC 166(Liana) Habitat: Floresta nebular e campos naturais; Estágio médio de regeneração Habito: liana; flor branca","FURB00864","01","25","2034","04","23","FURB00864",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-10-14 09:59:14-03","FURB","FURB","46931","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto","Pastório, FF","2015","Oliveira, A.A. de","2015","Brasil","Santa Catarina","Timbó Grande","Santa Maria.","-50.7513889","-26.645","-50.7513889","-26.6450000","1269","1269",NA,"FURB18106","04","29","2051","03","08","FURB18106",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-16 17:50:58-03","UCS","HUCS","49647","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R. Ritter & Miotto","Gonzatti, F.","2019","Gonzatti, F.","2019","Brasil","Rio Grande do Sul","Canela","FLONA de Canela","-50.816667","-29.321389","-50.816667","-29.321389","788","788","Erva lianescente em bordo de caminho, área de sucessão da mata",NA,"05",NA,"5034","03","23",NA,"Angiospermae","Asterales",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-16 17:50:58-03","UCS","HUCS","19558","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R. Ritter & Miotto","Robinson, H.","2003","Wasum, R.A.","2002","Brasil","Rio Grande do Sul","São Francisco de Paula","Estrada para Taquara","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"Sobre arbustos",NA,"01",NA,"1527","08","11",NA,"Angiospermae","Asterales",NA,NA,NA,"76715","auto",NA,NA
"18","2019-11-26 13:10:39-03","UTFPR","HCF","29846","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto","F. Gonzatti","2019","F. Gonzatti","2019","Brasil","RS","Canela","FLONA de Canela","-50.816667","-29.321389","50°49'00 W","29°19'17 S","788","788","erva lianescente em bordo de caminho, área de sucessão da mata.",NA,"05",NA,"5034","03","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:16:40-03","MBM","MBM","304432","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R. Ritter & Miotto",NA,NA,"Ritter, M.R.; Carvalho Leite, S.L.; Carvalho Leite, S.L.","2000","Brazil","Rio Grande do Sul","São Francisco de Paula","Alpes de São Francisco","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,NA,"MBM304432",NA,NA,"1110","03","18","MBM304432",NA,NA,"Southern America",NA,NA,"76715","auto","ISOTYPE",NA
"20","2020-12-11 11:33:17-03","UFMG","BHCB","116850","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto",NA,NA,"Loeuille, BFP; Brazolim, S; Borges, LM; Santos, MF; Rodrigues, RR; Tamashiro, JY; Souza, VC de","2007","Brasil","Santa Catarina","Urupema","Fazenda das Ovelhas.","-49.826111","-27.977778","-49.826111","-27.977778","1557","1557","Liana. Flores alvas.",NA,NA,NA,"232","04","09",NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA
"21","2021-02-11 17:18:07-03","UFPR","UPCB","34432","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & S.T.Miotto",NA,"2003","Fernandes, H.M.","1998","Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"Trepadeira, flores esverdeadas. Interior da mata nebular, 1310m..","UPCB0002283","09","20","69","02","18","UPCB0002283 UPCB0002283_1",NA,NA,NA,NA,NA,"41937","auto","Paratype",NA
"22","2021-02-11 17:18:07-03","UFPR","UPCB","37798","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & S.T.Miotto","Ritter, M.R.","2003","Cândido, L.C.","1999","Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"Trepadeira, capítulos alvos, borda de mata nebular, 1200m..","UPCB0002247","09","20","12","03","12","UPCB0002247",NA,NA,NA,NA,NA,"41937","auto","Paratype",NA
"23","2020-07-04 15:36:00-03","MO","MOBOT","1821847","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R. Ritter & Miotto","N.C. Holmes",NA,"M.R. Ritter|S.L. Carvalho Leite","2000","Brazil","Rio Grande do Sul",NA,"São Francisco de Paula. Alpes de São Francisco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ritter 1110","3","18",NA,NA,NA,"South America",NA,NA,NA,NA,"Isotype","1"
"24","2020-09-12 05:00:02-03","US","US","3395428","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R. Ritter & Miotto",NA,NA,"E. L. Barbosa & O. S. Ribas","2000","Brazil","Paraná",NA,"Serra do Araçatuba (Mun. Giaratuba)",NA,NA,NA,NA,NA,NA,NA,"US01673988",NA,NA,"419","4","8","US01673988_01",NA,"Asterales","South America",NA,"Dicotyledonae",NA,NA,NA,"1"
"25","2020-09-12 05:00:02-03","US","US","3439948","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R. Ritter & Miotto",NA,NA,"R. Wasum","2002","Brazil","Rio Grande do Sul",NA,"Mun de São Francisco de Paula-estrada para Taquara",NA,NA,NA,NA,"830",NA,NA,"US01673987",NA,NA,"1527","8","11","US01673987_01",NA,"Asterales","South America",NA,"Dicotyledonae",NA,NA,NA,"1"
"26","2020-09-12 05:00:02-03","US","US","3399407","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R. Ritter & Miotto",NA,NA,"E. L. Barbosa & O. S. Ribas","2000","Brazil","Paraná",NA,"Serra do Araçatuba (Mun. Guaratuba)",NA,NA,NA,NA,NA,NA,NA,"US01673986",NA,NA,"432","4","8","US01673986_01",NA,"Asterales","South America",NA,"Dicotyledonae",NA,NA,NA,"1"
"27","2019-10-07 09:11:43-03","UEFS","HUEFS","229450","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto",NA,NA,"Fernandes, H.M.","1998","Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdisos. Interior da mata nebular.","-48.5746994018555","-25.8827991485596",NA,NA,"1310","1310",NA,"HUEFS0229450",NA,NA,"69","02","18","HUEFS0229450","Angiospermae","Asterales",NA,NA,"Asteranae","41937","auto","Parátipo",NA
"28","2020-08-20 14:55:13-03","UFSC","FLOR","47386","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto",NA,NA,"Ritter, M.R.; Leite, S.L.C.","2000","Brasil","Rio Grande do Sul","São Francisco de Paula","Alpes de São Francisco.","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"Isotypus de Mikania Oreophila M.R. Ritter & Miotto. Novon 12(4): 533-535,2002.","FLOR0047386",NA,NA,"1110","03","18",NA,NA,"Asterales",NA,NA,NA,"76715","auto","Isotypus",NA
"29","2020-08-20 14:55:13-03","UFSC","FLOR","25144","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto","Ritter, M.R.","2003","Falkenberg, D.B.","1995","Brasil","Santa Catarina","Urubici","Alto da Serra do Corvo Branco, acesso na SC 439 junto ao corte no morro.","-49.5917015075684","-28.0149993896484",NA,NA,"1200","1200","trepadeira, flor em botão, 2 a 3m altura. Glândulas abundante no hipofilo e raras nas brácteas.","FLOR0025144","09","20","7168","02","24",NA,NA,"Asterales",NA,NA,NA,"30102","auto","Paratypus",NA
"30","2020-08-20 20:38:09-03","UFSC","FLOR","40109","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto","Falkenberg, D.B.","2006","Mattos, J.","1981","Brasil","Santa Catarina","Urubici","Serra do Corvo Branco.","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"escandente","FLOR0040109",NA,NA,"22752","10","23",NA,NA,"Asterales",NA,NA,NA,"30102","auto",NA,NA
"31","2020-08-20 14:55:13-03","UFSC","FLOR","25296","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","Ritter & Miotto","Ritter, M.R.","2003","Falkenberg, D.B.","1995","Brasil","Santa Catarina","Urubici","Trilha para o topo da Serra do Corvo Branco, no alto da SC 439, junto ao corte no morro.","-49.5917015075684","-28.0149993896484",NA,NA,"1250","1250","trepadeira, flor branca, 2 a 4m altura. Parátipo. Novon 12(4):533-535, 2002 Habitat: beira de bracatingal","FLOR0025296","09","20","7375","03","28",NA,NA,"Asterales",NA,NA,NA,"30102","auto","Paratypus",NA
"32","2021-02-08 12:36:43-03","UFRGS","ICN","132039","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR",NA,"Fernandes, HM; Santos, EP","1998","Brasil","PR","Guaratuba","Serra de Araçatuba Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,"1310","1310","Espécie ameaçada de extinção (Vulnerável). Doação Herbário UPCB.; Trepadeira; flores esverdeadas.; Interior da mata nebular.","ICN00000081",NA,NA,"69","02","18","ICN00000081","Dicotyledon",NA,"América do Sul",NA,NA,"41937","auto","Paratypus",NA
"33","2021-02-08 12:36:43-03","UFRGS","ICN","115046","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR",NA,"Ritter, MR","1999","Brasil","RS","Cambará do Sul","a aproximadamente 17 km de Fortaleza dos Aparados","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"Novon 12(4):533-535,2002; Beira de mata com Araucária","ICN00000079",NA,NA,"1007","03","23","ICN00000079 ICN00000079_1","Dicotyledon",NA,"América do Sul",NA,NA,"30776","auto","Paratypus",NA
"34","2021-02-08 12:36:43-03","UFRGS","ICN","115045","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR",NA,"Ritter, MR","1999","Brasil","RS","Cambará do Sul","a aproximadamente 17 km de Fortaleza dos Aparados para Cambará","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"Novon 12(4):533-535,2002; Beira de mata com Araucária","ICN00000080",NA,NA,"1008","03","23","ICN00000080","Dicotyledon",NA,"América do Sul",NA,NA,"30776","auto","Paratypus",NA
"35","2021-02-08 12:36:43-03","UFRGS","ICN","118383b","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR",NA,"Ritter, MR","2000","Brasil","RS","Cambará do Sul","estrada para São José dos Ausentes RS 020 a 7 km do entroncamento para Retiro","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Beira de mata","ICN00000083",NA,NA,"1162","05","09","ICN00000083 ICN00000083_1","Dicotyledon",NA,"América do Sul",NA,NA,"30776","auto","Paratypus",NA
"36","2021-02-08 12:36:43-03","UFRGS","ICN","106787","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR","2003","Silveira, N; Mansan, C","1994","Brasil","RS","Cambará do Sul","Fazenda Velha Celulose Cambará","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"Novon 12(4):533-535,2002; Trepadeira","ICN00000082","09","20","11924","04","05","ICN00000082 ICN00000082_1","Dicotyledon",NA,"América do Sul",NA,NA,"30776","auto","Paratypus",NA
"37","2021-02-08 12:36:43-03","UFRGS","ICN","118081","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto",NA,NA,"Ritter, MR; Leite, SLC","2000","Brasil","RS","São Francisco de Paula","Alpes de São Francisco","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"Novon 12(4): 533-535, 2002","ICN00000078",NA,NA,"1110","03","18","ICN00000078 ICN00000078_1","Dicotyledon",NA,"América do Sul",NA,NA,"76715","auto","Holotypus",NA
"38","2021-02-08 12:36:43-03","UFRGS","ICN","172959","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto",NA,NA,"Korte, A","2011","Brasil","SC","Rio Negrinho","Rio do Salto","-49.500278","-26.280278","-49.500278","-26.280278","892","892","Liana de flor branca; Floresta Ombrófila Mista",NA,NA,NA,"5970","02","17",NA,"Dicotyledon",NA,"América do Sul",NA,NA,NA,NA,NA,NA
"39","2021-02-08 12:36:43-03","UFRGS","ICN","191632","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR",NA,"Verdi, M; Hasckel, RP; Klemz, G","2009","Brasil","SC","Urubici","Morro da Igreja - Parque Nacional São Joaquim.","-49.498333","-28.074444","-49.498333","-28.074444","1546","1546","Doação FURB 13188; Liana; flores brancas.; Matinha nebular.",NA,NA,NA,"2034","04","23",NA,"Dicotyledon",NA,"América do Sul",NA,NA,NA,NA,NA,NA
"40","2021-02-08 12:36:43-03","UFRGS","ICN","201741","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Christ, AL","2019","Christ, AL","2019","Brasil","RS","São José dos Ausentes","RS-020","-49.8925","-28.481667","-49.8925","-28.481667","1184","1184","Trepadeira com flores brancas.; Clareira em borda de mata.",NA,NA,NA,"614","03","10",NA,"Dicotyledon",NA,"América do Sul",NA,NA,NA,NA,NA,NA
"41","2021-02-08 12:36:43-03","UFRGS","ICN","132045","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR","2002","Cândido, LC; Hassagawa, M","1999","Brasil","PR","Guaratuba","Serra de Araçatuba Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,"1200","1200","Espécie ameaçada de extinção (Vulnerável). Doação Herbário UPCB.; Trepadeira; capítulos alvos.; Borda de mata nebular.",NA,"07","18","12","03","12",NA,"Dicotyledon",NA,"América do Sul",NA,NA,"41937","auto",NA,NA
"42","2021-02-08 12:36:43-03","UFRGS","ICN","162154","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR",NA,"Seger, GDS","2009","Brasil","RS","São Francisco de Paula","FLONA","-50.5835990905762","-29.4480991363525",NA,NA,"923","923","flores, ca. de 3,5m; Borda de mata nativa (antes da pedreira)",NA,NA,NA,"720","03","14",NA,"Dicotyledon",NA,"América do Sul",NA,NA,"76715","auto",NA,NA
"43","2021-02-08 12:36:43-03","UFRGS","ICN","183180","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR",NA,"Seger, GDS","2009","Brasil","RS","São Francisco de Paula","Floresta Nacional (FLONA-SFP)","-50.5835990905762","-29.4480991363525",NA,NA,"923","923","flores, ca. de 3m; Borda de mata nativa",NA,NA,NA,"719","03","14",NA,"Dicotyledon",NA,"América do Sul",NA,NA,"76715","auto",NA,NA
"44","2021-02-08 12:36:43-03","UFRGS","ICN","189473","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Oliveira, CT",NA,"de Gasper, AL; Brogni, E","2008","Brasil","SC","Timbó Grande","Santa Maria lat. 524755 S long. 7052872 W","-50.6741981506348","-26.6149997711182",NA,NA,"1262","1262","Florística IFFSC 843; flor branca, liana; FOM",NA,NA,NA,"s.n.","02","19",NA,"Dicotyledon",NA,"América do Sul",NA,NA,"23795","auto",NA,NA
"45","2021-02-08 12:36:43-03","UFRGS","ICN","110970","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR",NA,"T. Lewinson, PIC","1995","Brasil","RS","Cambará do Sul","Ouro Verde","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"Novon 12(4):533-535,2002","ICN00000077",NA,NA,"95176","04","10","ICN00000077","Dicotyledon",NA,"América do Sul",NA,NA,"30776","auto","Paratypus",NA
"46","2021-02-08 12:36:43-03","UFRGS","ICN","132004","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR",NA,"Silveira, N","1987","Brasil","RS","Cambará do Sul","a 5Km da cidade na rodovia para Fortaleza","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável). Doação Herbário HAS.; Trepadeira; Inflorescência aromática.; na beira do mato.",NA,NA,NA,"7117","03","28",NA,"Dicotyledon",NA,"América do Sul",NA,NA,"30776","auto",NA,NA
"47","2021-02-08 12:36:43-03","UFRGS","ICN","162153","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR",NA,"Seger, GDS","2008","Brasil","RS","São Francisco de Paula","FLONA","-50.5835990905762","-29.4480991363525",NA,NA,"923","923","Flores; Borda de mata nativa (antes da pedreira)",NA,NA,NA,"598","04","10",NA,"Dicotyledon",NA,"América do Sul",NA,NA,"76715","auto",NA,NA
"48","2021-02-08 12:36:43-03","UFRGS","ICN","119097","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR","2003","Ritter, MR","2001","Brasil","RS","São José dos Ausentes","Serra da Rocinha","-50.0657997131348","-28.7483005523682",NA,NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Em mata na beira do cânion",NA,"09","20","1277","01","19",NA,"Dicotyledon",NA,"América do Sul",NA,NA,"42598","auto",NA,NA
"49","2021-02-08 12:36:43-03","UFRGS","ICN","132005","S","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R.Ritter & Miotto","Ritter, MR",NA,"Mattos, J","1983","Brasil","SC","Urubici","perto de Rio Rufino","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável). Doação Herbário HAS.; escandente.; Numa capoeira.",NA,NA,NA,"24209","03","23",NA,"Dicotyledon",NA,"América do Sul",NA,NA,"30102","auto",NA,NA
"50","2020-08-26 10:47:58-03","MCN-FZBRS","HAS","63757","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R. Ritter & Miotto","Ritter, M. R. M. R.","2003","Silveira, N.","1987","Brasil","Rio Grande do Sul","Cambará do Sul","A 5 km da cidade na rodovia para Fortaleza,","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"Guaco; ; Inflorescência aromática.","HAS0063757","09","20","7117","03",NA,NA,"Magnoliophyta",NA,NA,NA,NA,"30776","auto",NA,NA
"51","2020-08-26 10:47:58-03","MCN-FZBRS","HAS","63774","PreservedSpecimen","Plantae","Asteraceae","Mikania","oreophila","Mikania oreophila","M.R. Ritter & Miotto","Ritter, M. R. M. R.","2003","Mattos, J.","1983","Brasil","Santa Catarina","Urubici","Próximo ao Rio Rufino,","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"Guaco; Escandente.","HAS0063774","05","20","24209","03",NA,NA,"Magnoliophyta",NA,NA,NA,NA,"30102","auto",NA,NA
