"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class"
"11","2020-12-20 21:19:26-03","UFV","VIC","4200","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer","Isótipo","Irwin, H.S.","2754","1959","03","01",NA,"Brasil","Espírito Santo",NA,"Pico da Bandeira - Serra do Caparaó, Entre rochas, em prado úmido perto de afluente; solo preto sujo.",NA,NA,NA,NA,NA,"Erva simples, c.a. de 50 cm de altura;corola rosa; folhas violetas. Comum na localidade. ISÓTIPO.","VIC004200","VIC004200","Souza, V.C.","1994","10","29",NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:41:12-03","UFJF","CESJ","22113","PreservedSpecimen","Plantae","Angiosperma",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,"F.R.G. Salimena; et al.","FPNC13","1988","03","01","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó",NA,NA,NA,NA,NA,"Erva lenhosa. flores róseas-claro. Frequente.","CESJ022113","CESJ022113 CESJ022113_1","V.C. Souza","1990","01","16",NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:41:12-03","UFJF","CESJ","24027","PreservedSpecimen","Plantae","Angiosperma",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,"L. Krieger; et al.","CESJ24027","1989","04","30","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, Terreirão",NA,NA,"2400","2400",NA,"Planta inteira avermelhada, com frutos em maturação. Entre pedras.","CESJ024027","CESJ024027 CESJ024027_1 CESJ024027_2","V.C. Souza","1990","01","16",NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 14:41:12-03","UFJF","CESJ","24061","PreservedSpecimen","Plantae","Angiosperma",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,"L. Krieger; et al.","CESJ24061","1989","04","30","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, Terreirão",NA,NA,"2400","2400",NA,"Folhas com face adaxial arroxeadas e face abaxial bem verde. Flor vermelho-arroxeado.","CESJ024061","CESJ024061","V.C. Souza","1990","01","16",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:44:58-03","MBM","MBM","251498","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,"Souza, V.C.; et al.; et al.","23573",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Alto Caparaó","Parque Estadual do Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,"MBM251498","MBM251498","Souza, V.C.",NA,NA,NA,"21645","auto",NA,NA,NA,NA,NA
"16","2015-09-04 08:50:58-03","MNHN","RECOLNAT_MNHN_P","P03005750","PreservedSpecimen",NA,NA,NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,"Schwacke",NA,"1890","2","8",NA,"Brasil","Minas Gerais",NA,"Serra do Caparaó.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03005750' target='other'> <mi>dwc_moreinfo</mi></a>","P03005750","P03005750_01",NA,NA,NA,NA,NA,NA,NA,NA,"6775",NA,NA
"17","2020-12-11 11:39:52-03","UFMG","BHCB","60764","PreservedSpecimen","Plantae","Dicotyledon",NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Alto Caparaó",NA,"-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21645","auto",NA,NA,NA,NA,NA
"18","2020-11-10 04:40:00-03","MO","MOBOT","787883","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,"Paul E. Berry|H. C. de Lima|José F.A. Baumgratz","Berry 4529","1985","2","5","South America","Brazil","Minas Gerais",NA,"CAPARAO: between Terreirão and Pico da Bandeira, Serra do Caparaó. Alt. 2550 m.",NA,NA,"2500.00000000",NA,NA,NA,NA,NA,"V.C. Souza",NA,NA,NA,NA,NA,NA,NA,"85-67","2",NA
"19","2020-09-12 05:00:02-03","US","US","2324625","PreservedSpecimen","Plantae",NA,"Scrophulariales","Scrophulariaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer","Isotype","H. S. Irwin","2754","1959","3","1","South America - Neotropics","Brazil","Espírito Santo",NA,"Espirito Santo: Pico da Bandeira, Serra Caparaó",NA,NA,"2667",NA,NA,NA,"US01106342","US01106342_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"20","2019-11-13 11:27:45-03","USP","SPF","143861","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer",NA,"Souza, VC","23573","2000","02","21",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó","-41.816667","-20.416667","2300","2300",NA,NA,"SPF00143861","SPF00143861","Souza, VC","2000","02",NA,NA,NA,"-41.816667","-20.416667",NA,NA,NA
"21","2021-02-23 13:22:55-03","MN","R-TIPOS","211748","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Agalinis","bandeirensis","Agalinis bandeirensis","Barringer","Isotypus","Irwin, H.S.","2754","1959","03","01",NA,"Brasil","Espírito Santo",NA,"Pico da Bandeira",NA,NA,"8750","8750",NA,NA,"R000211748","R000211748_001","Souza, V.C.","1994","06","30",NA,NA,NA,NA,NA,NA,NA
