"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","eventTime","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"11","2020-12-21 16:16:23-03","MBM","MBM","73119","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","Hatschbach, G.","44563","1982","02","09","Southern America","Brazil","Paraná","Rio Branco do Sul","Serra do Bromado","-49.3142013549805","-25.1900005340576",NA,NA,NA,NA,"MBM073119","MBM073119",NA,"37352","auto","Hatschbach, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:16:23-03","MBM","MBM","73943","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","Hatschbach, G.","44756","1982","03","16","Southern America","Brazil","Goiás",NA,"Rod. BR-040, 30km L de Cristalina",NA,NA,NA,NA,NA,NA,"MBM073943","MBM073943",NA,NA,NA,"Dematteis, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:16:23-03","MBM","MBM","86527","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","Nobrega, M.G.","913","1998","04","07","Southern America","Brazil","Distrito Federal",NA,"Chapada dos Veadeiros, Brasília",NA,NA,NA,NA,NA,NA,"MBM086527","MBM086527",NA,NA,NA,"Dematteis, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:16:23-03","MBM","MBM","172729","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","61765","1995","03","11","Southern America","Brazil","Minas Gerais","São Gonçalo do Abaeté","Rod. BR-365, 10-15 km S do trevo com a Rod. BR-040","-45.8333015441895","-18.3383007049561",NA,NA,NA,NA,"MBM172729","MBM172729",NA,"75342","auto","Dematteis, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:16:23-03","MBM","MBM","262737","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","Ganev, W.","191","1992","04","24","Southern America","Brazil","Bahia","Abaíra","Distrito de Catolés","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,"MBM262737","MBM262737",NA,"26531","auto","Hind, D.J.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:16:23-03","MBM","MBM","8832","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","Hatschbach, G.","20674","1968","12","27","Southern America","Brazil","Paraná","Balsa Nova","Rio dos Papagaios","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"MBM008832","MBM008832",NA,"27346","auto","Cabrera, A.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:16:23-03","MBM","MBM","192370","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","Brade, A.C.","19522","1949","02","13","Southern America","Brazil","Paraná","Palmeira","Pugas","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"MBM192370","MBM192370",NA,"35166","auto","Dematteis, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-09-04 05:26:37-03","MNHN","RECOLNAT_MNHN_P","P02710419","PreservedSpecimen",NA,NA,NA,"Asteraceae","Vernonia","exigua","Vernonia exigua","Cabrera","Smith, L.B.|Hatschbach, G.|Klein, R.M.",NA,"1965","1","18",NA,"Brasil","Paraná","Jaguariaíva","Fazenda Cajurú, source of Rio Cajurú.","-49.31667","-24.16667",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02710419' target='other'> <mi>dwc_moreinfo</mi></a>","P02710419","P02710419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14804",NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","3345491","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","exigua","Vernonia exigua","Cabrera","Gert G. Hatschbach","Hatschbach 44563","1982","2","9","South America","Brazil","Paraná",NA,"Serra do Bromado (mun. Rio Brano do Sul).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G. Hatschbach, 3/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2027488","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","-- Brade","16204","1940","3",NA,"South America - Neotropics","Brazil","São Paulo",NA,"Villa Jemma nos Campos",NA,NA,NA,NA,NA,NA,"US01630591","US01630591_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"21","2020-09-12 05:00:02-03","US","US","3482037","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","R. Romero, J. N. Nakajima, E. Zanini & R. Cesar","2013","1995","3","19","South America - Neotropics","Brazil","Minas Gerais",NA,"Estrada da Serra das Sete Voltas, PARNA Serra da Canastra, Sacramaneto",NA,NA,NA,NA,NA,NA,"US01630590","US01630590_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"22","2020-09-12 05:00:02-03","US","US","2268852","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","-- Reitz & Klein, --","6476","1958","2","5","South America","Brazil","Santa Catarina",NA,"Morro do iquererim, Campo Alegre, Campo",NA,NA,"1300",NA,NA,NA,"US01630593","US01630593_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"23","2020-09-12 05:00:02-03","US","US","2557883","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","L. Smith, R. M. Klein & G. Hatschbach","14804","1965","1","18","South America","Brazil","Paraná",NA,"Mun. Jaguariava: High rocky campo, boggy slope, and grove, Fazenda Cajurú, source of Rio Cajurú","-49.32","-24.17","1000","1100",NA,NA,"US01630589","US01630589_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"24","2020-09-12 05:00:02-03","US","US","2403186","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","-- Reitz & Klein, --","6476","1958","2","5","South America","Brazil","Santa Catarina",NA,"Morro do iquererim, Campo Alegre, Campo",NA,NA,"1300",NA,NA,NA,"US01630592","US01630592_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"25","2020-09-12 05:00:02-03","US","US","2931738","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H. Rob.","G. Hatschbach","44563","1982","2","9","South America","Brazil","Paraná",NA,"Serra do Bromado (mun. Rio Branco do do Sul)",NA,NA,NA,NA,NA,NA,"US01630588","US01630588_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"26","2019-07-02 15:55:02-03","UEM","HUEM","24496","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","C.H.Voltolini","46","2015","02","28",NA,"Brasil","Paraná","Tibagi","Parque Estadual do Guartelá","-50.258564","-24.565908",NA,NA,NA,"Flor coloração lilás.","HUEM000001539","HUEM000001539",NA,NA,NA,"J.N.Nakajima","2015","04","17",NA,NA,NA,NA,"-50.258564","-24.565908"
"27","2020-11-04 17:28:38-03","UEM","HUEM","24555","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","Souza, LA; col.","143","2013","05","14",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha, caminho Fortaleza","-49.996778","-25.241111",NA,NA,NA,"Herbácea; inflorescência coloração roxa.","HUEM000001540","HUEM000001540",NA,NA,NA,"J.Nakajima","2015","08",NA,NA,NA,NA,NA,"-49.996778","-25.241111"
"28","2019-11-01 14:54:07-03","UnB","UB","124205","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","Nakajima, JN","1671","1996","03","21","Southern America","Brasil","Minas Gerais","São Roque de Minas","Estrada para o Retiro de Pedras","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Brácteas esverdeado-arroxeadas.; Herbáceo 0,3m.; Campo limpo",NA,NA,NA,"57119","auto","Nakajima, JN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-05-06 11:53:33-03","UFU","HUFU","8376","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","Romero, R.; Nakajima, J.N.; Zanini, E. & Cesar, R.","2013","1995","03","19",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada da Serra das Seta Voltas.","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Herbáceo, ca. 0,4 m. Brácteas arroxeadas, corola e estigmas púrpuras.; Campo rupestre.","HUFU00058098","HUFU00058098",NA,"57119","auto","Nakajima, J.N.","1998","05",NA,NA,NA,NA,NA,NA,NA
"30","2019-05-06 11:53:33-03","UFU","HUFU","12587","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","Nakajima, J.N.; Romero, R.","1671","1996","03","21",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada para o Retiro das Pedras.","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Herbáceo, ca. 0,3 m. Brácteas esverdeado-arroxeadas, corola e estigmas arroxeados; Campo limpo.","HUFU00058099","HUFU00058099",NA,"57119","auto","Nakajima, J.N.","1998","07",NA,NA,NA,NA,NA,NA,NA
"31","2019-05-10 16:39:37-03","UFU","HUFU","70711","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","Contro, F.L.; Romero, R.; Versiane, A.F.A.; Fontelas, J.C. & Vital, L.P.","97","2015","07","01",NA,"Brasil","Minas Gerais",NA,"Serra do cipó, Estrada para Conceicao do Mato Dentro, proximo ao trevo para Morro do Pilar.","-43.505556","-19.226111","1354","1354",NA,"Erva ou subarbusto, 0,3-0,5m altura. Bracteas involucrais verde-escuras, corola e ramos do estilete purpureos.; Campo rupestre.","HUFU00070535","HUFU00070535",NA,NA,NA,"Nakajima, J.N.","2019","04",NA,NA,NA,NA,NA,"-43.505556","-19.226111"
"32","2019-05-10 16:39:37-03","UFU","HUFU","70730","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","Contro, F.L.; Romero, R.; Versiane, A.F.A.; Fontelas, J.C. & Vital, L.P.","116","2015","07","01",NA,"Brasil","Minas Gerais",NA,"Serra do cipó, Estrada para Morro do Pilar, aprox. Km 205.",NA,NA,NA,NA,NA,"Subarbusto, 0,3-0,4m altura. Bracteas involucrais verde-escuras, corola e ramos do estilete pink.; Campo rupestre.","HUFU00070525",NA,NA,NA,NA,"Nakajima, J.N.","2019","04",NA,NA,NA,NA,NA,NA,NA
"33","2019-05-10 16:39:37-03","UFU","HUFU","70744","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","Contro, F.L.; Romero, R.; Versiane, A.F.A.; Fontelas, J.C. & Vital, L.P.","130","2015","07","01",NA,"Brasil","Minas Gerais",NA,"Serra do cipó, Estrada para Morro do Pilar, aprox. Km 205.",NA,NA,NA,NA,NA,"Erva, 0,3m altura. Bracteas involucrais verde-escuras, corola e ramos do estilete purpureos.; Campo limpo.","HUFU00070520",NA,NA,NA,NA,"Nakajima, J.N.","2019","04",NA,NA,NA,NA,NA,NA,NA
"34","2019-05-06 11:53:33-03","UFU","HUFU","70835","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","Voltolini, C.H.","46","2015","02","28",NA,"Brasil","Paraná","Tibagi","Parque Estadual do Guartelá","-50.258611","-24.565833",NA,NA,NA,"Flor coloração lilás","HUFU00047367","HUFU00047367",NA,NA,NA,"Nakajima, J.N.","2015","04","17",NA,NA,NA,NA,"-50.258611","-24.565833"
"35","2019-11-28 15:44:42-03","UFU","HUFU","78445","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","exiguus","Lessingianthus exiguus","(Cabrera) H.Rob.","Pedrosa, L.G.","204","2018","04","20",NA,"Brasil","Minas Gerais","Ouro Preto","Rodrigo Silva","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Erva, 25-40 cm. Flores lilás.; Cerrado.","HUFU00076978",NA,NA,"44599","auto",NA,"2019","06",NA,NA,NA,NA,NA,NA,NA
"36","2020-08-05 10:16:44-03","MCN-FZBRS","HAS","19562","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","cf. exigua","Vernonia cf. exigua","Cabrera","Neves, M.","401","1984","01",NA,NA,"Brasil","Rio Grande do Sul","Canguçu","Estrada para Canguçu.","-52.6755981445312","-31.3950004577637",NA,NA,NA,"Erva com cerca de 80 cm de altura, inflorescência purpúrea, pouco numerosa, dispersa, em campo úmido, na beira da estrada.","HAS0019562",NA,NA,"68702","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
