"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount","recordedBy","recordNumber","coordinatePrecision","barcode","geoFlag","imagecode","phylum","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters"
"11","2011-02-26 06:16:00-03","MO","MOBOT","2290768","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman","Calviño, C., 26-12-",NA,NA,NA,"2000","12","26","South America","Argentina","Entre Ríos","Concordia","Concordia, Parque Rivadavia.","-57.98333","-31.36666",NA,NA,NA,"C. Calviño|S. Martínez|E.J. Greizerstein","Calviño 330",NA,NA,NA,NA,NA,NA,NA,NA
"12","2014-12-27 14:20:00-02","MO","MOBOT","2453917","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil","Rio Grande do Sul",NA,"Livramento. Cerro Palomas, 18 km Este de Livramento",NA,NA,NA,NA,NA,"Anonymous","Anonymous s.n.17",NA,NA,NA,NA,NA,NA,NA,NA
"13","2011-03-16 21:31:00-03","MO","MOBOT","2514089","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman",NA,NA,NA,NA,"1965","12","21","South America","Uruguay","Río Negro",NA,"Balneario Las Cañas",NA,NA,NA,NA,NA,"Osvaldo Del Puerto|Eduardo Marchesi","Del Puerto 5621",NA,NA,NA,NA,NA,NA,NA,NA
"14","2013-08-23 04:12:00-03","MO","MOBOT","3353039","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman",NA,NA,NA,NA,"1971",NA,NA,"South America","Argentina","Entre Ríos",NA,"Rios, Concordia, Estac, Experimental INTA.",NA,NA,NA,NA,NA,"Arturo E. Burkart","Burkart 28901",NA,NA,NA,NA,NA,NA,NA,NA
"15","2011-02-28 18:07:00-03","MO","MOBOT","3353099","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman",NA,NA,NA,NA,"1982",NA,NA,"South America","Argentina","Entre Ríos","Concordia","Ayui. alrededores represa.",NA,NA,NA,NA,NA,"Nélida S. Troncoso|et al.","Troncoso 3416",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-08 12:31:52-03","UFRGS","ICN","021004","S","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman","Constance, L",NA,NA,NA,"1972","11","25","América do Sul","Brasil","RS","Santana do Livramento","Cerro Palomas","-55.5327987670898","-30.8908004760742",NA,NA,NA,"Lima, D; Vianna, EC; Irgang, BE; Ferreira, A","s.n.","79795",NA,"auto",NA,"Dicotyledon","Espécie ameaçada de extinção (Em perigo).; Base do Morro, solo arenoso.",NA,NA
"17","2021-02-08 12:31:52-03","UFRGS","ICN","008523","S","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman","Constance, L",NA,NA,NA,"1971","10","15","América do Sul","Brasil","RS","Cerro Palomas","18 Km E de Livramento",NA,NA,NA,NA,NA,"Lindeman, JC; et al.","s.n.",NA,NA,NA,NA,"Dicotyledon","Espécie ameaçada de extinção (Em perigo).; Morro de arenito com chapada de basalto na margem exposta da mesa basáltica.",NA,NA
"18","2021-02-08 12:31:52-03","UFRGS","ICN","110364","S","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman","Irgang, BE",NA,NA,NA,"1995","11","04","América do Sul","Brasil","RS","Santana do Livramento","Cerro Palomas","-55.5327987670898","-30.8908004760742",NA,NA,NA,"Irgang, BE","s.n.","79795",NA,"auto",NA,"Dicotyledon","Espécie ameaçada de extinção (Em perigo).",NA,NA
"19","2021-02-08 12:31:52-03","UFRGS","ICN","198389","S","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman","Lucas, D","2017","10",NA,"2017","10","11","América do Sul","Brasil","RS","Santana do Livramento","Cerro Palomas.","-55.5327987670898","-30.8908004760742",NA,NA,NA,"Rabuske, C; Köhler, M; Külkamp; Soares, MVB","302","79795",NA,"auto",NA,"Dicotyledon","Erva c/ flores brancas.; Campo ralo, ao lado do portão de acesso ao cerro.","209","209"
"20","2021-02-08 12:31:52-03","UFRGS","ICN","029794","S","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","C. Norman","Irgang, BE",NA,NA,NA,"1975","11","08","América do Sul","Brasil","RS","Tramandaí","Parque Osório","-50.1335983276367","-29.9846992492676",NA,NA,NA,"Irgang, BE","s.n.","21077",NA,"auto",NA,"Dicotyledon","Espécie ameaçada de extinção (Em perigo).; Em areia solta.",NA,NA
"21","2020-08-26 10:47:35-03","MCN-FZBRS","HAS","4937","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","Normam","Diober Lucas","2015","11","20","1971",NA,NA,NA,"Brasil","Rio Grande do Sul","Cerro das Palomas","18 km E de Livramento",NA,NA,NA,NA,NA,"Lindeman, J.C.","s.n.",NA,"HAS0004937",NA,NA,"Magnoliophyta","Morro de arenito com chapada de basalto; na margem exposta da mesa basáltica",NA,NA
"22","2020-08-26 10:47:35-03","MCN-FZBRS","HAS","4981","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","dorae","Eryngium dorae","Normam","Diober Lucas","2015","11","20","1971",NA,NA,NA,"Brasil","Rio Grande do Sul","Cerro das Palomas","18 km E de Livramento",NA,NA,NA,NA,NA,"Lindeman, J.C.","s.n.",NA,"HAS0004981",NA,NA,"Magnoliophyta","Morro de arenito com chapada de basalto; na margem exposta da mesa basáltica",NA,NA
