"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","relatedCatalogItem"
"11","2015-07-02 14:02:32-03","JBP","HPL","4036","S","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","G.T. Prance","G.F. Arbocz","1359","1996","04","26",NA,"Brasil","ES","Colatina","Coletada nas proximidades da cidade.","-40.6306","-19.5394",NA,NA,NA,NA,NA,"H. Lorenzi",NA,NA,"1996","04",NA,NA,"26","57036","auto",NA,NA,NA
"12","2021-03-24 17:09:18-03","UFES","SAMES","2932","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Ribeiro,M.; Araújo,A.A.;Costa,M.B.;Menezes,L.F.T.","827","2012","07","03",NA,"Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama. Estrada do Picadão.","-40.0978012084961","-19.1968994140625",NA,"Árvore de 16 metros de alt., flores: cálice marrom amarelado, corola e capuz amarelo, face inetrior do capuz avermelhado (como umas listras. Flores coletadas ao chão.","SAMES02932",NA,NA,"Ribeiro,M.;Mori,S.A.",NA,NA,"2013","10","-400066667.0","-190038889.0","19","33715","auto",NA,NA,NA
"13","2021-03-01 16:32:50-03","UNICAMP","UEC","198418","S","Plantae","Magnoliopsida",NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Luz, AA","323","2006","04","12",NA,"Brazil","Espírito Santo","Linhares","fazenda 3 marias","-40.0722007751465","-19.3910999298096",NA,"porte arbóreo, botôes verde, flor amarela,ausêcia de descamação. Superfície da casca áspera, forma fuste cilíndrico. altura total de 20m, altura fuste 6m, cap fuste 150cm, diâmetro da copa 8m. Exsudação :seiva.; pasto","UEC050143","UEC050143",NA,"Folli, DA",NA,NA,"2006","04",NA,NA,"24","48094","auto",NA,NA,NA
"14","2020-04-27 16:10:14-03","UFES","VIES","20401","S","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Acácio, G.","47","1993","05","04",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","R.F. Bananal do Norte.","-41.1128005981445","-20.8488998413086",NA,NA,"VIES020401","VIES020401",NA,"Folli, D.A.",NA,NA,"1993","06",NA,NA,NA,"35694","auto",NA,NA,NA
"15","2019-06-27 10:25:25-03","UFES","VIES","31224","S","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Curto, R.A.; Martins, L.T. & Silva, A.E.","44","2010","10","15",NA,"Brasil","Espírito Santo","Guaçuí","Floresta do Rosal.","-41.6794013977051","-20.7756004333496",NA,NA,"VIES031224","VIES031224",NA,NA,"650","650",NA,NA,NA,NA,NA,"17884","auto",NA,NA,NA
"16","2019-12-06 19:29:49-03","UFES","VIES","28160","S","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Assis, A.M.; Cribari, R.S.","4433","2018","07","24",NA,"Brasil","Espírito Santo","Santa Leopoldina","Estrada Santa Leopoldina x Crubixá - pastagem.","-40.518611","-20.146667",NA,NA,"VIES028160","VIES028160",NA,NA,"80","80",NA,NA,"40º31'7''W","20º8'48''S",NA,NA,NA,NA,NA,NA
"17","2019-06-27 10:25:25-03","UFES","VIES","33257","S","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Moreira, L.N.","19","2007","05","14",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Floresta Nacional Pacotuba.","-41.1128005981445","-20.8488998413086",NA,NA,"VIES033257","VIES033257",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35694","auto",NA,NA,NA
"18","2021-04-05 11:06:03-03","UNESP-IBB","BOTUW","516","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance",NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo",NA,"Comp. Vale do Rio Doce","-40.533333","-19.866667",NA,NA,"BOTUW000516",NA,NA,NA,NA,NA,NA,NA,"40°32'W","19°52'S",NA,NA,NA,NA,NA,NA
"19","2013-04-01 09:16:28-03","IPT","BCTW","19290","S","Plantae","Magnoliophyta",NA,NA,"Couratari","asterotricha","Couratari asterotricha","Prance",NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Linhares","Reserva Florestal da Cia Vale do Rio Doce (CVRD)","-40.0722","-19.3911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48094","auto","Magnoliopsida",NA,NA
"20","2020-07-10 09:46:42-03","MBML","MBML-HERBARIO","30003",NA,"Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","V. Demuner; T. Cruz, R. R. Vervloet, M. Belisario e Elias Bausen.","3877","2007","04","26",NA,"Brasil","Espírito Santo","Governador Lindenberg","Pedra de Santa Luzia, prop.: Firmino Sottele","-40.461944","-19.281667",NA,"Arvoreta 6m botões florais, flores amarelas. Mata sobre afloramento rochoso.","MBML030003","MBML030003",NA,"M. Ribeiro/17-06-2014","350","350",NA,NA,"40W27'43","19S16'54",NA,NA,NA,NA,NA,NA
"21","2020-07-10 09:46:42-03","MBML","MBML-HERBARIO","48996",NA,"Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","C. Hencker; A. M. Assis; A. A. Alves; E. J. de Lirio","70","2011","02","15",NA,"Brasil","Espírito Santo","Itarana","Estrada para comunidade de Boa Vista","-40.875301361084","-19.8738994598389",NA,"18m, isolada no pasto, fruto seco","MBML048996","MBML048996",NA,"C. Hencker; A. M. Assis; A. A. Alves; E. J. de Lirio/2011",NA,NA,NA,NA,NA,NA,NA,"23320","auto",NA,NA,NA
"22","2021-02-09 10:13:08-03","UENF","HUENF","5587","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Nascimento, M.T.; Souza, T.P.",NA,"2010","03","09",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"Borda preservada, flor amarela, aproximadamente 7m de altura","HUENF00005590",NA,NA,NA,"39","39",NA,NA,"41º5'40''W","21º23'29''S",NA,NA,NA,NA,NA,NA
"23","2021-02-09 10:13:08-03","UENF","HUENF","10707","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Archanjo, K.M.P.A.","5838","2010","05","28",NA,"Brasil","Rio de Janeiro","Natividade","Córrego Alegre.","-41.9733009338379","-21.042200088501",NA,NA,"HUENF00011342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18409","auto",NA,NA,NA
"24","2021-02-09 10:13:08-03","UENF","HUENF","10708","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Archanjo, K.M.P.A.","4422","2010","05","25",NA,"Brasil","Rio de Janeiro","Natividade","Córrego Alegre.","-41.9733009338379","-21.042200088501",NA,NA,"HUENF00011354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18409","auto",NA,NA,NA
"25","2021-02-09 10:13:08-03","UENF","HUENF","10772","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Archanjo, K.M.P.A.; Toledo, E.","3302","2010","01","19",NA,"Brasil","Rio de Janeiro","Natividade","Fazenda Monte Alegre.","-41.9733009338379","-21.042200088501",NA,NA,"HUENF00011435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18409","auto",NA,NA,NA
"26","2021-02-09 10:13:08-03","UENF","HUENF","10754","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Archanjo, K.M.P.A.; Toledo, E.; Moraes, V.B.","3713","2010","01","27",NA,"Brasil","Rio de Janeiro","Natividade","Mata de São Vicente.","-41.9733009338379","-21.042200088501",NA,NA,"HUENF00011422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18409","auto",NA,NA,NA
"27","2021-02-25 10:11:50-03","CVRD","CVRD","15310","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Siqueira, G.S.","1076","2015","06","16","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Imbirema","CVRD015310",NA,NA,"Geovane S. Siqueira","34","34","2015","06",NA,NA,"16","48094","auto","Magnoliopsida",NA,NA
"28","2021-02-25 10:11:50-03","CVRD","CVRD","15662","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Folli, D.A.","7506","2016","11","10","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Imbirema","CVRD015662",NA,NA,"G.S. Siqueira & D.A Folli","48","48","2016","11","-40.056.949","-19.136.110","10","48094","auto","Magnoliopsida",NA,NA
"29","2021-02-25 10:11:50-03","CVRD","CVRD","57","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Silva, I.A.","1","1978","05","16","América do Sul","BRASIL","ES","Linhares","20m depois da Placa do Bloco 2-3-II. Árvore bem esgalhada.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Imbirema","CVRD000057",NA,NA,"S. A. Mori & G. T. Prance",NA,NA,"1981","09",NA,NA,"04","48094","auto","Magnoliopsida",NA,NA
"30","2021-02-25 10:11:50-03","CVRD","CVRD","1316","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Folli, D.A.","590","1986","07","25","América do Sul","BRASIL","ES","Linhares","Descendo para Hotel, proximo ao pomar de frutas tropicais.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Imbirema","CVRD001316","CVRD001316","PARATYPUS","S. A. Mori & G. T. Prance",NA,NA,"1992","06",NA,NA,"30","48094","auto","Magnoliopsida",NA,NA
"31","2020-09-12 05:00:02-03","US","US","2984982","PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","S. A. Mori, T. S. Santos & A. Euponino","11869","1979","5","17","South America - Neotropics","Brazil","Bahia",NA,"Estrada Velha para Sta. Cruz Cabrália, entre a Estação Ecológica Pau-Brasil e Sta. Cruz de Cabrália. Cerca de 15km a NW de Porto Seguro",NA,NA,NA,NA,"US01884433","US01884433_01 US01884433_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"32","2019-11-13 11:21:20-03","USP","SPF","157915","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","Fiaschi, P","1456","2003","04","02",NA,"Brasil","Bahia","Itapebi",NA,"-39.5339012145996","-15.9507999420166",NA,NA,"SPF00157915",NA,NA,"Mori, SA",NA,NA,"2013",NA,NA,NA,NA,"43726","auto",NA,NA,NA
"33","2019-01-25 15:41:54-02","IAC","IAC","50845","S","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","M.B. Carvalho & J.F. Benedito","49","2009","02","19",NA,"Brasil","São Paulo","Campinas","IAC, Av. Barão de Itapura, Parque","-47.065751","-22.9056",NA,NA,NA,NA,NA,"M.B. Carvalho & J.F. Benedito",NA,NA,"2009","02","-47.065751","-22.9056","19",NA,NA,NA,NA,NA
"34","2019-06-24 08:12:59-03","IAC","IAC","55346","S","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha","Prance","L.B. Évora; L.C. Bernacci & F.D.M. Carvalho","59","2014","05","15",NA,"Brasil","São Paulo","Campinas","IAC, Fazenda Santa Elisa, Monjolinho, Quadra do Café, L10, P15","-47.086761","-22.863721",NA,NA,NA,NA,NA,"L.B. Évora et al.",NA,NA,"2014","05","-47.086761","-22.863721","15",NA,NA,NA,NA,NA
"35","2020-07-23 12:09:46-03","CEPLAC","CEPEC","36537","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Couratari","asterotricha","Couratari asterotricha",NA,"G. Hatschbach","46953","1983","10","18",NA,"Brasil","Espírito Santo","LINHARES","Rod. BR-101. 2Km ao S de Alegre.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,"F. Catenocci",NA,NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,"28/02/2016"
