"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","569578","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","M. J. Huft","J. L. Zarucchi","5467","1987","09","19","South America","Colombia","Antioquia",NA,"Santa Fé de Antioquia. Along road Santa Fé de Antioquia-Anzá, 9 km from crossing of Río Tonuzco on way to Anzá along west bank of Río Cauca","-75.85","6.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569578","NY00569578_01","590","590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","569577","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","G. L. Webster","R. M. Harley","21104","1980","04","09","South America","Brazil","Bahia","Caetité","Serra Geral de Caiteté ca. 5 km S from Caiteté along the Brejinhos das Ametistas road","-42.48","-14.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569577","NY00569577_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01418243","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","G. T. Prance","G. T. Prance","18749","1973","08","16","South America","Brazil","Amazonas",NA,"Lajes, north bank of rio Solimões opposite meeting of the waters.","-59.905962","-3.142346","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1325000' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418243","NY01418243_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01112693","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia elegans","(Pohl) Müll.Arg.","B. Dehgan","M. C. Tschá","749","1996","04","09","South America","Brazil","Pernambuco","Caruaru","Distrito de Murici, Brejo dos Cavalos.","-36","-8.405","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232652' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112693","NY01112693_01","1100","1100","elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","569579","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","R. L. Liesner","J. C. Aronson","4922","1982","08","31","South America","Venezuela","Sucre",NA,"Western tip of Araya Peninsula",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569579","NY00569579_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","804040","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia intermedia","Chodat & Hassl.",NA,"E. Hassler","1142","1885",NA,NA,"South America","Paraguay",NA,NA,"[In campis Cordillera de Altos].",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804040","NY00804040_01",NA,NA,"intermedia","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","476562","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","M. H. Nee; M. A. Sundue","M. H. Nee","48928","1998","04","10","South America","Bolivia","Santa Cruz","Florida","South of ridge with oleoducto, just W of the main, wide valley of Mairana, 1.2 km W of Todos Santos.","-64","-18.1417","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476562","NY00476562_01","1350","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01112669","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia elegans","(Pohl) Müll.Arg.","B. Dehgan","M. M. Arbo","7828","1997","01","30","South America","Brazil","Bahia",NA,"BR-101, Rio Jequitinhonha","-39.53","-15.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759320' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112669","NY01112669_01",NA,"200","elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","263496","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia breviloba","Morong",NA,"T. Morong","71","1888",NA,NA,"South America","Paraguay",NA,NA,"Central Paraguay",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00263496","NY00263496_01",NA,NA,"breviloba","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1028208","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","F. J. Fernández Casas","G. Eiten","10134","1970","01","01","South America","Brazil","Tocantins","Araguaína","At Acampamento do Gaucho on Belém-Brasilia highway ca. 2 km SW of city of Araguaína","-48.23","-7.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178390' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028208","NY01028208_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","569581","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","M. J. Huft","S. A. Mori","10593","1978","09","17","South America","Brazil","Bahia","Alcobaça","Rod. BA 001, trecho Alcobaça/Prado, 5 km a NW de Alcobaça. Folha SE - 24 (18-39a)","-39.2221999","-17.4948313","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569581","NY00569581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","804039","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia transiens","Chodat & Hassl.",NA,"E. Hassler","6121",NA,NA,NA,"South America","Paraguay",NA,NA,"[Tobaty].",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804039","NY00804039_01",NA,NA,"transiens","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1281187","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","B. Dehgan","J. P. Lanna Sobrinho","1879","1966","11","10","South America","Brazil","Rio de Janeiro",NA,"Jardim Zoológico",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1679434' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281187","NY01281187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","689071","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia breviloba","Morong",NA,"T. Morong","71","1888","11","09","South America","Paraguay",NA,NA,"Asunción",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=888354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00689071","NY00689071_01",NA,NA,"breviloba","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01418240","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","D. C. Daly","J. F. Ramos","969","1983","11","04","South America","Brazil","Pará","Tucuruí","BR-422, km 20, adjacência do rio Caraipé. Solo argiloso, área de experimento de rebrota.","-49.6933347","-3.9414729","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1325676' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418240","NY01418240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-01-12 14:15:00-02","NY","NYBG","1181658","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia",NA,"D. Picchi","D. Picchi","176","2005","03","07","South America","Brazil","São Paulo","Araraquara","Coletada no Horto de Plantas Medicinais e Tóxicas da FCF/UNESP.","-48.17","-21.79","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386993' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181658","NY01181658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01418246","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","L. B. Smith","F. E. Drouet","2089","1935","07","15","South America","Brazil","Pará","Belém","West of Fonte Maguary.","-48.5044","-1.45583","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668821' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418246","NY01418246_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00862908","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia elegans","(Pohl) Müll.Arg.","B. Dehgan","Y. E. J. Mexia","4477","1930","03","18","South America","Brazil","Minas Gerais","Viçosa","Viçosa. Agricultural College lands. Near dairy","-42.868031","-20.7613428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862908","NY00862908_01","670","670","elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00862934","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia elegans","(Pohl) Müll.Arg.","B. Dehgan","A. C. Allem","663","1976","12","05","South America","Brazil","Mato Grosso do Sul","Corumbá","Margem Rio Paraguai","-57.6531","-19.0094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862934","NY00862934_01",NA,NA,"elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01418244","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","T. C. Plowman","T. C. Plowman","12569","1982","12","13","South America","Brazil","Amazonas","Tefé","Lago Tefé. Mouth of Rio Bauana.","-64.7114028930664","-3.35417008399963","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1325007' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418244","NY01418244_01",NA,NA,NA,NA,"340205","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","01418238","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","F. J. Fernández Casas","L. Riedel","s.n.","1824",NA,NA,"South America","Brazil","Pará","Santarém",NA,"-54.7083015441895","-2.44305992126465","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668651' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418238","NY01418238_01",NA,NA,NA,NA,"205258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","754819","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","D. C. Daly","M. Urquia","89","1996","09","05","South America","Brazil","Acre","Santa Rosa do Purus","Terra indígena Alto Purus, Aldéia Novo Repouso.","-69.87","-9.25","sheet","1 dup. sent to MO <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754819","NY00754819_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","476558","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","M. H. Nee; M. A. Sundue","M. H. Nee","47731","1998","01","02","South America","Bolivia","Santa Cruz","Florida","Near bridge over Río Mataral in Pampa Grande.","-64.12","-18.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476558","NY00476558_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01065835","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.",NA,"L. Ferreira","104","1991","10","28","South America","Brazil","Acre","Brasiléia","Reserva Extrativista Chico Mendes, Seringal Porongaba, Colocaçao Dois Irmaos.","-68.8","-10.85","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133379' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065835","NY01065835_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1028207","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","G. L. Webster","G. T. Prance","58499","1964","07","31","South America","Brazil","Tocantins","Colinas de Tocantins","Belém-Brasília, 5-10 km. north of Nova Colinas.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178385' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028207","NY01028207_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","476563","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","M. H. Nee; M. A. Sundue","M. H. Nee","48598","1998","03","08","South America","Bolivia","Santa Cruz","Florida","Mairana valley, on side road off the Mairana to Postrervalle road, 4.6 km from turnoff from main Samaipata to Mairana highway.","-63.93","-18.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476563","NY00476563_01","1450","1450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","02852239","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","F. J. Fernández Casas","L. J. Dorr","5260","1988","05","21","South America","Venezuela","Mérida","Libertador","Road from Ejido (South of Merida) to El Morro. Parque Nacional Sierra Nevada. 0.5 km above (N of) El Morro.","-71.17","8.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3134690' target='other'> <mi>dwc_moreinfo</mi></a>","NY02852239","NY02852239_01","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","01418245","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","M. J. Huft","C. Davidson","10584","1980","06","29","South America","Brazil","Pará","Oriximiná","Along Rio Trombetas, ca. 8-10 km SE (downriver) from Cachoeira Porteira","-55.8661003112793","-1.76556003093719","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1325848' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418245","NY01418245_01",NA,NA,NA,NA,"479450","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","884396","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia elegans","(Pohl) Müll.Arg.","B. Dehgan","S. A. Mori","14228","1981","06","06","South America","Brazil","Bahia","Paulo Afonso","15-20 km NW of Paulo Afonso on airport road that eventually leads to Petrolandia.","-38.2144","-9.4061","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884396","NY00884396_01","300","300","elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","884397","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia elegans","(Pohl) Müll.Arg.","B. Dehgan","J. S. Blanchet","s.n.",NA,NA,NA,"South America","Brazil","Bahia",NA,"In ruderatis circa Bahiam omnium Sanctor. (Brasil intrtrop.)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884397","NY00884397_01",NA,NA,"elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","01112687","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia elegans","(Pohl) Müll.Arg.","B. Dehgan","M. B. Thomas","MT539","1998","09","12","South America","Brazil","Bahia","Porto Seguro","Porto Seguro. Pataxó Indígena Reserva. Rua de Cima. House of Rosa de Jesus. [Monte Pascaol National Park]","-39.13","-16.85","sheet","Planta medicinal para o prjecto PhD estudo de Plantas Medicinais dos Pataxó Communidade da Barra Velha, Bahia. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1212339' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112687","NY01112687_01","50","50","elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
