"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"29","2021-03-15 16:37:00-03","NY","NYBG","910613","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","11603","1966","01","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910613","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","N. S. Chukr","Distrito Federal","Brasília","Summit of Chapada da Contagem, ca. 10 km E. of Brasília","-47.82337","-15.7833","1100","1100","NY00910613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","910619","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","20183","1968","02","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910619","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","N. S. Chukr","Minas Gerais",NA,"Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87","1300","1300","NY00910619_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","910608","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","5921","1964","09","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910608","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","N. S. Chukr","Distrito Federal","Brasília","Parque Municipal do Gama, ca. 20 km S of Brasília.","-48.0638","-16.01719","700","1000","NY00910608_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","537847","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","P. K. H. Dusén","17417","1915","12","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537847","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. K. H. Dusén","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,"NY00537847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","910590","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","10532","1965","11","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910590","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Minas Gerais",NA,"Serra do Rio Preto. 25 km E. of Cabeceiras (ca. 4 km E. of Goiás-Minas Gerais border)","-46.74996","-15.8","1000","1000","NY00910590_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","910632","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","R. M. Harley","25406","1988","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910632","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.",NA,"Minas Gerais","Santana do Riacho","Serra do Cipó: Km 114 (actual 111), 35 km ao sul de Conceição do Mato Dentro. Rod. Belo Horizonte-Conceição do Mato Dentro.","-43.57","-19.28","1300","1300","NY00910632_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","910604","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","E. P. Heringer","8863","1962","02","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985766' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910604","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","H. S. Irwin","Distrito Federal","Brasília","Fundação Zoobotanica","-47.9294","-15.7797",NA,NA,"NY00910604_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","910576","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","R. M. Tryon","6838","1965","11","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910576","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","J. Lovo","Minas Gerais",NA,"Planalto o Serra do Cipó (a portion of Serra do Espinhaço), 85 km. north-northeast of Bello Horizonte. Vicinity of road from Lagoa Santa to Conceicão do Mato Dentro, at km. 110 from Bello Horizonte.",NA,NA,"1000","1000","NY00910576_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","679970","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","H. S. Irwin","18561","1968","01","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=854737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679970","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Goiás","Cocalzinho de Goiás","25 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8","1150","1150","NY00679970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","910628","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","I. Cordeiro","CFCR5704","1984","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910628","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","N. S. Chukr","Minas Gerais",NA,"São Thomé das Letras. Serra de São Thomé.",NA,NA,NA,NA,"NY00910628_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","537853","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","W. W. Thomas","4191","1985","10","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=172445' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537853","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","P. F. Ravenna","Mato Grosso",NA,"Muns. Sinop & Colider: Serra Formosa along BR080, 65 km E of jct. with BR 163","-54.43","-10.45",NA,NA,"NY00537853_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","910630","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","W. W. Thomas","5914","1988","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910630","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.","J. E. Henrich; P. Goldblatt","Minas Gerais","Paracatú","17 km E of Rio Paracatú","-46.72","-17.4","850","850","NY00910630_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","910631","PreservedSpecimen","Plantae","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","R. M. Harley","25428","1988","10","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985930' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910631","Magnoliophyta","Asparagales","(Klatt) Benth. & Hook.f.",NA,"Minas Gerais","Conceição do Mato Dentro","Km 121 na Rod. Belo Horizonte-Conceição do Mato Dentro.","-43.5","-19.13","1250","1250","NY00910631_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
