"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","typeStatus"
"14","2020-09-12 05:00:02-03","US","US","3408764","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C. Jeffrey",NA,"G. Hatschbach, A. C. Cervi & E. L. Barbosa","72599","2001","11","11","South America","Brazil","Santa Catarina",NA,"Morro da Igreja, Cavalgada (Mun. Urubici) Santa Catarina",NA,NA,"1600",NA,NA,NA,"US01846880","US01846880_01",NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"15","2019-09-04 19:34:45-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Senecio","catharinensis",NA,"Senecio catharinensis",NA,NA,"P. Dusén","11901","1911","6","8","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]"
"16","2019-05-06 11:53:08-03","UFU","HUFU","32934","S","Plantae",NA,NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C.Jeffrey","Robinson, H.","Hatschbach, G.; Cervi, A.C. & Barbosa, E.","72599","2001","11","11",NA,"Brasil","Santa Catarina","Urubuci","Morro da Igreja, Cavalgada.",NA,NA,"1600","1600",NA,"Ereta, ca. 1 m. Capítulo amarelo.; Campo de altitude, borda da matinha nebular, solo turfoso e úmido.","HUFU00045396","HUFU00045396","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-08-20 20:38:05-03","UFSC","FLOR","22504","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C.Jeffrey","Falkenberg, D.B.","Falkenberg, D.B.; Silva Filho, F.A. da","5864","1992","12","04",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja.","-49.5917015075684","-28.0149993896484","1700","1700",NA,"arbustivo, flor amarela, 1,5m altura. Limbo discolor, mais claro (lanuginoso) no hipofilo; pecíolo canaliculado na base. Limbo levemente lanuginoso no epifilo","FLOR0022504",NA,"1996",NA,NA,NA,NA,"30102","auto",NA,NA,NA
"18","2020-08-20 20:38:13-03","UFSC","FLOR","26104","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Senecio","catharinensis",NA,"Senecio catharinensis","Dusén","Falkenberg, D.B.","Matzenbacher, N.I.; et alii","s.n.","1994","10","21",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes","Rocinha.","-50.0657997131348","-28.7483005523682",NA,NA,NA,NA,"FLOR0026104",NA,"1996",NA,NA,NA,NA,"42598","auto",NA,NA,NA
"19","2021-02-08 12:36:15-03","UFRGS","ICN","059383","S","Plantae","Dicotyledon",NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C. Jeffrey","Matzenbacher, NI","Falkenberg, DB","1243","1983","10","30","América do Sul","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"Ocorrência nova para o RS",NA,NA,"1994","11","23",NA,NA,"55856","auto",NA,NA,NA
"20","2021-02-08 12:36:15-03","UFRGS","ICN","059369","S","Plantae","Dicotyledon",NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C. Jeffrey","Matzenbacher, NI","Porto, ML","1610","1983","09","14","América do Sul","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"Capítulos amarelos; Nos campos do topo da serra",NA,NA,"1983","12","15",NA,NA,"55856","auto",NA,NA,NA
"21","2021-02-08 12:36:15-03","UFRGS","ICN","110404","S","Plantae","Dicotyledon",NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C. Jeffrey","Matzenbacher, NI","Matzenbacher, NI","s.n.","1995","10","27","América do Sul","Brasil","RS","São José dos Ausentes","Rocinha","-50.0657997131348","-28.7483005523682",NA,NA,NA,"A beira de penhasco, em Mata nebular",NA,NA,NA,NA,NA,NA,NA,"42598","auto",NA,NA,NA
"22","2021-02-08 12:36:15-03","UFRGS","ICN","106214","S","Plantae","Dicotyledon",NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C. Jeffrey",NA,"Matzenbacher, NI","s.n.","1994","10","21","América do Sul","Brasil","RS","São José dos Ausentes","Rocinha","-50.0657997131348","-28.7483005523682",NA,NA,NA,"À beira do penhasco",NA,NA,NA,NA,NA,NA,NA,"42598","auto",NA,NA,NA
"23","2021-02-08 12:36:15-03","UFRGS","ICN","110400","S","Plantae","Dicotyledon",NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C. Jeffrey","Matzenbacher, NI","Matzenbacher, NI","s.n.","1995","10","28","América do Sul","Brasil","RS","São José dos Ausentes","Varzea Silveira","-50.0657997131348","-28.7483005523682",NA,NA,NA,"Matinha nebular , beira de corrego pedregoso",NA,NA,NA,NA,NA,NA,NA,"42598","auto",NA,NA,NA
"24","2021-02-08 12:36:15-03","UFRGS","ICN","162129","S","Plantae","Dicotyledon",NA,"Asteraceae","Dendrophorbium","catharinense",NA,"Dendrophorbium catharinense","(Dusén ex Cabrera) C. Jeffrey","Matzenbacher, NI","Seger, GDS; Durigon, J","1020","2009","07","23","América do Sul","Brasil","RS","Vacaria","ca. 300m do Rio Pelotas","-50.9338989257812","-28.5121994018555",NA,NA,NA,"Primeira ocorrência da espécie registrada no Rio Grande do Sul; planta herbácea ereta, ca. 3m altura, flores amarelas; interior de mata de encosta",NA,NA,NA,NA,NA,NA,NA,"63451","auto",NA,NA,NA
"25","2021-02-08 12:36:59-03","UFRGS","ICN","185957","S","Plantae","Dicotyledon",NA,"Asteraceae","Senecio","catharinensis",NA,"Senecio catharinensis","Dusén ex Cabrera","Ritter, MR","Ritter, MR","1483","2015","01","31","América do Sul","Brasil","RS","Aratinga","Estação Ecológica Estadual Aratinga","-50.261667","-29.358056",NA,NA,NA,"Flores liguladas amarelas; Em campo",NA,NA,NA,NA,NA,"-50.261667","-29.358056",NA,NA,NA,NA,NA
"26","2021-02-08 12:37:00-03","UFRGS","ICN","120691","S","Plantae","Dicotyledon",NA,"Asteraceae","Senecio","cf. catharinensis",NA,"Senecio cf. catharinensis","Cabr.",NA,"Sobral, M; et al.","8492",NA,NA,NA,"América do Sul","Brasil","SC","Varaneira","Rio do Campo",NA,NA,NA,NA,NA,"Região de mata ombrófila mista. Arbusto 4 metros.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
