"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount"
"11","2020-09-12 05:00:02-03","US","US","2059764","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","A. Macedo","3636","1952","7","24","South America - Neotropics","Brazil",NA,NA,NA,"US00120264",NA,"Myrtales","L.B. Sm. & Wurdack",NA,"Goiás",NA,"Amarelos.",NA,NA,NA,NA,"US00120264_01","Holotype",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"12","2020-09-12 05:00:02-03","US","US","3104548","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","R. Brooks, R. Reeves, A. J. Baker & H. Ferreira","148","1988","4","21","South America - Neotropics","Brazil",NA,NA,NA,"US01897146",NA,"Myrtales","L.B. Sm. & Wurdack",NA,"Goiás","Niquelândia","Goiás.acedo, ca. 15km N of Niquelândia","-48.38","-14.3","500","800","US01897146_01 US01897146_02",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"13","2020-09-02 16:33:17-03","Cenargen","CEN","79661","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Roger D. Reeves","2936","2005","02","02",NA,"Brasil","Exsicatas",NA,"Dominant Microlicia macedoi; area notable for presence of a Ni-rich latex in a species of manihot (#2940) and a Euphorbia sp. (#2937). 14°18.512'S e 48°23.364'. FLORA DE SOLOS SERPENTINOS DO ESTADO DE GOIÁS. (Plantas tolerantes ou acumuladoras de níquel).","CEN00079661",NA,NA,"L.B.Sm. & Wurdack",NA,"GO","NIQUELANDIA","Toposequence a.m. Becquer/Echevarria soil pit (no.1) area north of main Ni mining at Macedo.","-48.383333","-14.3","1000","1000",NA,NA,NA,NA,NA,NA,NA,"-48.383333","-14.3",NA,"1"
"14","2019-11-13 11:25:47-03","USP","SPF","121175","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Fonseca, ML","1100","1996","08","14",NA,"Brasil",NA,NA,NA,"SPF00121175",NA,NA,"L.B.Sm. & Wurdack","Romero, R","Goiás","Niquelândia",NA,"-48.398333","-14.336667",NA,NA,NA,NA,"1999","01",NA,NA,NA,"-48.398333","-14.336667",NA,NA
"15","2019-01-07 15:24:48-02","CAS","CAS-BOT","600441","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Aparecida da Silva, M.; Nunes de Jesus, G.","2972","1996","5",NA,"South America","Brazil",NA,NA,"Arbusto em moita ca. 40cm de altura, flores amarelas. Abundante.",NA,"Magnoliophyta","Myrtales","L.B.Sm. & Wurdack","F. Almeda","Goiás",NA,"Município de Niquelândia. Macedo. ca. 1km abaixo da mina de níquel.","-48.3863888889","-14.3580555556",NA,NA,NA,NA,NA,NA,NA,NA,NA,"48° 23' 11 W","14° 21' 29 S","Magnoliopsida",NA
"16","2019-01-17 17:40:37-02","CAS","CAS-BOT","598407","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Fonseca, M. L.; Oliveira, F. C. A.; Azevedo, M. L.M.; Barros, B.S.","1376","1996","11",NA,"South America","Brazil",NA,NA,"Subarbusto heiófito ca. 0,80m de altura; caule marrom; folhas verdes; botões e flores amarelos. Comum.",NA,"Magnoliophyta","Myrtales","L.B.Sm. & Wurdack","F. Almeda","Goiás","Niquelandia","Macedo. Ca. 8km da estrada a direita da mina de níquel.","-48.4163888889","-14.4044444444","1410",NA,NA,NA,NA,NA,NA,NA,NA,"48° 24' 59 W","14° 24' 16 S","Magnoliopsida",NA
"17","2019-01-07 15:24:17-02","CAS","CAS-BOT","600440","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Azevedo, M. L.M.; Fonseca, M. L.; Oliveira, F. C. A.; Magalhães, A. T.","993","1996","6",NA,"South America","Brazil",NA,NA,"Subarbusto heliófito ca. 0,50m altura; folhas verdes; botões e flores amarelos. Comum.",NA,"Magnoliophyta","Myrtales","L.B.Sm. & Wurdack","F. Almeda","Goiás",NA,"Município de Niquelândia. Macedo. Km 2 da estrada à direita da mina de níquel.","-48.4158333333","-14.3841666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"48° 24' 57 W","14° 23' 03 S","Magnoliopsida",NA
"18","2019-01-17 17:42:21-02","CAS","CAS-BOT","598405","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Fonseca, M. L.; Mendonça, R. C.; Filgueiras, T. S.; Santos, A.J.","1100","1996","8",NA,"South America","Brazil",NA,NA,"Subarbusto heliófito ca. 0,60m de altura; folhas verdes; botões e flores amarelos. Comum.",NA,"Magnoliophyta","Myrtales","L.B.Sm. & Wurdack","F. Almeda","Goiás","Niquelandia","Ca. 1 km da mina de níquel passando por baixo do teleférico.","-48.3983333333","-14.3366666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"48° 23' 54 W","14° 20' 12 S","Magnoliopsida",NA
"19","2019-01-07 15:23:37-02","CAS","CAS-BOT","600439","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Mendonça, R. C.; Marquete, R.; Fonseca, M. L.; Oliveira, F. C. A.","2513","1996","4",NA,"South America","Brazil",NA,NA,"Subarbusto ca. 40cm de altura; heliófita; flor com cálice verde e corola amarela.",NA,"Magnoliophyta","Myrtales","L.B.Sm. & Wurdack","F. Almeda","Goiás",NA,"Município de Niquelandia. Companhia de Níquel Tocantins (CNT). Morro na entrada para Macêdo Velho, lado esquerdo","-48.4194444444","-14.3583333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"48° 25' 10 W","14° 21' 30 S","Magnoliopsida",NA
"20","2019-11-21 10:10:25-03","IBt","SP","68694","S","Plantae","Melastomataceae","Microlicia","macedoi","Microlicia macedoi","Macedo, A","3636","1952","07","24",NA,"Brasil",NA,NA,NA,"SP001199",NA,NA,"L.B.Sm. & Wurdack","Smith, LB","Goiás","Niquelândia","Macêdo","-48.4597015380859","-14.4738998413086",NA,NA,"SP001199","Isotype",NA,NA,"74171","auto",NA,NA,NA,NA,NA
