"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus"
"28","2020-11-04 12:15:57-03","ESALQ","ESA","141968","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2353.0","2015","11","29",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.",NA,NA,NA,"Árvore ca. 4m de alt. Flores alvas.","ESA141968",NA,"Antonio, P.E.","Paraty","-44.7131004333496","-23.2178001403809","2016","04","05",NA,NA,"34470","auto",NA,NA,NA,NA
"29","2020-11-04 12:15:57-03","ESALQ","ESA","141835","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2220.0","2015","11","28",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.",NA,NA,NA,"Arvoreta ca. 2,5m de alt. Frutos imaturos verdes.","ESA141835",NA,"Antonio, P.E.","Paraty","-44.7131004333496","-23.2178001403809","2016","04","05",NA,NA,"34470","auto",NA,NA,NA,NA
"30","2020-11-04 12:15:57-03","ESALQ","ESA","141815","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2200.0","2015","11","28",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.",NA,NA,NA,"Árvore ca. 3m de alt. Flores alvas, pecíolo arroxeado.","ESA141815",NA,"Antonio, P.E.","Paraty","-44.7131004333496","-23.2178001403809","2016","04","05",NA,NA,"34470","auto",NA,NA,NA,NA
"31","2020-11-04 12:15:57-03","ESALQ","ESA","142018","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","Toledo, C. A. P.; Flores, T. B. Gayoso; Coelho, R. G. & Colleta, D. C.","243.0","2015","09","09",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina, Pedra da Macela. Campo de altitude.","1800","1800",NA,"Árvore, ca. 4 m alt., frutos imaturos verdes a vermelhos.","ESA142018",NA,"Antonio, P.E.","Paraty","-44.813889","-23.140278","2016","01","27","44°48'50W","23°08'25S",NA,NA,NA,NA,NA,NA
"32","2020-11-04 12:15:57-03","ESALQ","ESA","140511","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","Gibau, A.; Silva-Filho, A.A. ; Brito, T.R.O. ; Santos, P.M.L.A.","146.0","2016","12","13",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela -",NA,NA,NA,"Árvore ca. 2m. Pecíolo avermelhado","ESA140511",NA,"Souza, V.C.","Paraty","-44.7131004333496","-23.2178001403809","2019","01","11",NA,NA,"34470","auto",NA,NA,NA,NA
"33","2020-11-04 12:15:57-03","ESALQ","ESA","141845","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2230.0","2015","11","28",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.",NA,NA,NA,"Árvore ca. 2m de altura.","ESA141845",NA,"Antonio, P.E.","Paraty","-44.7131004333496","-23.2178001403809","2016","04","05",NA,NA,"34470","auto",NA,NA,NA,NA
"34","2020-11-04 11:17:49-03","ESALQ","ESA","124541","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Myrsine","lineata","Myrsine lineata",NA,"Bovini, M.G.","1862.0","1905","06","22",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"ESA124541",NA,NA,"Macaé","-41.7868995666504","-22.3708000183105",NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA,NA
"35","2020-11-04 12:15:57-03","ESALQ","ESA","140509","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","Gibau, A.; Silva-Filho, A.A. ; Brito, T.R.O. ; Santos, P.M.L.A.","144.0","2016","12","13",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela -",NA,NA,NA,"Árvore ca. 2,5m. Frutos verdes","ESA140509",NA,"Santos, P.M.L.A.","Paraty","-44.7131004333496","-23.2178001403809","2017","04","25",NA,NA,"34470","auto",NA,NA,NA,NA
"36","2020-11-04 12:15:57-03","ESALQ","ESA","141743","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2128.0","2015","11","27",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela - Campo de altitude, próximo a torre de transmissão.",NA,NA,NA,"Arvoreta ca. 1,5m de alt. Frutos imaturos verdes.","ESA141743",NA,"Antonio, P.E.","Paraty","-44.7131004333496","-23.2178001403809","2016","04","05",NA,NA,"34470","auto",NA,NA,NA,NA
"37","2020-11-04 12:15:57-03","ESALQ","ESA","141867","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","lineata","Myrsine lineata","(Mez) Imkhan.","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2252.0","2015","11","28",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.",NA,NA,NA,"Arvoreta ca. 3m de alt. Flores passadas.","ESA141867",NA,"Antonio, P.E.","Paraty","-44.7131004333496","-23.2178001403809","2016","04","05",NA,NA,"34470","auto",NA,NA,NA,NA
"38","2020-11-04 11:17:50-03","ESALQ","ESA","75387","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Rapanea","lineata","Rapanea lineata","Mez","Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2168.0","2001","04","12",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Rio Branco. Floresta Altomontana sobre o divisor de água. Transição Floresta Altomontana-Floresta de encosta com campos adjacentes.","700","700",NA,"Árvore, ca. 6m alt. Frutos castanho-esverdeados. Interior de mata de encosta.","ESA075387","ESA075387","Jung-Mendaçolli, S.L.","São Paulo","-46.7",NA,"2005","01","01","-46.7","-23,983,333",NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:17:50-03","ESALQ","ESA","34215","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Rapanea","lineata","Rapanea lineata","Mez","Albuquerque, G.B. et al.","17.0","1996","11","12",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA034215","ESA034215","Jung-Mendaçolli, S.L.","Cunha","-44.9599990844727","-23.0699996948242","2005","01","01",NA,NA,"38855","auto",NA,NA,NA,NA
"40","2020-11-04 11:17:50-03","ESALQ","ESA","77457","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Rapanea","lineata","Rapanea lineata","Mez","Sztutman, M. ; Valmir","19.0","1998","08","24",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA077457","ESA077457","Jung-Mendaçolli, S.L.","Pariquera-açú","-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA
"41","2020-11-04 11:17:50-03","ESALQ","ESA","13074","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Rapanea","lineata","Rapanea lineata","Mez","Moraes, P.L.R.","891.0","1993","12","19",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA013074",NA,"Jung-Mendaçoli, S.L.; Freitas, M.F.; Bernacci, L.C.","São Luís do Paraitinga","-45.310001373291","-23.2199993133545","2002","08","15",NA,NA,"27362","auto",NA,NA,NA,NA
"42","2020-11-04 11:17:50-03","ESALQ","ESA","19692","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Rapanea","lineata","Rapanea lineata","Mez","Barreto, K.D.; Fernandes, G.D.; Vitti, F.X.","2699.0","1994","06","29",NA,"Brasil","São Paulo","Serra da Bocaina.",NA,NA,NA,NA,"ESA019692","ESA019692","Jung-Mendaçolli, S.L.","São José do Barreiro","-446.294",NA,"2005","01","01","-446,294","-22,702,111",NA,NA,NA,NA,NA,NA
"43","2020-11-04 11:17:50-03","ESALQ","ESA","34272","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Rapanea","lineata","Rapanea lineata","Mez","Ferretti, A.R.; Vanini, A.; Nave, A.G.; Peneireiro, F.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Ivanauskas, N.M.; Souza, J.P.","119.0","1996","12","17",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA034272","ESA034272","Jung-Mendaçolli, S.L.","Cunha","-44.9599990844727","-23.0699996948242","2005","01","01",NA,NA,"38855","auto",NA,NA,NA,NA
"44","2020-11-04 11:17:50-03","ESALQ","ESA","105192","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Rapanea","lineata","Rapanea lineata",NA,"Bernacci, L.C.","4471.0","2008","02","28",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA105192","ESA105192",NA,"Cunha","-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA
