"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","3943704","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"G. R. Proctor","3262","1948","04","22","Colombia",NA,NA,"Isla de San Andres.","-81.7","12.58",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239374' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943704","NY03943704_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","812752","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.","J. Grimes",NA,NA,NA,"R. M. Harley","17028","1974","03","20","Brazil","Bahia",NA,"Mouth of the Rio do Peixe or Rio Itanhen, just south of Porto Seguro. Sea level.","-39.1","-16.45",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=68113' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812752","NY00812752_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3943719","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"C. D. Játiva","1179","1966","08","04","Ecuador","Esmeraldas",NA,"Santiago Estuary at Lagartera near La Tolita.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239389' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943719",NA,"Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3943696","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"J. A. Steyermark","110990","1974","09","07","Venezuela","Falcón",NA,"Distrito Silva: pantano y manantial en selva alta y húmeda con manchas de Roystonea venezuelana, “La Yegua”, justamente noroeste de La Soledad, entre La Soledada y Sanare.","-68.35","10.87",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239366' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943696","NY03943696_01","Pteridophyta","Polypodiales","South America","sheet","5",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","812749","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"N. Lima","111","1968","01","25","Brazil","Rio Grande do Norte",NA,"Estrada de Macaíba a Natal.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812749","NY00812749_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3943667","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"A. Fendler","122","1877",NA,NA,"Trinidad and Tobago",NA,NA,"Trinidad.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239337' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943667","NY03943667_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","3943715","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"H. H. Smith","1077","1898",NA,NA,"Colombia",NA,NA,"Santa Marta. Salt masrhes near the sea.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239385' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943715","NY03943715_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","812756","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.","J. Prado",NA,NA,NA,"G. Edwall","4696(H.P.)","1898","11",NA,"Brazil","São Paulo",NA,"Rais nova da Serra.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=304214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812756","NY00812756_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","3943713","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"H. H. Smith","1077","1898",NA,NA,"Colombia",NA,NA,"Santa Marta.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239383' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943713","NY03943713_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","812751","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.","J. Grimes",NA,NA,NA,"R. M. Harley","17563","1974","03","31","Brazil","Bahia",NA,"Itacaré, near the mouth of the Rio de Contas. Sea level.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812751","NY00812751_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","3943675","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"J. J. Copeland","s.n.","1972","07","11","Trinidad and Tobago",NA,NA,"Trinidad. Nariva Swamp",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239345' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943675","NY03943675_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","3943677","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"T. H. Hollowell","302","2000","04","30","Guyana","Barima-Waini",NA,"Waini Peninsula, NW of Shell Beach turtle monitoring camp. Near plot 6, undisturbed Avicennia swamp.","-59.7781","8.4031",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239347' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943677",NA,"Pteridophyta","Polypodiales","South America","sheet","1",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","3943678","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"T. H. Hollowell","302","2000","04","30","Guyana","Barima-Waini",NA,"Waini Peninsula, NW of Shell Beach turtle monitoring camp. Near plot 6, undisturbed Avicennia swamp.","-59.7781","8.4031",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239348' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943678",NA,"Pteridophyta","Polypodiales","South America","sheet","1",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","3943717","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"E. P. Killip","14433","1926","11","12","Colombia","Bolívar",NA,"Los Volcanes, near Turbaco.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239387' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943717","NY03943717_01","Pteridophyta","Polypodiales","South America","sheet","200","300",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","3943694","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"J. A. Steyermark","114286","1977","10","06","Venezuela","Delta Amacuro",NA,"Depto. Pedernales: mangrove formation (Rhizophora mangle and Avlcennia germlnans) along Caito Angosturita, SE of Pedernales.","-62.13","9.92",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239364' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943694","NY03943694_01","Pteridophyta","Polypodiales","South America","sheet","50",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","812759","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.","D. B. Lellinger",NA,NA,NA,"D. R. Simpson","605","1968","01","08","Peru","Tumbes","Tumbes","Dtto. Tumbes. Cerca de El Caucho o entre El Caucho Y Pampas de Hospital.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812759","NY00812759_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","3943718","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"E. P. Killip","14433","1926","11","12","Colombia","Bolívar",NA,"Los Volcanes, near Turbaco.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239388' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943718","NY03943718_01","Pteridophyta","Polypodiales","South America","sheet","200","300",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","3943700","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"H. M. Curran","753","1917","05","03","Venezuela",NA,NA,"Northern Venezuela. Laguna de vaca. Alta Gracia.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239370' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943700",NA,"Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","2565657","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"D. F. Austin","7333","1979","11","06","Brazil","Amapá",NA,"Várzea dum braço do Rio Amapá, ao Este da cidade",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2823078' target='other'> <mi>dwc_moreinfo</mi></a>","NY02565657","NY02565657_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","3943671","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"N. L. Britton","580","1920","03","14","Trinidad and Tobago",NA,NA,"Trinidad. Monos Island",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239341' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943671","NY03943671_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","2565655","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"G. Davidse","17811","1980","04",NA,"Brazil","Pará","Marapanim","Just east of the fishing village of Camara which is ca. 11 km NW of Marudá","-47.68","-0.62",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2823076' target='other'> <mi>dwc_moreinfo</mi></a>","NY02565655","NY02565655_01","Pteridophyta","Polypodiales","South America","sheet","2","20",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","3943686","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"A. S. Hitchcock","16666","1919","11","06","Guyana",NA,NA,"British Guiana. Georgetown, vicinity of Peter's Hall.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239356' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943686","NY03943686_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","3943698","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"J. A. Steyermark","110990","1974","09","07","Venezuela","Falcón",NA,"Distrito Silva: pantano y manantial en selva alta y húmeda con manchas de Roystonea venezuelana, “La Yegua”, justamente noroeste de La Soledad, entre La Soledada y Sanare.","-68.35","10.87",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239368' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943698","NY03943698_01","Pteridophyta","Polypodiales","South America","sheet","5",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","3943673","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"J. J. Copeland","s.n.","1972","07","20","Trinidad and Tobago",NA,NA,"Trinidad. Caroni Swamp",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239343' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943673","NY03943673_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","3943695","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"J. A. Steyermark","114286","1977","10","06","Venezuela","Delta Amacuro",NA,"Depto. Pedernales: mangrove formation (Rhizophora mangle and Avlcennia germlnans) along Caito Angosturita, SE of Pedernales.","-62.13","9.92",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239365' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943695","NY03943695_01","Pteridophyta","Polypodiales","South America","sheet","50",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","02565658","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"G. Davidse","17811","1980","04",NA,"Brazil","Pará","Marapanim","Just east of the fishing village of Camara which is ca. 11 km NW of Marudá","-47.68","-0.62",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2823079' target='other'> <mi>dwc_moreinfo</mi></a>","NY02565658","NY02565658_01","Pteridophyta","Polypodiales","South America","sheet","2","20",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","3943680","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"B. Hoffman","734","1992","01","19","Guyana","Demerara-Mahaica",NA,"Atlantic coastline W of Mahaica R, between seawall and hospital.","-57.92","6.63",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239350' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943680",NA,"Pteridophyta","Polypodiales","South America","sheet",NA,"5",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","3943670","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"A. Fendler","122","1877",NA,NA,"Trinidad and Tobago",NA,NA,"Trinidad.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239340' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943670","NY03943670_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","3943668","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"A. Fendler","122","1877",NA,NA,"Trinidad and Tobago",NA,NA,"Trinidad.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239338' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943668","NY03943668_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","3943697","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"J. A. Steyermark","110465","1974","08","31","Venezuela","Falcón",NA,"Distrito Silva: a lo largo del borde sur del Golfete de Guare, al pie de las escarpas calcáreas que miran al norte, sur-oeste de Chichiriviche, al oeste de la Cuevatde Los Indios.","-68.3","10.908",NA,NA,"[Lat. 10° 54'-55' N, Long. 68° 17'-19' Oeste.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239367' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943697","NY03943697_01","Pteridophyta","Polypodiales","South America","sheet","1","4",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","3943679","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"T. W. Henkel","2615","1993","08","17","Guyana","Demerara-Mahaica",NA,"Mahaica Coast near Cane Grove.","-57.97","6.67",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239349' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943679",NA,"Pteridophyta","Polypodiales","South America","sheet",NA,"10",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","3943712","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"H. H. Smith","1077","1898",NA,NA,"Colombia",NA,NA,"Santa Marta. Don Diego. Edge of mangrove swamp near the sea.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239382' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943712","NY03943712_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","3943682","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"J. J. Pipoly","9060","1986","12","02","Guyana","Demerara-Mahaica",NA,"Atlantic coastline facing leper colony & hospital at mouth of Mahaica R.","-57.92","6.63",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239352' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943682",NA,"Pteridophyta","Polypodiales","South America","sheet","1",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","3943709","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"O. L. Haught","4444","1944","11","20","Colombia","Magdalena",NA,"River at Dibulla.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239379' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943709","NY03943709_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","812753","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"J. N. Rose","19637","1915","05","26","Brazil","Bahia",NA,"Vicinity of Bahia.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=165927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812753","NY00812753_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","3943690","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","aureum","Acrostichum aureum","L.",NA,NA,NA,NA,"W. E. Broadway","279","1921","05","26","French Guiana",NA,NA,"Vicinity of Cayenne.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4239360' target='other'> <mi>dwc_moreinfo</mi></a>","NY03943690","NY03943690_01","Pteridophyta","Polypodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
