"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount","occurrenceRemarks","phylum","order","scientificNameAuthorship","coordinatePrecision","geoFlag","recordNumber","day","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","barcode","imagecode","class","typeStatus","fieldNumber"
"11","2020-12-21 16:46:47-03","MBM","MBM","159597","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"Hatschbach, G.","1978","04","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Formação compacta. Flor alva, debrum lilás.; Dos paredões às margens do rio.",NA,NA,"(N.L. Menezes & Mello-Silva) N.L. Menezes & Mello-Silva","67219","auto","41244","21",NA,NA,"Southern America",NA,"MBM159597","MBM159597",NA,"PARATYPE",NA
"12","2015-09-15 17:15:58-03","MNHN","RECOLNAT_MNHN_P","P00105747","PreservedSpecimen",NA,"Velloziaceae","Pleurostima","riparia","Pleurostima riparia","Menezes",NA,NA,NA,"Menezes, N.L.|Cordeiro, I.|Furlan, A.|Rossi, L.|Pirani, J.R.|Amaral, M.C.E.|Rodrigues, M.T.","1981","4","Brésil",NA,NA,"Minas Gerais, Grao-Mogol: estrada para Francisco Sa, 5km de Grao-Mogol; em bancos de areia compactos as margens do Rio Itacambiruçu",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00105747' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"N.L.Menezes & Mello-Silva",NA,NA,NA,"12",NA,NA,NA,"hb","P00105747","P00105747_01 P00105747_02 P00105747_03",NA,"paratype","1110"
"13","2020-12-11 11:45:26-03","UFMG","BHCB","26685","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledon",NA,"(N.L.Menezes & Mello-Silva) Mello-Silva",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-11 11:45:26-03","UFMG","BHCB","12935","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"Silva, RM; Menezes, NL de","1981","04","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"Monocotyledon",NA,"(N.L.Menezes & Mello-Silva) Mello-Silva","67219","auto","s.n.","12",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:45:26-03","UFMG","BHCB","39633","PreservedSpecimen","Plantae","Velloziaceae","Pleurostima","riparia","Pleurostima riparia",NA,"1988",NA,NA,"Hatschbach, G","1978","04","Brasil","Minas Gerais","Grão Mogol","Rio Itacambiruçu, dos paredões às margens do rio. Formação compacta","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Flor alva, demum lilás. Formação compacta.","Monocotyledon",NA,"Menezes, N. & Mello-Silva","67219","auto","41244","21",NA,NA,"Southern America",NA,"BHCB000812",NA,NA,"Paratypus",NA
"16","2020-08-01 18:19:23-03","UNESP-IBILCE","SJRP","16031","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"G. Hatschbach",NA,NA,"Brasil","Minas Gerais","Grão Mogol","rio itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Formação compacta, flor alva, demum lilás;","Tracheophyta","Pandanales","(N.L.Menezes & Mello-Silva) Mello-Silva","67219","auto",NA,NA,NA,NA,"América do Sul",NA,NA,NA,"Liliopsida",NA,NA
"17","2020-08-31 09:20:09-03","INPA","INPA","201030","S","Plantae","Velloziaceae","Pleurostima","riparia","Pleurostima riparia",NA,NA,NA,NA,"Hatschbach, GG","1978","04","Brasil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"Monocotyledon","Pandanales","N.L.Menezes & Mello-Silva","67219","auto","41244","21",NA,NA,"Southern America",NA,"INPA0201030","INPA0201030 INPA0201030_e",NA,"paratype",NA
"18","2019-06-10 10:11:45-03","FZB-BH","BHZB","12524","S","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"Ferreira Junior, C.A. et al.","2019","02","Brasil","MG","Grão Mogol","Rio Itacambiruçu, proximo a Igreja do Vau.","-42.8897018432617","-16.5594005584717","42°53'33.2","16°35'23.6",NA,"Com duplicata;Erva cespitosa ; folhas verdes ereto parentes e secas patentes.Margem do Rio Itacambiruçu, proximo a Igreja do Vau./ CR.",NA,NA,NA,"67219","auto","1706","18","648","648",NA,NA,NA,NA,NA,NA,NA
"19","2019-06-10 10:11:45-03","FZB-BH","BHZB","7046","S","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"Fernandes, M.G.C.","2008","10","Brasil","MG","Belo Horizonte","FZBBH/ Coleção Viva JB","-43.937801361084","-19.9207992553711",NA,NA,NA,"Origem: coletada em Irapé&nf;Vale do Jequitinhonha por Marcelo Malta. Próximo a cabeceira do Ribeirão Soberbo, Município de Cristália, em campo rupestre de quartzito.Cultivado",NA,NA,NA,"17082","auto",NA,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-06-10 10:11:45-03","FZB-BH","BHZB","7993","S","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"Ferreira Junior, C.A. et al.","2010","10","Brasil","MG","Belo Horizonte","FZB-BH - Jardim Botânico - Coleção do Cerrado","-43.937801361084","-19.9207992553711",NA,NA,NA,"CER 2006 001. Origem: Irapé - Município de Cristália - Vale do Jequitinhonha,,cerrado, por Marcelo Malta.Cultivado <ll>dwc_commonname:</ll> Pleurostima riparia N.L. Menezes & Mello-Silva",NA,NA,NA,"17082","auto",NA,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","3144963","PreservedSpecimen","Plantae","Velloziaceae","Pleurostima","riparia","Pleurostima riparia",NA,NA,NA,NA,"R. Mello-Silva, T. B. Cavalcanti, D. C. Zappi, J. R. Pirani & T. B. Kawasaki","1985","9","Brazil","Minas Gerais",NA,"Grao Mogol, vale do Rio Itacambirucu, Na beira Dorio",NA,NA,NA,NA,"1",NA,NA,"Liliales","N.L. Menezes & Mello-Silva",NA,NA,"CFCR 8400","4",NA,NA,"South America - Neotropics",NA,"US00074215","US00074215_01","Monocotyledonae","Isotype",NA
"22","2021-03-15 18:30:17-03","USP","SPF","39305","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,NA,NA,NA,"Mello-Silva, R; Cavalcanti, TB; Zappi, DC; Pirani, JR; Kawasaki, ML","1985","09","Brasil","Minas Gerais","Grão Mogol","Vale do rio Itacambiruçu, na beira do rio.","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Em touceiras densas. Pétalas alvas, corona alva, anteras purpúreas, estigma e estilete alvos, ovário verde-arroxeado. Às vezes, ovário e face abaxial das tépalas externas roxos. Pólen amarelo.",NA,NA,"(N.L.Menezes & Mello-Silva) Mello-Silva","67219","auto","CFCR8400","04",NA,NA,NA,NA,"SPF00039305",NA,NA,"holotype",NA
"23","2021-02-23 13:23:11-03","MN","R-TIPOS","163049","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia","Mello-Silva, R.","1998","08","26","Menezes, N.L.; Cordeiro, I.; Furlan, A.; Rossi, L.; Pirani, J.R.; Amaral, M.C.E. & Rodrigues ,M.T.","1981","04","Brasil","Minas Gerais","Grão Mogol","estrada para Francisco Sá","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,NA,"(N.L. Menezes & Mello-Silva) Mello-Silva","67219","auto","1110","12",NA,NA,NA,NA,"R000163049","R000163049_001",NA,"Paratypus de Pleurostima riparia N.L. Menezes & Mello-Silva",NA
"24","2020-08-20 14:58:44-03","UFSC","FLOR","28084","PreservedSpecimen","Plantae","Velloziaceae","Barbacenia","riparia","Barbacenia riparia",NA,"2012","08","22","Hatschbach, G.","1978","04","Brasil","Minas Gerais","Grão Mogol","Rio Itacambiruçu.","-42.8897018432617","-16.5594005584717",NA,NA,NA,"formação compacta, flor alva, demum lilás. PARATYPUS Pleurostima riparia. Acta bot. bras. 1(2):195-207 (1988) supl",NA,"Pandanales","(N.L.Menezes & Mello-Silva) Mello-Silva","67219","auto","41244","21",NA,NA,NA,NA,"FLOR0028084",NA,NA,"Paratypus",NA
"25","2019-11-21 10:19:48-03","IBt","SP","220937","S","Plantae","Velloziaceae","Pleurostima","riparia","Pleurostima riparia","Mello-Silva, R","2003","02","15","Mello-Silva, R; Cavalcanti, TB; Zappi, DC; Pirani, JR; Kawasaki, ML","1985","09","Brasil","Minas Gerais","Grão Mogol","Vale do rio Itacambiruçu, na beira de rio","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Em touceiras densas. Pétalas alvas, corona alva, anteras purp·reas, estigma e estiletes alvos, ovário verde-arroxeado, Ós vezes ovário e face abaxial das tépalas externas roxos. Pólen amarelo",NA,NA,"N.L.Menezes & Mello-Silva","67219","auto","CFCR8400","04",NA,NA,NA,NA,"SP003021","SP003021",NA,"Isotype",NA
