"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","year","month","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"11","2016-09-29 14:19:00-03","NY","NYBG","440805","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"L. Alb.","11191","South America","Brazil","São Paulo","Sao Simao","S. Simao","-47.5497","-21.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440805","NY00440805_01",NA,NA,"1989","07","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 22:38:00-03","NY","NYBG","971404","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"T. N. Guedes","502","South America","Brazil","Ceará",NA,"Serra de Araripe.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971404","NY00971404_01",NA,"B. F. Hansen","1958","02","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","971412","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"H. S. Irwin","20838","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, at Lapinha, ca. 20km N. of Sêrro on road (MG 2) to Diamantina.","-43.57","-18.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971412","NY00971412_01","(Vell.) Miers","F. Markgraf","1968","02","25","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-29 22:38:00-03","NY","NYBG","971400","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"E. P. Heringer","231","South America","Brazil","Distrito Federal","Brasília","RECOR, início da mata na picada R-3.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971400","NY00971400_01",NA,"M. E. Fallen","1977","10","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","971406","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"H. S. Irwin","23826","South America","Brazil","Minas Gerais","Montes Claros","Serra do Espinhaço, Serra dos Três Irmãos, ca. 20 km west of Montes Claros, road to Agua Boa.","-43.6895","-16.78715","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971406","NY00971406_01","(Vell.) Miers","B. F. Hansen","1969","02","24","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1145865","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"P. G. Delprete","9401","South America","Brazil","Goiás","Cocalzinho de Goiás","Parque Estadual dos Pireneus. Area de cerrado perto do portal da Fazenda Capitão do Mato, em direção do morro.","-48.815","-15.8111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1322268' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145865","NY01145865_01","(Vell.) Miers","R. Morokawa","2005","12","10","1280","1280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 22:38:00-03","NY","NYBG","971403","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"J. E. B. Warming","s.n.","South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971403","NY00971403_01",NA,"R. E. Woodson Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 14:19:00-03","NY","NYBG","440789","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"A. C. Cervi","4196","South America","Brazil","Paraná","Jaguariaíva","Parque Estadual do Cerrado","-49.68","-24.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440789","NY00440789_01",NA,"J. F. Morales Quirós","1993","11","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 14:19:00-03","NY","NYBG","440804","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"I. M. Válio","219","South America","Brazil","São Paulo",NA,"Itapetininga, km 163 bacia do rio Tatuí","-47.88","-23.35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440804","NY00440804_01",NA,"J. V. Monachino","1960","12","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","440816","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"R. M. Harley","27344","South America","Brazil","Bahia",NA,"Agua Quente. Pico das Almas. Vertente Norte. Vale ao lado da Serra do Pau Queimado","-41.98","-13.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440816","NY00440816_01","(Vell.) Miers","A. J. M. Leeuwenberg","1988","12","22","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","440817","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"R. M. Harley","15168","South America","Brazil","Bahia",NA,"12-14 km N of town of Rio de Contas on the road to Mato Grosso","-41.83","-13.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511531' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440817","NY00440817_01","(Vell.) Miers","F. Markgraf","1974","01","17","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","440818","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"R. M. Harley","15882","South America","Brazil","Bahia",NA,"Lagoa encantada, 19 km NE of Ibicoara near Brejao","-41.22","-13.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440818","NY00440818_01","(Vell.) Miers","F. Markgraf","1974","02","01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","440814","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"S. A. Mori","9426","South America","Brazil","Bahia","Vitória da Conquista","Km 2 da Rodovia BA-265, trecho Vit. da Conquista/Barra do Choça","-40.8392","-14.8661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440814","NY00440814_01","(Vell.) Miers","F. Markgraf","1978","03","04","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-29 22:38:00-03","NY","NYBG","971405","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"M. Sazima","3958","South America","Brazil","Minas Gerais","Jaboticatubas","Km 114 ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina.","-43.7447","-19.5136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971405","NY00971405_01",NA,"B. F. Hansen","1973","02","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","821625","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"J. G. Jardim","584","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Ca. 6.5 km da entrada da REserva. Plantação de Cacau.","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821625","NY00821625_01","(Vell.) Miers","I. Koch","1994","10","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","440800","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"J. U. M. dos Santos","667","South America","Brazil","Maranhão","Buriti",NA,"-42.9247","-3.9422","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440800","NY00440800_01","(Vell.) Miers","J. F. Morales Quirós","1983","02","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","971414","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"Z. A. Trinta","834","South America","Brazil","Minas Gerais","Pedra Azul","Caminho do Aeroporto.","-41.241281","-16.052938","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971414","NY00971414_01","(Vell.) Miers",NA,"1964","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-09-29 22:38:00-03","NY","NYBG","971402","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"T. N. Guedes",NA,"South America","Brazil","Ceará",NA,"Cerra do Araripe, Agreste.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971402","NY00971402_01",NA,"J. V. Monachino","1958","02","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-29 14:19:00-03","NY","NYBG","440603","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"A. M. V. de Carvalho","4159","South America","Brazil","Bahia","Jacobina","Serra do Tombador. Ca. 25 km na estrada Jacobina/Morro do Chapéu","-40.5181","-11.1808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440603","NY00440603_01",NA,"B. F. Hansen","1993","02","20","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-09-29 14:19:00-03","NY","NYBG","440806","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"J. A. Ratter","R4932","South America","Brazil","São Paulo","Angatuba","Floresta de Angatuba. Instituto Florestal de SP","-48.42","-23.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440806","NY00440806_01",NA,NA,"1983","11","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","440813","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"H. S. Irwin","30878","South America","Brazil","Bahia","Seabra","Ca. 23 km N of Seabra, road to Agua de Rega","-41.7703","-12.4186","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440813","NY00440813_01","(Vell.) Miers","F. Markgraf","1971","02","24","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","971407","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"H. S. Irwin","2341","South America","Brazil","Minas Gerais","Belo Horizonte","Agronomic Institute, Belo Horizonte.","-43.9378","-19.9208","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971407","NY00971407_01","(Vell.) Miers","M. E. Fallen","1959","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","821624","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"J. G. Jardim","584","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Ca. 6.5 km da entrada da REserva. Plantação de Cacau.","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821624","NY00821624_01","(Vell.) Miers","I. Koch","1994","10","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-09-29 14:19:00-03","NY","NYBG","440820","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"A. M. Amorim","1763","South America","Brazil","Bahia","Jacobina","Estrada Jacobina. Morro do Chapéu, ca. de 22 km a partir da sede do município. Serra do tombador","-40.5181","-11.1808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440820","NY00440820_01",NA,"B. F. Hansen","1995","10","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","440801","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"G. Eiten","6019","South America","Brazil","São Paulo","Paraguaçú Paulista","Along road (to Borá) ca. 4 km N of city of Paraguaçú Paulista","-50.58","-22.375","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440801","NY00440801_01","(Vell.) Miers","M. E. Fallen","1965","02","10","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","971409","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"H. S. Irwin","19482","South America","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama, ca. 25 km West of Brasília.","-48.05","-16.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971409","NY00971409_01","(Vell.) Miers","F. Markgraf","1968","02","03","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","440809","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"W. R. Anderson","11172","South America","Brazil","Paraná","Cianorte","Fazenda Lagôa, ca. 20 km N of Cianorte","-52.6049995422363","-23.6632995605469","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440809","NY00440809_01","(Vell.) Miers","F. Markgraf","1974","03","19",NA,NA,"32009","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","971410","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"H. S. Irwin","15727","South America","Brazil","Distrito Federal","Brasília","Rio Contagem, ca. 35 km N. of Brasília","-47.88","-15.48","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971410","NY00971410_01","(Vell.) Miers","F. Markgraf","1966","05","08","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","440821","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"H. S. Irwin","13371","South America","Brazil","Goiás","Cristalina","Serra dos Cristais. Ca. 5 km S. of Cristalina","-48","-17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440821","NY00440821_01","(Vell.) Miers","F. Markgraf","1966","03","02","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","639200","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"S. C. de Sant'Ana","765","South America","Brazil","Bahia","Mun. Abaíra","Povoado de Catolés de Cima, trilha para o pico do Barbado","-41.66","-13.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=279550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639200","NY00639200_01","(Vell.) Miers","J. F. Morales Quirós","1999","04","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","971413","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"H. S. Irwin","23121","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 33 km N.E. of Francisco Sá, on road to Salinas","-43.2439","-16.4147","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971413","NY00971413_01","(Vell.) Miers","F. Markgraf","1969","02","11","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","440819","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"R. M. Harley","18664","South America","Brazil","Bahia",NA,"South of Andaraí, 16 km. along road to Mucugé near small town of Xique-Xique","-41.32","-12.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440819","NY00440819_01","(Vell.) Miers","F. Markgraf","1977","02","14","700","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","971408","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"H. S. Irwin","10149","South America","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama, 25 km S. of Brasília","-48.05","-16.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971408","NY00971408_01","(Vell.) Miers","F. Markgraf","1965","11","10","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
