"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount"
"11","2020-12-21 16:47:46-03","MBM","MBM","429498","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A. Nilsson","Lozano, E.D.","Lozano, E.D.; Canestraro, B.K.; Canestraro, B.K.","4403","2019","01","30","Southern America","Brazil","Rio de Janeiro","Resende","Parque Nacional do Itatiaia, trilha para o Agulhas Negras","-44.670722","-22.38425",NA,"Herbácea, cespitosa com poucos indivíduos, 25 cm, flores amarelas, em campo úmido. Prensada com álcool.; Campo de Altitude.","MBM429498",NA,NA,NA,NA,"2019",NA,NA,NA,NA,"-44.670722","-22.38425",NA,NA,NA
"12","2020-12-21 16:47:46-03","MBM","MBM","393705","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A. Nilsson","Wanderley, M.G.L.","Canestraro, B.K.; Pereira, J.; Matos, F.B.; Pereira, J.; Matos, F.B.","506","2013","02","11","Southern America","Brazil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia, Parte Alta. Trilha para Agulhas Negras","-44.8699989318848","-22.283899307251",NA,"Terrícola, flores amarelas, paludícola, helófita.; Campos de Altitude.","MBM393705","MBM393705",NA,NA,NA,"2013","11","21","26914","auto",NA,NA,NA,NA,NA
"13","2020-12-21 16:47:46-03","MBM","MBM","5625","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A. Nilsson","Wanderley, M.G.L.","Lindeman, J.; et al.; et al.","5182",NA,NA,NA,"Southern America","Brazil",NA,NA,"s",NA,NA,NA,NA,"MBM005625","MBM005625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-09-03 21:07:03-03","MNHN","RECOLNAT_MNHN_P","P01679919","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson","Smith & Downs","Glaziou, A.",NA,"1873","1","22",NA,"Brésil","Rio de Janeiro","Itatiaia","Campos de l'Itatiaia. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01679919' target='other'> <mi>dwc_moreinfo</mi></a>","P01679919","P01679919_01 P01679919_02",NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,"6747",NA,NA
"15","2015-09-03 21:42:20-03","MNHN","RECOLNAT_MNHN_P","P01727383","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Nicolau, S.A.|BArbosa, A.C.|Pagoto, A.|Faria, V.B.|Uehara, M.P.",NA,"1998","1","23",NA,"Brasil","São Paulo","Pindamonhangaba","Fazenda São Sebastião do Ribeirão Grande, São José dos Alpes. Pindamonhangaba, São Paulo, Sudeste, Brasil, América do Sul","-45.4599990844727","-22.9200000762939","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01727383' target='other'> <mi>dwc_moreinfo</mi></a>","P01727383","P01727383_01",NA,NA,NA,NA,NA,NA,"24176","auto",NA,NA,"1664",NA,NA
"16","2020-12-11 11:45:34-03","UFMG","BHCB","117495","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Mota, NFO; Viana, PL; Echternacht, LA; Costa-Silva, LV; Maciel, GM","1297","2008","03","11","Southern America","Brasil","Minas Gerais","Aiuruoca","Parque Estadual do Papagaio, Retiro dos Pedros. Terrestre em campo de altitude graminoso. Próximo ao Curral.","-44.678278","-22.056222",NA,"Terrestre. Brácteas negras com as margens laceradas hialinas. Bainha das folhas marrons. Flores amarelas.",NA,NA,"2142","2142",NA,"2008","03","11",NA,NA,"-44.678278","-22.056222",NA,NA,NA
"17","2020-12-11 11:45:34-03","UFMG","BHCB","153968","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Mota, NFO; Giacomin, LL","2457","2011","12","17","Southern America","Brasil","Minas Gerais","Alagoa","Parque Estadual do Papagaio, Pico de Santo Agostinho.","-44.766917","-22.197111",NA,"Erva terrestre em brejo em ampo de alitutde antropizado no alto do Pico. Espiga imatura castanho-escura com as margens das brácteas membranáceas, hialinas. Plantas armazenadas no álcool.",NA,NA,"2270","2270",NA,NA,NA,NA,NA,NA,"-44.766917","-22.197111",NA,NA,NA
"18","2009-07-27 09:32:00-03","MO","MOBOT","3001277","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","Nilsson,A.",NA,"Auguste F.M. Glaziou","Glaziou 6747","1861",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-07-15 14:43:50-03","UNESP-RC","HRCB","64775","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","cf. fusca","Xyris cf. fusca","L.A. Nilsson","Marcelo Trovó","Grupo Vermelho",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia - Parte Alta/Estrada antes do Abrigo Rebouças","-44.685939","-22.382139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44º41'9.38W","22º22'55.70S",NA,NA,NA
"20","2020-07-15 14:43:50-03","UNESP-RC","HRCB","64779","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A. Nilson","Kleber R. Silva, Letícia C. Seidinger, Ricardo A. Gonçalves","Grupo Vermelho",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia - Parte Alta/Trilha das Prateleiras","-44.685939","-22.382139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44º41'9.38W","22º22'55.70S",NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2338347","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","fusca","Xyris fusca","L.A. Nilsson",NA,"O. Barth",NA,"1960","1","18","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Parque Nacional do Itatiaia",NA,NA,NA,NA,"US01915644","US01915644_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1"
"22","2020-09-12 05:00:02-03","US","US","2142234","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","fusca","Xyris fusca","L.A. Nilsson",NA,"P. K. Dusén",NA,"1902","5","17","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"US01915645","US01915645_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1"
"23","2020-09-12 05:00:02-03","US","US","2142265","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","fusca","Xyris fusca","L.A. Nilsson",NA,"E. H. Ule & E. H. Ule",NA,"1896","1","3","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Serra do Itatiaia in campo lapidoso",NA,NA,NA,NA,"US01915647","US01915647_01","2300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1"
"24","2020-09-12 05:00:02-03","US","US","2459047","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","fusca","Xyris fusca","L.A. Nilsson",NA,"H. Martins",NA,"1960","3","13","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Entre Abr. Rebouças e as Prateleiras","-44.5633010864258","-22.4960994720459",NA,NA,"US01915646","US01915646_01",NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,"Monocotyledonae","1"
"25","2019-10-07 09:22:44-03","UEFS","HUEFS","103417","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Nicolau, S.A.","1663","1998","01","23",NA,"Brasil","São Paulo","Pindamonhangaba","Fazenda São Sebastião do Ribeirão Grande, São José dos Alpes, campos montanos.","-45.4599990844727","-22.9200000762939",NA,NA,"HUEFS0103417","HUEFS0103417",NA,NA,NA,NA,NA,NA,"24176","auto",NA,NA,NA,"Lilianae",NA
"26","2019-09-04 19:48:52-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Xyridaceae","Xyris","fusca","Xyris fusca",NA,NA,"A. Glaziou","6747",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA
"27","2020-11-12 17:02:39-03","UEL","FUEL","39268","PreservedSpecimen","Plantae","Tracheophyta","Poales","Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson","Wanderley, MGL","Nicolau, SA; Barbosa, AC; Pagoto, A; Faria, VB; Uehara, MP","1663","1998","01","23",NA,"Brasil","São Paulo","Pindamonhangaba","Fazenda São Sebastião do Ribeirão Grande, São José dos Alpes","-45.4599990844727","-22.9200000762939",NA,NA,"FUEL015928",NA,NA,NA,NA,"2003","10","03","24176","auto",NA,NA,NA,NA,NA
"28","2021-03-04 15:42:00-03","IF","SPSF","15784","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Xyridaceae","Xyris","fusca","Xyris fusca",NA,NA,"A. Amaral Jr.","10","1982","02","16","América do Sul","Brasil","SP","Campos do Jordão","Pico do Itapeva","-45.5900001525879","-22.7299995422363",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,"Liliopsida",NA
"29","2020-12-03 09:41:13-03","IBt","SP","244717","S","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Magalhães, H","1389","1896","06",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Ibitipoca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-10 11:28:24-03","IBt","SP","405863","S","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Mota, NFO","1297","2008","03","11",NA,"Brasil","Minas Gerais","Aiuruoca","Parque Estadual do Papagaio","-44.65","-22.033333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-44.65","-22.033333",NA,NA,NA
"31","2019-11-21 10:19:58-03","IBt","SP","204518","S","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72818","1985","07","19",NA,"Brasil","Bahia","Palmeiras","Serra da Larguinha","-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20767","auto",NA,NA,NA,NA,NA
"32","2019-11-21 10:19:58-03","IBt","SP","210422","S","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Romaniuc Neto, S; Toledo, CB; Sajo, MG","454","1986","05","14",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA
"33","2020-12-10 11:28:24-03","IBt","SP","405865","S","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Viana, PL","3965","2008","03","12",NA,"Brasil","Minas Gerais","Aiuruoca","Parque Estadual do Papagaio","-44.603099822998","-21.9755992889404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27460","auto",NA,NA,NA,NA,NA
"34","2020-12-30 07:49:03-03","IBt","SP","444674","S","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Mota, NFO","2457","2011","12","17",NA,"Brasil","Minas Gerais","Alagoa",NA,"-44.6418991088867","-22.1706008911133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13155","auto",NA,NA,NA,NA,NA
"35","2020-12-10 11:28:24-03","IBt","SP","404823","S","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Meireles, LD","2442","2006","07","26",NA,"Brasil","Minas Gerais","Passa Quatro","Pico do Itaguaré","-44.9667015075684","-22.3903007507324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17293","auto",NA,NA,NA,NA,NA
"36","2020-12-30 07:49:03-03","IBt","SP","444798","S","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Braga, JMA","2064","1995","02","15",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA
"37","2020-10-22 10:13:55-03","IBt","SP","351692","S","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"Ribeiro, KT","2","1998","03",NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA
