"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","maximumElevationInMeters","individualCount","class","order","imagecode","fieldNumber","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","previousCatalogNumber","coordinatePrecision","geoFlag"
"11","2017-01-26 14:43:00-02","MO","MOBOT","90104093","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","JH","Jochen Heinrichs","Heinrichs 4259","1997","10","8","South America","Bolivia","La Paz","Nor Yungas","Parque Nacional Cotapata, road La Paz - Coroico, ca. 3 km NE of Uduavi, path to Río Coscapa.","-67.8833333","-16.2833333","3400.00000000",NA,NA,NA,"3500.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2014-02-14 09:59:00-02","MO","MOBOT","90104389","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","H. Anton","Anton BOL 2","1997","11","5","South America","Bolivia","La Paz","Nor Yungas","PN Cotapata, road Yungas - Cotapata, near Ingenía San Luís.","-67.91666","-16.28333","3800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2018-04-25 16:04:00-03","MO","MOBOT","90145261","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Jochen Heinrichs","Heinrichs 4260","1997","10","8","South America","Bolivia","La Paz","Nor Yungas","Parque Nacional Cotapata, road La Paz - Coroico, ca. 3 km NE of Uduavi, path to Río Coscapa.","-67.8833333","-16.2833333","3400.00000000",NA,NA,NA,"3500.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-01-26 14:45:00-02","MO","MOBOT","90145262","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Jochen Heinrichs","Heinrichs 4270","1997","10","8","South America","Bolivia","La Paz","Nor Yungas","Parque Nacional Cotapata, road La Paz - Coroico, ca. 3 km NE of Unduavi, path to Río Coscapa.","-67.8833333","-16.2833333","3400.00000000",NA,NA,NA,"3500.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-01-26 14:19:00-02","MO","MOBOT","90145264","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Jochen Heinrichs","Heinrichs 4254","1997","10","15","South America","Bolivia","Santa Cruz","Manuel Maria Caballero","Road Cochabamba - Comarapa between La Siberia and Torrecillas.","-64.6833333","-17.85","2700.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2011-10-14 04:58:00-03","MO","MOBOT","90178735","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Jochen Heinrichs","Heinrichs 4351","1997","9","16","South America","Bolivia","La Paz","Nor Yungas","Parque Nacional Cotapata, road La Paz - Coroico, ca. 3 km NE of Unduavi, path to Río Coscapa.","-67.8833333","-16.2833333","3350.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2011-10-13 13:17:00-03","MO","MOBOT","90178736","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Jochen Heinrichs|H. Anton|J. Müller","Heinrichs 4353","1997","10","14","South America","Bolivia","Cochabamba","Carrasco","Road Cochabamba - Comarapa, between Pojo and La Siberia.","-64.8333333","-17.7666667","2650.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2011-10-14 04:58:00-03","MO","MOBOT","90182375","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Jochen Heinrichs","Heinrichs 4411","1997","10","25","South America","Bolivia","Cochabamba","Chapare","Tiraque, road Aguirre-El Palmar, Serrania de Callejas.","-65.6666667","-17.1833333","3530.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2011-10-14 04:58:00-03","MO","MOBOT","90182380","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Jochen Heinrichs","Heinrichs 4414","1997","10","25","South America","Bolivia","Cochabamba","Chapare","Tiraque, road Aguirre-El Palmar, Serrania de Callejas.","-65.6666667","-17.1833333","3320.00000000",NA,NA,NA,"3360.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2011-10-14 04:58:00-03","MO","MOBOT","90182382","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Jochen Heinrichs","Heinrichs 4399","1997","10","15","South America","Bolivia","Santa Cruz",NA,"Caballero, road Cochabomba-Comarapa between La Siberia and Torrecillas.","-64.6833333","-17.85","2700.00000000",NA,NA,NA,"2750.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2014-02-14 09:59:00-02","MO","MOBOT","90182388","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","H. Anton","Anton C38","1997","11","5","South America","Bolivia","La Paz","Nor Yungas","Road Yungas-Cotapata, near Ingenia San Luis.","-67.9166667","-16.2833333","3800.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2010-04-05 14:07:00-03","MO","MOBOT","90182391","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","LEHNERT","LEHNERT 383","2002","9","26","South America","Bolivia","La Paz","Nor Yungas","Cotapata.",NA,NA,"3200.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2011-10-14 04:58:00-03","MO","MOBOT","90182408","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Jochen Heinrichs","Heinrichs 4416","1997","10","25","South America","Bolivia","Cochabamba","Chapare","Tiraque, road Aguirre-El Palmar, Serrania de Callejas.","-65.6666667","-17.1833333","3520.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2010-04-05 14:05:00-03","MO","MOBOT","90182410","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","H. Anton","Anton C 41","1997","11","5","South America","Bolivia","La Paz","Nor Yungas","Road Yungas-Cotapata, near Ingenia San Luis.",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2011-10-14 04:58:00-03","MO","MOBOT","90234705","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Jochen Heinrichs","Heinrichs JH 4262","1997","10","9","South America","Bolivia","La Paz","Nor Yungas","Parque Nacional Cotapata. Road La Paz-Coroico, ca. 3 Km NE Unduavi path to Rio Coscapa.","-67.88333","-16.28333","3400.00000000",NA,NA,NA,"3500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2014-02-14 09:59:00-02","MO","MOBOT","90235052","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","H. Anton","Anton 32","1997","11","5","South America","Bolivia","La Paz","Nor Yungas","Road Yungas-Cotapata, near Ingenio San Luís.","-67.91666","-16.28333","3800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2011-10-14 04:58:00-03","MO","MOBOT","90235589","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Jochen Heinrichs","Heinrichs 4261","1997","9","16","South America","Bolivia","La Paz","Nor Yungas","Road La Paz-Coroico, ca. 3 Km NE Unduavi path to Rio Coscapa.","-67.88333","-16.28333","3200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2014-02-14 09:59:00-02","MO","MOBOT","90070131","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","guttulata","Plagiochila guttulata","Herzog",NA,"H. Anton","Anton JH 4104","1997",NA,NA,"South America","Bolivia","Cochabamba","Chapare","Tiaque, road Aguiree - El Palmar, Serranía de Callejas.","-65.66666","-17.18333","3100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2014-02-14 09:59:00-02","MO","MOBOT","90070130","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","guttulata","Plagiochila guttulata","Herzog",NA,"H. Anton","Anton JH 4103","1997",NA,NA,"South America","Bolivia","Cochabamba","Chapare","Tiaque, road Aguiree - El Palmar, Serranía de Callejas.","-65.66666","-12.18333","3350.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2014-02-14 09:59:00-02","MO","MOBOT","90070129","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","guttulata","Plagiochila guttulata","Herzog",NA,"H. Anton","Anton JH 4102","1997",NA,NA,"South America","Bolivia","Cochabamba","Chapare","Tiaque, road Aguiree - El Palmar, Serranía de Callejas.","-65.66666","-12.18333","3350.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2018-07-23 09:52:26-03","F","FMNH-BRYOPHYTES","C0018476F","PreservedSpecimen","Plantae","Marchantiophyta","Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.",NA,"M. A. Lewis","85-1591A","1985","12","1","South America","Bolivia",NA,NA,NA,"-64.435","-16.7261",NA,NA,NA,"C0018476F",NA,NA,"Jungermanniopsida","Jungermanniales","C0018476F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2018-07-23 09:52:26-03","F","FMNH-BRYOPHYTES","C0018477F","PreservedSpecimen","Plantae","Marchantiophyta","Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.",NA,"M. A. Lewis","83-1146-B","1983","4","1","South America","Bolivia",NA,NA,NA,"-64.435","-16.7261",NA,NA,NA,"C0018477F",NA,NA,"Jungermanniopsida","Jungermanniales","C0018477F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2018-07-23 09:52:26-03","F","FMNH-BRYOPHYTES","C0018480F","PreservedSpecimen","Plantae","Marchantiophyta","Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.",NA,"M. A. Lewis","85-1662","1985","12","1","South America","Bolivia",NA,NA,NA,"-64.435","-16.7261",NA,NA,NA,"C0018480F",NA,NA,"Jungermanniopsida","Jungermanniales","C0018480F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-11-29 10:05:15-02","MNHN","RECOLNAT_MNHN_PC","PC0706405","PreservedSpecimen",NA,NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","Heinrichs","Heinrichs, J.|Anton, H.|Müller, J.",NA,"1997","10","25",NA,"Bolivie","Cochabamba","Chapare","Bolivia. Cochabamba : Chapare, Tiraque, road Aguirre - El Palmar, Serrania de Callejas","-65.66667","-17.18333","3320","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0706405' target='other'> <mi>dwc_moreinfo</mi></a>","PC0706405","3360",NA,NA,NA,NA,"4414",NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-11-29 10:04:56-02","MNHN","RECOLNAT_MNHN_PC","PC0706406","PreservedSpecimen",NA,NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","Heinrichs","Anton, H.",NA,"1997","11","5",NA,"Bolivie","La Paz","Nor Yungas","Bolivia. La Paz : Nor Yungas, road Yungas - Cotapata, near Ingenia San Luis","-67.91667","-16.28333","3800","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0706406' target='other'> <mi>dwc_moreinfo</mi></a>","PC0706406",NA,NA,NA,NA,NA,"C 38",NA,NA,NA,NA,NA,NA,NA,NA
"36","2009-07-20 14:26:03-03","MNHN","RECOLNAT_MNHN_PC","PC0741533","PreservedSpecimen",NA,NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","Costa","Glaziou, A.",NA,"1870","4","4",NA,"Brésil",NA,NA,"Serre des Orgues",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0741533' target='other'> <mi>dwc_moreinfo</mi></a>","PC0741533",NA,NA,NA,NA,NA,"4578",NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-11-29 10:09:44-02","MNHN","RECOLNAT_MNHN_PC","PC0706407","PreservedSpecimen",NA,NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","Gradstein","Anton, H.|Gonzales Rocabado, J.|Meneses, R.I.|Nunez Quiroz, A.|Ortuno-Limarino, T.",NA,"1997","11","5",NA,"Bolivie","La Paz","Nor Yungas","Bolivia. La Paz : Nor Yungas, road Yungas - Cotapata, near Ingenia San Luis","-67.91667","-16.28333","3800","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0706407' target='other'> <mi>dwc_moreinfo</mi></a>","PC0706407",NA,NA,NA,NA,NA,"BOL 2",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-16 16:04:18-03","MN","R-BRYOPHYTA","82799","PreservedSpecimen","Plantae","Marchantiophyta","Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","Dias, M.S.","Sampaio, A.J.","4490",NA,NA,NA,NA,"Brasil","São Paulo","Loreto",NA,NA,NA,NA,NA,NA,"R000082799",NA,NA,"Jungermanniopsida","Jungermanniales","R000082799_001",NA,"2017","05",NA,NA,NA,NA,NA,NA
"39","2016-08-23 09:46:34-03","NHMLondon","NHM-LONDON-BOT","BM000097655b","S","Plantae","Bryophyta","Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","Jochen Heinrichs; b.1969; Heinrichs","Auguste François Marie Glaziou; b.1828; d.1906; Glaz.","s.n.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,"-42.64735","-22.531489",NA,NA,NA,NA,NA,NA,"Hepatopsida",NA,NA,NA,"2000","08","02","-42.64735","-22.531489","NHMUK:ecatalogue:494907",NA,NA
"40","2021-02-08 12:50:26-03","UFRGS","ICN","058874","S","Plantae","Marchantiophyta","Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex","Peralta, D","Michel, EL","983","1990","05","09","América do Sul","Brasil","RS","Cambará do Sul","Itaimbezinho","-50.1446990966797","-29.0478000640869",NA,NA,"sobre base de árvore em mata úmida",NA,NA,NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,"30776","auto"
"41","2021-02-08 12:50:26-03","UFRGS","ICN","038645","S","Plantae","Marchantiophyta","Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex","Peralta, D","Bueno, R","1897","1982","09","08","América do Sul","Brasil","RS","Cambará do Sul","Itaimbezinho","-50.1446990966797","-29.0478000640869",NA,NA,"epífito",NA,NA,NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,"30776","auto"
"42","2021-02-08 12:50:26-03","UFRGS","ICN","038391","S","Plantae","Marchantiophyta","Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex","Peralta, D","Bueno, R","1452","1982","04","20","América do Sul","Brasil","RS","Cambará do Sul","Itaimbezinho, mato a direita da casa do Sr. Marçal","-50.1446990966797","-29.0478000640869",NA,NA,"em tronco podre",NA,NA,NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,"30776","auto"
"43","2021-02-08 12:50:26-03","UFRGS","ICN","038382","S","Plantae","Marchantiophyta","Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex","Peralta, D","Sobral, M","s.n.","1981","01","04","América do Sul","Brasil","RS","Cambará do Sul","Parque Nacional Aparados Da Serra","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,"30776","auto"
