"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","02703866","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","W. Milliken","4274","2011","03","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2989167' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703866","Magnoliophyta","Malpighiales","Griseb.",NA,"Mato Grosso","São José do Xingu","Parque Estadual do Xingu, Rio Fontourinha, após a ponte.","-52.363889","-9.726667","NY02703866_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00893673","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","H. S. Irwin","13573","1966","03","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971556' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893673","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Goiás","Cristalina","Serra dos Cristais, ca. 3 km E. of Cristalina.","-48","-17","NY00893673_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00909334","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","E. P. Heringer","2801","1979","11","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909334","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","Distrito Federal","Brasília","Catetinho.","-47.988069","-15.948311","NY00909334_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00909338","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","E. P. Heringer","2979","1979","12","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909338","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","Distrito Federal","Brasília","Proximidades do Gama.","-47.9294","-15.7797","NY00909338_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-27 05:12:00-03","NY","NYBG","475400","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","G. Tessmann","4643",NA,NA,NA,"South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475400","Magnoliophyta","Malpighiales",NA,NA,NA,NA,"Mouth of Rio Santiago","-77.639273","-4.434615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00909332","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","E. P. Heringer","2696","1979","11","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980197' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909332","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","Distrito Federal","Brasília","(Bacia do Rio São Bartolomeu).","-47.9294","-15.7797","NY00909332_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","818190","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","J. H. Kirkbride Jr.","3291","1980","02","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818190","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Goiás","Mossâmedes","Encima de Serra Dourada, ca 6 km nordeste de Mossâmedes.","-50.18","-16.07","NY00818190_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00909333","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","E. P. Heringer","2706","1979","11","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980200' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909333","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","Distrito Federal","Brasília","(Bacia do Rio São Bartolomeu).","-47.9294","-15.7797","NY00909333_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","475399","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","A. F. M. Glaziou","6862","1874","01","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475399","Magnoliophyta","Malpighiales","Griseb.",NA,"Rio de Janeiro","Rio de Janeiro","Tijuca","-43.274528","-22.95583","NY00475399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00893678","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","J. H. Kirkbride Jr.","4800","1982","06","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893678","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Distrito Federal","Brasília","Ribeirão do Gama.","-47.88","-15.87","NY00893678_01","1020","1020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","02361165","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","A. F. M. Glaziou","6862",NA,NA,NA,"South America","Brazil","sheet",NA,"Ex Herb. Berol. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2544628' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361165","Magnoliophyta","Malpighiales","Griseb.",NA,"Rio de Janeiro","Rio de Janeiro","Tijuca","-43.274528","-22.95583","NY02361165_01 NY02361165_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00893676","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","J. H. Kirkbride Jr.","4506","1981","10","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893676","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Distrito Federal","Brasília","Perto de DF 2.","-47.9","-15.6","NY00893676_01","840","840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00893670","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","H. S. Irwin","13198","1966","02","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971523' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893670","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Distrito Federal","Brasília","Ca. 10 km N.W. of Planaltina","-47.73264","-15.5528","NY00893670_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00909339","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","E. P. Heringer","3219","1980","01","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909339","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","NY00909339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-09-30 19:28:00-03","NY","NYBG","02361164","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","A. F. M. Glaziou","6862",NA,NA,NA,"South America",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2544626' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361164","Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,"NY02361164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00893680","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","E. P. Heringer","5671","1980","11","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893680","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Distrito Federal","Brasília","Córrego Caixeta - Chácara do S. Gilberto.","-47.9294","-15.7797","NY00893680_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00909387","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","C. E. B. Proença","273","1982","11","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909387","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","Distrito Federal","Brasília","Córrego Manuel Dias.","-48.23","-16.03","NY00909387_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","55574","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","F. Sellow","1220",NA,NA,NA,"South America","Brazil","sheet",NA,"Herb. Niedenzu; Ex herb. Berol <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225433' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055574","Magnoliophyta","Malpighiales","Griseb.",NA,NA,NA,"Brasilia meridionalis",NA,NA,"NY00055574_01",NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","818200","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","H. S. Irwin","9893","1965","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818200","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Goiás","Cristalina","Serra dos Cristais, ca. 6 km S. of Cristalina","-47.6","-16.80422","NY00818200_01","1175","1175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","475619","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","J. Cuatrecasas","26595","1962","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475619","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","São Paulo","Pirassununga","Piraçununga: Cerrado de Cachoeira-Emas","-47.375621","-21.941912","NY00475619_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00909317","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","E. P. Heringer","150","1977","09","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909317","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","Distrito Federal","Brasília","Reserva Ecológica do IBGE, Início da mata na picada M - 5.","-47.9294","-15.7797","NY00909317_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00893677","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","J. H. Kirkbride Jr.","5021","1982","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971570' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893677","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Distrito Federal","Brasília","Parque Florestal do Gama.","-48.05","-16.05","NY00893677_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00909316","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","E. P. Heringer","133","1977","09","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909316","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","Distrito Federal","Brasília","Reserva Ecológica do IBGE, margem da mata na picada R - 3.","-47.9294","-15.7797","NY00909316_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","475398","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","H. W. Schott","1685",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225430' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475398","Magnoliophyta","Malpighiales","Griseb.","F. J. Niedenzu","Rio de Janeiro",NA,NA,NA,NA,"NY00475398_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","818197","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","H. S. Irwin","34369","1972","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818197","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Goiás","Corumbá de Goiás","Serra dos Pireneus, ca. 21 km E. of Pirenópolis","-48.8086013793945","-15.9236001968384","NY00818197_01","1000","1000",NA,"41388","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00893675","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","C. A. Cid Ferreira","6472","1985","10","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893675","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Mato Grosso","São Félix do Araguaia","Área da Faz. Jamaica, 28 km S do cruzamento das estr. BR. 158 e MT-242 (Posto da Mata).","-50.6693992614746","-11.6171998977661","NY00893675_01",NA,NA,NA,"290331","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00893671","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","H. S. Irwin","13514","1966","03","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893671","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Goiás","Cristalina","Serra dos Cristais, ca. 3 km E. of Cristalina.","-48","-17","NY00893671_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00893672","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","H. S. Irwin","13516","1966","03","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893672","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Goiás","Cristalina","Serra dos Cristais, ca. 3 km E. of Cristalina.","-48","-17","NY00893672_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","1039184","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","H. C. de Lima","2634","1985","11","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482151' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039184","Magnoliophyta","Malpighiales","Griseb.","A. M. Amorim","Rio de Janeiro","Magé","Paraiso, Area do Centro de Primatología do RJ. CPróximo a represa.","-42.883","-22.483","NY01039184_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG1110","S","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","Ricardo Haidar et. Al.","601","2008","05","09",NA,"Brasil",NA,NA,"Frutos verdes imaturos, com botoes florais.",NA,NA,NA,NA,"Ricardo Haidar","Brasilia","Distrito Federal","Jardim botanico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-01-06 11:42:34-03","UFPI-MRV","HDELTA","5363","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","Revilla, J.; Ramos, J. F.; Guimarães, A. & Lima, M.",NA,"2016","10","25",NA,"Brasil",NA,NA,"INPA/ PHYTOBIOS","HDELTA005363",NA,NA,"Griseb.","Ramos, J.F.","Pará","Augusto corrêa","Aos arredores da fazenda Bacuri.","-46.653806","-1.024139",NA,NA,NA,NA,NA,NA,"2016","46°39'13,70''W","1°01'26,90''S",NA,NA,NA,NA,NA,NA
"42","2019-10-09 11:18:53-03","UFBA","ALCB","115876","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","Soares, ACA; Oliveira, MS","69","2013","10","31","Southern America","Brasil",NA,NA,"flor amarela.","ALCB039742","Dicotyledon",NA,"Griseb.","Oliveira, MS","Distrito Federal","Brasília","Estação Ecológica Jardim Botânico de Brasília, Área do Cristo Redentor, prósimo ao poção da aeronáutica.","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"70570","auto","2013",NA,NA,"10",NA,NA,NA,NA,NA
"43","2020-02-08 09:55:04-03","NBC","NL-BOTANY","L.2166359","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","Ule EHG",NA,"1900","11","01","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166359 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166359",NA,"Malpighiales","Griseb.",NA,NA,NA,"Braun oder Strauch bis 10 m. gelb, Beru Finn. Rio Jusuá.",NA,NA,"NL-L2166359",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"44","2020-11-04 11:12:35-03","ESALQ","ESA","47029","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","Árbocz, G.F.; Nave, A.G.; Dário, F.R.","3101.0","1996","11","07",NA,"Brasil",NA,NA,"Árvore 15m, flores amarelas","ESA047029","Magnoliophyta",NA,NA,NA,"Mato Grosso","Sinop","Margem da Estrada entre Cláudia e Sinop; borda de floresta ombrófila aberta; solo seco tipo PVA, relevo plano","-551.317","-114.042","ESA047029",NA,NA,NA,NA,NA,NA,"-551,317","-114,042",NA,NA,NA,NA,NA,NA
