"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"12","2021-03-15 16:37:00-03","NY","NYBG","00968805","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.",NA,"R. de Lemos Fróes","11887","1940",NA,NA,"South America","Brazil","Maranhão","São Luís","Camp.","-44.3028","-2.5297","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968805","NY00968805_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","309508","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","L. J. Dorr","M. H. Nee","49070","1998","04","19","South America","Bolivia","Santa Cruz","Cordillera","Along gravel road eastward, just east of new highway from Santa Cruz to Abapó, the turnoff 3 km N of bridge over Río Seco.","-63.23","-18.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309508",NA,"510","510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","585840","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata pyramidata","L.","L. J. Dorr","R. C. Forzza","1351","1999","04","25","South America","Brazil","Bahia","Morro do Chapéu","Gruta dos Brejoes","-41.1558","-11.5503","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=63509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585840","NY00585840_01",NA,NA,"pyramidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","627573","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","P. A. Fryxell","S. A. Mori","14418","1981","06","14","South America","Brazil","Bahia","Iraquara","Fazenda Pratinha, margin of Rio San Antonio, 16 km SSE of Iraquara","-41.6192","-12.2486","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627573","NY00627573_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02674663","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.",NA,"P. da C. Gadelha Neto","3615","2013","05","30","South America","Brazil","Paraíba","Pilões","Cachoeira do Ouricuri","-35.585278","-6.892222","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3677086' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674663","NY02674663_01","120","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00968806","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.",NA,"J. F. Ramos","6640","1966","07","14","South America","Brazil","Distrito Federal","Brasília","Jardim Zoológico.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968806","NY00968806_01","900","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","627572","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","C. L. Cristóbal","A. Castellano","25815","1966","03","17","South America","Brazil","Bahia",NA,"Caraiba",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627572","NY00627572_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","627571","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","L. C. Barnett","R. P. Belém","3411","1967","03","09","South America","Brazil","Bahia",NA,"Margem do Rio de Contas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627571","NY00627571_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00968808","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","C. L. Cristóbal","H. S. Irwin","15004","1966","04","19","South America","Brazil","Goiás","Formosa","Serra do Morcêgo, Côrrego Estrema, 35 km N.E. of Formosa","-47.10261","-15.30964","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968808","NY00968808_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","627576","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","A. Goldberg","G. G. Hatschbach","22909","1969","11","17","South America","Brazil","Paraná","Londrina","Leroville, Campo das Pedras","-51.1628","-23.3106","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627576","NY00627576_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","627574","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","C. L. Cristóbal","R. M. Harley","21368","1980","04","15","South America","Brazil","Bahia",NA,"Basin of the Upper Sao Francisco River. Bom Jesus da Lapa. F4","-43.43","-13.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627574","NY00627574_01","450","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","627569","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","L. C. Barnett","R. P. Belém","3405","1967","03","09","South America","Brazil","Bahia",NA,"Itajurú, Bahia. Margem do Rio de Contas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627569","NY00627569_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","884907","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","L. J. Dorr","J. G. Jardim","3391","2001","04","02","South America","Brazil","Bahia","Malhada","Rod. para o Distrito de Cana Brava, 3.5 k ao S da cidade. Áreas alagadiças dos Baixadões do Rio São Francisco","-43.7539","-14.3617","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884907","NY00884907_01","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00968809","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","C. L. Cristóbal","H. S. Irwin","17696","1966","06","23","South America","Brazil","Goiás","Piranhas","Ca. 2 km. S. E. of Piranhas. Drainage of the Upper Rio Araguaia.","-51.82","-16.52","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968809","NY00968809_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-27 04:08:00-03","NY","NYBG","627579","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata",NA,"P. C. Standley","G. Klug","3927","1935","01",NA,"South America","Peru","Loreto",NA,"Maucallacta, Rio Paranapura",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627579",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","169733","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata grisebachii","Kuntze",NA,"C. E. O. Kuntze","s.n.","1892","06",NA,"South America","Bolivia","Santa Cruz","Ichilo","Yapacaní",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=173162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169733","NY00169733_01","400","400","grisebachii","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","222323","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata pseudotomentosa","Hassl.",NA,"E. Hassler","6545",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00222323","NY00222323_01",NA,NA,"pseudotomentosa","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","627593","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata pyramidata","L.","A. Goldberg","G. Eiten","4516","1962","05","05","South America","Brazil","Maranhão","Loreto","Ilha de Balsas region, between the Balsas & Parnaíba Rivers. By main house of Fazenda Morros, ca. 35 km south of Lorêto","-45.07","-7.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=63511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627593","NY00627593_01","300","300","pyramidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00968814","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata pyramidata","L.","A. Goldberg","G. Eiten","4062","1962","04","06","South America","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Balsas & Parnaíba RIvers. Ciraca 30 km S of Lorêto. By main house of Fazenda São Raimundo.","-45.125","-7.32","sheet","[Note on sheet All specimens of this number taken from a single plant.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968814","NY00968814_01","200","300","pyramidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","02098491","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata pyramidata","L.","L. J. Dorr","L. A. Pereira","325","2011","09","01","South America","Brazil","Paraíba","Campina Grande","BR 230: Km 97","-35.8811","-7.2308","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2493266' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098491","NY02098491_01","551",NA,"pyramidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","585840","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata pyramidata","L.","L. J. Dorr","R. C. Forzza","1351","1999","04","25","South America","Brazil","Bahia","Morro do Chapéu","Gruta dos Brejoes","-41.1558","-11.5503","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=63509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585840","NY00585840_01",NA,NA,"pyramidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","627593","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata pyramidata","L.","A. Goldberg","G. Eiten","4516","1962","05","05","South America","Brazil","Maranhão","Loreto","Ilha de Balsas region, between the Balsas & Parnaíba Rivers. By main house of Fazenda Morros, ca. 35 km south of Lorêto","-45.07","-7.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=63511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627593","NY00627593_01","300","300","pyramidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00968814","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata pyramidata","L.","A. Goldberg","G. Eiten","4062","1962","04","06","South America","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Balsas & Parnaíba RIvers. Ciraca 30 km S of Lorêto. By main house of Fazenda São Raimundo.","-45.125","-7.32","sheet","[Note on sheet All specimens of this number taken from a single plant.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968814","NY00968814_01","200","300","pyramidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-18 09:30:04-03","UNESP-IBB","BOTU","22782","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.",NA,"Amaral Jr., A.","308","1999","04","09",NA,"Brasil","São Paulo","Castilho",NA,NA,NA,NA,NA,"BOTU022782",NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-01-06 11:42:36-03","UFPI-MRV","HDELTA","987","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.",NA,"Lima, A.A.","72","2012","11","26",NA,"Brasil","Piauí","Parnaíba","Lagoa da Prata","-41.769972","-2.929444",NA,"Erva anfíbia","HDELTA000987",NA,NA,NA,NA,NA,"41°46'11,90''W","02°55'46,00''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-01-06 11:41:48-03","UFPI-MRV","HDELTA","2429","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","Meira, C. V. F.","Meira, C. V. F.; Karina, George, Raissa.","4","2013","12","09",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Guanxuma","HDELTA002429",NA,NA,NA,NA,NA,NA,NA,"2013","12","09",NA,NA,NA,NA,NA,NA,NA
"38","2021-01-06 11:42:36-03","UFPI-MRV","HDELTA","979","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.",NA,"Lima, A.A.","118","2013","04","24",NA,"Brasil","Piauí","Parnaíba","Lagoa da Prata","-41.783522","-2.905722",NA,"Erva","HDELTA000979",NA,NA,NA,NA,NA,"41°47'00,68''W","02°54'20,60''S","2013","05","24",NA,NA,NA,NA,NA,NA,NA
"39","2021-01-06 11:42:36-03","UFPI-MRV","HDELTA","3929","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","Nepomuceno, I. V.; Nepomuceno F. A.A.","Nepomuceno, I. V.; Nepomuceno, F. A. A.","44","2016","05","27",NA,"Brasil","Ceará","Forquilha",NA,"-40.268056","-3.776944",NA,NA,"HDELTA003929",NA,NA,NA,NA,NA,"40°16'05,00w","03°46'37,00s","2016","05","27",NA,NA,NA,NA,NA,NA,NA
"40","2021-01-06 11:42:36-03","UFPI-MRV","HDELTA","5530","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","Sales,M.B.A","Sales,M.B.A.",NA,"2018","11","03",NA,"Brasil","Piauí","Parnaíba","Bairro Nova Parnaíba","-41.7766990661621","-2.90472006797791",NA,NA,"HDELTA005530",NA,NA,NA,NA,NA,"41°46'44,60#?#","2°55'05,00#?#",NA,NA,NA,"25571","auto",NA,NA,NA,NA,NA
"41","2021-01-06 11:42:36-03","UFPI-MRV","HDELTA","5545","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","Santos,R.M.","Santos,R.M.",NA,NA,NA,NA,NA,"Brasil","Piauí","Parnaíba","R. Três de Maio","-41.7766990661621","-2.90472006797791",NA,NA,"HDELTA005545",NA,NA,NA,NA,NA,"41°45'25,00#?#","2°55'35,25#?#",NA,NA,NA,"25571","auto",NA,NA,NA,NA,NA
"42","2021-01-06 11:42:36-03","UFPI-MRV","HDELTA","3197","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","Aguiar, D.S.","Aguiar, D.S.","33","2016","02","22",NA,"Brasil","Piauí","Buriti dos Lopes",NA,"-41.8669013977051","-3.17499995231628",NA,NA,"HDELTA003197",NA,NA,NA,NA,NA,NA,NA,"2016","02","22","21335","auto",NA,NA,NA,NA,NA
"43","2021-01-06 11:42:36-03","UFPI-MRV","HDELTA","6300","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","Araújo, L.S.","Araújo, L.S.; Lemos, J.R.","362","2019","04","14",NA,"Brasil","Piauí","Murici dos Portelas",NA,"-42.0938987731934","-3.31889009475708",NA,NA,"HDELTA006300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25662","auto",NA,NA,NA,NA,NA
"44","2021-01-06 11:42:36-03","UFPI-MRV","HDELTA","901","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.",NA,"Lima, A.A.","208","2013","12","23",NA,"Brasil","Piauí","Parnaíba","Lagoa do Bebedouro","-41.7766990661621","-2.90472006797791",NA,"Folha serreada","HDELTA000901",NA,NA,NA,NA,NA,NA,NA,"2014","01","31","25571","auto",NA,NA,NA,NA,NA
"45","2020-11-13 09:20:12-03","UFRJ","RFA","10864","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","A. Goldberg","G.G. Hatschbach","22909","1969","11","17",NA,"Brasil","Paraná","Londrina","Lorenville, Campos das Pedras","-51.1627998352051","-23.3103008270264",NA,"Subarbusto 70 cm, flor lilás","RFA50873",NA,NA,NA,NA,NA,NA,NA,"1971",NA,NA,"63728","auto",NA,NA,NA,NA,NA
"46","2020-06-29 11:31:15-03","UFRJ","RFA","5255","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","P. Occhioni","P. Occhioni",NA,"1945","10",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,"Subarbusto, flor roxo-amarelada","RFA50870",NA,NA,NA,NA,NA,NA,NA,"1946",NA,NA,"57442","auto",NA,NA,NA,NA,NA
