"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","sex"
"11","2019-11-21 14:41:36-03","UFJF","CESJ","47357","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"P.L. Viana; N.F.O. Mota; F.S. Souza; O.J. Bastos Neto; A.L. Santiago","2056","2006","05","20","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Região do Burro de Ouro.","-43.8278007507324","-22.0891990661621",NA,"Erva epífita em floresta ombrófila altimontana.","CESJ047357",NA,"D. Monteiro",NA,NA,NA,NA,"2009","01","20815","auto",NA,NA,NA,NA,NA
"12","2019-11-21 14:41:36-03","UFJF","CESJ","53354","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"D. Monteiro; N.L. Abreu; K.B.L. Baldini; A.C. Mezzonato; J.A. Oliveira","515","2009","02","04","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Trilha para a cachoeira do Marciano.","-43.8278007507324","-22.0891990661621",NA,"Erva saxícola estolonífera na mata. Ramos e espigas eretas. Lâmina crassa nitida na face adaxial. Fruto amarronzado.","CESJ053354",NA,"D. Monteiro",NA,NA,NA,NA,"2009","02","20815","auto",NA,NA,"04",NA,NA
"13","2019-11-21 14:41:36-03","UFJF","CESJ","60314","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"S.G. Furtado; L. Menini Neto","99","2012","08","18","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Mata de Araucária à beira da estrada entre o Garrafão e o Centro de Apoio ao Pesquisador.","-44.8899993896484","-21.9589004516602",NA,"Epífita, a ca. 0,8m alt., em interior de floresta ombrófila mista. Folhas discolores, inflorescência jovem verde.","CESJ060314",NA,"D. Monteiro",NA,NA,NA,NA,"2013","03","29865","auto",NA,NA,NA,NA,NA
"14","2019-11-21 14:41:36-03","UFJF","CESJ","63534","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"S.G. Furtado; L. Menini Neto","249","2013","06","01","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Floresta Ombrófila Mista.","-44.8899993896484","-21.9589004516602",NA,"Epífita, interior de mata, ca 1800m de altitude. Frequente. Inflorescência verde.","CESJ063534",NA,"L. Menini Neto; S.G. Furtado",NA,NA,NA,NA,"2013","06","29865","auto",NA,NA,"01",NA,NA
"15","2019-11-06 09:57:00-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Guimarães, E.F.",NA,NA,NA,NA,"1979","05","44599","auto",NA,NA,NA,NA,NA
"16","2019-06-27 10:26:16-03","UFES","VIES","21917","S","Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Dias, H.M.; Silva, A.E.; Castro, K.C.; Kunz, S.H. & Bruno, N.","728","2012","06","12",NA,"Brasil","Espírito Santo","Ibitirama","Santa Marta.","-41.6671981811523","-20.5414009094238",NA,NA,"VIES021917","VIES021917","Guimarães, E.F.",NA,NA,NA,NA,"2013",NA,"22282","auto",NA,NA,NA,NA,NA
"17","2020-12-21 16:39:32-03","MBM","MBM","71943","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Hatschbach, G.","43971","1981","08","26","Southern America","Brazil","Paraná","Antonina","Rio Lagoa Vermelha","-48.7118988037109","-25.4286003112793",NA,NA,"MBM071943","MBM071943","Callejas, R.",NA,NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA
"18","2020-12-21 16:39:32-03","MBM","MBM","71949","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Hatschbach, G.","44389","1981","11","17","Southern America","Brazil","Paraná","Morretes","Morro Grande","-48.834400177002","-25.476900100708",NA,NA,"MBM071949","MBM071949","Callejas, R.",NA,NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA
"19","2015-09-03 18:41:09-03","MNHN","RECOLNAT_MNHN_P","P01656028","PreservedSpecimen",NA,NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01656028' target='other'> <mi>dwc_moreinfo</mi></a>","P01656028","P01656028_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D 164",NA
"20","2015-09-03 18:41:09-03","MNHN","RECOLNAT_MNHN_P","P01656027","PreservedSpecimen",NA,NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Glaziou, A.",NA,"1877","5","20",NA,"Brasil","Rio de Janeiro","Petrópolis","Brésil-Petropolis.","-43.1786003112793","-22.5049991607666","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01656027' target='other'> <mi>dwc_moreinfo</mi></a>","P01656027","P01656027_01",NA,NA,NA,NA,NA,NA,NA,"36524","auto",NA,NA,NA,"8941 p.p.",NA
"21","2020-10-01 14:25:37-03","JBB","HEPH","25881","S","Plantae","Magnoliid","Piperales","Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Braga, PIS","1884","1970","09","28","Southern America","Brasil","Minas Gerais",NA,"Serra de Ibitipoca, Pico do Peão",NA,NA,NA,NA,NA,NA,"Guimarães, EF","1450","1580",NA,NA,"1983",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-10-01 14:25:37-03","JBB","HEPH","25882","S","Plantae","Magnoliid","Piperales","Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Sucre, D; Krieger, PL","6720","1970","05","12","Southern America","Brasil","Minas Gerais",NA,"Serra de Ibitipoca, Pico do Peão. Formação de arenito da série lavras",NA,NA,NA,NA,NA,NA,"Guimarães, EF","1580","1600",NA,NA,"2004","09",NA,NA,NA,NA,NA,NA,NA
"23","2020-10-01 14:25:37-03","JBB","HEPH","25960","S","Plantae","Magnoliid","Piperales","Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Forzza, RC; Jardim, JG; Lucas, EJ","3161","2004","03","10","Southern America","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Conceição de Ibitipoca, Mata Grande","-43.114722","-21.195",NA,NA,NA,NA,"Forzza, RC","1400","1400",NA,NA,"2004",NA,NA,NA,"-43.114722","-21.195",NA,NA,NA
"24","2020-10-01 14:25:37-03","JBB","HEPH","25883","S","Plantae","Magnoliid","Piperales","Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Forzza, RC; Jardim, JG","3240","2004","03","11","Southern America","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Trilha entre a Lombada e o Pico do Pião","-43","-21",NA,NA,NA,NA,"Medeiros, E von S","1470","1470",NA,NA,"2004","08",NA,NA,"-43","-21",NA,NA,NA
"25","2020-10-01 14:25:37-03","JBB","HEPH","25902","S","Plantae","Magnoliid","Piperales","Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Carvalho-Silva, M; Medeiros, E von S","263","2004","06","29","Southern America","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Conceição de Ibitipoca, mata das bromélias, subida para lagoa seca","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Carvalho-Silva, M",NA,NA,NA,NA,"2004","07","30417","auto",NA,NA,NA,NA,NA
"26","2020-10-01 14:25:37-03","JBB","HEPH","25898","S","Plantae","Magnoliid","Piperales","Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Carvalho-Silva, M; Medeiros, E von S","259","2004","06","28","Southern America","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Conceição de Ibitipoca, Mata Grande, entrada pelo caminho que segue para o monjolinho","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Carvalho-Silva, M",NA,NA,NA,NA,"2004","07","30417","auto",NA,NA,NA,NA,NA
"27","2020-10-01 14:25:37-03","JBB","HEPH","25925","S","Plantae","Magnoliid","Piperales","Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Martinelli, G","13167","1988","10","06","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Parque Estadual do Desengano, Santa Maria Madalena. Pedra do Desengano, vertente NW, Campos de altitude, proj. Flora dos Campos de Altitude - Área III","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Carvalho-Silva, M","1760","1760",NA,NA,"2014","02","57442","auto",NA,NA,NA,NA,NA
"28","2020-12-11 11:40:08-03","UFMG","BHCB","85290","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Salino, A; Mota, RC da; Mota, NFO; Melo, PHA de","9209","2003","10","10","Southern America","Brasil","Minas Gerais","Santa Maria do Salto","Distrito de Talismã, fazenda Duas Barras, próximo a divisa com o estado da Bahia.","-40.057611","-16.404583",NA,"Erva epífita pendente; inflorescência verde-claro.; Mata. Floresta Ombrófila Densa Montana","BHCB052378","BHCB052378",NA,"750","850",NA,NA,"2004","10",NA,NA,"-40.057611","-16.404583","30",NA,NA
"29","2020-12-11 11:40:08-03","UFMG","BHCB","16654","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Andrade, PM de","1106","1988","01","13","Southern America","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,"Epífita.; Mata pluvial montana. (Lagoa seca). Ambiente úmido.","BHCB052377","BHCB052377",NA,NA,NA,NA,NA,"2012","02","30417","auto",NA,NA,"02",NA,NA
"30","2020-12-11 11:40:08-03","UFMG","BHCB","90008","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Mota, RC da","2332","2002","12","24","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirao do Campo","-43.4249992370605","-19.0372009277344",NA,"Epífita em Cyathea. Mata de galreia.","BHCB052379","BHCB052379",NA,NA,NA,NA,NA,"2004","10","60318","auto",NA,NA,"30",NA,NA
"31","2019-02-19 04:30:00-03","MO","MOBOT","2868048","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"C.F.P. Martius","Martius s.n.","1817",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-07-10 09:48:47-03","MBML","MBML-HERBARIO","22516",NA,"Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"L. Kollmann; et al","6645","2004","04","10",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,"Epífita no sol.","MBML022516",NA,"V.B. Sarnaglia Jr./Abril-2013",NA,NA,NA,NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA
"33","2020-07-10 09:48:47-03","MBML","MBML-HERBARIO","23780",NA,"Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"L. Kollmann; et al","7262","2004","11","24",NA,"Brasil","Espírito Santo","Santa Teresa","Cabeceira do Rio Bonito","-40.548333","-19.847222",NA,"Epífita na sombra, espiga verde.","MBML023780",NA,"V.B. Sarnaglia Jr./Abril-2013",NA,NA,NA,NA,NA,NA,NA,NA,"40W32'54","19S50'50",NA,NA,NA
"34","2020-07-10 09:48:47-03","MBML","MBML-HERBARIO","24808",NA,"Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"L. Kollmann; et al","8010","2005","07","13",NA,"Brasil","Espírito Santo","Domingos Martins","Parque Estadual da Pedra Azul","-41.019167","-20.403889",NA,"Epífita na sombra.","MBML024808",NA,"V.B. Sarnaglia Jr./Abril-2013",NA,NA,NA,NA,NA,NA,NA,NA,"41W1'9","20S24'14",NA,NA,NA
"35","2020-07-10 09:48:47-03","MBML","MBML-HERBARIO","36442",NA,"Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"M.M. Saavedra; et al","818","2008","07","19",NA,"Brasil","Espírito Santo","Castelo","Distrito de Forno Grande, Goela da Onça","-41.111389","-20.516111",NA,NA,"MBML036442",NA,"V.B. Sarnaglia Jr./Abril-2013",NA,NA,NA,NA,NA,NA,NA,NA,"41W6'41","20S30'58",NA,NA,NA
"36","2020-07-10 09:48:47-03","MBML","MBML-HERBARIO","37639",NA,"Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"C. N. de Fraga; R.C.Forzza, L.Kollmann & P.H.Labiak.","2303","2008","10","21",NA,"Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas. Pau Amarelo, ex-Condomínio Rural Cantinho do Céu. Floresta Ombrófila Densa Montana.","-40.55","-20.266667",NA,"Rupícola. Folhas discolores. Inflorescência verde clara.","MBML037639",NA,"V.B. Sarnaglia Jr./Abril-2013","619","619",NA,NA,NA,NA,NA,NA,"40W32'60","20S16'0",NA,NA,NA
"37","2020-06-15 15:31:08-03","UNESP-RC","HRCB","68628","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Moraes",NA,NA,NA,NA,NA,"Brasil","Bahia","Camacã","RPPN Serra Bonita",NA,NA,NA,NA,NA,NA,"G.M. Marcusso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-06-15 15:31:08-03","UNESP-RC","HRCB","68157","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Marcusso",NA,NA,NA,NA,NA,"Brasil","São Paulo","Cunha","Parque Estadual da Serra do Mar","-44.982008","-23.23785",NA,NA,NA,NA,"G.M. Marcusso",NA,NA,NA,NA,NA,NA,NA,NA,"44º58'55.23W","23º14'16.26S",NA,NA,NA
"39","2020-06-15 15:31:08-03","UNESP-RC","HRCB","68155","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Marcusso",NA,NA,NA,NA,NA,"Brasil","São Paulo","Cunha","Parque Estadual da Serra do Mar","-44.982008","-23.23785",NA,NA,NA,NA,"G.M. Marcusso",NA,NA,NA,NA,NA,NA,NA,NA,"44º58'55.23W","23º14'16.26S",NA,NA,NA
"40","2020-06-15 15:31:08-03","UNESP-RC","HRCB","74419","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Marcusso",NA,NA,NA,NA,NA,"Brasil","São Paulo","São Luís do Paraitinga","Parque Estadual da Serra do Mar","-45.070278","-23.328611",NA,NA,NA,NA,"G.M.Marcusso",NA,NA,NA,NA,NA,NA,NA,NA,"45° 4'13W","23°19'43S",NA,NA,NA
"41","2020-06-15 15:31:08-03","UNESP-RC","HRCB","70753","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Taxonomia de campo 2017/grupo verde",NA,NA,NA,NA,NA,"Brasil","São Paulo","Cunha","Parque Estadual da Serra do Mar, Núcleo Cunha",NA,"-23.233333",NA,NA,NA,NA,"Marcusso, G.M.",NA,NA,NA,NA,NA,NA,NA,NA,"45º01O","23°14'S",NA,NA,NA
"42","2019-09-04 18:58:18-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Piperaceae","Peperomia","campinasana","suboppositifolia","Peperomia campinasana suboppositifolia",NA,"Type [status unknown]","C. A. W. Schwacke","11253",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-09-04 19:49:48-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana",NA,NA,"C. F. P. von Martius",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-11-01 15:07:51-03","UnB","UB","156555","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"Polisel, RT; Ivanauskas, NM; Assis, MC; Souza, RPM; Esteves, R","47","2006","08","04","Southern America","Brasil","São Paulo","Campos do Jordão","P.E.C.J., Trilha da Cachoeira, área de fitossociologia","-45.5900001525879","-22.7299995422363",NA,"Erva 0,2m. Botões verdes.",NA,NA,"Carvalho-Silva, M",NA,NA,NA,NA,"2010","08","21048","auto",NA,NA,NA,NA,NA
"45","2021-03-04 15:45:44-03","IF","SPSF","37655","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"R.T.Polisel & N.M.Ivanauskas & M.C.Assis & R.P.M.Souza & R.Esteves","47","2006","04","08","América do Sul","Brasil","SP","Campos do Jordão","Parque Estadual","-45.464444","-22.691667",NA,"COLETA: Herbácea 20cm; botões verdes.; GEOGRAFIA: Trilha da Cachoeira.;",NA,NA,"M.Carvalho-Silva",NA,NA,"Magnoliopsida",NA,"2010","08",NA,NA,NA,NA,"09",NA,NA
"46","2017-09-11 17:12:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"?","s.n.",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2014-09-23 11:02:06-03","G","G-DC","G00317991","S","Plantae",NA,NA,"Piperaceae","Peperomia","campinasana","var. suboppositifolia","Peperomia campinasana var. suboppositifolia","C. DC.","HOLOTYPUS of Peperomia campinasana var. suboppositifolia C. DC.","Schwacke, C. A. W.","11253","1894","11","25","AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"-45.44222222","-18.78777778",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00317991",NA,"CAT.HERB.PRODR.",NA,NA,NA,NA,"2012","01",NA,NA,"-45.44222222","-18.78777778","01",NA,NA
"48","2019-11-21 10:14:15-03","IBt","SP","292308","S","Plantae",NA,NA,"Piperaceae","Peperomia","mandiocanna",NA,"Peperomia mandiocanna","Miq.",NA,"Rossi, L; Cordeiro, I; Pastore, JA; Lopes da Silva, E","1442","1994","03","29",NA,"Brasil","São Paulo","Pindamonhangaba","Alto de São José dos Alpes. Usina Isabel. No interior da mata.","-45.4599990844727","-22.9200000762939",NA,NA,"SP011003","SP011003","Guimarães, EF","1960","1960",NA,NA,"2012",NA,"24176","auto",NA,NA,NA,NA,NA
"49","2019-04-16 18:28:59-03","GH","HU-HERB","GH 01982376","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miquel",NA,"Y. E. J. Mexia","4296-a","1930","2","1","South America","Brazil","Minas Gerais","Carangola","N.E. slope of Serra da Grama","-42.0293998718262","-20.7331008911133","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21913","auto",NA,NA,NA,"4296-a","undetermined"
