"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","dayIdentified","sex"
"11","2015-09-04 05:32:03-03","MNHN","RECOLNAT_MNHN_P","P02677756","PreservedSpecimen",NA,NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Glaziou, A.",NA,"1883",NA,"Brasil",". Minas Gerais, Sudeste, Brasil, América do Sul","hb","Plantes des environs de Rio-de-Janeiro et d'Ouro Preto - Brésilm recueillies en 1883 et 1884. . Reçu le 6 Aoùt 1885 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02677756' target='other'> <mi>dwc_moreinfo</mi></a>","P02677756","P02677756_01",NA,"1","1","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"15095",NA,NA,NA,NA,NA,NA,NA
"12","2015-09-04 05:32:03-03","MNHN","RECOLNAT_MNHN_P","P02677757","PreservedSpecimen",NA,NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Riedel",NA,NA,NA,"Brasil","Brasilia. Brasil, América do Sul","hb",". s.d. No 1278 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02677757' target='other'> <mi>dwc_moreinfo</mi></a>","P02677757","P02677757_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1191",NA,NA,NA,NA,NA,NA,NA
"13","2015-09-04 05:32:03-03","MNHN","RECOLNAT_MNHN_P","P02677758","PreservedSpecimen",NA,NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Riedel",NA,NA,NA,"Brasil","Brasilia. Brasil, América do Sul","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02677758' target='other'> <mi>dwc_moreinfo</mi></a>","P02677758","P02677758_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"716",NA,NA,NA,NA,NA,NA,NA
"14","2015-09-04 05:32:03-03","MNHN","RECOLNAT_MNHN_P","P02677760","PreservedSpecimen",NA,NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Saint-Hilaire, A. de",NA,"1816",NA,"Brésil","Brésil. Province de Minas Geraes. Minas Gerais, Sudeste, Brasil, América do Sul","hb","Voyage d' Auguste de Saint-Hilaire, de 1816 à 1821. . No 1006 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02677760' target='other'> <mi>dwc_moreinfo</mi></a>","P02677760","P02677760_01",NA,"1","1","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"B1 180",NA,NA,NA,NA,NA,NA,NA
"15","2015-09-04 05:32:03-03","MNHN","RECOLNAT_MNHN_P","P02677761","PreservedSpecimen",NA,NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Saint-Hilaire, A. de",NA,"1816",NA,"Brésil","BRÉSIL: Province de Minas Geraes. Minas Gerais, Sudeste, Brasil, América do Sul","hb","Voyage d'August de Saint-Hilaire, de 1816 à 1821. . no 1006 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02677761' target='other'> <mi>dwc_moreinfo</mi></a>","P02677761","P02677761_01",NA,"1","1","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"B1 180",NA,NA,NA,NA,NA,NA,NA
"16","2015-09-04 05:32:03-03","MNHN","RECOLNAT_MNHN_P","P02677762","PreservedSpecimen",NA,NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Beyrich",NA,NA,NA,"Brasil","Brasilia: Serra dos Orgaos. Rio de Janeiro, Sudeste, Brasil, América do Sul","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02677762' target='other'> <mi>dwc_moreinfo</mi></a>","P02677762","P02677762_01",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:33:33-03","UFMG","BHCB","106902","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stevia","riedelli","Stevia riedelli","Sch.Bip. ex Baker",NA,"Teles, AM; Fonseca, F; Alves, R","446","2007","Southern America","Brasil","Serra da Moeda. Marinho da Serra.",NA,"Plantas do Brasil. Campo rupestre quartzítico. Subarbustivo. Flores lilás.",NA,NA,NA,"04","26","Minas Gerais","Moeda","-43.939722","-20.324722",NA,NA,NA,NA,NA,NA,"-43.939722","-20.324722","1455","1455",NA,NA,NA
"18","2020-12-11 11:33:33-03","UFMG","BHCB","110452","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stevia","riedelli","Stevia riedelli","Sch.Bip. ex Baker",NA,"Carmo, FF","590","2007","Southern America","Brasil","Marinho da Serra., QTZ.",NA,"Plantas do Brasil. Afloramento de quartzito.",NA,NA,NA,"05","09","Minas Gerais","Moeda","-43.94","-20.324444",NA,NA,NA,NA,NA,NA,"-43.94","-20.324444","1450","1450",NA,NA,NA
"19","2020-12-11 11:33:33-03","UFMG","BHCB","42931","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stevia","riedelli","Stevia riedelli","Sch.Bip. ex Baker",NA,"Stehmann, JR","2376","1998","Southern America","Brasil","Ribeirão dos Cristais.",NA,"Plantas do Brasil. Nas rochas da margem inundável do rio. Herbácio ereto. Flores brancas.",NA,NA,NA,"08","08","Minas Gerais","Nova Lima","-43.8466987609863","-19.9855995178223","29211","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","44101","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stevia","riedelii","Stevia riedelii","Sch. Bip. ex Baker",NA,"Wilkes Explor. Exped.","s.n.","1838","South America - Neotropics","Brazil","Organ Mountains",NA,NA,"US00756467","US00756467_01 US00756467_02","Dicotyledonae",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"21","2020-09-12 05:00:02-03","US","US","3377062","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stevia","riedelii","Stevia riedelii","Sch. Bip. ex Baker",NA,"J. R. Stehmann","2376","1998","South America","Brazil","MG, Nova Lima: margem do ribeirão dos Cristais",NA,NA,"US01648709","US01648709_01","Dicotyledonae","8","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"22","2020-09-12 05:00:02-03","US","US","2249209","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stevia","riedelii","Stevia riedelii","Sch. Bip. ex Baker",NA,"A. Macedo","4318",NA,"South America","Brazil","Pirineus, Mun. Corumbá de Goia, Estado Go. [interpreted]",NA,NA,"US01648990","US01648990_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"Silva-Quaresma, Aline",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"23","2020-09-12 05:00:02-03","US","US","1574965","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stevia","riedelii","Stevia riedelii","Sch. Bip. ex Baker",NA,"L. Riedel","s.n.","1824","South America","Brazil","Brasilia. In fissuris rupium ad rivul. Piabañha pr. Sumadoro [interpreted]",NA,NA,"US01648708","US01648708_01","Dicotyledonae","3","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"24","2019-09-04 19:33:30-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Stevia","riedelii","Stevia riedelii",NA,"Type [status unknown]","L. Riedel","546",NA,"South America","Brazil",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-01-22 15:35:20-02","F","FMNH-SEEDPLANTS","V0051560F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Stevia","riedelii","Stevia riedelii",NA,"Possible type","L. Riedel",NA,NA,"South America","Brazil",NA,NA,NA,"V0051560F","V0051560F_01","Dicotyledoneae",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-28 15:44:42-03","UFU","HUFU","78421","S","Plantae",NA,NA,"Asteraceae","Stevia","riedelli","Stevia riedelli","Sch.Bip. ex Baker",NA,"Pedrosa, L.G.","474","2018",NA,"Brasil","Próximo a Três Moinhos.",NA,"Erva, ca. 40 cm. Flores brancas.; Curso d'água.","HUFU00076992",NA,NA,"06","23","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,"2019","06",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-05-06 11:54:07-03","UFU","HUFU","71168","S","Plantae",NA,NA,"Asteraceae","Stevia","riedelli","Stevia riedelli","Sch.Bip. ex Baker",NA,"Kuhlmann, M.","s.n.","1959",NA,"Brasil","Fazenda Barreiro Rico, Sobre Pedreira úmida a margem do Rio Piracicaba.",NA,"Erva.; Pedreira úmida a margem do Rio","HUFU00072360","HUFU00072360",NA,"05","03","São Paulo","Anhembi","-48.1199989318848","-22.7800006866455","25656","auto","Nakajima, J.N.","1999","01",NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-05-06 11:54:07-03","UFU","HUFU","4449","S","Plantae",NA,NA,"Asteraceae","Stevia","riedelli","Stevia riedelli","Sch.Bip. ex Baker",NA,"Kuhlmann, M.","s.n.","1977",NA,"Brasil","Próximo a margem do rio Piracicaba.",NA,"Sobre pedreira úmida a margem do rio.","HUFU00055532","HUFU00055532",NA,"10","22","São Paulo","Anhembi","-48.1199989318848","-22.7800006866455","25656","auto","Nakajima, J.N.","1999","08",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-05-06 11:54:07-03","UFU","HUFU","71177","S","Plantae",NA,NA,"Asteraceae","Stevia","riedelli","Stevia riedelli","Sch.Bip. ex Baker",NA,"Cordeiro, I.; Catharino, E.L.M.; Ribeiro, W. & Mariano Neto, E.","1745","1998",NA,"Brasil","Barrancas do Rio Piracicaba, Entre Tanquã e Artemis.",NA,"Erva de capítulos alvos ca. 30 cm alt.","HUFU00072359","HUFU00072359",NA,"05","22","São Paulo","Piracicaba","-47.6399993896484","-22.7199993133545","44778","auto","Nakajima, J.N.","2000","11",NA,NA,NA,NA,NA,NA,NA,NA
"30","2017-09-11 17:08:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Stevia","riedelli","Stevia riedelli","Sch.Bip. ex Baker",NA,"Riedel, L","546",NA,"Southern America","Brazil","Habitat prov. Rio de Janeiro in Serra d'Estrella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-09-11 17:08:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Stevia","riedelli","Stevia riedelli","Sch.Bip. ex Baker",NA,"Riedel, L","716",NA,"Southern America","Brazil","Habitat prov. Rio de Janeiro in Serra d'Estrella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-09-11 17:08:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Stevia","riedelli","Stevia riedelli","Sch.Bip. ex Baker",NA,"Sello, HL","s.n.",NA,"Southern America","Brazil","Habitat prov. Rio de Janeiro in Serra d'Estrella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-21 10:01:24-03","IBt","SP","279391","S","Plantae",NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Marcondes Ferreira, W; et al.","1161","1995",NA,"Brasil","Entre Igaçaba e Rifânia",NA,NA,NA,NA,NA,"05","04","São Paulo",NA,NA,NA,NA,NA,"Nakajima, JN","1999","01",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 10:01:26-03","IBt","SP","68025","S","Plantae",NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Macedo, A","4926","1957",NA,"Brasil","S. Lourenço",NA,NA,NA,NA,NA,"06","01","Minas Gerais","Ituiutaba","-49.4650001525879","-18.968900680542","50022","auto","Nakajima, JN","1991","09",NA,NA,NA,NA,NA,NA,"09",NA
"35","2019-11-21 10:01:26-03","IBt","SP","68987","S","Plantae",NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Macedo, A","4564","1956",NA,"Brasil","Rio Uberabinha",NA,NA,NA,NA,NA,"07","22","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","auto","Nakajima, JN","1991","09",NA,NA,NA,NA,NA,NA,"09",NA
"36","2019-11-21 10:01:24-03","IBt","SP","137784","S","Plantae",NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Kuhlmann, M","s.n.","1959",NA,"Brasil","Faz. Barreiro Rico. Sobre pedra úmida à margem do Rio Piracicaba",NA,NA,NA,NA,NA,"05","03","São Paulo","Anhembi","-48.1199989318848","-22.7800006866455","25656","auto","Nakajima, JN","1999","01",NA,NA,NA,NA,NA,NA,NA,NA
"37","2010-08-16 16:38:00-03","GH","HU-HERB","GH 00012886","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Schultz Bipontinus ex Baker","Syntype","L. Riedel",NA,NA,"South America","Brazil",NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"undetermined"
"38","2010-08-16 16:38:00-03","GH","HU-HERB","GH 00012887","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Schultz Bipontinus ex Baker","Syntype","L. Riedel",NA,NA,"South America","Brazil",NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"undetermined"
