"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","individualCount","fieldNumber"
"14","2016-09-29 09:52:00-03","NY","NYBG","590597","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","E. Pereira","4329","1958","09","23","Brazil","Rio de Janeiro","Rio de Janeiro","Estrada do Corcovado","-43.215145","-22.949794",NA,NA,NA,NA,"NY00590597","NY00590597_01",NA,NA,NA,NA,"Frutos na carpologia colhidos em 24/2/1959 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258728' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"15","2016-09-29 22:11:00-03","NY","NYBG","886352","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. P. Belém","3706","1968","06","10","Brazil","Bahia","Una","Saída para Olivença.","-39.0753","-15.2933",NA,NA,NA,NA,"NY00886352","NY00886352_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022477' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","separate fruit",NA,NA,NA,NA
"16","2016-09-29 22:04:00-03","NY","NYBG","945109","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff; R. C. Barneby","A. P. Duarte","6430","1961","10","25","Brazil","Minas Gerais",NA,"Margem do Hotel Veraneio, Serra do Cipó",NA,NA,NA,NA,NA,NA,"NY00945109","NY00945109_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013194' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","590604","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","R. Reitz","R. Reitz","3969","1956","10","25","Brazil","Santa Catarina","Palhoça","Piloes","-48.694057","-27.77489",NA,NA,"150","150","NY00590604","NY00590604_01 NY00590604_02",NA,NA,NA,NA,"Lenho na xiloteca <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258709' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","590608","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","L. B. Smith; S. F. Smith","G. G. Hatschbach","20186","1968","11","05","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769",NA,NA,"100","100","NY00590608","NY00590608_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258707' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"19","2016-09-29 09:52:00-03","NY","NYBG","590607","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. M. Klein","820","1954","10","29","Brazil","Santa Catarina","Itajaí","Cunhas","-48.6617","-26.9081",NA,NA,"10","10","NY00590607","NY00590607_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258722' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"20","2016-09-29 09:52:00-03","NY","NYBG","590641","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","W. A. Ducke","2330","1953","12","22","Brazil","São Paulo","São Paulo","Serra da Cantareira","-46.63","-23.5403",NA,NA,NA,NA,"NY00590641","NY00590641_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258713' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"21","2016-09-29 09:52:00-03","NY","NYBG","590631","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. Reitz","1899","1954","07","01","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081",NA,NA,"150","150","NY00590631","NY00590631_01 NY00590631_02 NY00590631_03",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258723' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","separate fruit",NA,NA,NA,NA
"22","2016-09-29 09:52:00-03","NY","NYBG","590611","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,NA,"R. de Lemos Fróes","12716/103","1943","03","16","Brazil","Bahia","Ilhéus","Bom Gosto","-39.04","-14.78",NA,NA,NA,NA,"NY00590611","NY00590611_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258733' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","590609","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","B. A. Krukoff","G. G. Hatschbach","33409","1973","11","29","Brazil","Paraná","Antonina","Cab. rio Faisqueira","-48.7117","-25.4286",NA,NA,NA,NA,"NY00590609","NY00590609_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258729' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"24","2016-09-29 22:04:00-03","NY","NYBG","945112","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff; R. C. Barneby","G. M. Magalhaes","18915",NA,NA,NA,"Brazil","Minas Gerais","Caeté","Serra da Piedade. Só é encontrada esta sp. na área (base da Serra nos lados L. e S.)","-43.6694","-19.88",NA,NA,NA,NA,"NY00945112","NY00945112_01 NY00945112_02",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013247' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","590616","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","B. A. Krukoff","G. M. Magalhaes","18915","1962","07","05","Brazil","Minas Gerais","Caeté","Serra da Piedade","-43.675674","-19.822323",NA,NA,NA,NA,"NY00590616","NY00590616_01 NY00590616_02 NY00590616_03",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258715' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"26","2016-09-29 09:52:00-03","NY","NYBG","590601","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. M. Klein","850","1954","11","29","Brazil","Santa Catarina","Itajaí",NA,"-48.6617","-26.9081",NA,NA,"10","10","NY00590601","NY00590601_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258719' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","945284","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","A. J. M. Leeuwenberg","W. R. Anderson","7813","1973","03","23","Brazil","Goiás","São João d'Aliança","3 km by road S of São João da Aliança. Serra Geral do Paraná.","-47.5","-14.73",NA,NA,"1040","1040","NY00945284","NY00945284_01 NY00945284_02",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022236' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","separate fruit",NA,NA,NA,NA
"28","2016-09-29 22:04:00-03","NY","NYBG","945111","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","S. Monteiro","Planta2640","1964","09","18","Brazil","Minas Gerais",NA,"Estação Experimental Agua Limpa.",NA,NA,NA,NA,NA,NA,"NY00945111","NY00945111_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013220' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"29","2016-09-29 09:52:00-03","NY","NYBG","590603","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. Reitz","3488","1956","07","18","Brazil","Santa Catarina","Ibirama",NA,"-49.5178","-27.0569",NA,NA,"150","150","NY00590603","NY00590603_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258714' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"30","2016-09-29 09:52:00-03","NY","NYBG","590614","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. P. Belém","3725","1968","05","20","Brazil","Bahia","Itabuna","Estaçao Experimental de Juçari","-39.2803","-14.7858",NA,NA,NA,NA,"NY00590614","NY00590614_01",NA,NA,NA,NA,"Frutos imaturos, secos em separado <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258726' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"31","2016-09-29 22:04:00-03","NY","NYBG","945114","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","Collector unspecified","30",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Jurujuba. Prov. Sebastianops.",NA,NA,NA,NA,NA,NA,"NY00945114","NY00945114_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013283' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"32","2016-09-29 09:52:00-03","NY","NYBG","590638","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. M. Klein","1368","1955","05","12","Brazil","Santa Catarina","Itajaí","Cunhas","-48.6617","-26.9081",NA,NA,"10","10","NY00590638","NY00590638_01 NY00590638_02 NY00590638_03",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258725' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","separate fruit",NA,NA,NA,NA
"33","2016-09-29 22:11:00-03","NY","NYBG","945289","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","G. M. Magalhaes","18915",NA,NA,NA,"Brazil","Minas Gerais","Caeté","Serra da Pie dade.","-43.6694","-19.88",NA,NA,NA,NA,"NY00945289","NY00945289_01 NY00945289_02",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022211' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","separate fruit",NA,NA,NA,NA
"34","2016-09-29 09:52:00-03","NY","NYBG","590599","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. M. Klein","1531","1955","08","12","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081",NA,NA,"150","150","NY00590599","NY00590599_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258718' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","590617","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","A. J. M. Leeuwenberg","W. R. Anderson","7813","1973","03","23","Brazil","Goiás","São João d'Aliança","Serra Geral do Paraná. 3 km by road S of Sao Joao da Aliança","-47.5247001647949","-14.7055997848511",NA,NA,"1040","1040","NY00590617","NY00590617_01",NA,NA,NA,"91641","Fruit separate <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258706' target='other'> <mi>dwc_moreinfo</mi></a>","auto","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","590596","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","B. A. Krukoff","E. Pereira","448","1945","12","20","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706",NA,NA,NA,NA,"NY00590596","NY00590596_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258717' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"37","2016-09-29 22:04:00-03","NY","NYBG","945113","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","Collector unspecified","13",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY00945113","NY00945113_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013251' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"38","2016-09-29 09:52:00-03","NY","NYBG","590632","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. Reitz","3488","1956","07","18","Brazil","Santa Catarina","Ibirama",NA,"-49.5178","-27.0569",NA,NA,"150","150","NY00590632","NY00590632_01 NY00590632_02 NY00590632_03",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258716' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","separate fruit",NA,NA,NA,NA
"39","2016-09-29 22:04:00-03","NY","NYBG","945110","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff; R. C. Barneby","G. M. Magalhaes","s.n.","1957","10",NA,"Brazil","Minas Gerais","Caeté",NA,"-43.6694","-19.88",NA,NA,NA,NA,"NY00945110","NY00945110_01 NY00945110_02",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013208' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"40","2016-09-29 09:52:00-03","NY","NYBG","590615","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. P. Belém","3573","1968","05","17","Brazil","Bahia","Ilhéus","Saída para Buerarema","-39.0492","-14.7892",NA,NA,NA,NA,"NY00590615","NY00590615_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258727' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"41","2016-09-29 09:52:00-03","NY","NYBG","590637","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. M. Klein","1531","1955","08","12","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081",NA,NA,"150","150","NY00590637","NY00590637_01 NY00590637_02",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258724' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","separate fruit",NA,NA,NA,NA
"42","2016-09-29 09:52:00-03","NY","NYBG","590642","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","A. F. M. Glaziou","5944","1872","08","07","Brazil","Rio de Janeiro","Rio de Janeiro","Pico de la fortalessa de Sta. Cruz","-43.2075","-22.9031",NA,NA,NA,NA,"NY00590642","NY00590642_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258731' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","4218506","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.",NA,"J. L. da Costa Lima","539","2011","08","27","Brazil","Rio Grande do Norte","Nísia Floresta","Distrito de Morrinhos","-35.156839","-6.116189",NA,NA,"41",NA,"NY04218506","NY04218506_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2953121' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"44","2021-02-18 09:29:59-03","UNESP-IBB","BOTU","20327","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.",NA,"Amaral Jr., A.","1:0(3.3)","1993","02","02","Brasil","São Paulo","Bofete",NA,NA,NA,"9999","9999",NA,NA,"BOTU020327",NA,NA,NA,NA,NA,"Arbusto, + ou - 70 cm de altura",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-13 09:20:06-03","UFRJ","RFA","42748","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.",NA,"Nina C.B. Silva","563","2012","08","31","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, coletada na mata perto da casa do Sr. Luis, Projeto etnobotânica","-43.4185981750488","-22.4286003112793",NA,NA,NA,NA,"RFA38417",NA,NA,NA,NA,"18359","Estipe jovem ca. 3 m. Folha cz. 2,10 cm. estéril. Comum no local","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-30 12:43:13-03","EAO","IAN","125219","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","Krukoff, BA","Belém, RP","3573","1968","05","17","Brasil","Bahia",NA,"Pontal dos Ilhéus, saída para Buerarema.",NA,NA,NA,NA,NA,NA,"IAN125219",NA,"1970",NA,NA,NA,"Cipó, caule espinhoso, folhas pilosas, gavinhas nos ramos terminais, estéril.",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA
