"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","individualCount","relatedCatalogItem"
"12","2021-03-30 12:53:57-03","EAO","IAN","62661","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Pilger, R","Pilger, R","34","1934","12","28","Southern America","Brasil","Rio de Janeiro","(Herbario do Jardim Botânico do Rio 25720).",NA,NA,"IAN062661",NA,"Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:19:04-03","NBC","NL-BOTANY","U.1502168","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","setifolium","Panicum setifolium","Nees",NA,"Harley RM; et al.",NA,"1974","03","04","Southern America","Brazil",NA,"Estado de Bahia, Serra do Curral Feio, 16 km N.W of Lagoinha (which is 5.5 km S.W. of Delfino) on side road to Minas do Mimoso.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1502168 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1502168","NL-U1502168",NA,"-41.333333","-10.366667",NA,NA,"-41.333333","-10.366667",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:19:04-03","NBC","NL-BOTANY","U.1502169","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","setifolium","Panicum setifolium","Nees",NA,"Harley RM; et al.",NA,"1974","03","04","Southern America","Brazil",NA,"Estado de Bahia, Serra do Curral Feio, 16 km N.W of Lagoinha (which is 5.5 km S.W. of Delfino) on side road to Minas do Mimoso.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1502169 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1502169","NL-U1502169",NA,"-41.333333","-10.366667",NA,NA,"-41.333333","-10.366667",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:19:10-03","NBC","NL-BOTANY","L.1295513","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,"Brasilia.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1295513 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1295513","NL-L1295513",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:19:10-03","NBC","NL-BOTANY","L.1295514","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,"Brasilia.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1295514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1295514","NL-L1295514",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"17","2020-11-04 12:18:45-03","ESALQ","ESA","52686","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Zuloaga, F.O.","Zuloaga, F.O. et al.","8994.0","2006","07","17",NA,"Brasil","Bahia",NA,NA,NA,"ESA052686","ESA052686","Barrolândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-02-02 14:38:16-02","BGBM","B","B 10 0366240","S","Plantae",NA,NA,"Gramineae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"F. Sellow","269",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100366240 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100366240","B100366240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA,NA,NA
"19","2016-02-02 14:38:16-02","BGBM","B","B 10 0366242","S","Plantae",NA,NA,"Gramineae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"F. Sellow",NA,NA,NA,NA,"Middle and South America","Brazil",NA,"Inter Vittoria et Bahia.",NA,"<a href=http://herbarium.bgbm.org/object/B100366242 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100366242","B100366242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA,NA,NA
"20","2016-02-02 14:38:16-02","BGBM","B","B 10 0366241","S","Plantae",NA,NA,"Gramineae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"F. Sellow","268",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100366241 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100366241","B100366241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA,NA,NA
"21","2019-11-21 14:42:51-03","UFJF","CESJ","23908","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","P.L. Viana","L. Krieger; M.C. Brügger","CESJ23908","1989","10","11","América do Sul","Brasil","Minas Gerais","Nascente do Pirapitinga",NA,"Sobre arenito em encosta de montanha. Pequena touceiras.","CESJ023908",NA,"Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"30417","auto",NA,NA,"2005","09","08",NA,NA
"22","2021-03-01 16:20:35-03","UNICAMP","UEC","17070","S","Plantae","Liliopsida",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Viana, PL","Shepherd, GJ; Kinoshita, LS; Tamashiro, JY; Andrade, JB","3916","1976","12","01",NA,"Brazil","Minas Gerais","Estrada Diamantina a Corinto até 20 km.",NA,"Herbácea.; Campo rupestre e cerrado.","UEC088824","UEC088824","Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"101169","auto",NA,NA,"2008","11",NA,NA,NA
"23","2019-08-20 10:01:30-03","UNICAMP","UEC","109453","S","Plantae","Liliopsida",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Guglieri, A","Freitas, L","787","1999","12","26",NA,"Brazil","São Paulo","Campo de altitude, Parque Nacional próximo à divisa com Fazenda Mariana.",NA,"Erva cespitosa, ca. 20 cm.","UEC088821","UEC088821","São José do Barreiro","-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,"30784","auto",NA,NA,"2000","10",NA,NA,NA
"24","2019-06-27 10:26:22-03","UFES","VIES","6636","S","Plantae",NA,NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Renvoize, S.","Carvalho, A.M.; Saunders, J.","3144","1990","05","02",NA,"Brasil","Bahia",NA,NA,NA,"VIES006636","VIES006636","Santa Luzia","-39.3342018127441","-15.4294004440308",NA,NA,NA,NA,"33804","auto",NA,NA,"1992",NA,NA,NA,NA
"25","2020-04-27 16:11:13-03","UFES","VIES","7304","S","Plantae",NA,NA,"Poaceae","Trichanthecium","distichophyllum","Trichanthecium distichophyllum","(Spreng.) Zuloaga & Morrone","Rodrigues, R.S.","Pereira, O.J.; et al.","4672","1993","08","03",NA,"Brasil","Espírito Santo","Área 157 da Aracruz Celulose S.A.",NA,NA,"VIES007304","VIES007304","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"41644","auto",NA,NA,"2015","04","22",NA,NA
"26","2020-04-27 16:11:13-03","UFES","VIES","5944","S","Plantae",NA,NA,"Poaceae","Trichanthecium","distichophyllum","Trichanthecium distichophyllum","(Spreng.) Zuloaga & Morrone","Rodrigues, R.S.","Pereira, O.J.","2337","1991","09","10",NA,"Brasil","Espírito Santo","Parque Estadual Paulo César Vinha.",NA,NA,"VIES005944","VIES005944","Guarapari","-40.5110015869141","-20.6580009460449",NA,NA,NA,NA,"28401","auto",NA,NA,"2015","04","22",NA,NA
"27","2021-02-12 18:12:25-03","UFES","VIES","1676","S","Plantae",NA,NA,"Poaceae","Trichanthecium","distichophyllum","Trichanthecium distichophyllum","(Spreng.) Zuloaga & Morrone","Rodrigues, R.S.","Brandão, M.","s.n.","1987","08","08",NA,"Brasil","Espírito Santo",NA,NA,NA,"VIES001676","VIES001676","Guarapari","-40.5110015869141","-20.6580009460449",NA,NA,NA,NA,"28401","auto",NA,NA,"2015","04","22",NA,NA
"28","2021-02-22 10:20:01-03","UFSM","SMDB","19772","S","Plantae",NA,NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Guaglieri, A","Guglieri, A; et al.","282","2004","02","06",NA,"Brasil","Minas Gerais","Serra da Moeda, Quartiziltico",NA,NA,"SMDB019772",NA,"Brumadinho","-44.1996994018555","-20.1432991027832",NA,NA,NA,NA,"26639","auto",NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:40:44-03","MBM","MBM","19105","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Viana, P.L.","Hatschbach, G.; Pelanda, P.; Pelanda, P.","27768","1971","11","12","Southern America","Brazil","Minas Gerais","Serra do espinhaço",NA,"Afloramentos rochosos, encosta de morro. Campo arenoso.","MBM019105","MBM019105","Gouveia","-43.7407989501953","-18.4543991088867","13300","13300",NA,NA,"37970","auto",NA,NA,"2008","12",NA,NA,NA
"30","2020-12-21 16:40:44-03","MBM","MBM","24431","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Viana, P.L.","Hatschbach, G.; Ahumada, Z.; Ahumada, Z.","31555","1973","02","14","Southern America","Brazil","Minas Gerais","Serra do Cipó, Fazenda Palácio.",NA,"Campo pedregoso próximo ao topo de morro.","MBM024431","MBM024431","Jaboticatubas","-43.7449989318848","-19.513599395752","1450","1450",NA,NA,"31264","auto",NA,NA,"2008","12",NA,NA,NA
"31","2020-12-21 16:40:44-03","MBM","MBM","81481","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Davidse, G.","Irwin, H.S.; et al.; et al.","32392",NA,NA,NA,"Southern America","Brazil","Bahia","Ca. 18km E of Morro do Chapéu",NA,NA,"MBM081481",NA,"Morro do Chapéu","-41.1561012268066","-11.5500001907349",NA,NA,NA,NA,"98143","auto",NA,NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:40:44-03","MBM","MBM","153183","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Renvoize, S.A.","Carvalho, A.M. de; et al.; et al.","3144",NA,NA,NA,"Southern America","Brazil","Bahia","20km na estrada de Santa Luzia para Canavieiras",NA,NA,"MBM153183","MBM153183","Santa Luzia","-39.3342018127441","-15.4294004440308",NA,NA,NA,NA,"33804","auto",NA,NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:41:06-03","MBM","MBM","415694","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Trichanthecium","distichophyllum","Trichanthecium distichophyllum","(Spreng.) Zuloaga & Morrone","Cordeiro, J.","Brotto, M.L.; Cordeiro, J.; Vaz, J.; Cordeiro, J.; Vaz, J.","2850","2018","11","04","Southern America","Brazil","Minas Gerais","Serra do Cipó",NA,"Erva cespitosa; sementes verdes.; Campo rupestre, margem do rio.","MBM415694",NA,"Santana do Riacho","-43.586944","-19.245278","1071","1071","-43.586944","-19.245278",NA,NA,NA,NA,"2019","02","12",NA,NA
"34","2020-12-21 16:41:06-03","MBM","MBM","415962","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Trichanthecium","distichophyllum","Trichanthecium distichophyllum","(Spreng.) Zuloaga & Morrone","Cordeiro, J.","Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","2949","2018","11","09","Southern America","Brazil","Bahia","Pico das Almas, trilha para o pico",NA,"Erva cespitosa; inflorescência verde.; Campo rupestre, solo úmido.","MBM415962",NA,"Rio de Contas","-41.949167","-13.515278","1510","1510","-41.949167","-13.515278",NA,NA,NA,NA,"2019","02","12",NA,NA
"35","2015-10-01 09:26:08-03","MNHN","RECOLNAT_MNHN_P","P00740806","PreservedSpecimen",NA,NA,NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Zuloaga","Sellow, F.",NA,NA,NA,NA,NA,"Brésil",NA,"Brasilia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00740806' target='other'> <mi>dwc_moreinfo</mi></a>","P00740806","P00740806_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-11 11:45:13-03","UFMG","BHCB","49522","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-11 11:45:13-03","UFMG","BHCB","134231","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Hattori, EKO; Viana, PL; Cardoso, D; Salas, R","949","2009","10","28","Southern America","Brasil","Minas Gerais","Serra do Resplandecente",NA,"campo rupestre em solo arenoso margeando afloramentos rochosos; planta densamente cespitosa, com colmos decumbentes, espiguetas verdes",NA,NA,"Itacambira","-43.312028","-17.083222","1306","1306","-43.312028","-17.083222",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-11 11:45:13-03","UFMG","BHCB","142299","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Oliveira, CT; Giacomin, LL; Viveros, RS","398","2009","04","24","Southern America","Brasil","Minas Gerais","RPPN Santuário do Caraça, Pico do Sol",NA,"erva de 40 cm, crescendo em solo arenoso.",NA,NA,"Catas Altas","-43.451667","-20.109444","1828","1828","-43.451667","-20.109444",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-11 11:45:13-03","UFMG","BHCB","142351","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Oliveira, CT; Giacomin, LL; Viveros, RS","452","2009","04","25","Southern America","Brasil","Minas Gerais","RPPN Santuário do Caraça, Pico do Sol",NA,"erva de 30 cm.",NA,NA,"Catas Altas","-43.451667","-20.109444","1828","1828","-43.451667","-20.109444",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-11 11:45:13-03","UFMG","BHCB","163292","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Vidal, CV; Paula, RL de","1070","2012","12","06","Southern America","Brasil","Minas Gerais",NA,NA,"Campo rupestre sobre formação ferrífera; Herbáceo",NA,NA,"Conceição do Mato Dentro","-43.396944","-19.013056",NA,NA,"-43.396944","-19.013056",NA,NA,NA,NA,"2013","02",NA,NA,NA
"41","2020-12-11 11:45:13-03","UFMG","BHCB","53834","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Lombardi, JA","4116","2000","10","19","Southern America","Brasil","Minas Gerais","Parque Estadual do Rio Preto.",NA,"Cerrado. Erva, inflorescências verdes",NA,NA,"São Gonçalo do Rio Preto","-43.369444","-18.011944",NA,NA,"-43.369444","-18.011944",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-11 11:45:13-03","UFMG","BHCB","53877","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Lombardi, JA","4159","2000","10","19","Southern America","Brasil","Minas Gerais","Parque Estadual do Rio Preto.",NA,"Cerrado. Erva, inflorescências verdes",NA,NA,"São Gonçalo do Rio Preto","-43.369444","-18.011944",NA,NA,"-43.369444","-18.011944",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-12-11 11:45:13-03","UFMG","BHCB","7000","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Grandi, TSM; et al.","2158","1985","11","04","Southern America","Brasil","Minas Gerais","Serra da Piedade",NA,"Campo;herbáceo;",NA,NA,"Caeté","-43.816667","-19.816667",NA,NA,"-43.816667","-19.816667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-11 11:45:13-03","UFMG","BHCB","72563","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Barreto, HLM; Markgraf, F","12240",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA
"45","2020-12-11 11:45:13-03","UFMG","BHCB","17733","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Paula, JA","49","1986","10","11","Southern America","Brasil","Minas Gerais","Caraça.",NA,"planta com inflorescência.",NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,"11966","auto",NA,NA,NA,NA,NA,NA,NA
"46","2020-12-11 11:45:13-03","UFMG","BHCB","8110","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Grandi, TSM; et al.","s.n.","1987","01","10","Southern America","Brasil","Minas Gerais","Conselheiro Mata.",NA,"Campo;herbáceo;",NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA
"47","2020-12-11 11:45:13-03","UFMG","BHCB","51302","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Lombardi, JA; et al.","3701",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Parque Estadual do Rio Preto.",NA,NA,NA,NA,"São Gonçalo do Rio Preto","-43.3908004760742","-18.0041999816895",NA,NA,NA,NA,"26697","auto",NA,NA,NA,NA,NA,NA,NA
"48","2020-12-11 11:45:13-03","UFMG","BHCB","26570","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Zappi, DC","s.n.","1986","07","24","Southern America","Brasil","Minas Gerais","Rio das Mortes",NA,"Erva em solo arenoso entre rochas. Muito frequente. Folhas amareladas, castanhas na base, conferindo coloração à paisagem.",NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","1020","1020",NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA
"49","2020-12-11 11:45:13-03","UFMG","BHCB","26570","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Zappi, DC","s.n.","1986","07","24","Southern America","Brasil","Minas Gerais","Rio das Mortes",NA,"Erva em solo arenoso entre rochas. Muito frequente. Folhas amareladas, castanhas na base, conferindo coloração à paisagem.",NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","1020","1020",NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA
"50","2020-12-11 11:45:13-03","UFMG","BHCB","21348","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Lucca, M; Pereira, M","992","1993","03","08","Southern America","Brasil","Minas Gerais","Serra do Cipó, Santana do Riacho - Coletada a 3 km da portaria do IBAMA. Alto Palácio, na região das Canelas de Ema Gigantes.",NA,"Arbustivo",NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","1400","1400",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"51","2020-12-11 11:45:13-03","UFMG","BHCB","21348","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Lucca, M; Pereira, M","992","1993","03","08","Southern America","Brasil","Minas Gerais","Serra do Cipó, Santana do Riacho - Coletada a 3 km da portaria do IBAMA. Alto Palácio, na região das Canelas de Ema Gigantes.",NA,"Arbustivo",NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","1400","1400",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"52","2020-12-11 11:45:21-03","UFMG","BHCB","172340","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Trichanthecium","distichophyllum","Trichanthecium distichophyllum","(Spreng.) Zuloaga & Morrone",NA,"Perillo, LN","448","2009","11","23","Southern America","Brasil","Minas Gerais","RPPN Santuário do Caraça, Trilha para o Pico do Sol",NA,"herbácea, 25 cm, coordenadas aproximadas","BHCB047193",NA,"Catas Altas","-43.765972","-20.190508","1850","1850","-43.765972","-20.190508",NA,NA,NA,NA,"2018","08","20",NA,NA
