"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","monthIdentified","dayIdentified","relationshipType","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","498447","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","F. Zapata","P. K. H. Dusén","7158","1908","11","18","South America","Brazil","Paraná","Rio Branco do Sul","Itaperussú","-49.3142","-25.1903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443194' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498447","NY00498447_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","498448","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","F. Zapata","E. Pereira","8063","1963","11","22","South America","Brazil","Paraná","Araucária","Araucária Tomaz Coelho","-49.4103","-25.5933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498448","NY00498448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","498443","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","F. Zapata","G. G. Hatschbach","11940","1964","12","03","South America","Brazil","Paraná","Jaguariaíva","Lageado 5 Reis","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498443","NY00498443_01","860","860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-13 09:19:36-03","UFRJ","RFA","8751","PreservedSpecimen","Plantae",NA,NA,"Escalloniaceae","Escallonia","farinacea","Escallonia farinacea jordanensis","(Sleumer) Sleumer","H. Sleumer","G.G. Hatschbach","17979","1967","12","04",NA,"Brasil","Paraná","Ponta Grossa","Passo do Pupo","-50.1618995666504","-25.0949993133545",NA,"Arbusto 1,5 m de altura; flor alva","RFA48682",NA,NA,NA,"jordanensis","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-01-20 14:40:26-03","UPM","MACK","2114","PreservedSpecimen","Plantae",NA,NA,"Escalloniaceae","Escallonia","farinaceae","Escallonia farinaceae","A.St.-Hil.","T. Mortale","T. A. B. Mortale","38","2012","12","01",NA,"Brasil","SP","Campos do Jordão","Trilha Cajará","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-01-20 14:40:26-03","UPM","MACK","2113","PreservedSpecimen","Plantae",NA,NA,"Escalloniaceae","Escallonia","farinaceae","Escallonia farinaceae","A.St.-Hil.","T. Mortale","T. A. B. Mortale","52","2013","02","16",NA,"Brasil","SP","Campos do Jordão","Trilha For Seasons","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-04 15:25:08-03","PUCPR","HUCP","18591","S","Plantae","Eudicotiledonea",NA,"Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A. St. Hil.","Selusniaki, M","Selusniaki, M; Beltrami, L","1490","2007","11","10",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00018027","HUCP00018027",NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-04 15:25:08-03","PUCPR","HUCP","20611","S","Plantae","Eudicotiledonea",NA,"Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A. St. Hil.","Selusniaki, M","Selusniaki, M","2320","2008","11","14",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00018075","HUCP00018075",NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-04 15:25:08-03","PUCPR","HUCP","20683","S","Plantae","Eudicotiledonea",NA,"Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A. St. Hil.","Selusniaki, M","Selusniaki, M; Beltrami, L","1839","2007","12","09",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00017975","HUCP00017975",NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-04 15:25:08-03","PUCPR","HUCP","20684","S","Plantae","Eudicotiledonea",NA,"Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A. St. Hil.","Selusniaki, M","Selusniaki, M; Moledo, R","2171","2008","07","12",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00018346","HUCP00018346",NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-04 15:25:08-03","PUCPR","HUCP","20685","S","Plantae","Eudicotiledonea",NA,"Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A. St. Hil.","Selusniaki, M","Beltrami, L; Selusniaki, M","1915","2007","12","09",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00018024","HUCP00018024",NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-26 18:09:47-03","CPAN-UFMS","COR","10454","PreservedSpecimen","Plantae",NA,NA,"Saxifragaceae","Escallonia","farinaceae","Escallonia farinaceae","St. Hil.","G. Hatschbach.","Imaguire, N.","2155","1969","01","22",NA,"Brasil","Paraná","Piraquara","Fazenda Experimental de Agronomia. Campo; ;.","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-10-09 11:13:55-03","UFBA","ALCB","86118","PreservedSpecimen","Plantae","Dicotyledon",NA,"Escalloniaceae","Escallonia","farinacea","Escallonia farinacea jordanensis","(Sleumer) Sleum.","Ribas, OS","Silva, JM; Cordeiro, J","423","1987","11","09","Southern America","Brasil","Paraná","Curitiba","Recanto das Araucárias","-49.2731018066406","-25.4277992248535",NA,"3,0 m. Flor alva.; do Iguaçu.",NA,NA,NA,NA,"jordanensis","25180","auto","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-10-09 11:13:55-03","UFBA","ALCB","90007","PreservedSpecimen","Plantae","Dicotyledon",NA,"Escalloniaceae","Escallonia","farinacea","Escallonia farinacea jordanensis","(Sleumer) Sleum.","Ribas, OS","Hatschbach, G; Silva, JM","51985","1987","11","26","Southern America","Brasil","Paraná","Jaguariaíva","Fazenda Cajuru","-49.7057991027832","-24.2511005401611",NA,"ca. 2m. Flor alva.; Orla do Capão.",NA,NA,NA,NA,"jordanensis","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-10-09 11:13:55-03","UFBA","ALCB","131781","PreservedSpecimen","Plantae","Dicotyledon",NA,"Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","Barboza, E","Caxambu, MG","4954","2013","11","28","Southern America","Brasil","Paraná","Tibagi","Sítio Sete Quedas.","-50.261667","-24.583889",NA,"palustre, heliófito, flores alvas.; Estepe.","ALCB048440","ALCB048440","1098","1098",NA,NA,NA,"2016","-50.261667","-24.583889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L 0035017","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","Zapata F","Leite E",NA,"1945","11","01","Southern America","Brazil","São Paulo",NA,"Brasil. Sao Paulo; Campos do Jordao",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200035017 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0035017","NL-L0035017",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","holotype","1415",NA,NA,NA,NA,NA,NA,NA
"27","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849815","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Hatschbach GG",NA,"1968","01","24","Southern America","Brazil",NA,NA,"Est Paraná, Mun Camping Grande Sul, Entre Campina Grande e Mandassaia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849815 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849815","NL-L1849815",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849817","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Hatschbach GG; Pereira E",NA,"1963","11","19","Southern America","Brazil",NA,NA,"Est Parana, Mun Alm. Tamandare, Campo Magro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849817 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849817","NL-L1849817",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849818","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Hatschbach GG; Haas H",NA,"1967","01","10","Southern America","Brazil",NA,NA,"Est Paraná, Mun Alm. Tamandar#é, Pargue S. Maria.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849818 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849818","NL-L1849818",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849819","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Hatschbach GG",NA,"1967","01","08","Southern America","Brazil",NA,NA,"Borda do Campo (Mun. Piraquara) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849819 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849819","NL-L1849819",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849820","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Hatschbach GG",NA,"1975","01","21","Southern America","Brazil",NA,NA,"Rio Taquari (mun. 4- Barras) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849820 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849820","NL-L1849820",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849821","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Hatschbach GG",NA,"1948","01","11","Southern America","Brazil",NA,NA,"Est Parana, Mun Piraquara, Rio Palmital.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849821 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849821","NL-L1849821",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849822","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Hatschbach GG",NA,"1974","12","01","Southern America","Brazil",NA,NA,"Corrego de Anta (mun. Palmeira) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849822 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849822","NL-L1849822",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849823","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Hatschbach GG; Pereira E",NA,"1963","11","22","Southern America","Brazil",NA,NA,"Est Parana, Mun Araucaria, Tomaz Coelho.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849823 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849823","NL-L1849823",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849824","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Landrum LR",NA,"1982","01","01","Southern America","Brazil",NA,NA,"Parana: Piraquara, from Piraquara E along railroad ca. 1 km.","-49.083333","-25.5",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849824 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849824","NL-L1849824",NA,NA,NA,NA,NA,NA,"-49.083333","-25.5","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849825","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Hatschbach GG",NA,"1967","12","31","Southern America","Brazil",NA,NA,"Rio Passa Dois (mun. Dapa) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849825 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849825","NL-L1849825",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849826","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Smith LB; Klein RM",NA,"1956","12","09","Southern America","Brazil",NA,NA,"Santa Catarina, Mun. Campo Alegre: Pinheiral, lower slopes of Marro Iquererim.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849826 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849826","NL-L1849826",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849827","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Reitz R; Klein RM",NA,"1958","01","09","Southern America","Brazil",NA,NA,"Santa Catarina, Morro do Iquererim, Campo Alegre.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849827 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849827","NL-L1849827",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849828","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Rambo B",NA,"1951","01","10","Southern America","Brazil",NA,NA,"Santa Catarina, Lajes, Ad rivum in dumetosis.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849828 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849828","NL-L1849828",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849829","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Hatschbach GG; Guimarães OA",NA,"1968","01","15","Southern America","Brazil",NA,NA,"Riteirão da Fazenda (Mun. Campo do Tenente), Parana.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849829 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849829","NL-L1849829",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849830","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Rambo B",NA,"1951","01","10","Southern America","Brazil",NA,NA,"Santa Catarina, Lajes, Ad rivum in dumetosis.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849830 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849830","NL-L1849830",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849831","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Smith LB; Reitz R",NA,"1956","12","22","Southern America","Brazil",NA,NA,"Santa Catarina, 18 km Mun. Caçador, crest of Serra do Espigão, northeast of Caçador.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849831 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849831","NL-L1849831",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849832","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Hatschbach GG",NA,"1967","12","07","Southern America","Brazil",NA,NA,"Curiola (Mun. Rio Branco do Sul) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849832 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849832","NL-L1849832",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-02-08 09:05:22-03","NBC","NL-BOTANY","L.1849833","PreservedSpecimen","Plantae",NA,"Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.",NA,"Hatschbach GG",NA,"1963","12","22","Southern America","Brazil",NA,NA,"Est Parana, Mun Porto Amazonas, Fda. S. Luiz.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1849833 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1849833","NL-L1849833",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
