"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","locality","identifiedBy","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","class","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","00996810","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"T. C. Plowman","8188","1980","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996810","NY00996810_01","Road from highway BR-153 to Itaporã, 12 km west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","A. G. M. W. A. Robyns","01","31","Tocantins","Presidente Kennedy","-48.6008","-8.5006","400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00996792","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","15090","1966","South America","Brazil","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996792","NY00996792_01 NY00996792_02","Serra do Morcêgo, Côrrego Estrema, ca. 40 km N.E. of Formosa","A. G. M. W. A. Robyns","04","20","Goiás","Formosa","-47.06965","-15.27769","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00996812","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"L. M. M. Carreira","827","1983","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996812","NY00996812_01","km 8 da estrada Vila Bela a Pontes e Lacerda. Picada da estrada de Sararé.","M. G. da Silva","05","05","Mato Grosso","Vila Bela de Santíssima Trindade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00996811","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"G. G. Hatschbach","36189","1975","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996811","NY00996811_01","Rib. Claro.","A. G. M. W. A. Robyns","02","15","Mato Grosso","Alto Araguaia","-53.2153","-17.3147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00996806","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"W. R. Anderson","7323","1973","South America","Brazil","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996806","NY00996806_01","Chapada dos Veadeiros, 7 km by road S of Teresina de Goiás.","J. A. Kallunki","03","17","Goiás","Teresina de Goiás","-47.2647","-13.83967","1080","1080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00996805","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"W. R. Anderson","7323","1973","South America","Brazil","sheet","See fruit collection. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996805","NY00996805_01","Chapada dos Veadeiros, 7 km by road S of Teresina de Goiás.","J. A. Kallunki","03","17","Goiás","Teresina de Goiás","-47.2647","-13.83967","1080","1080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00996800","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","24000","1969","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996800","NY00996800_01","Chapada dos Veadeiros, ca. 8 km south of Cavalcante","A. G. M. W. A. Robyns","03","07","Goiás","Cavalcante","-47.5","-13.87231","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00996789","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","6431","1964","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996789","NY00996789_01","Ca. 50 km. S. of Garapú.",NA,"09","29","Mato Grosso","Água Boa","-52.4007","-13.8408","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00996793","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","15494","1966","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996793","NY00996793_01","Fazenda J. Teles, ca. 10 km N.W. of Formosa, Goiás, near source of Rio Paraná","A. G. M. W. A. Robyns","04","29","Goiás","Formosa","-47.43","-15.4","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00996788","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","6431","1964","South America","Brazil","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996788","NY00996788_01","Ca. 50 km. S. of Garapú.","J. A. Kallunki","09","29","Mato Grosso","Água Boa","-52.4007","-13.8408","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00996801","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","26852","1970","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996801","NY00996801_01","Ca. 25 km W of Corinto, near Minas Gerais","A. G. M. W. A. Robyns","03","03","Minas Gerais","Corinto","-44.65515","-18.29935","525","525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","402507","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"L. P. de Queiroz","3928","1994","South America","Brazil","sheet","Foto. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=211112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402507","NY00402507_01","Ca. 17 km W de Barra na estrada para Ibotirama.","J. A. Kallunki","06","15","Bahia","Barra","-43.14","-11.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00996802","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","34720","1972","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117427' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996802","NY00996802_01","ca. 14 km S. of Niquelândia","J. A. Kallunki","01","21","Goiás","Niquelândia","-48.45","-14.57653","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","402509","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"C. A. Cid Ferreira","4655","1984","South America","Brazil","sheet","Frutos separados. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=211110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402509","NY00402509_01","Rodovia Cuiabá-Porto Velho, BR 364, km 188.","J. A. Kallunki","06","19","Rondônia","Pimenta Bueno","-61","-11.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00996795","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","19450","1968","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996795","NY00996795_01","Chapada da Contagem.","F. H. E. A. W. Robyns","02","02","Distrito Federal","Brasília","-47.87","-15.7","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","402505","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"L. B. Smith","14823","1965","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=211107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402505","NY00402505_01","Fazenda Morungava, Rio Funil","A. G. M. W. A. Robyns","01","19","Paraná","Sengés","-49.37","-24.13","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00996796","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","21157","1968","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996796","NY00996796_01","Ca. 5 km N. of Araguaína.","A. G. M. W. A. Robyns","03","14","Tocantins","Araguaína","-48.2","-7.15467","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00996787","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","6431","1964","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996787","NY00996787_01","Ca. 50 km. S. of Garapú.","J. A. Kallunki","09","29","Mato Grosso","Água Boa","-52.4007","-13.8408","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00996790","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin",NA,"1964","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996790","NY00996790_01","Ca. 50 km. S. of Garapú.","J. A. Kallunki","09","29","Mato Grosso","Água Boa","-52.4007","-13.8408","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00996797","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","21560","1968","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996797","NY00996797_01","Ca. 12 km S. of Guará.","A. G. M. W. A. Robyns","03","20","Tocantins","Fortaleza do Tabocão","-48.52","-8.97","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00996799","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","24000","1969","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996799","NY00996799_01","Chapada dos Veadeiros, ca. 8 km south of Cavalcante","A. G. M. W. A. Robyns","03","07","Goiás","Cavalcante","-47.5","-13.87231","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00996794","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","15494","1966","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996794","NY00996794_01","Fazenda J. Teles, ca. 10 km N.W. of Formosa, Goiás, near source of Rio Paraná","A. G. M. W. A. Robyns","04","29","Goiás","Formosa","-47.43","-15.4","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","402506","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"L. B. Smith","14823","1965","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=211108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402506","NY00402506_01","Fazenda Morungava, Rio Funil","A. G. M. W. A. Robyns","01","19","Paraná","Sengés","-49.37","-24.13","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","306207","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"M. H. Nee","49066","1998","South America","Bolivia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=211106' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306207",NA,"Along gravel road eastward, just east of new highway from Santa Cruz to Abapó, the turnoff 3 km N of bridge over Río Seco.","M. H. Nee","04","19","Santa Cruz","Cordillera","-63.23","-18.63","510","510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00996804","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"W. R. Anderson","6780","1973","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996804","NY00996804_01","24 km by road SW of Monte Alegre de Goiás","J. A. Kallunki","03","11","Goiás","Monte Alegre de Goiás","-47.23","-13.45","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","402510","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"M. H. Nee","41584","1991","South America","Bolivia","sheet","See Fruit Collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=211111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402510",NA,"1 km E of San Ramón.","J. A. Kallunki","07","06","Santa Cruz","Ñuflo de Chávez","-62.48","-16.6","225","225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00996808","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"J. M. Pires","9693","1963","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996808","NY00996808_01","Entre Brasília e Niquelândia.",NA,"05","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","2711163","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil.) A.Robyns",NA,"C. A. Cid Ferreira","4655","1984","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3038761' target='other'> <mi>dwc_moreinfo</mi></a>","NY02711163",NA,"rodovia Cuiabá-Porto Velho, BR 364, km 188.",NA,"06","19","Rondônia","Pimenta Bueno","-61.1935997009277","-11.6724996566772",NA,NA,"114476","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-01-11 10:01:19-03","UNIVASF","HVASFW","276","S","Plantae",NA,NA,"Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil.) A. Robyns",NA,"D.G. Oliveira","552","2012","América do Sul","Brasil",NA,"Caule estriado, tonalidade verde-amarelado. Madeira branca. Coletada em área de supressão vegetal.","HVASFW000276",NA,"Reservatório Boi. Povoado Ribeirão","D.G. Oliveira","10","10","Ceará","Brejo Santo","-38.81675","-7.560944","398","398",NA,NA,"2012","10","10","-38.816750","-7.560944","U",NA,NA,NA
"40","2021-01-11 10:01:19-03","UNIVASF","HVASFW","138","S","Plantae",NA,NA,"Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil.) A. Robyns",NA,"M.V. Meiado","565","2011","América do Sul","Brasil",NA,"Árvore. Flores e frutos ausentes.","HVASFW000138",NA,"Lote 10, Reservatório Bagres","M.V. Meiado","03","24","Pernambuco","Custódia","-37.785861","-8.33","625","625",NA,NA,"2011","03","24","-37.785861","-8.330000","U",NA,NA,NA
"41","2021-01-11 10:01:19-03","UNIVASF","HVASFW","358","S","Plantae",NA,NA,"Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil.) A. Robyns",NA,"A.C.P. Oliveira","2389","2013","América do Sul","Brasil",NA,"#","HVASFW000358",NA,"VPR Negreiros","A.C.P. Oliveira","02","07","Pernambuco","Salgueiro","-39.189194","-8.104222","468","468",NA,NA,"2013","01","29","-39.189194","-8.104222","U",NA,NA,NA
