"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus","eventTime","fieldNumber","infraspecificEpithet"
"21","2014-10-14 15:57:03-03","BS","M","M-0172308","S","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Martius, C.F.P. von",NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia Provinc. Sebastianopol. prope Mandiocca",NA,NA,NA,NA,NA,NA,NA,NA,"M0172308",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"NOTATYPE",NA,NA,NA
"22","2014-10-14 15:57:03-03","BS","M","M-0172309","S","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Martius, C.F.P. von",NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia Provinc. Sebastianopol. prope Mandiocca",NA,NA,NA,NA,NA,NA,NA,NA,"M0172309",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"NOTATYPE",NA,NA,NA
"23","2020-12-21 16:39:04-03","MBM","MBM","420788","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4150","2019","01","22","Brazil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce","-42.491667","-19.727778",NA,NA,"Erca com 0,3 cm. Crescendo no interior da floresta.; Vegetação secundária média/avançada",NA,"Southern America",NA,"MBM420788",NA,"Mazziero, F.F.F.","264","264",NA,"2019","-42.491667","-19.727778","02","01",NA,NA,NA,NA
"24","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525424","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Brade, A.C.",NA,"1932","11","20","Brasil","Rio de Janeiro",NA,"Serra dos Órgãos, R. Soberbo, Barreiras",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525424' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P05525424","P05525424_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12096",NA
"25","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525425","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Brade, A.C.",NA,"1932","3","6","Brasil","Rio de Janeiro",NA,"Morro Azul",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525425' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P05525425","P05525425_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10441",NA
"26","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525426","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Brade, A.C.",NA,"1932","3","6","Brasil","Rio de Janeiro",NA,"Morro Azul",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525426' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P05525426","P05525426_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10441",NA
"27","2015-11-07 01:02:28-02","MNHN","RECOLNAT_MNHN_P","P02286696","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Langsdorff, G.H.",NA,"1820",NA,NA,"Brésil",NA,NA,"Della Mandioca près Rio",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02286696' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P02286696","P02286696_01","Lourteig",NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA
"28","2015-11-07 00:51:17-02","MNHN","RECOLNAT_MNHN_P","P02286697","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Langsdorff, G.H.",NA,"1820",NA,NA,"Brésil",NA,NA,"Della Mandioca près Rio",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02286697' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P02286697","P02286697_01","Lourteig",NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA
"29","2015-11-07 00:47:48-02","MNHN","RECOLNAT_MNHN_P","P02286698","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Langsdorff, G.H.",NA,"1820",NA,NA,"Brésil",NA,NA,"Della Mandioca près Rio",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02286698' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P02286698","P02286698_01","Lourteig",NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA
"30","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525418","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Gomez",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525418' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P05525418","P05525418_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
