"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","phylum","order","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber"
"11","2015-09-03 19:28:00-03","MNHN","RECOLNAT_MNHN_P","P00436758","PreservedSpecimen",NA,"Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436758' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Lindl.","Herb. L. Claude et A. Richard",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brésil",NA,NA,NA,"hb","P00436758","P00436758_01",NA,NA,NA,NA,NA,NA
"12","2020-10-01 14:25:53-03","JBB","HEPH","21610","S","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum","Salles, AEH","2005","03","14",NA,"Floresce em cultivo","Monocotyledon","Asparagales","Lindl.","Salles, AEH","3721","2005","02","20","Southern America","Brasil","Distrito Federal","Brasília","Chácara Raziel, BR 251 Tororó","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA
"13","2020-10-01 14:25:53-03","JBB","HEPH","7018","S","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum","Salles, AEH",NA,NA,NA,NA,"Planta cultivada no Orquidário do Jardim Botânico de Brasília","Monocotyledon","Asparagales","Lindl.","Salles, AEH","1628",NA,NA,NA,"Southern America","Brasil","Distrito Federal","Brasília","Jardim Botânico de Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA
"14","2019-01-25 04:36:00-02","MO","MOBOT","100796669","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon","L. Valenzuela. (HOXA)",NA,NA,NA,"1",NA,NA,NA,"Lindl.","Luis Valenzuela G.|M. Villalba","Valenzuela Gamarra 27175","2014","1","16","South America","Peru","Pasco","Oxapampa","Distrito Oxapampa. Jardín de Orquídeas. Estación Biológica Jardín Botánico de Missouri.","-75.4072222","-10.5816667","1850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"106"
"15","2013-08-23 04:12:00-03","MO","MOBOT","3497476","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,"1",NA,NA,NA,"Lindl.","Roberto Vásquez","Vásquez C. 4447",NA,NA,NA,"South America","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","22300",NA,"Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon","L. Kollmann/08-01-2013",NA,NA,NA,NA,"Floração em cultivo. Flores verdes com pintas marrons. Planta cultivada na casa do Esperandio.",NA,NA,"Lindl.","L. Kollmann","6600","2003","11",NA,NA,"Brasil","Espírito Santo","Santa Teresa","Várzea Alegre","-40.795833","-19.887222",NA,NA,"MBML022300","MBML022300","40W47'45","19S53'14",NA,NA,NA,NA
"17","2014-11-06 16:18:19-02","UFPB","EAN","3447","S","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum","L. P. Felix & G. V. Dornelas","1987","04","20",NA,"Herbáceo; flores verdes com pintas marrons. Inflorescência masculina..Habitat: Epífita",NA,NA,"Lindl","L. P. Felix ; G. V. Dornelas","705","1987","03","22",NA,"Brasil","Goiás","Arraias","Fazenda União",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-25 12:04:04-03","UENF","HUENF","12388","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum","H.B.M.Viana","2021","02","23",NA,"Erva epífita sobre galhos mortos de árvores no interior da floresta. Pseudobulbos verdes; folhas verdes concolores. Pedúnculo verde com brácteas verdes-amareladas. Brácteas florais verdes; pedicelo verde; flores maculinas com pétal",NA,NA,"Lindl.","H.B.M. Viana; D.R. Couto; Y. Maia & M.R. Paixão","278","2021","02","23",NA,"Brasil","Rio de Janeiro","São José de Ubá","Fazenda Prosperidade. Fragmento de Floresta Estacional Semidecidual sub-montana.","-42.034167","-21.406944","374",NA,"HUENF00013207",NA,"42º2'3''W","21º24'25''S","374",NA,NA,NA
"19","2020-09-02 16:34:36-03","Cenargen","CEN","97945","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum","L. B. Bianchetti","2016","05",NA,"1","Hospedado em Attlea speciosa(babaçú). Flor masculina com pétalas e sépalas esverdeadas e pintalgadas de vinho. Flor feminina com pétalas e sépalas esverdeadas e labelo branco.",NA,NA,"Lindl.","Anderson Cássio Sevilha","5783","2016","04","11",NA,"Brasil","MA","CAROLINA","Santuário Ecológico Pedra Caída.","-47.4693984985352","-7.33277988433838",NA,"Unicata","CEN00097945","CEN00097945",NA,NA,NA,"99438","auto",NA
"20","2018-02-26 18:32:30-03","UFMT","UFMT","41440","S","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon","Petini-Benelli, A.","2014","05","29",NA,"Erva epífita. Flores em solução; SPIRIT ADA 0538; Flores não ressupinadas. Tépalas verdes pintalgadas de vinho. Labelo com branco na porção central.; Floresta Ombrófila.",NA,NA,"Lindl.","Nogueira, A.S.","ADA538","2014","05","29",NA,"Brasil","Rondônia","Presidente Médici",NA,"-61.870278","-11.1675","246",NA,"UFMT00041440",NA,"-61.870278","-11.1675","246",NA,NA,NA
"21","2019-08-21 12:05:23-03","UFMT","UFMT","43352","S","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon","Petini-Benelli, A.","2016","03","01",NA,"Epífita. Flores masculinas não ressupinadas. Flores em solução (SPIRIT 1071). Tépalas esbranquiaçadas pintalgads de marrom, labelo branco, cordiforme, coluna delgada e longa.; Pastagem com palmeiras.",NA,NA,"Lindl.","Nunes, R.F.","APB1071","2016","03","01",NA,"Brasil","Mato Grosso","Vila Rica",NA,"-51.1164016723633","-10.0116996765137",NA,NA,NA,NA,NA,NA,NA,"127030","auto",NA
"22","2018-02-26 18:32:30-03","UFMT","UFMT","41230","S","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon","Petini-Benelli, A.","2014","02","22",NA,"Erva epífita. Flores em solução (SPIRIT ADA0537);Flores não-ressupinadas. Tépalas verdes pintalgadas de marrom-avermelhado. Labelo branco maculado de marrom-avermelhado.; Floresta Ombrófila.",NA,NA,"Lindl.","Nogueira, A.S.","ADA537","2014","02","22",NA,"Brasil","Rondônia","Presidente Médici","Amostra cedida por Adão da Silva Nogueira.","-61.9014015197754","-11.1752996444702",NA,NA,"UFMT00041230",NA,NA,NA,NA,"32307","auto",NA
"23","2017-09-11 17:11:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum",NA,NA,NA,NA,NA,"Floret Martio - Aprili",NA,NA,"Lindl.","Raud, ES","s.n.",NA,NA,NA,NA,"?",NA,NA,"secus Rio Purus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:11:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum",NA,NA,NA,NA,NA,"Floret Martio - Aprili",NA,NA,"Lindl.","Raud, ES","s.n.",NA,NA,NA,NA,"?",NA,NA,"secus Rio Purus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-09-11 17:11:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum",NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Lobb, W","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-09-11 17:11:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum",NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Lobb, W","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2017-09-11 17:11:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum",NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Amazonas","Manaus","in prov. Alto Amazonas prope Manaos et secus Rio Purus prope Canutama","-60.025","-3.10194",NA,NA,NA,NA,NA,NA,NA,"138090","auto",NA
"28","2017-09-11 17:11:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum",NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Amazonas","Manaus","in prov. Alto Amazonas prope Manaos et secus Rio Purus prope Canutama","-60.025","-3.10194",NA,NA,NA,NA,NA,NA,NA,"138090","auto",NA
"29","2021-03-03 22:00:02-03","FLAS","FLAS","181769","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,NA,"[Label footing:] Voucher for NSF grant Floral Fragrances & Chemosystematics of Gongora",NA,NA,"Lindl.","M. Whitten","F-1806",NA,NA,NA,NA,"Peru","Huanuco",NA,NA,NA,NA,NA,"Preserved herbarium specimen",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-03 22:00:02-03","FLAS","FLAS","166821","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,NA,"[Label note:] F = UF Dept. of Botany living material acc. no. --[Label note:] Voucher for frgrance analysis.",NA,NA,"Lindl.","Harold Hills","F1800",NA,NA,NA,NA,"Peru","Junin",NA,NA,NA,NA,NA,"Preserved herbarium specimen",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-03 22:00:02-03","FLAS","FLAS","178441","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,NA,"[Label footing:] Voucher for NSF grant Chemosystematics and Pollination Biology of Gongora",NA,NA,"Lindl.","Harold Hills","F1814",NA,NA,NA,NA,"Peru","Junin",NA,NA,NA,NA,NA,"Preserved herbarium specimen",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-03 22:00:02-03","FLAS","FLAS","181768","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,NA,"[Label footing:] Voucher for NSF grant Floral Fragrances & Chemosystematics of Gongora",NA,NA,"Lindl.","M. Whitten","F-1805",NA,NA,NA,NA,"Peru","Huanuco",NA,NA,NA,NA,NA,"Preserved herbarium specimen",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-03 22:00:02-03","FLAS","FLAS","181624","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,NA,"[Label note:] Fragrance sample voucher. --[Label footing:] Voucher for NSF grant Chemosystematics and Pollination Biology of Gongora",NA,NA,"Lindl.","Harold G. Hills","87153",NA,NA,NA,NA,"Peru","Junin",NA,NA,NA,NA,NA,"Preserved herbarium specimen",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-03 22:00:02-03","FLAS","FLAS","166822","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,NA,"[Label note:] F = UF Dept. of Botany living material acc. no. --[Label note:] Voucher for fragrance analysis.",NA,NA,"Lindl.","Harold Hills","F1827",NA,NA,NA,NA,"Peru","Junin",NA,NA,NA,NA,NA,"Preserved herbarium specimen",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-03 22:00:02-03","FLAS","FLAS","181623","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,NA,"[Label note:] Fragrance sample voucher. --[Label footing:] Voucher for NSF grant Chemosystematics and Pollination Biology of Gongora",NA,NA,"Lindl.","Harold G. Hills","88001",NA,NA,NA,NA,"Peru","Junin",NA,NA,NA,NA,NA,"Preserved herbarium specimen",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 10:13:03-03","IBt","SP","27737","S","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon","Hoehne, FC",NA,NA,NA,NA,NA,NA,NA,"Lindl.","Hoehne, FC","s.n.","1931","05","15",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-21 10:13:03-03","IBt","SP","110022","S","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon","Bicalho, HD","1970","06","18",NA,NA,NA,NA,"Lindl.","Ramos, TA","s.n.","1965","03","10",NA,"Brasil","Amazonas","São Paulo de Olivença",NA,"-68.8724975585938","-3.37832999229431",NA,NA,NA,NA,NA,NA,NA,"362329","auto",NA
