"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","scientificNameAuthorship","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","locality","minimumElevationInMeters","maximumElevationInMeters","recordNumber","day","barcode","imagecode","phylum","verbatimLongitude","verbatimLatitude","continentOcean"
"15","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","23217",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita, flores laranjas.","(Rchb.f.) Van den Berg","A. P. Fontana","2003","10","Brasil","Espírito Santo","Santa Leopoldina","-40.596389","-20.054167",NA,NA,"Timbuí Seco",NA,NA,"631","16","MBML023217","MBML023217",NA,"40W35'47","20S3'15",NA
"16","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","24490",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita na sombra, flores laranjas.","(Rchb.f.) Van den Berg","L. Kollmann; et al","2005","07","Brasil","Espírito Santo","Santa Teresa","-40.5625","-19.951667",NA,NA,"Penha, Propriedade do Tabajará",NA,NA,"7894","05","MBML024490","MBML024490",NA,"40W33'45","19S57'6",NA
"17","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","32902",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,"2","Epífta estéril, em cultivo. (Herborizada por R.R.Vervloet em 05/10/2007: flores de cor laranja.","(Rchb.f.) Van den Berg","R.R. Vervloet; V. Demuner, E. Bausen, T. A. Cruz, J. Rosini.","2007","07","Brasil","Espírito Santo","Santa Leopoldina","-40.470639","-20.058611",NA,NA,"Fazenda Caioaba.","250","250","2972","19","MBML032902","MBML032902",NA,"40W28'14,3","20S3'31",NA
"18","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","3680",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Herborizada em 9/8/1990, flor cor de laranja, ápice do labelo esbranquiçado. Cult/herb.","(Rchb.f.) Van den Berg","L. Kollmann","1990","08","Brasil","Espírito Santo","Santa Teresa","-40.6","-19.936111",NA,NA,"Museu de Biologia Mello Leitão, Orquidário",NA,NA,NA,"09","MBML003680","MBML003680",NA,"40W36'0","19S56'10",NA
"19","2020-09-17 15:32:39-03","MBML","MBML-HERBARIO","4682",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita sobre árvore a 6m do solo. Estéril, semi-sombra, mata primária, alto de encosta, herb/culta. Herborizada em 9/8/90, flor cor de laranja ápice do labelo esbranquiçado. Cult/herb.","(Rchb.f.) Van den Berg","H. Q. Boudet Fernandes","1988","05","Brasil","Espírito Santo","Santa Teresa","-40.6075","-19.931389",NA,NA,"Valão de São Lourenço, Estação Biológica da Caixa D'Água",NA,NA,"2489","19","MBML004682","MBML004682_1 MBML004682_2",NA,"40W36'27","19S55'53",NA
"20","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","484",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita sobre arbusto, flores alaranjadas, ciófila, mata, à beira do rio Timbuí.","(Rchb.f.) Van den Berg","W. Boone","1985","08","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,NA,"Estação Biológica de Santa Lúcia",NA,NA,"700","20","MBML000484","MBML000484",NA,"40W31'49","19S58'17",NA
"21","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","485",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita sobre árvore a uns 3m do solo, flores alaranjadas, ciófila, mata.","(Rchb.f.) Van den Berg","H. Q. Boudet Fernandes","1985","08","Brasil","Espírito Santo","Santa Teresa","-40.65","-19.915556",NA,NA,"Vargem Alta",NA,NA,"1452","28","MBML000485","MBML000485",NA,"40W39'0","19S54'56",NA
"22","2021-01-19 14:30:51-03","MBML","MBML-HERBARIO","487",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita com flores alaranjadas cultivada sobre tronco de uma composita arborea.","(Rchb.f.) Van den Berg","W. Boone","1985","08","Brasil","Espírito Santo","Santa Teresa","-40.6","-19.936111",NA,NA,"Museu de Biologia Mello Leitão",NA,NA,"704","27","MBML000487","MBML000487",NA,"40W36'0","19S56'10",NA
"23","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","488",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita sobre árvore a 8m de altura, flores alaranjadas, labelo alvo alaranjado, coluna amarela, semi-sombra, mata, alto de encosta. Em meio líquido.","(Rchb.f.) Van den Berg","W. Boone","1985","08","Brasil","Espírito Santo","Santa Teresa","-40.6075","-19.931389",NA,NA,"Estação Biológica Caixa D'Água",NA,NA,"637","08","MBML000488","MBML000488",NA,"40W36'27","19S55'53",NA
"24","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","489",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita com flores alaranjadas, semi-sombra, capoeirão, herb.","(Rchb.f.) Van den Berg","W. Boone","1985","09","Brasil","Espírito Santo","Santa Teresa","-40.617778","-19.931111",NA,NA,"Valsugana Velha",NA,NA,"764","16","MBML000489","MBML000489",NA,"40W37'4","19S55'52",NA
"25","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","7672",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Mata de encosta. Epífita 5m.","(Rchb.f.) Van den Berg","L. Kollmann; E. Bausen & W. Pizziolo","1998","08","Brasil","Espírito Santo","Santa Teresa","-40.6075","-19.931389",NA,NA,"Estação Biológica Caixa D'Água",NA,NA,"289","05","MBML007672","MBML007672",NA,"40W36'27","19S55'53",NA
"26","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","44541",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita a 1,3m alt., botões laranjas. Flores laranjas. Parte do labelo branco","(Rchb.f.) Van den Berg","J. Freitas","2010","07","Brasil","Espírito Santo","Santa Maria de Jetibá","-40.615222","-20.342708",NA,NA,"São José do Rio Claro. Prop. Cláudio de Almeida Conceição, trilha para topo do morro (área 1)",NA,NA,"48","24","MBML044541","MBML044541",NA,"40W36'54,8","20S20'33,75",NA
"27","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","53271",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Erva epífita. Inflorescência cimosa, flor zigomorfa. Pétalas laranja","(Rchb.f.) Van den Berg","A.D. Ferreira","2018","07","Brasil","Espírito Santo","Santa Teresa","-40.609514","-19.990989",NA,NA,"RPPN MACACO BARBADO. Trilha Angela Roncom",NA,NA,"371","28","MBML053271","MBML053271",NA,"40W36'34,25","19S59'27,56",NA
"28","2017-09-14 11:24:36-03","MBML","MBML-HERBARIO","3822",NA,"Plantae","Orchidaceae","Laelia","harpophylla","Laelia harpophylla",NA,NA,NA,NA,NA,"Informações transcritas do banco de dados, material não localizado no inventário de 2010",NA,"E. Bausen","1987","07","Brasil","Espírito Santo","Santa Teresa","-40.6075","-19.931389",NA,NA,"Estação Biológica Caixa D'Água",NA,NA,NA,"09","MBML003822",NA,NA,"40W36'27","19S55'53",NA
"29","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","4489",NA,"Plantae","Orchidaceae","Laelia","harpophylla","Laelia harpophylla",NA,NA,NA,NA,NA,"Informações transcritas do banco de dados, material não localizado no inventário de 2010","Rchb.f.","Evandro Perini; Orlando","1988","01","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","Sede",NA,NA,NA,NA,"MBML004489",NA,NA,NA,NA,NA
"30","2017-09-11 17:11:57-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Laelia","harpophylla","Laelia harpophylla",NA,NA,NA,NA,NA,"Floret Septembri","Rchb.f.","Incógnit",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"Habitat supra arbores in prov. Minas Geraes et Espiritu Santo secundum cl. Barbosa Rodrigues, loc. cit.",NA,NA,"s.n.",NA,NA,"P03P5N0068",NA,NA,NA,"Southern America"
"31","2017-09-11 17:11:57-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Laelia","harpophylla","Laelia harpophylla",NA,NA,NA,NA,NA,"Floret Septembri","Rchb.f.","Incógnit",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"Habitat supra arbores in prov. Minas Geraes et Espiritu Santo secundum cl. Barbosa Rodrigues, loc. cit.",NA,NA,"s.n.",NA,NA,"P03P5N0068",NA,NA,NA,"Southern America"
"32","2019-11-21 10:12:59-03","IBt","SP","491564","S","Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","Garcia, G","2017","07","10",NA,NA,"(Rchb.f.) Van den Berg","Martinelli, G; Baez, C","2015","10","Brasil","Minas Gerais","São Gonçalo do Rio Preto","-43.375","-18.119167",NA,NA,"Parque Estadual do Rio Preto, Campo do Mocambo","1155","1155","18882","13",NA,NA,NA,"-43.375","-18.119167",NA
"33","2019-11-21 10:13:06-03","IBt","SP","24199","S","Plantae","Orchidaceae","Dungsia","harpophylla","Dungsia harpophylla","Mamede, MCH","2011","03",NA,NA,"Fl. cinnabarinas","(Rchb.f.) Chiron & V.P.Castro","Ostermeyer, R","1929","09","Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,"s.n.","06",NA,NA,NA,NA,NA,NA
"34","2019-11-21 10:13:06-03","IBt","SP","46130","S","Plantae","Orchidaceae","Dungsia","harpophylla","Dungsia harpophylla","Mamede, MCH","2011","03",NA,NA,NA,"(Rchb.f.) Chiron & V.P.Castro","Handro, O",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA
