"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"11","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459625","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Kramer KU; Hekking WHAM",NA,"1961","02","19","Southern America","Surinam","Saramacca","Kappel-savanna prope pedem australem montis. Tafelberg (distr. Saramacca).",NA,"Wet open sandsavanna.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459625 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459625","NL-U1459625","Renz J",NA,NA,NA,NA,NA,"1989",NA,NA,"Magnoliopsidae","04","01","U 0205497",NA,NA,NA,NA,NA
"12","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459626","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Donselaar J van",NA,"1959","03","05","Southern America","Surinam",NA,"Coesewijne-savanna.",NA,"On silty loam.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459626 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459626","NL-U1459626","Renz J",NA,NA,NA,NA,NA,"1989",NA,NA,"Magnoliopsidae","04","01","U 0205503",NA,NA,NA,NA,NA
"13","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459627","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Cooper A",NA,"1973","09","01","Southern America","Guyana",NA,"Soesdyke",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459627 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459627","NL-U1459627","Renz J",NA,NA,NA,NA,NA,"1989",NA,NA,"Magnoliopsidae","04","01","U 0205500",NA,NA,NA,NA,NA
"14","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459628","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Hatschbach GG",NA,"1962","12","21","Southern America","Brazil","Paraná","Parana (Brasil), Ponta Grossa, Vila Velha.",NA,"Campo do plato de arenito.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459628 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459628","NL-U1459628","Pabst GFJ",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,"U 0205501",NA,NA,NA,NA,NA
"15","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459629","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Lindeman JC; Mennega EA",NA,"1977","02","28","Southern America","Surinam",NA,"Coesewijne savanna.",NA,"Wet part behind small Pinus wood.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459629 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459629","NL-U1459629","Renz J",NA,NA,NA,NA,NA,"1989",NA,NA,"Magnoliopsidae","04","01","U 0205505",NA,NA,NA,NA,NA
"16","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459630","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Stahel G",NA,"1943","03","01","Southern America","Surinam",NA,"Zanderij II",NA,"Wet savanna on sand.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459630 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459630","NL-U1459630","Renz J",NA,NA,NA,NA,NA,"1989",NA,NA,"Magnoliopsidae","04","01","U 0205499",NA,NA,NA,NA,NA
"17","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459631","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Rombouts HE",NA,"1936","01","20","Southern America","Surinam",NA,"Upper Sipaliwini, camp B.",NA,"In savanna in marsh.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459631 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459631","NL-U1459631","Renz J",NA,NA,NA,NA,NA,"1989",NA,NA,"Magnoliopsidae","04","01","U 0205502",NA,NA,NA,NA,NA
"18","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459632","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Wessels Boer JG",NA,"1963","02","24","Southern America","Surinam",NA,"Ad rivulum Palaime, flum. Sipaliwini.",NA,"Palaime savanna.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459632 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459632","NL-U1459632","Renz J",NA,"-56.2","2.133333",NA,NA,"1989",NA,NA,"Magnoliopsidae","04","01","U 0205504","-56.2","2.133333",NA,NA,NA
"19","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459633","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Oldenburger FHF; Norde R; Schulz JP",NA,"1969","01","14","Southern America","Surinam",NA,"Sipaliwini savanna area on Brazilian frontier.",NA,"Flat sandy valley floor. Vegetation Paspalum pulchellum, Echinolaena inflexa.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459633 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459633","NL-U1459633","Renz J",NA,NA,NA,NA,NA,"1989",NA,NA,"Magnoliopsidae","04","01","U 0205506",NA,NA,NA,NA,NA
"20","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459634","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Teunissen PA",NA,"1972","01","29","Southern America","Surinam","Marowijne","Suriname. Buffelsavanna along Wanekreek, distr. Marowijne.",NA,"On savanna of Welgelegen type. In Rhynchospora globosa vegetation.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459634","NL-U1459634","Renz J",NA,NA,NA,NA,NA,"1989",NA,NA,"Magnoliopsidae","04","01","U 0205496",NA,NA,NA,NA,NA
"21","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459635","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Maas PJM; Tawjoeran JA",NA,"1965","05","10","Southern America","Surinam",NA,"Suriname, Saparakreek, W bank of Maratakka riv.",NA,"Open savanna, black clay.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459635","NL-U1459635","Renz J",NA,NA,NA,NA,NA,"1989",NA,NA,"Magnoliopsidae","04","01","U 0205507",NA,NA,NA,NA,NA
"22","2020-11-04 12:17:31-03","ESALQ","ESA","87684","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Batista, J.A.N.","840.0","1999","01","01",NA,"Brasil","Goiás",NA,NA,NA,"ESA087684","ESA087684","Batista, J.A.N.","Cavalcante","-47.4583015441895","-13.7974996566772",NA,NA,NA,"92497","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-31 13:41:04-03","MN","R","32163","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackeii","Habenaria schwackeii","Barb. Rodr.",NA,"Ule, E.H.G.","496","1892","12","25",NA,"Brasil","Goiás",NA,NA,NA,NA,NA,"Batista, J.A.N.",NA,NA,NA,NA,NA,"1997",NA,NA,NA,"09","08",NA,NA,NA,NA,NA,NA
"24","2021-03-31 13:41:04-03","MN","R","3500","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackeii","Habenaria schwackeii","Barb. Rodr.",NA,"Dusén, P.K.H.","3602","1903","12","10",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,"Hoehne, F.C.","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0012635","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb.Rodr.",NA,"J. M. Silva; J. Cordeiro, C. B. Poliquesi","1833","1996","12","13",NA,"Brazil","Parana","Canion Guartelá (Mun. Tibagi).",NA,"Flor alva.",NA,NA,"J. A. N. Batista",NA,"-50.4","-24.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-08-20 10:00:50-03","UNICAMP","UEC","122248","S","Plantae","Liliopsida",NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb.Rodr.",NA,"Pansarin, ER; Mickeliunas, L","866","2001","12","29",NA,"Brazil","Goiás","Rodovia GO 118, Km 189, Sentido Alto Paraíso de Goiás -Terezina de Goiás, lado direito da pista, próximo ao cruzeiro.",NA,NA,"UEC034558","UEC034558","Pansarin, ER","Terezina de Goiás","-47.466667","-13.95",NA,NA,"2002",NA,NA,NA,"01",NA,NA,"-47.466667","-13.95",NA,NA,NA
"27","2021-03-01 16:20:15-03","UNICAMP","UEC","154493","S","Plantae","Liliopsida",NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb.Rodr.",NA,"Barbosa, TDM; Costa, SM","1141","2010","07","17",NA,"Brazil","Roraima","Parque Nacional do Viruá. &nf;Área alagada. Na margem da Estrada Perdida. Solo argiloso.",NA,"Erva ca. 30 cm, palustre. Indivíduo crescendo entre touceira de Cyperaceae. Flor alva.","UEC007993","UEC007993",NA,"Caracaraí","-60.983333","1.426389","62","62",NA,NA,NA,NA,NA,NA,NA,"-60.983333","1.426389",NA,NA,NA
"28","2021-03-01 16:20:15-03","UNICAMP","UEC","154496","S","Plantae","Liliopsida",NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb.Rodr.",NA,"Barbosa, TDM; Costa, SM","1309","2010","07","24",NA,"Brazil","Roraima","Parque Nacional do Viruá. &nf;Campinarana arbustiva. Grade PPBIO. Solo encharcado.",NA,"Erva palustre ca. 30 cm. Flores alvas.","UEC007995","UEC007995",NA,"Caracaraí","-61.006944","1.468333","67","67",NA,NA,NA,NA,NA,NA,NA,"-61.006944","1.468333",NA,NA,NA
"29","2019-08-20 10:00:50-03","UNICAMP","UEC","97699","S","Plantae","Liliopsida",NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb.Rodr.",NA,"Pansarin, ER; Belinello, R; Mendonça, NG; Faria, AD","113","1997","12","23",NA,"Brazil","São Paulo","Estrada sentido Angatuba - Itatinga, Km 30.",NA,"Primeira coleta da espécie para São Paulo.","UEC034566","UEC034566","Batista, JAN","Angatuba","-48.416667","-23.45",NA,NA,"2000",NA,NA,NA,"03","30",NA,"-48.416667","-23.45",NA,NA,NA
"30","2019-08-20 10:00:50-03","UNICAMP","UEC","118937","S","Plantae","Liliopsida",NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb.Rodr.",NA,"Batista, JAN; Pansarin, ER","1155","2001","01","10",NA,"Brazil","Goiás","Chapada dos Viadeiros, Área a direita da pista na GO-118, em direção a Teresina de Goiás, ca. de 19 Km após e ao N de Alto Paraíso, na altura e entre os Km 185-186, ca. 2 Km antes do morro com o cruzeiro.",NA,"Erva terrestre, em campo limpo (talvez permanentemente úmido). Solo areno-argiloso, escuro, frequentemente com água sobre a superfície. Área anteriormente queimada, cobertura graminosa baixa. Comum, observados vários exemplares espalha","UEC034567","UEC034567","Batista, JAN","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242",NA,NA,"2001","44724","auto",NA,"01",NA,NA,NA,NA,NA,NA,NA
"31","2019-08-20 10:00:50-03","UNICAMP","UEC","118017","S","Plantae","Liliopsida",NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb.Rodr.",NA,"Batista, JAN","840","1999","01","01",NA,"Brazil","Goiás","Cerca de 28 km de Cavalcante, no alto da Chapada, em direção a região conhecida como São Domingos. Campo úmido ou inundado em vereda. Solo escuro, úmido. Área anteriormente queimada.",NA,"Erva terrestre. Comum, observados vários conjuntos ao longo de toda a vereda. Em plena floração. Sépalos verde-escuro. Pétalos e labelo completamente brancos. Coluna branca.","UEC034565","UEC034565","Batista, JAN","Cavalcante","-47.4583015441895","-13.7974996566772",NA,NA,"1999","92497","auto",NA,"01",NA,NA,NA,NA,NA,NA,NA
"32","2019-02-21 19:37:57-03","UNEMAT","HERBAM","2072","S","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb.Rodr.",NA,"Zappi, D.C.; Sasaki, D.; Milliken, W.; Biggs, N.; Silveira, E.A.; Philippsen, M.; Bessa, M.A.","881","2008","01","27",NA,"Brasil","Mato Grosso","Parque Estadual Cristalino, Campo, perto da água.",NA,NA,"HERBAM002072",NA,"Toscano, A","Novo Mundo","-55.191944","-9.584167","379","379",NA,NA,NA,NA,NA,NA,NA,"-55.191944","-9.584167",NA,NA,NA
"33","2020-12-21 16:38:30-03","MBM","MBM","46101","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","amazonica","Habenaria amazonica","Schltr.",NA,"Hatschbach, G.","37932","1976","01","08","Southern America","Brazil","Paraná","Fazenda Campo Real",NA,NA,"MBM046101","MBM046101","Pabst, G.","Guarapuava","-51.4580993652344","-25.395299911499",NA,NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:38:33-03","MBM","MBM","256036","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.","ISOTYPE","Dusén, P.","9089","1910","01","24","Southern America","Brazil","Paraná","23 Turma - Localidade de Lagoa Dourada, no Parque Estadual de Vila Velha. À época da coleta era a localização da 23ª turma de construção da estrada de ferro. Anotado por Motta, J.T., em 13/02/2019.",NA,NA,"MBM256036","MBM256036","Batista, J.A.N.","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,"2001","46557","auto",NA,"10",NA,NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:38:33-03","MBM","MBM","49693","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Hatschbach, G.; Smith, L.B.; Klein, R.; Smith, L.B.; Klein, R.","12119","1965","01","15","Southern America","Brazil","Paraná","Carambeí, Rio São João",NA,NA,"MBM049693","MBM049693","Batista, J.A.N.","Castro","-50.0119018554688","-24.7910995483398",NA,NA,NA,"50779","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:38:33-03","MBM","MBM","15762","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Hatschbach, G.","24114","1970","04","06","Southern America","Brazil","Paraná","Rio das Perdizes",NA,NA,"MBM015762","MBM015762","Batista, J.A.N.","Arapoti","-49.8266983032227","-24.1578006744385",NA,NA,NA,"41852","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:38:33-03","MBM","MBM","255674","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Dombrowski, L.T.; Scherer Neto, P.; Scherer Neto, P.","12377",NA,NA,NA,"Southern America","Brazil","Paraná","Fazenda Santa Rita",NA,NA,"MBM255674","MBM255674","Batista, J.A.N.","Palmeira","-50.0064010620117","-25.4293994903564",NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:38:33-03","MBM","MBM","16983","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Hatschbach, G.","26061","1971","01","23","Southern America","Brazil","Mato Grosso","Santa Fé",NA,NA,"MBM016983","MBM016983","Batista, J.A.N.","Sidrolândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:38:33-03","MBM","MBM","256035","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Dusén, P.","s.n.",NA,NA,NA,"Southern America","Brazil","Paraná","Serrinha",NA,NA,"MBM256035","MBM256035","Batista, J.A.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:38:33-03","MBM","MBM","339073","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Silva, J.M.; Ribas, O.S.; Batista, J.A.N.; Ribas, O.S.; Batista, J.A.N.","6316","2008","02","06","Southern America","Brazil","Paraná","Cachoeira da Mariquinha",NA,"Terrícola, flor creme. Campo limpo, levemente úmido.; Terrícola, flor creme.; Campo limpo, levemente umido.","MBM339073","MBM339073","Engels, M.E.","Ponta Grossa","-49.952583","-25.195139",NA,NA,"2019",NA,NA,NA,"04","12",NA,"-49.952583","-25.195139",NA,NA,NA
"41","2020-12-21 16:38:33-03","MBM","MBM","46067","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Hatschbach, G.","37601","1975","11","15","Southern America","Brazil","Mato Grosso","Rio d Casca",NA,NA,"MBM046067","MBM046067","Batista, J.A.N.","Chapada dos Guimarães","-55.749698638916","-15.460599899292",NA,NA,NA,"107042","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:38:33-03","MBM","MBM","319231","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Kozera, C.; Kozera, O.P.; Kozera, O.P.","2791","2005","12","19","Southern America","Brazil","Paraná","Ponte dos Arcos",NA,"Herbácea, flores brancas.; Campo seco.","MBM319231","MBM319231","Engels, M.E.","Balsa Nova","-49.6356010437012","-25.5839004516602",NA,NA,"2019","27346","auto",NA,"04","11",NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:38:33-03","MBM","MBM","49692","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Hatschbach, G.","8687","1961","12","21","Southern America","Brazil","Paraná","Estrada para Cerro Alto",NA,NA,"MBM049692","MBM049692","Batista, J.A.N.","Jaguariaíva","-49.7057991027832","-24.2511005401611",NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:38:33-03","MBM","MBM","10185","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Hatschbach, G.","20398","1968","11","27","Southern America","Brazil","Paraná","Fazenda Chapada Santo Antônio",NA,NA,"MBM010185","MBM010185","Batista, J.A.N.","Jaguariaíva","-49.7057991027832","-24.2511005401611",NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:38:33-03","MBM","MBM","34453","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Hatschbach, G.; Pedersen, T.M.; Pedersen, T.M.","35866","1975","01","02","Southern America","Brazil","Paraná","Córrego da Anta",NA,NA,"MBM034453","MBM034453","Batista, J.A.N.","Palmeira","-50.0064010620117","-25.4293994903564",NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:38:33-03","MBM","MBM","600","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","schwackei","Habenaria schwackei","Barb. Rodr.",NA,"Hatschbach, G.","13509","1966","01","12","Southern America","Brazil","Paraná","Serra das Almas",NA,NA,"MBM000600","MBM000600","Batista, J.A.N.","Palmeira","-50.0064010620117","-25.4293994903564",NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
