"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","fieldNumber","year","month","day","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","recordNumber","continentOcean","stateProvince","identifiedBy","class","order","minimumElevationInMeters","individualCount","phylum","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag"
"11","2021-02-08 12:52:59-03","UFRGS","ICN","134635a","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","Windisch, PG; et al.",NA,"1999","10","31","Brasil","Platô do Morro da Embratel",NA,"Junto ao penhasco, junto à gesneriácea.",NA,NA,"Plantae","9334","América do Sul","RS","da Silva, LN",NA,NA,NA,NA,"Monocotyledon","2018","05","23","Morro Reuter","-51.0807991027832","-29.5380992889404",NA,NA,NA,"12924","auto"
"12","2021-02-08 12:52:59-03","UFRGS","ICN","180280","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","da Silva, LN; Tacuatiá, LO",NA,"2014","10","27","Brasil","Estrada de chão de Torrinhas em sentido ao Rio Camaquã",NA,"testemunho de análise de genética de populações; vegetando em fendas de matacão; rara e ameaçada de extinção; campo seco, com afloramentos rochosos",NA,NA,"Plantae","LNS667","América do Sul","RS","da Silva, LN",NA,NA,NA,NA,"Monocotyledon","2014","10","27","Pinheiro Machado (Torrinhas)","-53.497222","-31.297222","-53.497222","-31.297222",NA,NA,NA
"13","2021-02-08 12:52:59-03","UFRGS","ICN","033215","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","Rosengurtt, B",NA,"1955","11","06","Uruguai","Parque Ute",NA,NA,NA,NA,"Plantae","6357","América do Sul","Lavalleja","Longhi-Wagner, HM",NA,NA,NA,NA,"Monocotyledon","2016","03","18",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-08 12:52:59-03","UFRGS","ICN","134888","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","Essi, L; Longhi-Wagner, HM",NA,"2004","10","11","Brasil","S31°27'59 9 W053°07'25 6",NA,"Em fendas de rochas de matacão, em morro granítico",NA,NA,"Plantae","291","América do Sul","RS","Essi, L",NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,"Piratini","-53.123611","-31.466389","-53.123611","-31.466389",NA,NA,NA
"15","2021-02-08 12:52:59-03","UFRGS","ICN","134889","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","Longhi-Wagner, HM; Essi, L",NA,"2004","10","11","Brasil","em fendas de rochas de matacão, em morro granítico S31°27'59 9 W053°07'25 6",NA,NA,NA,NA,"Plantae","292","América do Sul","RS","Essi, L",NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,"Piratini","-53.123611","-31.466389","-53.123611","-31.466389",NA,NA,NA
"16","2021-02-08 12:52:59-03","UFRGS","ICN","180283","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","da Silva, LN; Tacuatiá, LO",NA,"2014","10","28","Brasil","Balneário da cidade, em morro granítico sobre a gruta da Santa",NA,"testemunho de análise de genética de populações; muito rara; ameaçada de extinção; vegetando em fendas de matacão em morro granítico",NA,NA,"Plantae","LNS672","América do Sul","RS","da Silva, LN",NA,NA,NA,NA,"Monocotyledon","2014","10","28","Piratini","-53.123611","-31.45","-53.123611","-31.45",NA,NA,NA
"17","2021-02-08 12:52:59-03","UFRGS","ICN","180284","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","da Silva, LN; Tacuatiá, LO",NA,"2014","10","29","Brasil","Estrada de chão de Piratini a Pinheiro Machado, em campo com afloramentos rochosos",NA,"testemunho de análise de genética de populações; muito rara; ameaçada de extinção; vegetando em fendas de matacão em afloramento granítico",NA,NA,"Plantae","LNS673","América do Sul","RS","da Silva, LN",NA,NA,NA,NA,"Monocotyledon","2014","10","29","Piratini","-53.178889","-31.461389","-53.178889","-31.461389",NA,NA,NA
"18","2021-02-08 12:52:59-03","UFRGS","ICN","180285","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","da Silva, LN; Tacuatiá, LO",NA,"2014","10","29","Brasil","Estrada de chão de Piratini a Pinheiro Machado, em campo com afloramentos rochosos",NA,"testemunho de análise de genética de populações; muito rara; ameaçada de extinção; vegetando em fendas de matacão em afloramento granítico",NA,NA,"Plantae","LNS674","América do Sul","RS","da Silva, LN",NA,NA,NA,NA,"Monocotyledon","2014","10","29","Piratini","-53.189444","-31.473889","-53.189444","-31.473889",NA,NA,NA
"19","2021-02-08 12:52:59-03","UFRGS","ICN","194831","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","da Silva, LN; González, A",NA,"2016","10","15","Uruguai","Cerro Aguirre",NA,"folhas de indivíduos coletados em sílica.; rara, população pequena; no topo do morro, vegetando entre as rochas graníticas",NA,NA,"Plantae","LNS711","América do Sul","Rocha","da Silva, LN",NA,NA,"190",NA,"Monocotyledon","2016","10","15","Rocha","-54.146944","-34.332778","-54.146944","-34.332778","190",NA,NA
"20","2021-02-08 12:52:59-03","UFRGS","ICN","194833","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","da Silva, LN; González, A",NA,"2016","10","14","Uruguai","Parque Salus, Ruta 8, Km 109",NA,"folhas de indivíduos coletados em sílica.; habitando nas fendas entre as rochas e vegetação arbustiva; em morro com afloramento granítico",NA,NA,"Plantae","LNS706","América do Sul","Lavalleja","da Silva, LN",NA,NA,"195",NA,"Monocotyledon","2016","10","14","Minas","-55.306111","-34.394444","-55.306111","-34.394444","195",NA,NA
"21","2021-02-08 12:52:59-03","UFRGS","ICN","201523","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","Souza, LS; Silva, LN; Lima, C",NA,"2019","11","06","Brasil",NA,NA,"Campo pedregoso.",NA,NA,"Plantae","32","América do Sul","RS","Silva, LN",NA,NA,NA,NA,"Monocotyledon","2019","11","06","Piratini","-53.189444","-31.473889","-53.189444","-31.473889",NA,NA,NA
"22","2021-02-08 12:52:59-03","UFRGS","ICN","201625","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","da Silva, LN; Valduga, E; Valls, JFM",NA,"2018","12","18","Brasil","Itaimbezinho, borda do perau da trilha do cotovelo",NA,"uma única touceira em flor, vegetando na borda do penhasco, sobre rocha com liquens e Sphagnum",NA,NA,"Plantae","LNS1143","América do Sul","RS","da Silva, LN",NA,NA,"919",NA,"Monocotyledon","2018","12","18","Cambará do Sul","-50.097778","-29.168889","-50.097778","-29.168889","919",NA,NA
"23","2021-02-08 12:52:59-03","UFRGS","ICN","201626","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","da Silva, LN; Valduga, E; Valls, JFM",NA,"2018","11","21","Brasil","Morro Felsköpf (Embratel), no topo do morro, na beira do perau",NA,"vegetando em rochas, com pouco solo, na beira do perau",NA,NA,"Plantae","LNS1090","América do Sul","RS","da Silva, LN",NA,NA,"633",NA,"Monocotyledon","2018","11","21","Morro Reuter","-51.089722","-29.536389","-51.089722","-29.536389","633",NA,NA
"24","2021-02-08 12:52:59-03","UFRGS","ICN","201628","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","Büneker, HM; Silva, JC; Witeck, L; Gazineu, N",NA,"2019","09","27","Brasil","Reserva hidrelétrica Itaúba, as margens do rio Jacuí",NA,"planta saxícola, pendente, ocorrendo junto a Parodia claviceps, Dyckia sp. E Tilladia spp.; na escarpa rochosa basáltica;",NA,NA,"Plantae","HMB820","América do Sul","RS","da Silva, LN",NA,NA,"225",NA,"Monocotyledon","2020","01","09","Estrela Velha","-53.239722","-29.2075","-53.239722","-29.2075","225",NA,NA
"25","2021-02-08 12:52:59-03","UFRGS","ICN","201629","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","de Souza, LS; da Silva, LN; Ribeiro, CL",NA,"2019","12","07","Brasil","RS608, campo pedregoso, aprox. 5km após a cidade",NA,"ocorrendo esparasamente nos topos de morro, com afloramentos graníticos.; vegetando em fendas de matacão;",NA,NA,"Plantae","LSS37","América do Sul","RS","da Silva, LN",NA,NA,"375",NA,"Monocotyledon","2019","12","07","Pedras Altas","-53.614444","-31.767222","-53.614444","-31.767222","375",NA,NA
"26","2021-02-08 12:52:59-03","UFRGS","ICN","023082","S","Poaceae","Chascolytrum","parodianum","Chascolytrum parodianum","(Roseng., B.R. Arrill. & Izag.) Matthei","Valls, JFM; et al.",NA,"1972","10","11","Brasil","estrada Piratini a Pinheiro Machado logo após ponte sobre o Arroio Piratini Menor",NA,"Espécie ameaçada de extinção (Em perigo).; Vegeta em frestas dos matacões de granito.",NA,NA,"Plantae","2254","América do Sul","RS","Longhi-Wagner, HM",NA,NA,NA,NA,"Monocotyledon","2016","03","18","Piratini","-53.1041984558105","-31.4480991363525",NA,NA,NA,"62286","auto"
"27","2021-04-08 09:32:04-03","FEPAGRO","BLA","11444","PreservedSpecimen","Poaceae","Briza","parodiana","Briza parodiana","Roseng., B.R.Arrill. & Izag.","B. Rosengurtt",NA,"1949","10","30","Uruguai","Salus",NA,"Ex MVFA. Testemunho da Análise Taxonomica Numérica - Projeto Briza.","BLA011444",NA,"Plantae","B-5674",NA,"Lavalleja","B. Rosengurtt",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,"Minas",NA,NA,NA,NA,NA,NA,NA
"28","2021-04-08 09:32:04-03","FEPAGRO","BLA","11443","PreservedSpecimen","Poaceae","Briza","parodiana","Briza parodiana","Roseng., B.R.Arrill. & Izag.","Montoro",NA,NA,NA,NA,"Uruguai",NA,NA,"Data de Coleta: 11/1923. Ex MVFA. Testemunho da Análise Taxonomica Numérica - Projeto Briza.","BLA011443",NA,"Plantae","2802",NA,"Maldonado","B. Rosengurtt",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,"Piriápolis",NA,NA,NA,NA,NA,NA,NA
"29","2021-04-08 09:32:04-03","FEPAGRO","BLA","7266","PreservedSpecimen","Poaceae","Briza","parodiana","Briza parodiana","Roseng., B.R.Arrill. & Izag.","B. Rosengurtt",NA,"1955","11","06","Uruguai","Parque UTE - Pedregal",NA,"Testemunho da Análise Cromatográfica (Flavonóides) do Trabalho de M. C. N. Hickenbick. Exsicata sem estado nem cidade definidos.Habitat: Potreiros experimentais.","BLA007266",NA,"Plantae","B-6357",NA,NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
