"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","class","relatedCatalogItem","typeStatus","coordinatePrecision","geoFlag","individualCount","monthIdentified","verbatimLongitude","verbatimLatitude"
"11","2020-12-11 11:40:20-03","UFMG","BHCB","62952","PreservedSpecimen","Plantae","Dicotyledon",NA,"Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat",NA,"Mota, RC da","384","2001","01","26","Southern America","Brasil","Minas Gerais","São Gonçalo do Abaeté",NA,"-45.8333015441895","-18.3383007049561",NA,NA,NA,"Plantas do Brasil. Cerrado. Erva. Flores lilases; Planta coletada em cerrado; erva; flores lilases.",NA,NA,NA,NA,NA,NA,"75342","auto",NA,NA,NA,NA
"12","2009-07-27 09:31:00-03","MO","MOBOT","1791294","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat",NA,"Auguste F.M. Glaziou","Glaziou 20668","1861",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2014-12-28 14:55:00-02","MO","MOBOT","1883988","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","J.F. Pastore (CEN), Sep","F.H.F. Oldenburger|V.V. Mecenas","Oldenburger 1990","1975","12","4","South America","Brazil","Distrito Federal",NA,"Near Planaltina on monument hill. Cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2014-12-21 13:43:00-02","MO","MOBOT","1884874","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","J.F. Pastore (CEN), Sep","Ezechias P. Heringer|Tarciso S. Filgueiras|Roberta C. de Mendonça|B.A.S. Pereira|Anajúlia E. Heringer Salles|F. Silva","Heringer 2992","1979","12","27","South America","Brazil","Distrito Federal",NA,"Bacia do Rio São Bartolomeu.","-47.5913889","-15.5905555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","2912187","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","J. Wurdack","Howard S. Irwin","Irwin 26536","1970","2","23","South America","Brazil","Distrito Federal",NA,"Camp slopes, ca. 10 km. E. of Lago Paranoa.",NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-10 04:40:00-03","MO","MOBOT","100894480","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","J. Floriano B. Pastore, ex photo","Pedro L. R. de Moraes|H. van der Werff|Lukas H. Daneu","Moraes 4397","2014","12","6","South America","Brazil","Bahia","Itacaré","RPPN Capitão.","-38.9967002868652","-14.2775001525879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41230","auto","1",NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","2926996","PreservedSpecimen","Plantae",NA,"Polygalales","Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat",NA,"E. P. Heringer, T. S. Figueiras, R. C. de Mendonça, B. A. S. Pereira, A. E. Heringer Salles & et al.","3658","1980","3","4","South America - Neotropics","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"US01872102","US01872102_01 US01872102_02",NA,"Dicotyledonae",NA,NA,"70570","auto","1",NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","2639132","PreservedSpecimen","Plantae",NA,"Polygalales","Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat",NA,"H. S. Irwin, W. R. Anderson, M. Stieber & E. Lee",NA,"1972","1","15","South America - Neotropics","Brazil","Goiás",NA,"Serra dos Pireneus, Rocky slopes ca. 10km E of Pirenópolis",NA,NA,"1000",NA,NA,NA,"US01872103","US01872103_01 US01872103_02",NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2701960","PreservedSpecimen","Plantae",NA,"Polygalales","Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat",NA,"H. S. Irwin, S. F. Fonsêca, R. Souza, R. R. Santos & J. Ramos","26536","1970","2","23","South America - Neotropics","Brazil","Distrito Federal",NA,"Ca. 10 Km E of Lago Paranoá, DF-6",NA,NA,"1000",NA,NA,NA,"US01872104","US01872104_01 US01872104_02",NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA,NA
"20","2020-09-02 16:38:12-03","Cenargen","CEN","26044","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","J. F. B. Pastore","Glocimar Pereira-Silva","946","1992","03","02",NA,"Brasil","DF","BRASILIA","Rodovia BR-060 - Santo Antônio do Descoberto, km 2.","-48.183333",NA,"1000","1000","Exsicatas",NA,"CEN00026044","CEN00026044","2003",NA,NA,NA,NA,NA,"3","02","-48.183333","-1591667.0"
"21","2020-09-02 16:38:12-03","Cenargen","CEN","56059","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","J. F. B. Pastore","José Floriano Barêa Pastore","1215","2005","01","20",NA,"Brasil","DF","BRASILIA","Chapada da Contagem, próximo à FERCAL.","-47.905277","-15.574444","989","989","Exsicatas","Próximo à mata de galeria. No campo a inflorescência desta espécie se assemelha a inflorescência de Baccharis.","CEN00056059","CEN00056059","2005",NA,NA,NA,NA,NA,"5","01","-47.905277","-15.574444"
"22","2020-09-02 16:38:12-03","Cenargen","CEN","63361","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","J. F. B. Pastore","João Bernardo de Azevedo Bringel Jr.","260","2006","02","08",NA,"Brasil","DF","BRASILIA","Fazenda Água Limpo (FAL) - Universidade de Brasília (UnB). RA Lago Sul. Mirante prróximo a divisa com a reserva da marinha.","-47.933333","-15.816666",NA,NA,"Exsicatas","Raiz tuberosa (xilopódio).","CEN00063361","CEN00063361","2006",NA,NA,NA,NA,NA,"6","02","-47.933333","-15.816666"
"23","2020-09-02 16:38:12-03","Cenargen","CEN","364","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","franchetii","Polygala franchetii","Chodat","J. F. B. Pastore","Antônio Costa Allem","364","1976","11","06",NA,"Brasil","DF","BRASILIA","Rodovia DF-003.","-47.9296989440918","-15.7797002792358",NA,NA,"Exsicatas",NA,"CEN00000364","CEN00000364","2003",NA,NA,NA,"70570","auto","2","02",NA,NA
"24","2019-09-04 19:21:57-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Polygalaceae","Polygala","francheti","Polygala francheti",NA,NA,"A. Glaziou","20668","1894",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA
