"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber","sex"
"11","2021-02-18 09:29:38-03","UNESP-IBB","BOTU","31037","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillemin ex Benth.",NA,"Mello, C.E.P.","57","2007","02","15",NA,"Brasil","São Paulo","Bofete","Gigante Adormecido","-48.270556","-23.047222",NA,NA,NA,NA,"BOTU031037",NA,NA,"48°16'14w","23°02'50s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:29:38-03","UNESP-IBB","BOTU","1854","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillemin ex Benth.","Camargo Assis, P.F.","Assis Camargo, P.F.","524","1998","07","16",NA,"Brasil","São Paulo","Agudos",NA,NA,NA,NA,NA,NA,"Árvore 9,0 m de altura, caule semi-rugoso, folhas cartáceas com pilosidade amarelada, flor com cálice verde-escuro externamente e verde-claro internamente, corola amarela, botões florais marrom, planta com pilosidade bra","BOTU001854",NA,NA,"9999","9999","1998","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-18 09:29:38-03","UNESP-IBB","BOTU","19227","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillemin ex Benth.",NA,"Grombone, M.T.","P 3","1986","02","26",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,NA,"Árvore com 10 m de altura e circunferência a 30 cm do solo de 40 cm, flores amarelas com leve perfume adocicado","BOTU019227",NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 11:30:23-03","UFRJ","RFA","9688","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.",NA,"C. Lage","157","1936","02","20",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Bosque do Horto Florestal","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Folhas e flores.","RFA28426",NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"15","2020-06-29 11:30:23-03","UFRJ","RFA","20131","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","H.C. Lima","Graziela M. Barroso",NA,"1979","03","13",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Planta do Jardim Botânico do Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA16936",NA,NA,NA,NA,"1981",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"16","2020-11-13 09:19:43-03","UFRJ","RFA","24850","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","A. Quinet & F. C. Tatagiba","Flávio Brito Pereira","18/24","2000","07","31",NA,"Brasil","Rio de Janeiro","São José do Vale do Rio Preto","1º Distrito. Fazenda Belém.","-42.922222","-22.107222","509","509",NA,"Árvore, 16m de altura, 23cm de DAP, rara no local.","RFA40306",NA,NA,"42º55'20''W","22º6'26''S","2000","09","01",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-13 09:19:43-03","UFRJ","RFA","26111","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","H. C. de Lima & L. F. G. da Silva","F. M. B. Pereira","56/57","2000","12","16",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego.","-42.522222","-20.2125","475","475",NA,"Árvore, 40m de altura, 45cm de DAP, folha verde, flor marrom, comum no local.","RFA40305",NA,NA,"42º31'20''W","20º12'45''S","2002","02","20",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-06-29 11:30:23-03","UFRJ","RFA","9689","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","J.G. Kuhlmann","Funcionários do Horto Florestal",NA,"1927","01","26",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Horto Florestal, cultivada","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Árvore de 10-15 m de altura, flor amarela.","RFA28429",NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"19","2020-06-29 11:30:23-03","UFRJ","RFA","10428","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.",NA,"P. Occhioni","4509","1971","03","00",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Matas do antigo Horto Florestal","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Árvore de 20 m de altura,flor amarela.","RFA10281",NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"20","2020-11-24 17:10:40-03","UTFPR","DVPR","5993","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Silva, DR","Rocha Filho, JA; Piva, J; Machado, C","680","2018","03","07",NA,"Brasil","Paraná","Nova Prata do Iguaçu","Área de APP da UHE Salto Caxias.","-53.2907","-25.3231","340","340",NA,"Árvore 10 m de altura. Folhas verde- discolores, pilosas. Cálice verde-escuro, corola amarela. Ponto 797.; Borda de fragmento de Floresta Estacional Semidecidual em estágio avançado de sucessão secundária.","DVPR005993",NA,NA,"-53.2907","-25.3231","2018","03","10",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-19 15:44:02-03","UNEB","HUNEB","14201","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.",NA,"Lovato, M.C.","325","2003","06","12",NA,"Brasil","Paraná","Londrina","Fazenda Figueira-Paquerê","-50.975556","-23.540833",NA,NA,NA,NA,"HUNEB0014201",NA,NA,"50W58'32''","23S32'27''",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"22","2019-11-19 15:44:02-03","UNEB","HUNEB","14184","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.",NA,"E.M.Francisco","108","1995","06","11",NA,"Brasil","Paraná","São Jerônimo da Serra","Nova Santa Barbara","-50.7411003112793","-23.7275009155273",NA,NA,NA,NA,"HUNEB0014184",NA,NA,NA,NA,NA,NA,NA,"30511","auto","Dicotyledoneae",NA,NA,NA,NA,NA
"23","2021-04-08 17:41:19-03","EAO","IAN","137302","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Lima, HC de","Belém, RP; Pinheiro, RS","3392","1967","03","09","Southern America","Brasil","Bahia",NA,"Ipiaú. Saída para Jequié. Plantação de cacau.",NA,NA,NA,NA,NA,"Árvore de 35m x 40cm de diâm.; flores amarelas, estames brancos, ovário piloso, cálice roxo.","IAN137302",NA,"paratipo",NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-08 17:41:19-03","EAO","IAN","138130","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Lima, HC de","Irwin, HS; Maxwell, HS","19160","1968","01","25","Southern America","Brasil","Goiás",NA,"50km N. of Corumbá de Goiás on road to Niquelândia, Goiás in valley of Rio Maranhão. Forested calcareous outerop.",NA,NA,"800","800",NA,"Tree ca. 10m x 25cm, fallen on steep slope, Calyx olive-tomentose without, light green within; corolla yellow-orange.","IAN138130",NA,"paratipo",NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-04-08 17:41:19-03","EAO","IAN","140725","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Lima, HC de","Irwin, HS; Grear Jr., JW","14033","1966","03","17","Southern America","Brasil","Goiás",NA,"Forested slopes, rocky talus, Côrrego Landin, ca. 20km N.E. of Brasília, D.F.",NA,NA,"950","950",NA,"Tree ca. 10m x 25cm. Fruit green.","IAN140725",NA,"paratipo",NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-04-08 17:41:19-03","EAO","IAN","140725a","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Lima, HC de","Irwin, HS; Grear Jr., JW","14033","1966","03","17","Southern America","Brasil","Goiás",NA,"Forested slopes, rocky talus, Côrrego Landin, ca. 20km N.E. of Brasília, D.F.",NA,NA,"950","950",NA,"Tree ca. 10m x 25cm. Fruit green.","IAN140725a",NA,"paratipo",NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-04-08 17:41:19-03","EAO","IAN","140749","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Lima, HC de","Irwin, HS; Grear Jr., JW","15685","1966","05","07","Southern America","Brasil","Goiás",NA,"Distrito Federal. Gallery forest, Côrrego Landin, ca. 20km. N.E. of Brasília.",NA,NA,"900","900",NA,"Tree ca. 12m x 35cm. Fruit olive.","IAN140749",NA,"paratipo",NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-08 17:41:19-03","EAO","IAN","186901","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Lovato, MC","Lovato, MC","268","2003","05","08","Southern America","Brasil","Paraná","Londrina","Fazenda Figueira-Paiquerê.","-50.975556","-23.540833",NA,NA,NA,"Árvore 14 m ,frutos imaturos verdes ,fragmento 1.","IAN186901",NA,NA,"-50.975556","-23.540833","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-04-08 17:41:19-03","EAO","IAN","80201","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Lima, HC de","Ducke, A","278","1949","08","23","Southern America","Brasil","Pernambuco","Vitória de Sto. Antão","Cult. Est. Frut. Cedro. Vitoria Sto. Antão. Pe",NA,NA,NA,NA,NA,"Árvore pequena.","IAN080201",NA,NA,NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-04-08 17:41:19-03","EAO","IAN","80201","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Lima, HC de","Andrade-Lima, D de","278","1949","08","23","Southern America","Brasil","Pernambuco","Vitória de Sto. Antão",NA,NA,NA,NA,NA,NA,"Árvore pequena.","IAN080201",NA,"paratipo",NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-04-08 17:41:19-03","EAO","IAN","99535","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.",NA,"Fróes, RL","33303","1957","08","20","Southern America","Brasil","Minas Gerais","Paraopebas","Terrenos baixos de terra preta, entre a mata do cerrado e a área pantanosa.",NA,NA,NA,NA,NA,"Árvore de 15m.","IAN099535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-04-08 17:41:19-03","EAO","IAN","69975","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Lima, HC de","Black, GA; Magalhães, M","12151","1951","04","02","Southern America","Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"IAN069975",NA,"paratipo",NA,NA,"1985",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA
"33","2019-12-12 15:31:41-03","UFABC","HUFABC","000703","PreservedSpecimen","Plantae","Angiospermas",NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Benth","Ivanauskas, N","Amaral, BC; Teixeira-Costa, L","86","2014","08",NA,NA,"Brasil","São Paulo","São Paulo","Horto Oswaldo Cruz, Horto botânico dentro da área do Instituto Butantan","-46.717222","-23.566667",NA,NA,NA,NA,"HUFABC000703","HUFABC000703",NA,"-46.717222","-23.566667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-12-12 15:31:41-03","UFABC","HUFABC","000723","PreservedSpecimen","Plantae","Angiospermas",NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Benth","Ivanauskas, N","Amaral, BC; Teixeira-Costa, L","110A","2014","09",NA,NA,"Brasil","São Paulo","São Paulo","Horto Oswaldo Cruz, Horto botânico dentro da área do Instituto Butantan","-46.717222","-23.566667",NA,NA,NA,NA,"HUFABC000723","HUFABC000723",NA,"-46.717222","-23.566667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-12-12 15:31:41-03","UFABC","HUFABC","000749","PreservedSpecimen","Plantae","Angiospermas",NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Benth","Ivanauskas, N","Teixeira-Costa, L; Amaral, BC","91","2014","12","08",NA,"Brasil","São Paulo","São Paulo","Horto Oswaldo Cruz, Horto botânico dentro da área do Instituto Butantan","-46.717722","-23.566722",NA,NA,NA,"Árvore. Pecíolo e folhas pilosas.","HUFABC000749","HUFABC000749",NA,"-46.717722","-23.566722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-12-04 15:25:11-03","PUCPR","HUCP","24294","S","Plantae","Eudicotiledonea",NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillemin ex Benth.","Dias, J","Adenesky, E","s.n.","2011","10",NA,NA,"Brasil","Paraná","Telêmaco Borba",NA,"-50.6156005859375","-24.3239002227783",NA,NA,NA,NA,"HUCP00011503","HUCP00011503",NA,NA,NA,NA,NA,NA,"35037","auto",NA,NA,NA,NA,NA,NA
"37","2019-10-09 11:15:30-03","UFBA","ALCB","76609","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.",NA,"Carvalho, G","96","2007","02","02","Southern America","Brasil","Bahia","Ilhéus","Litoral Sul","-39.0494003295898","-14.7889003753662",NA,NA,NA,"ca. 10m alt. Flores amarelas, frutos imaturos castanhos.; Passeio Público.","ALCB029676","ALCB029676",NA,NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA
"38","2019-10-09 11:15:30-03","UFBA","ALCB","01624","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.",NA,"Gorsweiler, M","s/n",NA,NA,NA,"Southern America","Brasil","Bahia","Bananeiras",NA,NA,NA,NA,NA,NA,NA,"ALCB029678","ALCB029678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-10-09 11:15:30-03","UFBA","ALCB","61129","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Guedes, ML","Guedes, ML","9963","2003","04","22","Southern America","Brasil","Bahia","Floresta Azul","Litoral Sul, Barra Nova, Faz. A Futurosa.","-39.65","-14.85",NA,NA,NA,"de ca. 10 m. Folíolos cartáceos. Frutos sâmaras de 16-26 cm de compr.; Mata de Cabruca.","ALCB029677","ALCB029677 ALCB029677_1",NA,"-39.65","-14.85","2003","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-10-09 11:15:30-03","UFBA","ALCB","027236","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Queiroz, LP de","Guedes, ML","2478","1990","10","11","Southern America","Brasil","Pernambuco","Recife","Mata de Dois Irmãos, mod 6 ind. 285","-34.8810997009277","-8.05389022827148",NA,NA,NA,"18,0m de altura com 16,0cm de DAP.","ALCB029680","ALCB029680",NA,NA,NA,NA,NA,NA,"18865","auto",NA,NA,NA,NA,NA,NA
"41","2020-02-08 09:11:49-03","NBC","NL-BOTANY","L.1964513","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.",NA,"Jan R",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Rio Janeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1964513 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1964513","NL-L1964513",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"42","2020-02-08 09:11:49-03","NBC","NL-BOTANY","L.1964514","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.",NA,"Jan R",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Rio Janeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1964514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1964514","NL-L1964514",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"43","2020-02-08 09:11:49-03","NBC","NL-BOTANY","L.1964515","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.",NA,"Hatschbach GG",NA,"1962","02","20","Southern America","Brazil",NA,NA,"Est. Parana (Brasil), Mun. Paranai, Barra Grande.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1964515 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1964515","NL-L1964515",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"44","2020-02-08 09:11:49-03","NBC","NL-BOTANY","L.1964516","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.",NA,"Hatschbach GG",NA,"1962","02","20","Southern America","Brazil",NA,NA,"Est. Parana (Brasil), Mun. Paranai, Barra Grande.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1964516 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1964516","NL-L1964516",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"45","2020-02-08 09:11:49-03","NBC","NL-BOTANY","L.1964517","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.",NA,"Vincent D",NA,"1915","10","01","Southern America","Brazil",NA,NA,"Pu di Rio de Janeiro. Jacarepayna.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1964517 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1964517","NL-L1964517",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"46","2020-02-08 09:11:49-03","NBC","NL-BOTANY","U 0183764","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrolobium","tomentosum","Centrolobium tomentosum","Guill. ex Benth.","Lindeman JC","Hatschbach GG; Lindeman JC; Haas JH de",NA,"1967","01","18","Southern America","Brazil","Paraná",NA,"Est. Paraná. Rio Ivaí, Mun. Terra Boa.",NA,NA,NA,NA,NA,"Rainforest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200183764 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0183764",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
