"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","scientificNameAuthorship","coordinatePrecision","geoFlag","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","yearIdentified","monthIdentified","dayIdentified","individualCount","class"
"11","2021-02-11 17:20:03-03","UFPR","UPCB","71755","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana","Goldenberg, R.","Michelangeli, F.A.","1605","2011","02","07",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"930",NA,"Tree up to 18 m tall, 10 cm DBH; young stems green, later turning brown; inflorescence axis green; hypanthia green, petals in bud pink.","UPCB0016378","UPCB0016378",NA,"R.Goldenb. & Kollmann",NA,NA,"930","9999","9999",NA,"2011","02",NA,NA,NA
"12","2021-02-11 17:20:03-03","UFPR","UPCB","77076","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana",NA,"Kollmann, L.","10743","2008","03","12",NA,"Brasil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do Furlani. Alt 895-m/s.m","-40.6002998352051","-19.9356002807617",NA,NA,"Árvore 8m, DAP 10cm, fust 3,4m; caule verde; pecíolo vermelho no sol; folhas ligeiramente brilhosas na face adaxial, verde clara na face abaxial com nervuras salientas; inflorescência verde; ovário verde com máculas verde claras; pét","UPCB0002147","UPCB0002147 UPCB0002147_1","Isotype","R.Goldenb. & L.Kollmann","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2013-07-11 12:02:00-03","MO","MOBOT","100610598","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana","R. Goldenberg","Fabián A. Michelangeli|Renato Goldenberg|Mayara K. Caddah|Marcelo Reginato|Ludovic Kollmann","Michelangeli 1605","2011","2","7","South America","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, terreno do Furlani. (19° 79' 98 S, 40° 53' 70 W)","-40.6002998352051","-19.9356002807617","930.00000000",NA,NA,NA,NA,NA,"R. Goldenb. & L. Kollmann","23813","auto",NA,NA,NA,NA,NA,NA,NA,"1",NA
"14","2013-08-02 15:23:00-03","MO","MOBOT","100617158","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana",NA,"Ludovic Kollmann","Kollmann 10743",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","R. Goldenb. & L. Kollmann",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"15","2020-07-10 09:47:29-03","MBML","MBML-HERBARIO","17014",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana","R. Goldenberg/2015","R.R. Vervloet; et al","326","2002","05","29",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,"Árvore 10m, beira do rio, próximo a cachoeira, local rochoso, camada de solo, dossel aproximado 16m, caule rugoso, frutos imaturos de cor verde, com pintas brancas.","MBML017014","MBML017014","PARATIPO","R. Goldenb. & Kollmann",NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:47:29-03","MBML","MBML-HERBARIO","23338",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana",NA,"H. Q. Boudet Fernandes; et al","3369","2005","01","20",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,"Árvore, 8m. Botões verdes. Próxima á cachoeira.","MBML023338","MBML023338","PARATIPO","R. Goldenb. & Kollmann",NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:47:29-03","MBML","MBML-HERBARIO","46620",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana","R. Goldenberg/II-2011","F.A. Michelangeli; R. Goldenberg, M.K. Caddah, M. Reginato & L. Kollmann","1605","2011","02","07",NA,"Brasil","Espírito Santo","Santa Teresa","Nova Lombardia, terreno do Furlani","-40.537","-19.7998","930",NA,"Tree up to 18m tall, 10cm DHB, young stems green, later turning brown, inflorescence axis green, hypanthia green, petals in bud pink","MBML046620","MBML046620",NA,"R. Goldenb. & Kollmann",NA,NA,"930","40W32'13,2","19S47'59,28",NA,NA,NA,NA,NA,NA
"18","2020-07-10 09:47:29-03","MBML","MBML-HERBARIO","47806",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana","R. Goldenberg","L. Kollmann","10743","2008","03","12",NA,"Brasil","Espírito Santo","Santa Teresa","Nova Lombardia, terreno de J.V. Furlani","-40.537222","-19.804167","895",NA,"Árvore 8m, DAP 10cm, fuste 3,4m, caule verde, pecíolo vermelho no sol, folhas ligeiramente brilhosas na face adaxial, verde clara na face abaxial com nervuras salientas, inflorescência verde, ovário verde com máculas verde claras, péta","MBML047806","MBML047806","HOLOTIPO","R. Goldenb. & L. Kollmann",NA,NA,"895","40W32'14","19S48'15",NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:47:29-03","MBML","MBML-HERBARIO","49486",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana",NA,"R. Goldenberg; P. Labiak, M. Kaehler, F.B. Matos, L. Kollmann","886","2007","07","13",NA,"Brasil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do Furlani. Mata Atlântica de encosta","-40.538333","-19.805278","950",NA,"Árvore 12m, em população com individuos com até 16m. Frutos imaturos verdes (material em sílica)","MBML049486","MBML049486","PARATIPO","R. Goldenb. & Kollmann",NA,NA,"950","40W32'18","19S48'19",NA,NA,NA,NA,NA,NA
"20","2021-03-15 18:28:48-03","USP","SPF","214000","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana","Anônimo","Kollmann, L","10743","2008","03","12",NA,"Brasil","Espírito Santo","Santa Teresa","Nova Lombardia, terreno de J.V. Furlani.","-40.6002998352051","-19.9356002807617","895",NA,"Árvore 8 m, DAP 10 cm, fuste 3,4 m; caule verde; pecíolo vermelho no sol; folhas ligeiramente brilhosas na face adaxial, verde clara na face abaxial com nervuras salientes; inflorescência verde; ovário verde com máculas verde claras;","SPF00214000",NA,"isotype","R.Goldenb. & L.Kollmann","23813","auto","895",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-10-07 09:34:31-03","UEFS","HUEFS","212578","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana",NA,"Kollmann, L.","10743","2008","03","12",NA,"Brasil","Espírito Santo","Santa Teresa","Nova Lombardia, terreno de J.V. Furlani.","-40.6002998352051","-19.9356002807617","895",NA,NA,"HUEFS0212578","HUEFS0212578","Isótipo","R.Goldenb. & L.Kollmann","23813","auto","895",NA,NA,NA,NA,NA,NA,NA,"Rosanae"
"22","2019-12-16 13:37:36-03","F","FMNH-SEEDPLANTS","V0396617F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0396617F","V0396617F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"23","2020-07-23 12:13:17-03","CEPLAC","CEPEC","136832","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana","R. Goldenberg & L. Kollmann","L. Kollmann","10743","2009","03","12",NA,"Brasil","Espírito Santo","SANTA TERESA","Nova Lombardia, terreno de &nf;Nova Lombardia, terreno de J. V. Furlani.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,"Isótipo",NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-01-20 15:35:56-02","CAS","CAS-BOT","532766","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","michelangeliana","Miconia michelangeliana",NA,"Michelangeli, F. A.; Goldenberg, R.; Caddah, M. K.; Reginato, M.; Kollmann, L.","1605","2011","2",NA,"South America","Brazil","Espirito Santo","Santa Teresa","Nova Lombardia, terreno do Furlani","-40.9","-20","930",NA,"Tree up to 18 m tall, 10 cm DBH; young stems green, later turning brown; inflorescence axis green; hypanthia green, petals in bud pink. Actual coordinates on label: 19°79'98S, 40°53'70W",NA,NA,NA,"R. Goldenb. & L. Kollman",NA,NA,NA,"40° 54' 0 W","20° 0' 0 S",NA,NA,NA,NA,NA,"Magnoliopsida"
