"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","month","locality","phylum","day","barcode","imagecode","occurrenceRemarks","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","class","order","typeStatus"
"11","2020-12-21 16:38:37-03","MBM","MBM","411198","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.","Santos, T.F.","Santos, T.F.","90","2015","Brazil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916","auto","2015","06","01","06","Floresta Estadual do Palmito",NA,"01","MBM411198","MBM411198","Epífita. Labelo branco com a base roxa. Pétalas laterais e sépalas marrom com listras verdes.; Em borda de Floresta Ombrófila Densa das Terras Baixas.",NA,NA,NA,NA,"Southern America",NA,NA,NA
"12","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","3656",NA,"Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","Lindl.",NA,"H. Q. Boudet Fernandes",NA,"1986","Brasil","Espírito Santo","Santa Maria de Jetibá","-40.644167","-19.976944",NA,NA,NA,NA,NA,"10","(Santa Leopoldina) Rio Nove",NA,NA,"MBML003656",NA,"Culta (1 vaso). Floresceu em 06/1987. álcool em 27/05/1988. folha com 2 inflorescências, uma em cada bainha foliacea, sépalas em pétalas castanho estriado maculados sob fundo amarelo escuro. Labelo alvo lilás com o terço lilás arroxead","40W38'39","19S58'37",NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","38526",NA,"Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","Lindl.","L. Kollmann - 20/5/05","D.R. Couto","150","2004","Brasil","Espírito Santo","Muqui","-41.3457984924316","-20.9517002105713","15667","auto","2005","05","20","07","Recanto",NA,"14","MBML038526","MBML038526","Holoepífita característica. Flores caramelo, labelo rosa-claro no ápce com mancha escura na quilha. Área com muito afloramento rochoso.",NA,NA,"800","800",NA,NA,NA,NA
"14","2020-06-17 15:25:21-03","UNESP-RC","HRCB","10799","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.","J. E. L. S. Ribeiro","Ribeiro, J. E. L. S.",NA,NA,"Brasil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265","auto",NA,NA,NA,NA,"Picinguaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-04 15:42:06-03","IF","SPSF","38490","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","russeliana","Miltonia russeliana","Lindl.","R.B.Singer","T.B.Breier & R.B.Singer","1036","2003","Brasil","SP","Cananéia","-47.9199981689453","-25.0100002288818","37574","auto","2003","05","31","05","Parque Estadual da Ilha do Cardoso","Magnoliophyta","10",NA,NA,"COLETA: Início da trilha dos índios.;",NA,NA,NA,NA,"América do Sul","Liliopsida","Orchidales",NA
"16","2014-10-09 13:58:29-03","UHH","HBG","501806","S","Plantae","Orchidaceae","Miltonia","quadrijuga","Miltonia quadrijuga","Dusen & Kraenzl.","Kränzlin, F.","Dusén, P.","11925","1909","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"06","Serra do Mar",NA,"24","HBG501806","HBG501806","ex Herb. Kränzlin NEOTROP<br>Herbarium Hamburgense evacuated and inaccessible 1943-1992",NA,NA,NA,NA,"South America",NA,NA,"Isotype"
"17","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.",NA,"Moke","s.n.",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in arboribus ad Tejuco prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"18","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","(Lindl.) Lindl.",NA,"Moke","s.n.",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in arboribus ad Tejuco prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"19","2021-02-08 12:52:19-03","UFRGS","ICN","014940","S","Plantae","Orchidaceae","Miltonia","quadrijuga","Miltonia quadrijuga","Dusén & Kraenzl.","Dutra, J","Dutra, J","940","1927","Brasil","RS","Osório","-50.2696990966797","-29.8866996765137","27350","auto",NA,NA,NA,"05","Conceição do Arroio","Monocotyledon",NA,"ICN00040508",NA,"Flores brancas.",NA,NA,NA,NA,"América do Sul",NA,NA,NA
"20","2019-11-21 10:12:52-03","IBt","SP","17410","S","Plantae","Orchidaceae","Anneliesia","russelliana","Anneliesia russelliana","(Lindl.) Senghas & Lückel","Mamede, MCH","Hoehne, FC; Gehrt, A","s.n.","1926","Brasil","Rio de Janeiro","Japuíba",NA,NA,NA,NA,"2011","03",NA,"04",NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:12:52-03","IBt","SP","390545","S","Plantae","Orchidaceae","Anneliesia","russelliana","Anneliesia russelliana","(Lindl.) Senghas & Lückel","Romanini, RP","Romanini, RP","301",NA,"Brasil","São Paulo","Cananéia","-47.9199981689453","-25.0100002288818","37574","auto",NA,NA,NA,NA,"Ilha do Cardoso, Cultivada na Seção do Orquidário do Instituto de Botânica sob nº IC-93, florescendo em 5-VI-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:12:52-03","IBt","SP","376912","S","Plantae","Orchidaceae","Anneliesia","russelliana","Anneliesia russelliana","(Lindl.) Senghas & Lückel","Romanini, RP","Romanini, RP","207",NA,"Brasil","São Paulo","Cananéia","-47.9199981689453","-25.0100002288818","37574","auto","2006",NA,NA,NA,"Ilha do Cardoso, Cultivada no Instituto de Botânica sob nº 15751, fl. 11-V-2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:12:52-03","IBt","SP","377188","S","Plantae","Orchidaceae","Anneliesia","russelliana","Anneliesia russelliana","(Lindl.) Senghas & Lückel","Romanini, RP","Romanini, RP","s.n.",NA,"Brasil","São Paulo","Cananéia","-47.9199981689453","-25.0100002288818","37574","auto","2006",NA,NA,NA,"Ilha do Cardoso, Cultivada no Instituto de Botânica sob nº 17945, fl. 8-VI-2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 10:12:52-03","IBt","SP","8380","S","Plantae","Orchidaceae","Anneliesia","russelliana","Anneliesia russelliana","(Lindl.) Senghas & Lückel","Mamede, MCH","Gehrt, A","s.n.","1923","Brasil","São Paulo","Cubatão","-46.4199981689453","-23.8899993896484","15123","auto","2011","07",NA,"05",NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 10:12:52-03","IBt","SP","45970A","S","Plantae","Orchidaceae","Anneliesia","russelliana","Anneliesia russelliana","(Lindl.) Senghas & Lückel","Mamede, MCH","Handro, O","s.n.","1938","Brasil","São Paulo","Cubatão","-46.4199981689453","-23.8899993896484","15123","auto","2011","07",NA,"06","Encosta da Serra do Mar",NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 10:12:52-03","IBt","SP","27293","S","Plantae","Orchidaceae","Anneliesia","russelliana","Anneliesia russelliana","(Lindl.) Senghas & Lückel",NA,"Loefgren, A","CGG3330","1896","Brasil","São Paulo","Cubatão","-46.4199981689453","-23.8899993896484","15123","auto",NA,NA,NA,"06","Mata virgem.",NA,NA,"SP009622","SP009622","Epífita dep. bulb. e folhas grandes 3-fol.",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-21 10:13:34-03","IBt","SP","27300","S","Plantae","Orchidaceae","Miltonia","russelliana","Miltonia russelliana","Lindl.",NA,"Luederwaldt, H","s.n.","1908","Brasil","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,NA,"09","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
