"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","class","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","1019454","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand",NA,NA,NA,NA,"M. da C. Souza","550","2007","08","16","Brazil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.6158","-26.1169",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282414' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019454","NY01019454_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","616855","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","C. E. B. Proença",NA,NA,NA,"R. Reitz","844","1953","07","16","Brazil","Santa Catarina","Palhoça","Campo do Maciam, Palhoça","-48.6678","-27.6456",NA,NA,"5","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616855","NY00616855_01","Magnoliophyta","Myrtales","South America","sheet","paratype",NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","616852","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","M. Sobral",NA,NA,NA,"G. G. Hatschbach","57863","1992","08","20","Brazil","Santa Catarina","Maracajá","Rod. BR-101","-49.4528","-28.8469",NA,NA,"5","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616852","NY00616852_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:06:43-03","NBC","NL-BOTANY","L.2527449","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","cordifolia","Mitranthes cordifolia","D.Legrand",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1953","07","16","Brazil",NA,NA,"Plantas de Santa Catarina, Campo de Maciambu, Palheca.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2527449 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2527449","NL-L2527449",NA,"Myrtales","Southern America",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"15","2020-02-08 10:06:43-03","NBC","NL-BOTANY","L.2527450","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","cordifolia","Mitranthes cordifolia","D.Legrand",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","09","05","Brazil",NA,NA,"Plantas de Santa Catarina, Pirão Frio, Sombrio.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2527450 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2527450","NL-L2527450",NA,"Myrtales","Southern America",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"16","2020-02-08 10:07:29-03","NBC","NL-BOTANY","U 0294470","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","09","05","Brazil","Santa Catarina",NA,"Pirão Frio, Sombrio.",NA,NA,NA,NA,NA,NA,"Mata.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200294470 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0294470",NA,NA,"Myrtales","Southern America",NA,NA,"Magnoliopsidae","Uw6941",NA,NA,NA
"17","2020-02-08 10:07:29-03","NBC","NL-BOTANY","U.1452622","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","09","05","Brazil","Santa Catarina",NA,"Pirão Frio, Sombrio.",NA,NA,NA,NA,NA,NA,"Mata.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1452622 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1452622","NL-U1452622",NA,"Myrtales","Southern America",NA,NA,"Magnoliopsidae","U 0239529",NA,NA,NA
"18","2019-08-27 13:31:26-03","IAP","PACA-AGP","65910","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","cordifolia","Mitranthes cordifolia","Legr.","C. D. Legrand","1959",NA,NA,"Reitz & Klein","9055","1959","09","05","Brasil","SC","Sombrio","Pirão Frio","-49.61669921875","-29.113899230957",NA,NA,"10","10","4m de altura e flor branca. Habitat: mata Hábito: arvoreta","PACA065910",NA,"Magnoliophyta","Myrtales",NA,NA,NA,"Magnoliatae",NA,"16515","auto",NA
"19","2019-08-27 13:31:26-03","IAP","PACA-AGP","65909","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","cordifolia","Mitranthes cordifolia","Legr.","C. D. Legrand","1959",NA,NA,"Reitz & Klein","1045","1953","09","24","Brasil","SC","Palhoça","Campo do Massiambu","-48.6678009033203","-27.645299911499",NA,NA,"5","5","3m de altura e flor branca. Habitat: mata Hábito: arbusto","PACA065909",NA,"Magnoliophyta","Myrtales",NA,NA,NA,"Magnoliatae",NA,"31105","auto",NA
"20","2019-08-27 13:31:37-03","IAP","PACA-AGP","117919","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D. Legrand) D. Legrand","Schneider, P.H.",NA,NA,NA,"Schneider, P.H.",NA,"2015","05","15","Brasil","RS","Santo Antônio da Patrulha","Alto Sinos","-50.685017","-29.711017","50º41.101'W","29º42.661'S",NA,NA,"Hábito: terrícola","PACA117919",NA,"Magnoliophyta","Myrtales",NA,NA,NA,"Magnoliatae",NA,NA,NA,NA
"21","2021-03-01 16:36:56-03","UNICAMP","UEC","12191","S","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Souza, MC","2005","07",NA,"Hatschbach, G","19448","1968","06","27","Brazil","Paraná","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"Arvoreta 3 m, flor alva; mata das margens de rio (pluvial, da base de serra).","UEC020158","UEC020158","Magnoliopsida",NA,NA,NA,NA,NA,NA,"24916","auto",NA
"22","2020-10-14 10:03:37-03","FURB","FURB","18698","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Sobral, M","2010","01","25","Verdi, M.; Klettenberg, D.H. & Klemz, G.","2890","2009","11","03","Brasil","Santa Catarina","Criciúma","Bairro Universitário (Próximo a Unesc).","-49.4091667","-28.7091667","-49.4091667","-28.7091667","50","50","Florística IFFSC 41 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbustiva;","FURB02585","FURB02585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-10-14 10:03:37-03","FURB","FURB","48802","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Oliveira, AA de","2015","11","18","Oliveira, A.A. de","2750","2015","11","18","Brasil","Santa Catarina","Siderópolis","Vila São Jorge.","-49.4088889","-28.6219445","-49.4088889","-28.6219445","43","43",NA,"FURB48802","FURB48802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:37:35-03","MBM","MBM","301782","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Cordeiro, J.",NA,NA,NA,"Cervi, A.C.; et al.; et al.","8315","2002","08","31","Brazil","Paraná","Guaratuba","Serra do Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,NA,"MBM301782","MBM301782",NA,NA,"Southern America",NA,NA,NA,NA,"41937","auto",NA
"25","2020-12-21 16:37:35-03","MBM","MBM","7692","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Legrand, D.",NA,NA,NA,"Hatschbach, G.","19635","1968","08","21","Brazil","Paraná","Paranaguá","Rio Cambará","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"MBM007692","MBM007692",NA,NA,"Southern America",NA,NA,NA,NA,"24916","auto",NA
"26","2020-12-21 16:37:35-03","MBM","MBM","7658","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Legrand, D.",NA,NA,NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","19488","1968","07","11","Brazil","Paraná","Paranaguá","Rio das Pombas","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"MBM007658","MBM007658",NA,NA,"Southern America",NA,NA,NA,NA,"24916","auto",NA
"27","2020-12-21 16:37:35-03","MBM","MBM","161288","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Sobral, M.",NA,NA,NA,"Negrelle, R.; et al.; et al.","A323","1992","08","23","Brazil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.6161003112793","-26.1168994903564",NA,NA,NA,NA,NA,"MBM161288","MBM161288",NA,NA,"Southern America",NA,NA,NA,NA,"18121","auto",NA
"28","2020-12-21 16:37:35-03","MBM","MBM","6572","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Legrand, D.",NA,NA,NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","19413","1968","06","13","Brazil","Paraná","Laranjeiras do Sul","Rio Iguaçu, próximo a barra do Perdido","-52.4160995483398","-25.4078006744385",NA,NA,NA,NA,NA,"MBM006572","MBM006572",NA,NA,"Southern America",NA,NA,NA,NA,"28404","auto",NA
"29","2020-12-21 16:37:35-03","MBM","MBM","27598","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.","31834","1973","06","26","Brazil","Paraná","Morretes","Colônia Floresta","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,"MBM027598","MBM027598",NA,NA,"Southern America",NA,NA,NA,NA,"30514","auto",NA
"30","2020-12-21 16:37:35-03","MBM","MBM","6545","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.","19448","1968","07","27","Brazil","Paraná","Paranaguá","Rio Cachoeirinha","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"MBM006545","MBM006545",NA,NA,"Southern America",NA,NA,NA,NA,"24916","auto",NA
"31","2020-12-21 16:37:35-03","MBM","MBM","154502","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Sobral, M.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","57863","1992","08","20","Brazil","Santa Catarina","Maracajá","Rod. BR-101","-49.4528007507324","-28.846700668335",NA,NA,NA,NA,NA,"MBM154502","MBM154502",NA,NA,"Southern America",NA,NA,NA,NA,"7970","auto",NA
"32","2021-02-11 17:20:46-03","UFPR","UPCB","21453","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legr.) D.Legr.","Sobral, M.","1993","07",NA,"Negrelle, R.R.B.","A323","1992","08","23","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.6161003112793","-26.1168994903564",NA,NA,NA,NA,"Árvore, ca. 4m, flor branca, botão avermelhado. Trilha próximo ao ponto F..",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18121","auto",NA
"33","2021-02-11 17:20:46-03","UFPR","UPCB","21454","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legr.) D.Legr.","Sobral, M.","1993","07",NA,"Negrelle, R.R.B.","A568","1992","11","07","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.6161003112793","-26.1168994903564",NA,NA,NA,NA,"Árvore, fruto verde e maduro..",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18121","auto",NA
"34","2021-02-11 17:20:46-03","UFPR","UPCB","21455","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legr.) D.Legr.","Sobral, M.","1993","07",NA,"Negrelle, R.R.B.",NA,"1991","09","20","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.6161003112793","-26.1168994903564",NA,NA,NA,NA,"Arvoreta, ca. 2m, com flor..",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18121","auto",NA
"35","2008-05-27 22:02:00-03","MO","MOBOT","3203484","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","cordifolia","Mitranthes cordifolia","D. Legrand","D. Legrand",NA,NA,NA,"Gert G. Hatschbach","Hatschbach 19635","1968","8","21","Brazil","Paraná",NA,"Rio Cambará (mun. Paranaguá).",NA,NA,NA,NA,"150.00000000","200.00000000",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"36","2009-12-04 16:52:00-02","MO","MOBOT","3203593","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","cordifolia","Mitranthes cordifolia","D. Legrand","D. Legrand",NA,NA,NA,"Gert G. Hatschbach|O. V. Guimarães","Hatschbach 19488","1968","7","11","Brazil","Paraná",NA,"Rio das Pombas (mun. Paranaguá).",NA,NA,NA,NA,"30.00000000","50.00000000",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"37","2018-06-22 05:25:00-03","MO","MOBOT","2477810","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D. Legrand) Legr.",NA,NA,NA,NA,"Pe. Raulino Reitz|Roberto M. Klein","Reitz 1045","1953","9","24","Brazil","Santa Catarina",NA,"Campo do Massiambú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"38","2009-12-05 05:17:00-02","MO","MOBOT","3210094","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D. Legrand) Legr.","M. Sobral",NA,NA,NA,"Gert G. Hatschbach|Maria M. Hatschbach|J.M. Silva","Hatschbach 57863","1992",NA,NA,"Brazil","Santa Catarina",NA,"Rod. BR-101 (mun. Maracaju). Mata de planicie litorânea.",NA,NA,NA,NA,"5.00000000","10.00000000",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"39","2020-06-22 14:12:03-03","UNESP-IBILCE","SJRP","08575","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(Legr.) Legr.","M. Sobral",NA,NA,NA,"R. Negrelle",NA,NA,NA,NA,"Brasil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.6161003112793","-26.1168994903564",NA,NA,NA,NA,"Árvore 4 m, flores brancas e botões avermelhados;",NA,NA,"Tracheophyta","Myrtales","América do Sul",NA,NA,NA,NA,"18121","auto",NA
"40","2020-09-12 05:00:02-03","US","US","2580341","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","cordifolia","Mitranthes cordifolia",NA,NA,NA,NA,NA,"R. Reitz & D. Klein","844","1953","7","16","Brazil","Santa Catarina","Palhoça","Campo de Maciambu.","-48.6678009033203","-27.645299911499",NA,NA,"5",NA,NA,"US01890033","US01890033_01 US01890033_02",NA,"Myrtales","South America - Neotropics",NA,NA,"Dicotyledonae",NA,"31105","auto","1"
"41","2020-09-12 05:00:02-03","US","US","2403602","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","cordifolia","Mitranthes cordifolia",NA,NA,NA,NA,NA,"R. Reitz & D. Klein","9327","1959","10","31","Brazil","Santa Catarina","Sombrio","Sanga de Areia","-49.61669921875","-29.113899230957",NA,NA,"5",NA,NA,"US01890035","US01890035_01 US01890035_02",NA,"Myrtales","South America - Neotropics",NA,NA,"Dicotyledonae",NA,"16515","auto","1"
"42","2020-09-12 05:00:02-03","US","US","USw25550","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","cordifolia","Mitranthes cordifolia",NA,NA,NA,NA,NA,"Collector unknown","21909",NA,NA,NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtales","South America",NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"43","2020-09-12 05:00:02-03","US","US","2403567","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","cordifolia","Mitranthes cordifolia",NA,NA,NA,NA,NA,"R. Reitz & D. Klein","9055","1959","9","5","Brazil","Santa Catarina","Sombrio","Pirão Frio","-49.61669921875","-29.113899230957",NA,NA,"10",NA,NA,"US01890034","US01890034_01 US01890034_02",NA,"Myrtales","South America - Neotropics",NA,NA,"Dicotyledonae",NA,"16515","auto","1"
"44","2020-07-23 12:16:30-03","CEPLAC","CEPEC","145369","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia",NA,NA,NA,NA,NA,"M.C. Souza","550",NA,NA,NA,"Brasil","Santa Catarina","Itapoá",NA,"-48.6161003112793","-26.1168994903564",NA,NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18121","auto",NA
"45","2020-09-22 13:48:58-03","USP","SPFW","1083","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","cordifolia","Mitranthes cordifolia","D.Legrand","C.D.Legrand 1959",NA,NA,NA,"Reitz ;Klein","9055","1959","09","05","Brasil","Santa Catarina","Sombrio",NA,"-49.61669921875","-29.113899230957",NA,NA,"10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16515","auto",NA
"46","2019-11-01 15:06:43-03","UnB","UB","168157","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D. Legrand) D. Legrand","Sobral, M","1993",NA,NA,"Negrelle, R","s.n.","1991","09","20","Brasil","Santa Catarina","Itapoá ","Reserva volta velha","-48.62","-26.12","-48.62","-26.12",NA,NA,"Arvoreta mais ou menos 2m de alt. Com flores.",NA,NA,"Dicotyledoneae",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"47","2020-08-20 20:40:29-03","UFSC","FLOR","915","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","cordifolia","Mitranthes cordifolia","D.Legrand","Legrand, C.D.","1958",NA,NA,"Reitz, R.; Klein, R.M.","844","1953","07","16","Brasil","Santa Catarina","Palhoça","Campo do Maciambú.","-48.6678009033203","-27.645299911499",NA,NA,"5","5","arbusto, flor em botão, 2m altura","FLOR0000915",NA,NA,"Myrtales",NA,NA,NA,NA,NA,"31105","auto",NA
"48","2020-08-20 20:40:37-03","UFSC","FLOR","4640","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Legrand, C.D.","1976",NA,NA,"Bresolin, A.","299","1971","08","11","Brasil","Santa Catarina","Governador Celso Ramos","Vargem do Macário.","-48.5592002868652","-27.3146991729736",NA,NA,"5","5","arvoreta, 4m altura","FLOR0004640",NA,NA,"Myrtales",NA,NA,NA,NA,NA,"13751","auto",NA
"49","2020-08-20 14:58:27-03","UFSC","FLOR","55849","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Mello, A.S.","2013","08","05","Mello, A.S.; Nuernberg, A.","706","2013","05","08","Brasil","Santa Catarina","Itapoá","Entrada da Reserva Volta Velha.","-48.6161003112793","-26.1168994903564",NA,NA,NA,NA,"Arvoreta, flores brancas","FLOR0055849",NA,NA,"Myrtales",NA,NA,NA,NA,NA,"18121","auto",NA
"50","2020-08-20 14:58:27-03","UFSC","FLOR","62296","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia","(D.Legrand) D.Legrand","Mello, A.S.",NA,NA,NA,"Mello, A.S.","706","2013","09","06","Brasil","Santa Catarina","Itapoá","Local: Trilha casa de vidro, Reserva Volta Velha.","-48.6161003112793","-26.1168994903564",NA,NA,"5","5","arvoreta, flor branca, Altura: 6m","FLOR0062296","FLOR0062296",NA,"Myrtales",NA,NA,NA,NA,NA,"18121","auto",NA
"51","2021-03-04 15:45:37-03","IF","SPSF","17100","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","cordifolia","Neomitranthes cordifolia",NA,NA,NA,NA,NA,"G. Hatschbach","57863","1992","08","20","Brasil","SC","Maracaju",NA,NA,NA,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"Magnoliophyta","Myrtales","América do Sul",NA,NA,"Magnoliopsida",NA,NA,NA,NA
