"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","continentOcean","occurrenceRemarks","barcode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","order","typeStatus","class","individualCount"
"11","2019-11-08 08:53:48-03","FURB","FURB","3212","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","Sobral, M","1999","09",NA,"Sobral, M.",NA,"1999","09","01","Brasil","Rio Grande do Sul","Gramado",NA,"-50.8739013671875","-29.3785991668701","13851","auto",NA,NA,NA,"FURB32264",NA,NA,NA,NA,"FURB32264",NA,NA,NA,NA
"12","2020-10-14 10:03:22-03","FURB","FURB","2648","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","Sobral, M","2009","07","17","Uhlmann, A.; Pozzobon, M.",NA,"2004","08","19","Brasil","Santa Catarina","Apiúna",NA,"-49.3897018432617","-27.0356006622314","24893","auto",NA,NA,NA,"FURB32263",NA,NA,NA,NA,"FURB32263",NA,NA,NA,NA
"13","2020-10-14 10:03:22-03","FURB","FURB","2406","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","Sobral, M",NA,NA,NA,"Pozzobon, M.; Schaefer, J. & Melo, L.",NA,"2003","09","30","Brasil","Santa Catarina","Blumenau","Margem direita Rio Itajai Açu - Divisa Blumenau / Indaial.","-49.0661010742188","-26.9193992614746","34291","auto",NA,NA,"Endemica do estado de SC. Habitat: margem do rio Habito: subarbustiva; Fruto verde amarelado; flor branca com odor adocicado","FURB02452",NA,NA,"100","100","FURB02452",NA,NA,NA,NA
"14","2021-03-16 17:53:53-03","UCS","HUCS","51068","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D. Legrand","Dani, J.G.","2020","06","20","Dani, J.G.","124","2020","06","16","Brasil","Rio Grande do Sul","Caxias do Sul","Desvio Rizzo, Casa dos Dani","-51.242222","-29.192778",NA,NA,"Angiospermae",NA,"Cultivada",NA,"-51.242222","-29.192778",NA,NA,NA,"Myrtales",NA,NA,NA
"15","2020-12-21 16:36:34-03","MBM","MBM","252171","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","Sobral, M.",NA,NA,NA,"Sobral, M.; et al.; et al.","8851","1999","09",NA,"Brazil","Rio Grande do Sul","Gramado","Gramado","-50.8739013671875","-29.3785991668701","13851","auto",NA,"Southern America",NA,"MBM252171",NA,NA,NA,NA,"MBM252171",NA,NA,NA,NA
"16","2020-12-21 16:36:34-03","MBM","MBM","47424","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand",NA,NA,NA,NA,"Mattos, J.; Mattos, J.","4400","1955","09","25","Brazil","Santa Catarina","Blumenau",NA,"-49.0661010742188","-26.9193992614746","34291","auto",NA,"Southern America","Ca. 1m de altura, flores brancas; Ca. de 1m de altura. Flores brancas.","MBM047424",NA,NA,NA,NA,"MBM047424",NA,"PARATYPE",NA,NA
"17","2020-12-11 11:39:11-03","UFMG","BHCB","102376","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand",NA,NA,NA,NA,NA,"s.n.","2001","07","16","?",NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,"Arbusto.","BHCB010315",NA,NA,NA,NA,"BHCB010315",NA,NA,NA,NA
"18","2010-11-13 04:25:00-02","MO","MOBOT","2483205","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D. Legrand",NA,NA,NA,NA,"Roberto M. Klein","Klein 2732","1961","10","13","Brazil","Santa Catarina",NA,"Florianópolis. na cidade",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2841568","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D. Legrand",NA,NA,NA,NA,"R. Reitz","7362","1968","10","3","Brazil","Santa Catarina","Blumenau","Biblioteca Municipal. Cultivado","-49.0661010742188","-26.9193992614746","34291","auto",NA,"South America - Neotropics",NA,"US01898231",NA,NA,"20",NA,"US01898231_01 US01898231_02","Myrtales",NA,"Dicotyledonae","1"
"20","2019-12-09 17:30:22-03","UFPR","EFC","17146","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","Dall Agnol, R.T.","2018","08","16","Dall Agnol, R.T.","550","2018","08","16","Brasil","Paraná","Curitiba","Rua Prof. Luiz Carlos Pereira da Silva, 107","-49.2406","-25.4514",NA,NA,NA,NA,"Arbusto, 1,8 m; flores alvas axilares; frutos imaturos verdes e maduros rubros. Cultivada","EFC017146","-49.2406","-25.4514","896","896",NA,NA,NA,NA,NA
"21","2019-12-09 17:30:22-03","UFPR","EFC","16426","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","Schimelpfeng, L.C.T.","2018","03","29","Dall Agnol, R.T.","281","2018","03","29","Brasil","Paraná","Curitiba","UFPR Campus Botânico - ao lado do bloco de enfermagem","-49.2403","-25.4481",NA,NA,NA,NA,"Arbusto 1 m, flores solitárias, axilares e alvas. Cultivada __COMMOM_NAME__: Cerejeira-anã","EFC016426","-49.2403","-25.4481","922","922",NA,NA,NA,NA,NA
"22","2021-03-25 13:52:46-03","UNIVILLE","JOI","1982","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","F.C.S. Vieira","2018","09","19","A. Uhlmann",NA,"2004","08","19","Brasil","Santa Catarina","Apiúna","Margem do Rio Itajaí - Açu.","-49.3897018432617","-27.0356006622314","24893","auto",NA,NA,"; HABITAT: sobre rochas","JOI001982",NA,NA,NA,NA,"JOI001982",NA,NA,NA,NA
"23","2021-03-04 11:17:34-03","UEFS","HUEFS","87497","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","Legrand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angiospermae",NA,NA,"HUEFS0087497",NA,NA,NA,NA,NA,"Myrtales","Tipo","Rosanae",NA
"24","2021-03-04 11:17:34-03","UEFS","HUEFS","87498","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","Legrand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angiospermae",NA,NA,"HUEFS0087498",NA,NA,NA,NA,NA,"Myrtales","Parátipo","Rosanae",NA
"25","2020-08-20 14:58:16-03","UFSC","FLOR","52510","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","Mello, A.S.","2014","04","28","Nuernberg, A.; Mello, A.S. & Weber, P.","1398","2014","04","28","Brasil","Santa Catarina","Blumenau","Ilhas fluviais do Rio Itajaí-açu, APA (Área de Proteção Ambiental) das Ilhas Fluviais.","-49.089444","-26.875556",NA,NA,NA,NA,"reófita arbustiva, estéril","FLOR0052510","49º5'22''W","26º52'32''S","10","10",NA,"Myrtales",NA,NA,NA
"26","2020-08-20 20:40:26-03","UFSC","FLOR","40285","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D.Legrand","Mattos, J.","2001",NA,NA,"Mattos, J.","32723","2001","10","31","Brasil","Rio Grande do Sul","Porto Alegre","Estrada do Rio Grande do Sul, cultivada em Porto Alegre, no Jardim Botânico.","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,"subarbusto, Fruto Maduro, vermelha, 0,4m altura","FLOR0040285",NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA
"27","2021-02-08 12:43:55-03","UFRGS","ICN","121701","S","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D. Legrand","Sobral, M","2001",NA,NA,"Apel, M","s.n.",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,"Arbusto em jardim, 1m; cultivado; estéril.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-08 12:43:55-03","UFRGS","ICN","123669","S","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D. Legrand",NA,NA,NA,NA,"Sobral, M; et al.","8851","1999","09",NA,"Brasil","RS","Gramado",NA,"-50.8739013671875","-29.3785991668701","13851","auto","Dicotyledon","América do Sul","Arbusto 1m, cultivado em jardim na cidade; flores brancas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-08 12:43:55-03","UFRGS","ICN","167431","S","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D. Legrand","Nilson, AD","2010","12","09","Nilson, AD; Gross, PC","s.n.","2010","12","09","Brasil","RS","Porto Alegre","Jardim Botânico","-51.2299995422363","-30.0331001281738","29946","auto","Dicotyledon","América do Sul","Obs: Planta procedente do Estado do Rio Grande do Sul, coletada no Seagri no Município de Osório. Plantada no Jardim Botânico de Porto Alegre em 1994.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-18 10:22:16-03","MCN-FZBRS","HAS","101157","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","Legrand","Magalhães, R.G.",NA,NA,NA,"Magalhães, R.G.","531","1999","03",NA,"Brasil","Rio Grande do Sul","Porto Alegre","Jardim Botânico, Área 2","-51.178068","-30.051692",NA,NA,"Magnoliophyta",NA,"(Projeto Pró-Guaiba) Arbusto de 30cm, com flores brancas. Cultivada.","HAS0101157","-51,178068","-30,051692",NA,NA,NA,NA,NA,NA,NA
"31","2020-08-26 10:49:57-03","MCN-FZBRS","HAS","74104","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","Legr.",NA,NA,NA,NA,"Mattos, J.","23995","1982","03",NA,"Brasil","Rio Grande do Sul","Maquiné","Estação Experimental de Osório","-50.2071990966797","-29.6749992370605","28094","auto","Magnoliophyta",NA,"Em plena floração","HAS0074104",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-08-26 10:49:57-03","MCN-FZBRS","HAS","69494","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","Legr.",NA,NA,NA,NA,"Silveira, N.","11518","1992","06",NA,"Brasil","Rio Grande do Sul","Maquiné","Estação Experimental Fitotécnica","-50.2071990966797","-29.6749992370605","28094","auto","Magnoliophyta",NA,"Arbusto 1,2m de altura, flores brancas, cultivada no pomar de nativas frutíferas","HAS0069494",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-08-26 10:49:57-03","MCN-FZBRS","HAS","87587","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D. Legrand",NA,NA,NA,NA,"Mattos, J.","4400","1955","09",NA,"Brasil","Santa Catarina","Blumenau",NA,"-49.0661010742188","-26.9193992614746","34291","auto","Magnoliophyta",NA,NA,"HAS0087587",NA,NA,NA,NA,NA,NA,"Paratypus",NA,NA
"34","2020-08-26 10:49:57-03","MCN-FZBRS","HAS","87586","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","D. Legrand",NA,NA,NA,NA,"Mattos, J.","4399","1955","09",NA,"Brasil","Santa Catarina","Blumenau",NA,"-49.0661010742188","-26.9193992614746","34291","auto","Magnoliophyta",NA,"Planta arbustiva com ca. de 1m de alt.","HAS0087586",NA,NA,NA,NA,NA,NA,"Isotypus",NA,NA
"35","2020-08-26 10:49:57-03","MCN-FZBRS","HAS","74105","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mattosii","Eugenia mattosii","Legr.",NA,NA,NA,NA,"Winge, E.","s.n.","1978","08",NA,"Brasil","Santa Catarina","Blumenau","Vila Itoupava","-49.0661010742188","-26.9193992614746","34291","auto","Magnoliophyta",NA,"Cultivada","HAS0074105",NA,NA,NA,NA,NA,NA,NA,NA,NA
