"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","preparationType","fieldNumber","individualCount","class","order","typeStatus"
"11","2021-03-01 16:38:02-03","UNICAMP","UEC","197348","S","Plantae","Magnoliopsida","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.","Mota, NFO","2015","01","Mota, NFO; Viana, PL","2800","2014","09","25",NA,"Brazil","Maranhão",NA,"Brasil, Maranhão, Morros, Rodovia MA-402 margem direita (Barreirinhas-São Luís).Zona rural.","-43.844722","-2.845556","-43.844722","-2.845556","Erva terrestre, anual.Flora branca a lilás com fauce amarela.; No fundo da lagoa temporária seca.","UEC170081","UEC170081",NA,NA,"29",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:38:02-03","UNICAMP","UEC","204781","S","Plantae","Magnoliopsida","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.",NA,NA,NA,"Scatigna, AV; Leitao, LJ; Machado, RM","1220","2017","10","09",NA,"Brazil","Ceará","Fortaleza","Parque do Cocó. Sabiaguaba. Apicum. Borda de campo alagável em região entre dunas.","-38.543098449707","-3.71722006797791",NA,NA,"Erva, ca. 20 cm. Corola rosa com mancha amarela na fauce e branca no lábio superior.","UEC190801","UEC190801",NA,NA,NA,"19924","auto",NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:38:02-03","UNICAMP","UEC","204781","S","Plantae","Magnoliopsida","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.",NA,NA,NA,"Scatigna, AV; Leitao, LJ; Machado, RM","1220","2017","10","09",NA,"Brazil","Ceará","Fortaleza","Parque do Cocó. Sabiaguaba. Apicum. Borda de campo alagável em região entre dunas.","-38.543098449707","-3.71722006797791",NA,NA,"Erva, ca. 20 cm. Corola rosa com mancha amarela na fauce e branca no lábio superior.","UEC190801","UEC190801",NA,NA,NA,"19924","auto",NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:38:02-03","UNICAMP","UEC","204770","S","Plantae","Magnoliopsida","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.",NA,NA,NA,"Scatigna, AV; Leitao, LJ; Machado, RM","1223","2017","10","09",NA,"Brazil","Ceará","Fortaleza","Parque do Cocó. Sabiaguaba. Apicum. Borda de campo alagável em região entre dunas.","-38.543098449707","-3.71722006797791",NA,NA,"Erva, ca. 40 cm. Corola rosa com mancha amarela na fauce e branca no lábio superior.","UEC190813","UEC190813",NA,NA,NA,"19924","auto",NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:38:02-03","UNICAMP","UEC","204770","S","Plantae","Magnoliopsida","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.",NA,NA,NA,"Scatigna, AV; Leitao, LJ; Machado, RM","1223","2017","10","09",NA,"Brazil","Ceará","Fortaleza","Parque do Cocó. Sabiaguaba. Apicum. Borda de campo alagável em região entre dunas.","-38.543098449707","-3.71722006797791",NA,NA,"Erva, ca. 40 cm. Corola rosa com mancha amarela na fauce e branca no lábio superior.","UEC190813","UEC190813",NA,NA,NA,"19924","auto",NA,NA,NA,NA,NA,NA
"16","2021-03-21 19:38:00-03","UFC","EAC","23709","PreservedSpecimen","Plantae","Dicotyledon","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L. B. Sm","Souza, V.C.","2002","03","Figueiredo, M.A.","s.n.","1995","11","15","Southern America","Brasil","Ceará","Aquiraz","Porto das Dunas","-38.3911018371582","-3.90139007568359",NA,NA,"Erva pioneira da praia (berma), flor roxa.","EAC0023709",NA,NA,NA,NA,"22325","auto",NA,NA,NA,NA,NA,NA
"17","2021-03-21 19:38:00-03","UFC","EAC","44257","PreservedSpecimen","Plantae","Dicotyledon","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L. B. Sm","Sousa, D.J.L.","2009","01","Sousa, D.J.L.; et al.","61","2008","10","29","Southern America","Brasil","Ceará","Caucaia","APA Lagamar do Cauípe, Litorâneo-Lagamar","-38.6530990600586","-3.73610997200012",NA,NA,"Macrófita aquática, flor lilás a vinho","EAC0044257",NA,NA,NA,"14","40484","auto",NA,NA,NA,NA,NA,NA
"18","2021-03-21 19:38:00-03","UFC","EAC","44258","PreservedSpecimen","Plantae","Dicotyledon","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L. B. Sm","Sousa, D.J.L.","2008","01","Sousa, D.J.L.; et al.","33","2008","07","21","Southern America","Brasil","Ceará","Caucaia","APA Lagamar do Cauípe, Litorâneo-Lagamar","-38.6530990600586","-3.73610997200012",NA,NA,"Macrófita aquática, flor lilas com lábio inferior branco","EAC0044258",NA,NA,NA,"14","40484","auto",NA,NA,NA,NA,NA,NA
"19","2021-03-21 19:38:00-03","UFC","EAC","30865","PreservedSpecimen","Plantae","Dicotyledon","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L. B. Sm","Souza, V.C.","2002","03","Castro, A.S.F.","1010","2001","08","09","Southern America","Brasil","Ceará","Eusébio","Ucaba, Rio Pacoti","-38.4505996704102","-3.89000010490417",NA,NA,"Erva ereta, flor lilás, tubo amarelo interior, transição mangue-tabuleiro.; Várzea","EAC0030865",NA,NA,NA,NA,"9057","auto",NA,NA,NA,NA,NA,NA
"20","2021-03-21 19:38:00-03","UFC","EAC","791","PreservedSpecimen","Plantae","Dicotyledon","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L. B. Sm","Souza, V.C.","2002","03","Bezerra, P.","s.n.","1946","04","12","Southern America","Brasil","Ceará","Fortaleza","Campo da EAC - Alagadiço, S. Gerardo","-38.543098449707","-3.71722006797791",NA,NA,NA,"EAC0000791",NA,NA,NA,NA,"19924","auto",NA,NA,NA,NA,NA,NA
"21","2021-03-21 19:38:00-03","UFC","EAC","49731","PreservedSpecimen","Plantae","Dicotyledon","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L. B. Sm","Castro, A.S.F.","2011","08","Castro, A.S.F.","2541","2011","08","28","Southern America","Brasil","Ceará","São Gonçalo do Amarante","Pecém, estrada p/ Porto, Substrato arenoso, em brejo","-38.9682998657227","-3.6072199344635",NA,NA,"Erva paludosa, flor roxa. Endêmica do Ceará; Tabuleiro litorâneo","EAC0049731",NA,NA,NA,"28","39107","auto",NA,NA,NA,NA,NA,NA
"22","2015-09-04 12:17:27-03","MNHN","RECOLNAT_MNHN_P","P04077435","PreservedSpecimen",NA,NA,"Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.","Smith",NA,NA,"[Glaziou], A.",NA,NA,NA,NA,NA,"Bresil",NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04077435' target='other'> <mi>dwc_moreinfo</mi></a>","P04077435","P04077435_01 P04077435_02",NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA
"23","2008-05-27 22:02:00-03","MO","MOBOT","800418","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B. Sm.","K. Barringer (BKL)",NA,NA,"Vlastimil Zak","Zak 974","1986","2","23","South America","Ecuador","Pichincha",NA,"Carretera antigua Chillogallo-San Juan-Chiriboga-Empalme, Km 27. Vegetación de bosque montano alto. Area lluviosa. Suelo humífero. Colecciones en borde del carretero y bosque.","-78.63333","-0.28333",NA,NA,NA,NA,NA,"3180.00000000",NA,NA,NA,NA,NA,"12","20",NA,NA,NA
"24","2019-11-13 11:28:31-03","USP","SPF","72695","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.","et al.; Andrade-Lima, AD","1970","08","Andrade-Lima, AD","675100","1967","10","29",NA,"Brasil","Ceará","Fortaleza",NA,"-38.543098449707","-3.71722006797791",NA,NA,NA,"SPF00072695",NA,NA,NA,NA,"19924","auto",NA,NA,NA,NA,NA,NA
"25","2019-10-07 09:16:50-03","UEFS","HUEFS","175818","PreservedSpecimen","Plantae","Angiospermae","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia","(Huber) L.B.Sm.",NA,NA,NA,"Guedes, M.L.","19993","2012","04","27",NA,"Brasil","Bahia","Lençóis","Chapada Diamantina, Marimbus.","-41.383333","-12.55","41W23'","12S33'",NA,"HUEFS0175818","HUEFS0175818",NA,NA,NA,NA,NA,NA,NA,NA,"Asteranae","Lamiales",NA
"26","2017-09-29 16:31:39-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Plantaginaceae","Bacopa","cochlearia","Bacopa cochlearia",NA,NA,NA,NA,"F. E. Drouet","2285","1935","8","16","South America","Brazil","Ceará",NA,NA,"-40","-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"27","2019-09-04 18:30:28-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Plantaginaceae","Herpestis","cochlearia","Herpestis cochlearia",NA,NA,NA,NA,"J. E. Huber","80",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Type [status unknown]"
"28","2021-04-05 14:11:46-03","UFMT","CNMT","10487","S","Plantae","Angiosperma","Rubiaceae","Bacopa","cf. cochlearia","Bacopa cf. cochlearia","(Huber) L.B.Sm.","Córdova, M.O.","2020","09","Córdova, M.O.; Ferreira, I.F.; Penhacek, M.","1393","2020","09","14",NA,"Brasil","Mato Grosso","Santa Cruz do Xingu","Parque Estadual do Xingu. Rio Xingu a 14km do limite norte do Parque.","-52.65015","-9.775664","52°39'0.54W","9°46'32.39S","Flor sessil branca com gineceu roxo. Frequente.Biodiversidade do Parque Estadual do Xingu - SEMA - MT e UFMT Sinop.","CNMT010487",NA,"263","263","23",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-04-05 14:11:46-03","UFMT","CNMT","10509","S","Plantae","Angiosperma","Plantaginaceae","Bacopa","cf. cochlearia","Bacopa cf. cochlearia","(Huber) L.B.Sm.","Córdova, M.O.","2020","09","Córdova, M.O.; Ferreira, I.F.; Penhacek, M.","1415","2020","09","13",NA,"Brasil","Mato Grosso","Santa Cruz do Xingu","Parque Estadual do Xingu. Rio Xingu próximo do limite norte do Parque.","-52.610639","-9.696653","52°36'38.30W","9°41'47.95S","Flor amarela, frutos esverdeados imaturos. Frequente.Biodiversidade do Parque Estadual do Xingu - SEMA - MT e UFMT Sinop.","CNMT010509",NA,"265","265","24",NA,NA,NA,NA,NA,NA,NA,NA
"30","2014-09-23 10:59:09-03","G","G","G00356772","S","Plantae",NA,"Plantaginaceae","Herpestis","cochlearia","Herpestis cochlearia","Huber","?",NA,NA,"Huber, J. E.","80",NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556","-53.08972222","-10.77305556","Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00356772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISOTYPUS of Herpestis cochlearia Huber"
