"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified"
"16","2020-07-10 09:49:01-03","MBML","MBML-HERBARIO","7916",NA,"Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"L. Kollmann; E. Bausen & W. Pizziolo","733","1998","10",NA,"Brasil","Santo Antônio",NA,"Terrestre na sombra. Escamas pretas.","MBML007916","MBML007916","F. B. Matos/15-07-2007","07","Espírito Santo","Santa Teresa","-40.589167","-19.922222",NA,NA,NA,NA,NA,"40W35'21","19S55'20",NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","2426370","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Pteris","limae","Pteris limae","Brade","Isotype","J. Santos Lima","36","1931",NA,"South America - Neotropics","Brazil","Santo Antonio de Imbe, volao do Imbe.",NA,NA,"US00142240","US00142240_01",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,"1",NA,NA,NA,NA
"18","2020-07-23 12:19:42-03","CEPLAC","CEPEC","122240","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae",NA,NA,"P. H. Labiak","4040","2007","07",NA,"Brasil","Alto de Santo Antonio. Tereno do Bozza.",NA,NA,NA,NA,"P. H. Labiak & F. B. Matos","12","Espírito Santo","SANTA TERESA","-40.591111","-19.908611",NA,NA,NA,NA,NA,"40W35'28","19S54'31",NA,"30/12/2007",NA,NA,NA
"19","2019-11-07 11:20:13-03","UFMG","BHCB-SL",NA,"PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"Maciel, S","1603","2010","03","América","Brasil","Baixo Rio Moju, Comunidade Jurumundeua. Sìtio do Sr. Moises.",NA,"Floresta de várzea. Terrícola.",NA,NA,"Maciel, S","24","Pará","Moju","-48.500056","-1.735194",NA,NA,NA,NA,NA,"-48.500056","-1.735194",NA,NA,"2010","03","24"
"20","2019-11-07 11:20:13-03","UFMG","BHCB-SL","108568","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"Demuner, V","1845","2006","02","América","Brasil","Serra do Ramalhete, Fazenda Caioaba",NA,"Terrestre soros verdes. Interior de mata em regenaração.",NA,NA,"Salino, A","16","Espírito Santo","Santa Leopoldina","-40.470639","-20.058556",NA,NA,NA,NA,NA,"-40.470639","-20.058556",NA,NA,"2007","09",NA
"21","2020-02-11 18:26:37-03","UFMG","BHCB-SL","104823","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"Almeida, TE; Souza, DT; Stehmann, JR; Mota, NFO; Viana, PL; Pivari, MOD; Souza, FL","728","2007","02","América","Brasil","Reserva Florestal de Linhares",NA,"Terrestre.; Na beira de estrada no interior de mata.",NA,NA,"Almeida, TE; Souza, FL","13","Espírito Santo","Linhares","-39.895806","-19.148167","30","60",NA,NA,NA,"-39.895806","-19.148167",NA,NA,"2007","03",NA
"22","2020-02-11 18:26:37-03","UFMG","BHCB-SL","104774","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"Almeida, TE; Souza, DT; Stehmann, JR; Mota, NFO; Viana, PL; Pivari, MOD; Souza, FL","679","2007","02","América","Brasil","Reserva Florestal de Linhares",NA,"Terrestre, na beira da estrada, em área sombreada. Mussununga",NA,NA,"Almeida, TE","09","Espírito Santo","Linhares","-39.929972","-19.152","30","60",NA,NA,NA,"-39.929972","-19.152",NA,NA,"2007","03",NA
"23","2019-11-07 11:20:13-03","UFMG","BHCB-SL","160446","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"Maciel, S","1603","2010","03","América","Brasil","Baixo Rio Moju, Comunidade Jurumundeua. Sìtio do Sr. Moises.",NA,"Floresta de várzea. Terrícola.",NA,NA,"Maciel, S","24","Pará","Moju","-48.500056","-1.735194",NA,NA,NA,NA,NA,"-48.500056","-1.735194",NA,NA,"2010","03","24"
"24","2021-01-12 15:24:54-03","UFMG","BHCB-SL","104372","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"Fontana, AP; et al.","1392","2005","04","América","Brasil","Distrito de 25 de Julho",NA,"Terrestre, folhas verdes com pelos marrons, fértil.",NA,NA,"Salino, A","29","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,NA,"23813","auto",NA,NA,NA,NA,"2007","02",NA
"25","2019-12-19 16:21:03-03","UFMG","BHCB-SL","108411","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade",NA,"Kollmann, RL","733","1998","10","América","Brasil","Santo Antônio, Terreno do Bosa.",NA,"Terrestre na sombra. Escamas pretas.","BHCB002320","BHCB002320","Salino, A","07","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","750","750",NA,"23813","auto",NA,NA,NA,NA,"2007","09",NA
"26","2021-02-23 13:23:04-03","MN","R-TIPOS","25155a","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade","Isotypus","Lima, J.S.","36","1931",NA,NA,"Brasil","Imbé",NA,NA,"R000025155a","R000025155a_001",NA,NA,"Rio de Janeiro","Maria Magdalena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-23 13:23:04-03","MN","R-TIPOS","25155d","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade","Isotypus","Lima, J.S.","36","1931",NA,NA,"Brasil","Imbé",NA,NA,"R000025155d","R000025155d_001",NA,NA,"Rio de Janeiro","Maria Magdalena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-23 13:23:04-03","MN","R-TIPOS","25155","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade","Holotypus","Lima, J.S.","36","1931",NA,NA,"Brasil","Imbé",NA,NA,"R000025155","R000025155_001 R000025155_002",NA,NA,"Rio de Janeiro","Maria Magdalena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-23 13:23:04-03","MN","R-TIPOS","25155b","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade","Isotypus","Lima, J.S.","36","1931",NA,NA,"Brasil","Imbé",NA,NA,"R000025155b","R000025155b_001",NA,NA,"Rio de Janeiro","Maria Magdalena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-23 13:23:04-03","MN","R-TIPOS","25155c","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade","Isotypus","Lima, J.S.","36","1931",NA,NA,"Brasil","Imbé",NA,NA,"R000025155c","R000025155c_001",NA,NA,"Rio de Janeiro","Maria Magdalena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-23 13:23:04-03","MN","R-TIPOS","25155e","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","limae","Pteris limae","Brade","Isotypus","Lima, J.S.","36","1931",NA,NA,"Brasil","Imbé",NA,NA,"R000025155e","R000025155e_001",NA,NA,"Rio de Janeiro","Maria Magdalena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2009-02-12 11:19:13-02","CAS","CAS-BOT","4182","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","limae","Pteris limae","Brade","isotype","Lima, J. S.","s.n.","1931","6","South America","Brazil","Santo Antonio de Imbé. E. do Rio Brasil Matas do Logar denominado Valão do Imbé.",NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,"Filicopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA
