"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","class"
"11","2019-10-07 09:21:07-03","UEFS","HUEFS","150509","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L.R.Parra & Giul.","A.M.Giulietti","Wanderley, M.G.L.","2710","2008","09","22",NA,"Brasil","Minas Gerais","Rio Vermelho","Serra do Ambrosio, Vargem do Anjo. Área de extração de areia.","-43.046389","-18.136111",NA,NA,"HUEFS0150509","HUEFS0150509","2010","11",NA,"43W2'47''","18S8'10''","834","834",NA,NA,NA,"Lilianae"
"12","2019-10-07 09:21:07-03","UEFS","HUEFS","32324","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L.R.Parra & Giul.","A.M.Giulietti","Mello-Silva, R.","CFCR10199","1986","09","08",NA,"Brasil","Minas Gerais","Rio Vermelho","Pedra Minina. Serra do Abrósio. Espigão do Meio. Faz. Vargem do Anjo.","-43.0092010498047","-18.2936000823975",NA,NA,"HUEFS0032324","HUEFS0032324","2010","11",NA,NA,NA,"830","830",NA,"26996","auto","Lilianae"
"13","2019-10-07 09:21:27-03","UEFS","HUEFS","32341","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Syngonanthus","brasiliana","Syngonanthus brasiliana","Giul.",NA,"Mello-Silva, R.","415","1991","06","10",NA,"Brasil","Minas Gerais","Rio Vermelho","Pedra Menina Fazenda Vargem do Anjo. Morro Espigão do Meio.","-43.0092010498047","-18.2936000823975",NA,NA,"HUEFS0032341","HUEFS0032341",NA,NA,NA,NA,NA,NA,NA,"Parátipo","26996","auto","Lilianae"
"14","2019-10-07 09:21:27-03","UEFS","HUEFS","32326","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Syngonanthus","brasiliana","Syngonanthus brasiliana","Giul.",NA,"Giulietti, A.M.","CFCR4460","1984","06","14",NA,"Brasil","Minas Gerais","Rio Vermelho","Pedra Menina. Morro do Ambrósio.","-43.0092010498047","-18.2936000823975",NA,NA,"HUEFS0032326","HUEFS0032326",NA,NA,NA,NA,NA,NA,NA,"Isótipo","26996","auto","Lilianae"
"15","2019-09-04 18:53:14-03","F","FMNH-SEEDPLANTS","V0045836F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Eriocaulaceae","Syngonanthus","brasiliana","Syngonanthus brasiliana",NA,NA,"A. M. Giulietti et al.","4460","1984","6","14","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0045836F","V0045836F_01",NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,"Monocotyledoneae"
"16","2019-11-01 15:14:47-03","UnB","UB","143456","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L.R. Parra & Giul.","Watanabe, MTC","Silva, RM; et al.","CFCR10199","1986","09","08","Southern America","Brasil","Minas Gerais","Rio Vermelho","Pedra Menina. Serra do Ambrósio. Espigão Feio. Fazenda Vargem do Anjo","-43.0092010498047","-18.2936000823975",NA,"Brácteas castanhas na base e alvas no ápice.; Erva. Flores alvas.; Solo arenoso grosso, carrascal","UB0012994","UB0012994","2010","12","06",NA,NA,"830","830",NA,"26996","auto",NA
"17","2019-05-06 11:55:20-03","UFU","HUFU","67602","S","Plantae",NA,NA,"Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L.R.Parra & Giul.","Echternacht, L.","Echternacht, L.; Sano, P.T.; Gonella, P.; Kubo, M.; Antar, G.; Scatena, V.L. & Moraes, T.H.D.L.","2306","2013","06","21",NA,"Brasil","Minas Gerais","Rio Vermelho","Serra do Ambrósio, Localidade de Pedra Menina. No entorno da extração de areia próxima à Vargem do Anjo.","-43.046389","-18.136111",NA,"Coordenadas GPS em GMS, Datum SAD69.; População abundante localmente, em torno do areial, encontrada apenas neste local. Individuos sempre com o caule curto, não suberoso, não ramificado. População com indivíduos em botões imaturos,","HUFU00029125","HUFU00029125","2013","06","21","-43.046389","-18.136111","834","834",NA,NA,NA,NA
"18","2021-03-08 15:43:54-03","MN","R-TIPOS","213416","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L.R. Parra & A.M. Giuletti","Ramos, R.","Isejima, E. ; Pirani, J.R., Meguro, M. & Mello-Silva, R.","CFRC - 5471","1981","10","13",NA,"Brasil","Minas Gerais",NA,"Rio Vermelho",NA,NA,NA,NA,"R000213416","R000213416_001","2016","01","14",NA,NA,NA,NA,"Paratypus de Syngonanthus brasiliana Giul.",NA,NA,NA
"19","2021-03-08 15:43:54-03","MN","R-TIPOS","213415a","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L.R. Parra & A.M. Giuletti","Ramos, R.","Giulietti, A.M. ; Wanderley, M.G., Varanda, E., Furlan, A. & Harley, R.M.","CFCR - 4460","1984","07","14",NA,"Brasil","Minas Gerais","Morro do Ambrósio","Rio Vermelho",NA,NA,NA,NA,"R000213415a","R000213415a_001","2016","01","14",NA,NA,NA,NA,"Isotypus de Syngonanthus brasiliana Giul.",NA,NA,NA
"20","2021-03-08 15:43:54-03","MN","R-TIPOS","213415","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L.R. Parra & A.M. Giuletti","Ramos, R.","Giulietti, A.M. ; Wanderley, M.G., Varanda, E., Furlan, A. & Harley, R.M.","CFCR - 4460","1984","07","14",NA,"Brasil","Minas Gerais","Morro do Ambrósio","Rio Vermelho",NA,NA,NA,NA,"R000213415","R000213415_001","2016","01","14",NA,NA,NA,NA,"Isotypus de Syngonanthus brasiliana Giul.",NA,NA,NA
"21","2020-12-23 08:48:28-03","IBt","SP","412669","S","Plantae",NA,NA,"Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L.R.Parra & Giul.",NA,"Wanderley, MGL","2710","2008","09","22",NA,"Brasil","Minas Gerais","Rio Vermelho",NA,"-43.0092010498047","-18.2936000823975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26996","auto",NA
"22","2014-09-23 10:57:20-03","G","G","G00099202","S","Plantae",NA,NA,"Eriocaulaceae","Comanthera","brasiliana","Comanthera brasiliana","(Giul.) L. R. Parra & Giul.","Echternacht, L.","Giulietti, A. M., M. G. L. Wanderley, A. Furlan & R. M. Harley","4460","1984","06","14","AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"-45.44222222","-18.78777778",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=122663&base=img&lang=en","G00099202","G00099202","2010","01","01","-45.44222222","-18.78777778",NA,NA,"ISOTYPUS of Syngonanthus brasiliana Giul.",NA,NA,NA
