"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount","class","infraspecificEpithet"
"12","2020-12-21 16:13:28-03","MBM","MBM","415726","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin","Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","5541","2018","11","05","Southern America","Brazil","Minas Gerais","Santana do Riacho","Lapinha da Serra, trilha do Pico da Lapinha","-43.674444","-19.105","1350",NA,"Arbusto com 1,3 m de altura; fruto esverdeado.; Campo rupestre.","MBM415726",NA,"Brotto, M.L.","1350","-43.674444","-19.105","2019","01","23",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:13:28-03","MBM","MBM","270935","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin","Fiaschi, P.; et al.; et al.","330","2000","06","20","Southern America","Brazil","Minas Gerais","Pirapama","Fazenda dos Inhames",NA,NA,NA,NA,NA,"MBM270935","MBM270935","Fiaschi, P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:13:28-03","MBM","MBM","270934","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin","Fiaschi, P.; et al.; et al.","343","2000","06","21","Southern America","Brazil","Minas Gerais","Santana do Riacho","Estrada de Santana do Riacho para Iapinha","-43.7144012451172","-19.1688995361328",NA,NA,NA,"MBM270934","MBM270934","Fiaschi, P.",NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA
"15","2015-10-25 03:49:44-02","MNHN","RECOLNAT_MNHN_P","P00723243","PreservedSpecimen",NA,NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Glaziou, A.",NA,"1892","4","23",NA,"Brésil",NA,NA,"Minas, Serra do Cipo",NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723243' target='other'> <mi>dwc_moreinfo</mi></a>","P00723243","P00723243_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19410",NA,NA,NA,NA
"16","2012-11-21 10:41:19-02","MNHN","RECOLNAT_MNHN_P","P00723244","PreservedSpecimen",NA,NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Glaziou, A.",NA,"1892","4","23",NA,"Brésil",NA,NA,"Minas, Serra do Cipo",NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723244' target='other'> <mi>dwc_moreinfo</mi></a>","P00723244","P00723244_01","Fiaschi",NA,NA,NA,NA,NA,NA,NA,NA,"19410",NA,NA,NA,NA
"17","2021-01-15 17:52:56-03","UFMG","BHCB","77160","PreservedSpecimen","Plantae","Dicotyledon",NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Fiaschi, P; Costa, FN","330","2000","06","20","Southern America","Brasil","Minas Gerais","Santana de Pirapama","Fazenda dos Inhames, Trilha para o alto da Serra. Campos rupestres.","-43.766667","-18.95",NA,NA,"Arbusto até 2m alt, ramificando na base em 3 ramos eretos sem ramificações ou com ramificação no ápice. Folhas fortemente discolores, superfície adaxial verde com indumento cinéreo, abaxial cinéra. Folíolo velhos amarelos, com pecíolo e pecíolulos av",NA,NA,NA,NA,"-43.766667","-18.95","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-15 17:52:56-03","UFMG","BHCB","77169","PreservedSpecimen","Plantae","Dicotyledon",NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Mello-Silva, R de; Kawasaki, ML; Rapini, A","1494","1997","09","30",NA,"?",NA,NA,NA,NA,NA,NA,NA,"arbusto 1,5m alt, entre rochas. Flores ocre. Frutos imaturos cor-devinho-esverdeados.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-15 17:52:56-03","UFMG","BHCB","77178","PreservedSpecimen","Plantae","Dicotyledon",NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Fiaschi, P; Pirani, JR; Lima, LR; Cometti, JP","197","2000","03","24","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral, estrada de Joaquim Felicio para Augusto de Lima, a ca de 16km da ponte sobre o Rio da Onça;","-44.3","-17.8",NA,NA,"Campo rupestres com muitos afloramentos rochosos.",NA,NA,NA,NA,"-44.3","-17.8","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-01-15 17:52:56-03","UFMG","BHCB","77175","PreservedSpecimen","Plantae","Dicotyledon",NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Pirani, JR; Marcato, AC; Forzza, RC; Rapini, A; Assis, MC","4247","1998","03","05","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"Coordenada não confere com localidade: -19.04 - 43.0402; Arbusto 1,2 m alt, em fenda de rocha, ao sol. Folhagem amarelada. lustrosa. Flores creme-esverdeadas, frutos acastanhados.; Campo rupestre",NA,NA,NA,NA,NA,NA,"2002",NA,NA,"26557","auto",NA,NA,NA,NA,NA
"21","2020-09-02 15:40:00-03","MO","MOBOT","101217866","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Didymopanax","glaziovii","Didymopanax glaziovii","Taub.","Auguste F.M. Glaziou","Glaziou 19410",NA,"4",NA,"South America","Brazil","Minas Gerais",NA,"Habitat in Brasiliae civit. Minas Geraës in Serro do Cipó, Flor. m. Aprili",NA,NA,NA,NA,NA,NA,NA,"fide Fiaschi et al.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","1",NA,NA
"22","2019-06-10 10:10:09-03","FZB-BH","BHZB","9269","S","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii",NA,"Fernandes, M.G.C.","1466","2012","07","12",NA,"Brasil","MG","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo do Gerais","-43.709444","-19.0425","1273",NA,"Ponto 83 635818 7893979 1273 m",NA,NA,NA,"1273","43W 42' 34","19S 02' 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-06-10 10:10:08-03","FZB-BH","BHZB","8709","S","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii",NA,"Andrade, I.R. et al.","356","2012","05","15",NA,"Brasil","MG","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo dos Gerais,Cachoeira do Bicame","-43.719722","-19.018889","1155",NA,"Ponto 100 634747 7896579 1155m. doacão para Herbario FLOR , 03/2019",NA,NA,NA,"1155","43W 43' 11","19S 01' 08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-13 11:15:41-03","USP","SPF","129543","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Pirani, JR","4247","1998","03","05",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7","-19.066667","1090",NA,NA,"SPF00129543","SPF00129543 SPF00129543_1","Fiaschi, P","1090","-43.7","-19.066667","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-13 11:15:41-03","USP","SPF","142707","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Fiaschi, P","330","2000","06","20",NA,"Brasil","Minas Gerais","Santana de Pirapama",NA,"-43.766667","-18.95",NA,NA,NA,"SPF00142707","SPF00142707","Fiaschi, P",NA,"-43.766667","-18.95","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-13 11:15:41-03","USP","SPF","163400","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Pirani, JR","5192","2004","01","20",NA,"Brasil","Minas Gerais","Congonhas do Norte",NA,"-43.7575","-18.859444","1176",NA,NA,"SPF00163400","SPF00163400","Fiaschi, P","1176","-43.7575","-18.859444","2004","08",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-13 11:15:41-03","USP","SPF","176372","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Fiaschi, P","3110","2006","07","17",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.699111","-19.120556","1135",NA,NA,"SPF00176372","SPF00176372","Fiaschi, P","1135","-43.699111","-19.120556","2006","07",NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-13 11:15:41-03","USP","SPF","178348","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Pirani, JR","5528","2006","04","22",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.676667","-19.101389","1406",NA,NA,"SPF00178348","SPF00178348","Fiaschi, P","1406","-43.676667","-19.101389","2007","06",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-13 11:15:41-03","USP","SPF","183467","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Souza, VC","32597","2007","02","17",NA,"Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó","-43.755556","-19.006111",NA,NA,NA,"SPF00183467","SPF00183467","Fiaschi, P",NA,"-43.755556","-19.006111","2008","07",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-13 11:15:41-03","USP","SPF","199930","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Borges, LM","455","2010","06","16",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.675528","-19.103722","1370",NA,NA,"SPF00199930","SPF00199930","Fiaschi, P","1370","-43.675528","-19.103722","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-13 11:15:41-03","USP","SPF","204543","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Pirani, JR","6362","2011","03","25",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.533333","-19.25","1230",NA,NA,"SPF00204543","SPF00204543","Fiaschi, P","1230","-43.533333","-19.25","2014","01",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 18:25:06-03","USP","SPF","209732","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Zappi, DC","1604","2009","02","27",NA,"Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Início da trilha da Senhorinha.","-43.775087","-18.963736",NA,NA,"Arbusto 2 m alt., botões verdes.; Campo rupestre. com afloramentos rochosos na encosta.","SPF00209732","SPF00209732","Zappi, DC",NA,"-43.775087","-18.963736","2009","08",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 18:25:06-03","USP","SPF","209733","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Zappi, DC","2024","2009","03","10",NA,"Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Trilha da Senhorinha, primeiro platô.","-43.772592","-18.953243",NA,NA,"Arbusto 1 m alt., folhas abaxialmente castanhas, inflorescência creme-acastanhada.; Campo rupestre. com afloramentos quartzíticos e solo de areia branca.","SPF00209733","SPF00209733","Zappi, DC",NA,"-43.772592","-18.953243","2009","08",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 18:25:06-03","USP","SPF","209735","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Zappi, DC","1572","2009","02","25",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Trilha do João Carrinho.","-43.737325","-19.048652",NA,NA,"Arbusto 1 m alt, inflorescências jovens acastanhadas.; Campo rupestre, entre rochas areníticas, em solo arenoso.","SPF00209735","SPF00209735","Zappi, DC",NA,"-43.737325","-19.048652","2009","08",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 18:25:06-03","USP","SPF","32398","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Pirani, JR","s.n.","1982","03","20",NA,"Brasil","Minas Gerais","Santana de Pirapama",NA,"-43.9","-18.916667",NA,NA,"Arboreta de 1,2m, inforescencias jovens ferrugíneas, folhas discolores.","SPF00032398","SPF00032398","Fiaschi, P",NA,"-43.9","-18.916667","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-13 11:15:41-03","USP","SPF","142708","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Fiaschi, P","343","2000","06","21",NA,"Brasil","Minas Gerais","Santana do Riacho","Estrada de Santana do Riacho para a Lapinha, ca. 7km da praça central da cidade. Afloramentos rochosos do lado direito da estrada.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"SPF00142708","SPF00142708","Fiaschi, P",NA,NA,NA,"2002",NA,NA,"26557","auto",NA,NA,NA,NA,NA
"37","2019-09-04 18:31:26-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Araliaceae","Didymopanax","glaziovii","Didymopanax glaziovii",NA,"A. Glaziou","19410","1891",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,"Dicotyledoneae",NA
"38","2019-11-06 16:08:36-03","IAC","IAC","57398","S","Plantae",NA,NA,"Araliaceae","Didymopanax","glaziovii","Didymopanax glaziovii","Taub.","A.C. Brade & Apparício","20388","1950","07","13",NA,"Brasil","Minas Gerais","Baependi","São Tomé das Letras","-44.8901","-21.9589",NA,NA,NA,NA,NA,"E. Moura",NA,"-44.8901","-21.9589","1981","07","30",NA,NA,NA,NA,NA,NA,NA
"39","2020-07-23 11:58:07-03","CEPLAC","CEPEC","113337","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii",NA,"P. Fiaschi","3110",NA,NA,NA,NA,"Brasil","Minas Gerais","santana do riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"P. Fiaschi",NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA
"40","2020-09-22 13:48:28-03","USP","SPFW","3609","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin;Fiaschi","Fiaschi, P. Lopes, M.M.M.; Sant'Ana, S.C.","3110","2006","07","17",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.699111","-19.120556","1135",NA,NA,NA,NA,"P. Fiaschi 2006","1135","43º41'56,8''W","19º07'14''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-02-23 13:21:52-03","MN","R-TIPOS","9802","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Glaziou, A.F.M.","19410","1892","04","23",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,"R000009802","R000009802_001","Fiaschi, P.",NA,NA,NA,"2010","03","25",NA,NA,NA,"Isotypus de Didymopanax glaziovii Taub.",NA,NA,NA
"42","2020-08-20 14:54:34-03","UFSC","FLOR","68147","PreservedSpecimen","Plantae",NA,"Apiales","Araliaceae","Didymopanax","glaziovii","Didymopanax glaziovii","Taub.","Andrade, I.R.; et al.","356","2012","05","15",NA,"Brasil","Minas Gerais","Santana do Riacho","RPPN (Reserva Particular do Patrimônio Natural) Brumas do Espinhaço e Ermo dos Gerais, Cachoeira do Bicame.","-43.719722","-19.018889","1155",NA,"Cerrado, Campo rupestre. Projeto: Levantamento Florístico da RPPN Brumas do Espinhaço, Ponto 100. Duplicata de BHZB 8709","FLOR0068147","FLOR0068147","Fiaschi, P.","1155","43º43'11''W","19º1'8''S","2020","01","29",NA,NA,NA,NA,NA,NA,NA
"43","2020-08-20 14:54:36-03","UFSC","FLOR","55475","PreservedSpecimen","Plantae",NA,"Apiales","Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Pirani, J.R.; Augusto, V.","6362","2011","03","25",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Área de Proteção Ambiental Morro da Pedreira, rodovia Belo Horizonte - Conceição do Mato Dentro (MG010), Alto do Palácio, elevação próximo a Estátua do Velho Juca.","-43.533333","-19.25","1230",NA,"arvoreta com folhas discolores, botões ocráceos","FLOR0055475","FLOR0055475","Fiaschi, P.","1230","43º32'W","19º15'S","2014","01",NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:07:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Araliaceae","Didymopanax","gardneri","Didymopanax gardneri ellipticus","Marchal","Langsdorff, GH (Baron)","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"atque in campis siccis ad Barbacena",NA,NA,NA,NA,"Floret Majo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ellipticus"
"45","2017-09-11 17:07:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Araliaceae","Didymopanax","gardneri","Didymopanax gardneri ellipticus","Marchal","Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"atque in campis siccis ad Barbacena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ellipticus"
"46","2017-09-11 17:07:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Araliaceae","Didymopanax","gardneri","Didymopanax gardneri ellipticus","Marchal","Riedel, L","1070?",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"in eadem provincia, ad rupes Serra da Lapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ellipticus"
"47","2019-11-21 09:59:22-03","IBt","SP","359509","S","Plantae",NA,NA,"Araliaceae","Schefflera","glaziovii","Schefflera glaziovii","(Taub.) Frodin & Fiaschi","Fiaschi, P; Costa, FN","330","2000","06","20",NA,"Brasil","Minas Gerais","Santana de Pirapama","Fazenda dos Inhames (proprietário: Paulo). Trilha para o alto da Serra","-43.766667","-18.95",NA,NA,"Madeira na Xiloteca","SP010778","SP010778","Fiaschi, P",NA,"-43.766667","-18.95","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
