"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","barcode","order","imagecode","decimalLongitude","decimalLatitude","class","coordinatePrecision","geoFlag","typeStatus","fieldNumber","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","2514542","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"P. H. Labiak E.","5293","2011","01","19","Brazil","Goiás","Niquelândia","Road Niquelândia to Brasília (BR 414). Ca. 25 km S of Niquelândia on BR 414, plus 2 km on secondary road at the right side.",NA,NA,"700",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806987' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY02514542","Schizaeales","NY02514542_01","-48.606","-14.651",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","03892906","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"J. A. Steyermark","96462","1966","08","24","Venezuela","Portuguesa",NA,"5 km estenoreste de Agua Blanca, 22 km NE de Acaregua. Selva tropofila sobre peñasco calcareo.",NA,NA,"190",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4176270' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY03892906","Schizaeales","NY03892906_01",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","921509","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"A. Salino","5124","2000","03","24","Brazil","Minas Gerais","Caratinga","Estação Biológica de Cratinga, Jaó.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999288' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY00921509","Schizaeales","NY00921509_01","-42.1392","-19.7897",NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02674771","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner","J. Mendonça",NA,NA,NA,"P. da C. Gadelha Neto","3977","2015","04","19","Brazil","Paraíba","Aguiar","Serra de Santa Catarina",NA,NA,"580",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952505' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY02674771","Schizaeales","NY02674771_01","-38.251944","-7.0225",NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01091165","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner","J. T. Mickel; J. P. Condack",NA,NA,NA,"W. W. Thomas","13578A","2003","07","25","Brazil","Bahia","Jequié","Serra do Castanhão, 14.5 km S of Jequié on BR116, then 7.5 km W (at Pousada Corujao) to Embratel tower.",NA,NA,"835","835",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525808' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY01091165","Schizaeales","NY01091165_01","-40.1908","-13.9394",NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","2514547","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"A. M. V. de Carvalho","3768","1992","02","19","Brazil","Bahia","Caetité","Ca. 14 km na estrada de Caetité para Brumado.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806993' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY02514547","Schizaeales","NY02514547_01","-42.47","-14.06",NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","2514545","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"R. M. Harley","16191","1974","02","19","Brazil","Bahia","Itiúba","Serra de Itiuba about 6 km E of Itiuba.",NA,NA,"500","500",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806991' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY02514545","Schizaeales","NY02514545_01","-39.8","-10.68",NA,NA,NA,NA,NA,NA
"18","2021-04-05 09:59:35-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","3540","S","Plantae","Tracheophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"André M. de Carvalho, B. Leunberger et al. L. A. Mattos Silva","1679","1983","04","14","Brasil","Bahia","Brumado","Km 36 da estrada Brumado/Caetite. Alt. 650 m.s.m. Caatinga.",NA,NA,NA,NA,NA,"Erva crescendo em locais úmidos ou sombreados.","América do Sul",NA,NA,NA,"Schizaeales",NA,"-41.6652984619141","-14.2035999298096","Polypodiopsida","38387","auto",NA,NA,NA
"19","2021-04-05 09:59:35-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","3536","S","Plantae","Tracheophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"L. R. Noblick & C. G. B. Lôbo","4288","1985","08","14","Brasil","Bahia","Ipecaetá","Fazenda Riachão, Serra Orobozinho, ca. 1 km da cidade.","39°17'","12°20'",NA,NA,NA,"Feto em touceiras com parte fértil de 10-20 cm folhas decumbentes verde escuro. Comum na mata.","América do Sul",NA,NA,NA,"Schizaeales",NA,"-39.3074989318848","-12.3000001907349","Polypodiopsida","14569","auto",NA,NA,NA
"20","2021-04-05 09:59:35-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","3545","S","Plantae","Tracheophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"L. R. Noblick & C. G. Lôbo","4325","1985","08","14","Brasil","Bahia","Ipecaetá","Fazenda Riachão, Serra Orobozinho, ca. 1 km da cidade.","39°17'","12°20'",NA,NA,NA,"Feto de 20-30 cm com folhas em touceiras e decumbentes. A parte fértil reta com esporos enferrujados. Comum na sombra das plantas na capoeira.","América do Sul",NA,NA,NA,"Schizaeales",NA,"-39.3074989318848","-12.3000001907349","Polypodiopsida","14569","auto",NA,NA,NA
"21","2021-04-05 09:59:35-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","3543","S","Plantae","Tracheophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner",NA,NA,NA,NA,"L. R. Noblick & Lemos","4217","1985","07","17","Brasil","Bahia","Serra Preta","07 Km W do Ponto de Serra Preta, Fazenda Santa Clara.","39°20'","12°10'",NA,NA,NA,"Feto de folhas rasteiras e parte fértil de 20-30 cm. Ocasional em solo úmido duma área rochosa da caatinga.","América do Sul",NA,NA,NA,"Schizaeales",NA,"-39.3316993713379","-12.1603002548218","Polypodiopsida","25913","auto",NA,NA,NA
"22","2019-10-09 11:25:50-03","UFBA","ALCB","00104","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Nonato, FR; Macedo, TS","2009","09",NA,"Costa, AL","s/n","1970","02","08","Brasil","Bahia","Riachão do Jacuípe","Paraguaçu, entre Tanquinho e Riachão do Jacuípe","-39.816667","-11.366667",NA,NA,NA,NA,"Southern America",NA,NA,"ALCB000528",NA,"ALCB000528","-39.816667","-11.366667",NA,NA,NA,NA,NA,NA
"23","2019-10-09 11:25:50-03","UFBA","ALCB","00102","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Nonato, FR; Macedo, TS","2009","09","16","Costa, AL","s/n","1968","06",NA,"Brasil","Bahia","Lustosa","Serra Geral, Fazenda Esperança, Vale do Rio Sangradouro",NA,NA,NA,NA,NA,"nos terrenos argilosos, úmidos, dentro da mata.","Southern America",NA,NA,"ALCB000535",NA,"ALCB000535",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-10-09 11:25:50-03","UFBA","ALCB","00103","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Nonato, FR; Macedo, TS","2009","09","16","s.col.","s/n","1968","06",NA,"Brasil","Bahia","Lustosa","Serra Geral, Faz. Esperança, Vale do Rio Sangradouro",NA,NA,NA,NA,NA,"úmidos, dentro da mata. Nos barrancos argilosos.","Southern America",NA,NA,"ALCB000534",NA,"ALCB000534",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-10-09 11:25:50-03","UFBA","ALCB","05125","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Nonato, FR; Macedo, TS","2009","09","16","Pinto, GCP","s/n","1951","06",NA,"Brasil","Bahia",NA,"Belo Vale",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"ALCB000529",NA,"ALCB000529",NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-10-09 11:25:50-03","UFBA","ALCB","40511","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Ferreira, JL","2009","01",NA,"Harley, RM; Funch, L; Bautista, HP; Hind, DJN","PCD&nf;3122","1996","06","27","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Leito pedregoso do rio Ventura","-41.016389","-11.681667","724","724",NA,"frondes estéreis rosuladas e férteis eretas. Ocasional.; Vegetação no leito pedregoso do rio. Afloramentos rochosos.","Southern America",NA,NA,"ALCB000532",NA,"ALCB000532","-41.016389","-11.681667",NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:25:50-03","UFBA","ALCB","61979","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Ferreira, JL","2009","01",NA,"Passos Júnior, LA; Mota, AC da; Botelho, RB; Guedes, ML; Roque, N; et al.","02","2003","04","27","Brasil","Bahia","Contendas do Sincorá","Serra Geral, Fazenda corcovado","-41.162222","-13.918611",NA,NA,NA,"ca. 15 cm. Estipe curto, tomentoso, ferrugíneo. Aparelho esporífero saindo do 1º par de pinas. Lâmina pinada.","Southern America",NA,NA,"ALCB000527",NA,"ALCB000527","-41.162222","-13.918611",NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:25:50-03","UFBA","ALCB","65652","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Nonato, FR; Macedo, TS","2009","09","16","Guedes, ML; Xavier, AB; Anjos, BA dos","10892","2004","03","20","Brasil","Bahia","Euclides da Cunha","Noroeste","-39","-10.5",NA,NA,NA,"de ca. 15 cm. Fronde com lâmina pinado-pinatífida, discolore, pubescente. Porção fértil pedunculada, ereta, longe ou aproximada das porções terminais estéreis. Esporos triletes.; antropizada","Southern America",NA,NA,"ALCB000526",NA,"ALCB000526","-39","-10.5",NA,NA,NA,NA,NA,NA
"29","2019-10-09 11:25:50-03","UFBA","ALCB","65822","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Ferreira, JL","2009","01",NA,"Guedes, ML; Alunos de Botânica III; Alunos de Botânica III","11003","2004","04","04","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Ventura","-41.15","-11.55",NA,NA,NA,"de ca 15cm., rizoma curto com tomentos. Fronde pinatífida, nervação dicotomica. Aparelho esporífero único em cada base da pina.; arbustiva-arbórea","Southern America",NA,NA,"ALCB000531",NA,"ALCB000531","-41.15","-11.55",NA,NA,NA,NA,NA,NA
"30","2019-10-09 11:25:50-03","UFBA","ALCB","83850","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Nonato, FR; Macedo, TS","2009","09","16","Roque, N; Alunos de Botânica III","1803","2008","05","24","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Vila do Ventura. Trilha para Cidade das Pedras","-41.011667","-11.673333","815","815",NA,"Em solo arenoso, úmido. Soros verdes passando a castanhos.","Southern America",NA,NA,"ALCB000530",NA,"ALCB000530","-41.011667","-11.673333",NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:25:50-03","UFBA","ALCB","93248","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Guedes, ML; Gomes, FS","2010","02",NA,"Guedes, ML; Gomes, FS; Melo, E; et al.","16806","2009","12","10","Brasil","Bahia","Licínio de Almeida","Serra Geral, fazenda São Domingos. Jurema. P04","-42.513056","-14.463889","919","919",NA,"ca. 10 cm alt. Aparelho esporífero saindo da base do primeiro par de pinas.","Southern America",NA,NA,"ALCB000524",NA,"ALCB000524","-42.513056","-14.463889",NA,NA,NA,NA,NA,NA
"32","2019-10-09 11:25:50-03","UFBA","ALCB","93258","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Guedes, ML","2010","02",NA,"Gomes, FS; Guedes, ML; Melo, E; et al.","330","2009","12","11","Brasil","Bahia","Licínio de Almeida","Serra Geral, Lagoa da Vereda","-42.466389","-14.569722","738","738",NA,"de ca 15 cm . Folhas com lâmina com pinas cartáceas, discolores. Aparelho esporífero saindo do primeiro par de pina, marrom.","Southern America",NA,NA,"ALCB00544",NA,NA,"-42.466389","-14.569722",NA,NA,NA,NA,NA,NA
"33","2019-11-25 16:51:34-03","UFBA","ALCB","97818","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Guedes, ML","2010","10",NA,"Guedes, ML; Silva, LB da; Oliveira, MAJ de; Melo, IV de; Silva, MCR","17824","2010","10","25","Brasil","Bahia","Santa Teresinha","Recôncavo Sul, Serra da Jibóia","-39.475556","-12.853611","822","822",NA,"de ca 15 cm. Frondes com estípite com pelos ferrugíneos, lâmina pinada, cartáceas. Aparelho esporífero saindo abaixo do 1º par de pinas.","Southern America",NA,NA,"ALCB000525",NA,"ALCB000525","-39.475556","-12.853611",NA,NA,NA,NA,NA,NA
"34","2019-10-09 11:25:50-03","UFBA","ALCB","40514","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Ferreira, JL","2009","01",NA,"Harley, RM; Guedes, ML; Stannard, B; Atkins, S; Saar, E; Passos Júnior, LA","PCD5123","1997","02","05","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Caminho para Lagoa Nova","-41.778333","-13.795","490","490",NA,"ca. 15 cm. Frondes com pinas membranáceas. Aparelho esporífero imaturo verde. Frequente.; Solo arenoso com afloramentos rochosos.","Southern America",NA,NA,"ALCB000536",NA,"ALCB000536","-41.778333","-13.795",NA,NA,NA,NA,NA,NA
"35","2019-10-09 11:25:50-03","UFBA","ALCB","08136","PreservedSpecimen","Plantae","Fern","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner & Gardner","Nonato, FR","2009","09","16","Grupo Pedra do Cavalo","146","1980","06",NA,"Brasil","Bahia","Cachoeira","Recôncavo Sul, Estação da Embasa.","-39.083333","-12.533333","40","40",NA,"esporângios em espigas. Crescendo em touceiras.; a margem do Paraguaçu.","Southern America",NA,NA,"ALCB000533",NA,"ALCB000533","-39.083333","-12.533333",NA,NA,NA,NA,NA,NA
"36","2021-01-14 15:19:29-03","MN","R","138654","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","dentata","Anemia dentata","Gardner","Mickel, J.T.","2005",NA,NA,"Löfgren, J.A.C.","517","1910","04","12","Brasil","Ceará",NA,NA,NA,NA,NA,NA,NA,"Inspectoria de Obras Contra as Seccas",NA,NA,NA,"R010038759",NA,"R010038759",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-01-14 15:19:29-03","MN","R","1413","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","dentata","Anemia dentata","Gardner","Mickel, J.T.","2005",NA,NA,"Jobert, C.; Schwacke, C.A.W.",NA,"1878",NA,NA,"Brasil","Piauí",NA,NA,NA,NA,NA,NA,NA,"Voyage de Jobert-Schwacke",NA,NA,NA,"R010038709",NA,"R010038709",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-01-14 15:19:29-03","MN","R","18330","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","dentata","Anemia dentata","Gardner","Mickel, J.T.","2005",NA,NA,"Bragança, A.","12",NA,NA,NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010038734",NA,"R010038734",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-01-14 15:19:29-03","MN","R","127660","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","dentata","Anemia dentata","Gardner","Mickel, J.T.","2005",NA,NA,"Heringer, E.P. 296; Andrade-Lima, A.D.; Sobrinho, J.P.L. & Sarmento, A.C.",NA,"1971","04","23","Brasil","Pernambuco","Afrânio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010038756",NA,"R010038756","-41.0050010681152","-8.51500034332275",NA,"43704","auto",NA,NA,NA
"40","2019-02-15 11:50:29-02","IPA","IPA","28908","S","Plantae","Plantae","Schizaeaceae","Anemia","mirabilis","Anemia mirabilis","Brade","Leão Barros, I.C.","1979",NA,NA,"Andrade-Lima","72-6813","1972",NA,NA,"Brasil",NA,NA,"Nordeste - viagem com os ingleses.",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"IPA0028908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-02-15 11:50:29-02","IPA","IPA","12381","S","Plantae","Plantae","Schizaeaceae","Anemia","mirabilis","Anemia mirabilis","Brade","Brade","1964",NA,NA,"Sarmento","364","1959","07","31","Brasil","Alagoas","Major Isidoro","Fazenda Santa Rosa, à margem do Riacho das Galinhas.(seco na época da coleta)",NA,NA,NA,NA,NA,"Erva com frondes rasteiras e corpo esporígeno em um pedúnculo de 20-25cm de altura.","Southern America",NA,NA,"IPA0012381",NA,"IPA0012381","-36.9850006103516","-9.53221988677979",NA,"20267","auto",NA,NA,NA
"42","2019-11-27 13:53:23-03","UFS","ASE","2383","PreservedSpecimen","Plantae","Monilophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner ex Field & Gardner","Santiago, A","2014","07","10","Almeida, MN de","79","1982","05","13","Brasil","Sergipe","Nossa Senhora da Glória","Faz. Olhos d'Água","-37.419861","-10.1035",NA,NA,NA,". . esporângios verdes e lâminas recortadas. .; . . esporângios verdes e lâminas recortadas. .; erva pequena","Southern America",NA,NA,"ASE0014236",NA,NA,"-37.419861","-10.1035",NA,NA,NA,NA,NA,NA
"43","2019-12-13 15:39:03-03","UFS","ASE","31120","PreservedSpecimen","Plantae","Monilophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner ex Field & Gardner","Andrade, MFB","2019","11","29","Déda, RM; Rocha, LP; Santos, E; Santos, MH; Pereira, TC; Andre, DS; Silva, JR; Oliveira-N","321","2014","05","15","Brasil","Sergipe","Nossa Senhora da Glória","Assentamento Nossa Senhora Aparecida","-37.4213","-10.10456",NA,NA,NA,"Pteridophyta. Fértl.; Caatinga","Southern America",NA,NA,"ASE0002828",NA,"ASE0002828","-37.4213","-10.10456",NA,NA,NA,NA,NA,NA
"44","2019-11-27 13:53:23-03","UFS","ASE","33159","PreservedSpecimen","Plantae","Monilophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner ex Field & Gardner","Campos, DA; Déda, RM","2015","02","11","Santos, LAS","1148","2014","08","05","Brasil","Sergipe","Porto da Folha",NA,"-37.278056","-9.917222",NA,NA,NA,"Herbácea. Número do conglomerado: 33, Coordenadas UTM do ponto central: E(680864m) N(8895240m), número da subunidade: 4, número da subparcela: 2, número da árvore: 2BF9.","Southern America",NA,NA,"ASE0004948",NA,"ASE0004948","-37.278056","-9.917222",NA,NA,NA,NA,NA,NA
"45","2019-11-27 13:53:23-03","UFS","ASE","33163","PreservedSpecimen","Plantae","Monilophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner ex Field & Gardner","Campos, DA; Déda, RM","2015","02","11","Gonçalves, FB","325","2014","08","05","Brasil","Sergipe","Gararu","Vegetação rasteira natural, solo raso e predegoso","-37.083056","-9.9675",NA,NA,NA,"Herbácea. Número do conglomerado: 37, Coordenadas UTM do ponto central: E(0720336m) N(8895018m), número da subunidade: 4, número da subparcela: 10, número da árvore: 10DF9.","Southern America",NA,NA,"ASE0004952",NA,"ASE0004952","-37.083056","-9.9675",NA,NA,NA,NA,NA,NA
"46","2019-11-27 13:53:23-03","UFS","ASE","3793","PreservedSpecimen","Plantae","Monilophyta","Anemiaceae","Anemia","dentata","Anemia dentata","Gardner ex Field & Gardner","Santiago, A","2014","07","10","Viana, G","956","1984","05","08","Brasil","Sergipe","Nossa Senhora da Glória","Faz. Olhos d'Água","-37.419861","-10.1035",NA,NA,NA,"15. cm. esporângios inseridos na base do ráquis. .; 15. cm. esporângios inseridos na base do ráquis. .; erva","Southern America",NA,NA,"ASE0037264",NA,NA,"-37.419861","-10.1035",NA,NA,NA,NA,NA,NA
