"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","individualCount","fieldNumber","relatedCatalogItem"
"11","2021-04-05 14:33:19-03","UNESC","CRI","7701","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","T. B. Guimarães","T. B. Guimarães; Daniel de Barcelos Falkenberg","575","2004","07","27","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: restinga Habito: subarbusto","CRI001430","CRI001430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","798398","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","B. Rambo","E. Henz","35496","1946","10","02","Brazil","Rio Grande do Sul",NA,"S. Leopoldo, ad urbem","-51.143791","-29.75136",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798398","NY00798398_01",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","259153","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus parviflorus","(Lam.) Kuntze",NA,"C. E. O. Kuntze","s.n.","1892","11",NA,"Uruguay",NA,NA,"Cerro bei Montevideo",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00259153","NY00259153_01 NY00259153_02",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet","parviflorus","type",NA,NA,NA,NA,NA,NA
"14","2016-09-29 09:24:00-03","NY","NYBG","798397","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus",NA,"F. W. Klatt","A. Isabelle",NA,"1838",NA,NA,"Uruguay","Montevideo",NA,"Montevideo",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798397","NY00798397_01",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","798404","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","J. F. Pruski","R. A. Wasum","6270","1989","11","03","Brazil","Rio Grande do Sul",NA,"Torres- Praia da Guarita","-49.735446","-29.359004",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798404","NY00798404_01",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","798400","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","H. E. Robinson","A. M. Rui","9076","1992","09",NA,"Brazil","Rio Grande do Sul",NA,"Torres- Praia do Paraíso",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798400","NY00798400_01",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","798402","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","E. M. Zardini","G. G. Hatschbach","40370","1977","10","08","Brazil","Santa Catarina","Laguna","Praia do Mar Grosso","-48.7806","-28.4828",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798402","NY00798402_01",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 09:24:00-03","NY","NYBG","798401","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus",NA,"Á. L. Cabrera","R. Reitz","276","1952","07","31","Brazil","Santa Catarina","Laguna","Laguna","-48.781687","-28.480425",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798401","NY00798401_01",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 09:24:00-03","NY","NYBG","798396","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus",NA,NA,"W. A. Archer","4295","1936","01","11","Brazil","Rio Grande do Sul",NA,"At Barra do Rio Grande",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798396","NY00798396_01",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","798399","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","M. Sobral","M. Sobral","2221","1983","09",NA,"Brazil","Rio Grande do Sul",NA,"Itapua, Viamao","-51.012638","-30.279541",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798399","NY00798399_01",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-29 09:24:00-03","NY","NYBG","798403","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus",NA,"J. F. Pruski","J. E. Leite","333","1940","10",NA,"Brazil","Rio Grande do Sul","Sao Leopoldo","Arredores de Sao Leopoldo","-51.18","-29.75",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798403","NY00798403_01",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","259152","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus grandiflorus","(Lam.) Kuntze",NA,"C. E. O. Kuntze","s.n.","1892","11",NA,"Uruguay",NA,NA,"Cerro bei Montevideo",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00259152","NY00259152_01 NY00259152_02",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet","grandiflorus","type",NA,NA,NA,NA,NA,NA
"23","2020-11-24 17:10:31-03","UTFPR","DVPR","4369","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.",NA,"Poliquesi, CB; Poliquesi, M","753","2010","10","09","Brasil","Santa Catarina","Florianópolis","Praia de Jurerê Internacional","-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"Herbácea, capítulo amarelo.; Sobre dunas de areia","DVPR004369",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"27000","auto",NA,NA,NA,NA
"24","2021-03-30 12:35:05-03","EAO","IAN","159729","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Asplund, E","Hatschbach, G","2028","1950","09","30","Brasil","Paraná",NA,"Paranaguá, rio Pereque.",NA,NA,NA,NA,NA,NA,"Flor amarela, rasteira, formando colônias nas ante-dunas.","IAN159729",NA,"1951",NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:35:05-03","EAO","IAN","67589","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.",NA,"Rambo, B","48744","1950","09","11","Brasil","Rio Grande do Sul","Osório",NA,"-50.2696990966797","-29.8866996765137",NA,NA,NA,NA,NA,"IAN067589",NA,NA,NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,"27350","auto",NA,NA,NA,NA
"26","2019-12-04 15:24:53-03","PUCPR","HUCP","3116","S","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Pruski, J","Wasum, R; Branchi, F","s.n.",NA,NA,NA,"Brasil","Rio Grande do Sul","Torres","Praia da Guarita","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,NA,"HUCP00007898","HUCP00007898","1989","11","03","Eudicotiledonea",NA,NA,NA,NA,NA,"20837","auto",NA,NA,NA,NA
"27","2019-10-09 11:11:17-03","UFBA","ALCB","128889","PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Gaio, J","Gaio, J; Demeda, C; Gonzatti, F; Link, O","477","2015","09","12","Brasil","Rio Grande do Sul","Osório","Estrada para a Lagoa do Inácio","-50.221944","-29.898611","-50.221944","-29.898611","8","8","decubente e ereto com vistosos capítulos amarelos e cípselas serícea.; Em campo seco antropizado.","ALCB046425","ALCB046425","2015","11",NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:11:17-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Rob., H","Hatschbach, G; Barbosa, E","79647","2006","08","12","Brasil","Santa Catarina","Laguna","Praia da Teresa","-48.7807998657227","-28.4825000762939",NA,NA,NA,NA,"reptante. Capítulo amarelo.; nas encostas.",NA,NA,"2006",NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,"21199","auto",NA,NA,NA,NA
"29","2020-02-08 08:51:24-03","NBC","NL-BOTANY","L.2425800","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.",NA,"Reitz R; Klein RM",NA,"1952","07","31","Brazil",NA,NA,"Plantas de Santa Catarina. Laguna. Dunas litorâneas.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2425800 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2425800","NL-L2425800",NA,NA,NA,NA,"Asterales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"30","2020-02-08 08:51:24-03","NBC","NL-BOTANY","L.2425801","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.",NA,"Martinez Crovetto R",NA,"1943","05","01","Argentina",NA,NA,"Plantas Argentinas. Holt, provincia de entre Rios.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2425801 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2425801","NL-L2425801",NA,NA,NA,NA,"Asterales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"31","2020-02-08 08:51:24-03","NBC","NL-BOTANY","L.2425802","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.",NA,"Unreadable",NA,"1912","11","01","Uruguay",NA,NA,"Montevideo, in arenosis martimis.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2425802 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2425802","NL-L2425802",NA,NA,NA,NA,"Asterales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"32","2020-02-08 08:51:24-03","NBC","NL-BOTANY","U.1142045","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.",NA,"Gallinal JP",NA,"1935","11","01","Uruguay",NA,NA,"Procedencia Arenales de Carrasco, Montevideo.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1142045 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1142045","NL-U1142045",NA,NA,NA,NA,"Asterales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"33","2020-02-08 08:51:24-03","NBC","NL-BOTANY","U.1142046","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.",NA,"Herter",NA,"1924","11","01","Uruguay",NA,NA,"Lit. Platens Pocitos/ Malovin Montevideo.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1142046 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1142046","NL-U1142046",NA,NA,NA,NA,"Asterales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"34","2020-02-08 08:51:24-03","NBC","NL-BOTANY","WAG.1484479","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.",NA,"Hatschbach GG; Forero E",NA,"1978","10","08","Brazil",NA,NA,"Nova Esperanca (mun. Imbituba) Santa Catarina.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1484479 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1484479","NL-WAG1484479",NA,NA,NA,NA,"Asterales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"35","2019-02-15 11:34:32-02","IPA","IPA","77075","S","Plantae","Asteraceae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Gaio, J.","Gaio, J.; Demeda, C.; Gonzatti, F.; Link, O.; Demeda, C.; Gonzatti, F.; Link, O.","477","2015","09","12","Brasil","Rio Grande do Sul","Osório","Lagoa do Inácio., Estrada para a lagoa.","-50.221944","-29.898611","-50.221944","-29.898611",NA,NA,"Subarbusto decumbente a ereto com vistosos capítulos amarelos e cipselas serícea.; Em campo seco antropizado.","IPA0077075","IPA0077075","2015","11","03","Plantae",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-08-27 13:27:53-03","IAP","PACA-AGP","92257","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","C. Mondin","R. Zaremba",NA,"1995","09","28","Brasil","RS","Cachoeirinha","P. Matriz","-51.0938987731934","-29.951099395752",NA,NA,NA,NA,"HASU 4962 Habitat: solo arenoso","PACA092257",NA,"1998",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,"9806","auto","Magnoliatae",NA,NA,NA
"37","2019-11-27 11:47:50-03","IAP","PACA-AGP","27995","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","B. Rosengurtt","B. Rosengurtt",NA,"1944","11","05","Uruguai",NA,NA,"San Jose, Flores",NA,NA,NA,NA,NA,NA,"Habitat: in arenosis Fenofase: flor","PACA027995",NA,"1954","07","06","Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA
"38","2019-08-27 13:27:53-03","IAP","PACA-AGP","92259","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","C. Mondin","Mondin, C.","2014","2000","10","02","Brasil","RS","Quintão","Lagoa da Porteira",NA,NA,NA,NA,NA,NA,"erva nas dunas, capítulo amarelo&nf;HASU 9834","PACA092259",NA,"2000","10",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA
"39","2019-08-27 13:27:53-03","IAP","PACA-AGP","28513","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Emrich-Rambo","Rambo, B.",NA,"1945","03",NA,"Brasil","RS","Nonoai","ad fl. Uruguai","-52.7714004516602","-27.3617000579834",NA,NA,NA,NA,"Habitat: in arenosis Fenofase: estéril","PACA028513",NA,"1954","07","06","Magnoliophyta","Asterales",NA,NA,NA,NA,"35080","auto","Magnoliatae",NA,NA,NA
"40","2019-08-27 13:27:53-03","IAP","PACA-AGP","86628","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","J. Mauhs","Mauhs, J.",NA,"1999","11","02","Brasil","RS","Palmares do Sul","Lagoa da Porteira","-50.5097007751465","-30.2577991485596",NA,NA,NA,NA,"Habitat: borda de mata de restinga","PACA086628",NA,"2001",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,"31350","auto","Magnoliatae",NA,NA,NA
"41","2019-08-27 13:27:53-03","IAP","PACA-AGP","103208","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","J. Mauhs","Mauhs, J.",NA,"2004","09","28","Brasil","RS","Palmares do Sul","Lagoa da Porteira","-50.5097007751465","-30.2577991485596",NA,NA,NA,NA,"Abundante. Solo arenoso seco. Habitat: Entre mata úmida e mata de restinga.","PACA103208",NA,NA,NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,"31350","auto","Magnoliatae",NA,NA,NA
"42","2019-08-27 13:27:53-03","IAP","PACA-AGP","109410","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.",NA,"Jesuíta não identificado",NA,"1941","10","08","Brasil","RS","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172",NA,NA,NA,NA,"Habitat: campo","PACA109410",NA,NA,NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,"10287","auto","Magnoliatae",NA,NA,NA
"43","2019-08-27 13:27:53-03","IAP","PACA-AGP","44162","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","Emrich-Rambo","P. Goncalves",NA,"1949","10","31","Brasil","RS","Tramandaí","litus Atlanticum","-50.1335983276367","-29.9846992492676",NA,NA,NA,NA,"SEM MATERIAL Habitat: in arenosis Fenofase: flor","PACA044162",NA,"1954","07","06","Magnoliophyta","Asterales",NA,NA,NA,NA,"21077","auto","Magnoliatae",NA,NA,NA
"44","2019-08-27 13:27:53-03","IAP","PACA-AGP","85924","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus","(Poir.) DC.","G. Hatschbach","Hatschbach, G.","72708","2001","11","14","Brasil","SC","Laguna","Cabo Santa Marta","-48.7807998657227","-28.4825000762939",NA,NA,"4","4","reptante, radicante, capítulo amarelo Habitat: em dunas fixas","PACA085924",NA,"2001",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,"21199","auto","Magnoliatae",NA,NA,NA
"45","2019-10-07 15:24:39-03","IAP","PACA-AGP","38002","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus subsp. ratophyllus","Cabr.","N. I. Matzenbacher","Rambo, B.",NA,"1948","11","14","Brasil","RS","Porto Alegre","Barra do Ribeiro","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"det. (Emrich-Rambo 06071954): Senecio crassiflorus (Poir.) DC. var. tricuspis Bak. Habitat: in arenosis apertis Fenofase: flor","PACA038002",NA,"1994","04","12","Magnoliophyta","Asterales",NA,NA,"subsp. ratophyllus",NA,"29946","auto","Magnoliatae",NA,NA,NA
"46","2019-10-07 15:24:39-03","IAP","PACA-AGP","48876","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus subsp. ratophyllus","Cabr.","N. I. Matzenbacher","Rambo, B.",NA,"1950","09","27","Brasil","RS","Porto Alegre","Itapoan p. Granja Neugebauer","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"det. (Emrich-Rambo 06071954): Senecio crassiflorus (Poir.) DC. var. tricuspis Bak. Habitat: in arenosis apertis Fenofase: flor","PACA048876",NA,"1994","04","12","Magnoliophyta","Asterales",NA,NA,"subsp. ratophyllus",NA,"29946","auto","Magnoliatae",NA,NA,NA
"47","2019-10-07 15:24:39-03","IAP","PACA-AGP","34150","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus subsp. ratophyllus","Cabr.","N. I. Matzenbacher","Rambo, B.",NA,"1945","10","16","Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"det. (Emrich-Rambo 06071954): Senecio crassiflorus (Poir.) DC. var. tricuspis Bak. Habitat: in campestribus siccis graminosis Fenofase: flor","PACA034150",NA,"1994","04","12","Magnoliophyta","Asterales",NA,NA,"subsp. ratophyllus",NA,"29946","auto","Magnoliatae",NA,NA,NA
"48","2019-10-07 15:24:39-03","IAP","PACA-AGP","29325","PreservedSpecimen","Plantae","Compositae","Senecio","crassiflorus","Senecio crassiflorus subsp. ratophyllus","Cabr.","N. I. Matzenbacher","Rambo, B.",NA,"1945","10","26","Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"det. (Emrich-Rambo 06071954): Senecio crassiflorus (Poir.) DC. var. tricuspis Bak. Habitat: in subnudis campestribus Fenofase: flor","PACA029325",NA,"1994","04","12","Magnoliophyta","Asterales",NA,NA,"subsp. ratophyllus",NA,"29946","auto","Magnoliatae",NA,NA,NA
