"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","day","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","monthIdentified","class","coordinatePrecision","geoFlag","sex","dayIdentified"
"11","2020-08-31 09:07:42-03","INPA","INPA","245215","S","Plantae","Dicotyledon Com-Clade","Myrtales","Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Simon, MF","1158","2011","03","Southern America","Brasil","Rondônia","UHE Jirau, Fragmento florestal próximo à margem direita do rio Jaci Paraná, LT Jirau.","-64.393333","-9.270833",NA,NA,"INPA0245215",NA,"Giaretta, A","2016","24","Porto Velho","-64.393333","-9.270833","90","90",NA,NA,"05",NA,NA,NA,NA,NA
"12","2021-01-10 20:47:02-03","INPA","INPA","88122","S","Plantae","Dicotyledon Com-Clade","Myrtales","Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Coêlho, LF","79-18","1979","10","Southern America","Brasil","Acre","BR 317, km 40, Campus Universitário","-67.946998","-9.834695",NA,NA,"INPA0088122","INPA0088122 INPA0088122_e","Sobral, MEG; Souza, MAD de","2016","23","Rio Branco","-67.946998","-9.834695",NA,NA,NA,NA,"08",NA,NA,NA,NA,NA
"13","2020-08-31 09:07:42-03","INPA","INPA","227336","S","Plantae","Dicotyledon Com-Clade","Myrtales","Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Zartman, CE","7033","2007","05","Southern America","Brasil","Amazonas","Rebio Uatumã, grade do PPBio.","-59","-1",NA,NA,"INPA0227336","INPA0227336 INPA0227336_e","Sobral, MEG; Souza, MAD de","2016","19","Presidente Figueiredo","-59","-1",NA,NA,NA,NA,"08",NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","32357","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh","Isotype","H. H. Rusby","2084","1886","10","South America - Neotropics","Brazil","Rondônia","Falls of Madeira.",NA,NA,NA,NA,"US00603986","US00603986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","1416665","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh","Holotype","H. H. Rusby","2084","1886","10","South America - Neotropics","Brazil","Rondônia","Falls of Madeira.",NA,NA,NA,NA,"US00118097","US00118097_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA,NA,NA
"16","2020-09-02 16:33:52-03","Cenargen","CEN","80560","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Marcelo Fragomeni Simon","1158","2011","03",NA,"Brasil","RO","Fragmento florestal próximo à margem direita do rio Jaci Paraná, LT Jirau.","-64.393333","-9.2708333","Exsicatas","Arvoreta bastante ramificada 4m. Folhagem cartácea, brilhosa na superfície adaxial. Frutos alaranjados tornando-se escuros. Semente única. Local com afloramento de rocha e palmeiras Attalea, dossel aberto (10 m em média).","CEN00080560","CEN00080560","A. Giaretta","2016","24","PORTO VELHO","-64.393333","-9.2708333","90","90",NA,"8","05",NA,NA,NA,NA,NA
"17","2019-11-13 11:26:47-03","USP","SPF","224998","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Zartman, CE","7033","2007","05",NA,"Brasil","Amazonas","Rebio Uatumã: grade do PPBio.","-59","-1",NA,NA,"SPF00224998",NA,"Giaretta, A","2016","19","Presidente Figueiredo","-59","-1",NA,NA,NA,NA,"03",NA,NA,NA,NA,NA
"18","2019-12-20 18:46:41-03","UFSJ","HUFSJ","11001","S","Plantae",NA,NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Coêlho, LF; Simão, C","18","1979","10",NA,"Brasil","Acre","Campus Universitário.","-67.8099975585938","-9.9747200012207",NA,"Arbusto com aprox. 2 m de alt.; flores alvas, botões bem desenvolvidos, frutos aromáticos.","HUFSJ011001",NA,"Sobral, M; Souza, MAD","2016","23","Rio Branco",NA,NA,NA,NA,NA,NA,NA,NA,"178770","auto",NA,NA
"19","2019-12-20 18:46:41-03","UFSJ","HUFSJ","6977","S","Plantae",NA,NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh",NA,"Zartman, CE; et al.","7033","2007","05",NA,"Brasil","Amazonas","Rebio Uatamã, grade do PPBio.","-60.0250015258789","-2.03444004058838",NA,"Árvore, ca. 15m de altura, DAP ca. 15cm. Tronco cilindrico, base reta, ritidoma com desprendimento em placas alongadas, irregulares, papiráceas e sublenhosas. Folhas discolores, indumento ferrugíneo. Frutos marrons.","HUFSJ006977",NA,"Sobral, M","2016","19","Presidente Figueiredo",NA,NA,NA,NA,NA,NA,NA,NA,"229398","auto",NA,NA
"20","2020-09-18 09:33:08-03","UFAC","UFACPZ","4815","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","percincta","Eugenia percincta","Silveira, M; Daly, DC; Saraiva, RS; WALTHIER, F C; GEBHA",NA,"Daly, DC; Ferreira, L; RAMOS, J; Walthier, F","7345","1992","03",NA,"Bolívi","Acre","Reserva Extrativista do Alto Juruá, basin of Rio, Rio Bagé, near mouth of river.","-72","-9",NA,"Tree, 6m tall. Fruits erect, depressed globose, yellow, 5.5cm diam, very rugose, vertically ridged. FRUITS SEPARETE.; Moist forest on terra firme, Tertiary sediments. Undulating terrain.","UFACPZ004815",NA,"Holst, B K","2003","11","Cruzeiro do Sul","-72","-9",NA,NA,NA,NA,"04",NA,NA,NA,NA,NA
"21","2020-09-18 09:33:08-03","UFAC","UFACPZ","5211","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","percincta","Eugenia percincta","Silveira, M; Daly, DC; Saraiva, RS; WALTHIER, F C; GEBHA",NA,"Cid Ferreira, CA","10841","1992","03",NA,"Brasil","Acre","Alto Rio Juruá, margem direita,, localidade próxima a fazenda Calila Sara.","-72.6699981689453","-7.63111019134521",NA,"Árvore de 10m de altura x 22cm de diâmetro; frutos ovóides com casca rugosa, imaturos verdes, maturos amarelos. (FRUTOS SEPARADOS).; MAta de terra firme, solo arenoso.","UFACPZ005211",NA,"Holst, B K","2003","17","Cruzeiro do Sul",NA,NA,NA,NA,NA,NA,"04",NA,"123037","auto",NA,NA
"22","2020-09-18 09:33:08-03","UFAC","UFACPZ","5167","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","percincta","Eugenia percincta","Silveira, M; Daly, DC; Saraiva, RS; WALTHIER, F C; GEBHA",NA,"Cid Ferreira, CA","10798","1992","03",NA,"Brasil","Acre","Seringal Iracema, aproximadamente a 5km da margem, afluente do alto Rio Juruá.","-72","-9",NA,"Arvoreta de 8m de altura; Frutos maturos de cor amarela. (FRUTOS SEPARADOS); Mata de terra firme, solo arenoso.","UFACPZ005167",NA,"Holst, B K","2003","12","Cruzeiro do Sul","-72","-9",NA,NA,NA,NA,"04",NA,NA,NA,NA,NA
"23","2010-08-16 16:43:09-03","GH","HU-HERB","GH 00069381","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh","Isotype","H. H. Rusby","2084","1886",NA,"South America","Brazil",NA,"Falls of Madiera",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2084",NA,NA,NA,NA,NA,"undetermined",NA
"24","2014-09-23 10:58:55-03","G","G","G00223866","S","Plantae",NA,NA,"Myrtaceae","Eugenia","percincta","Eugenia percincta","McVaugh","ISOTYPUS of Eugenia percincta McVaugh","Rusby, H. H.","2084","1886",NA,"AMERIQUE DU SUD","Brazil",NA,NA,"-53.08972222","-10.77305556",NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=218744&base=img&lang=en","G00223866","G00223866","McVaugh, R.","1964","00",NA,"-53.08972222","-10.77305556",NA,NA,NA,NA,"01",NA,NA,NA,NA,"01"
