"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","typeStatus","recordNumber","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","identifiedBy","class"
"11","2021-03-15 16:37:00-03","NY","NYBG","873292","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B.Sm. & Read",NA,NA,NA,"H. S. Irwin","Brazil","Goiás","Cocalzinho de Goiás","50 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.6","-15.57",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954790' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"19129","1968","01","24","South America","800","800","sheet","NY00873292","NY00873292_01","R. C. Forzza",NA
"12","2021-03-15 16:37:00-03","NY","NYBG","873288","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B.Sm. & Read",NA,NA,NA,"D. R. Hunt","Brazil","Distrito Federal","Brasília","Calcareous zone, 25 km. N.E. of city.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954778' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"6307","1966","07","07","South America","900","1150","sheet","NY00873288","NY00873288_01","R. C. Forzza",NA
"13","2021-03-15 16:37:00-03","NY","NYBG","873352","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B.Sm. & Read",NA,NA,NA,"H. S. Irwin","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 25 km NE of Brasília","-47.75172","-15.62355",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955240' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"8052","1965","09","07","South America","1000","1000","sheet","NY00873352","NY00873352_01","R. C. Forzza",NA
"14","2021-03-15 16:37:00-03","NY","NYBG","873289","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B.Sm. & Read",NA,NA,NA,"H. S. Irwin","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 20 km N.E. of Brasília","-47.78471","-15.6555",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954782' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"14040","1966","03","17","South America","950","950","sheet","NY00873289","NY00873289_01","R. C. Forzza",NA
"15","2021-03-15 16:37:00-03","NY","NYBG","873353","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B.Sm. & Read",NA,NA,NA,"H. S. Irwin","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 25 km NE of Brasília","-47.75172","-15.62355",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955245' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"8052","1965","09","07","South America","1000","1000","sheet","NY00873353","NY00873353_01","R. C. Forzza",NA
"16","2020-12-21 16:19:25-03","MBM","MBM","267000","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B. Sm. & Read",NA,NA,NA,"Forzza, R.C.; et al.; et al.","Brazil","Distrito Federal",NA,"Sobradinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,"869","1998","05","26","Southern America",NA,NA,NA,"MBM267000","MBM267000","Forzza, R.C.",NA
"17","2020-12-21 16:19:25-03","MBM","MBM","270917","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B. Sm. & Read",NA,NA,NA,"Forzza, R.C.; et al.; et al.","Brazil","Goiás",NA,"3km de Vila Propício",NA,NA,NA,NA,NA,NA,NA,NA,NA,"917","1998","05","20","Southern America",NA,NA,NA,"MBM270917","MBM270917","Forzza, R.C.",NA
"18","2020-12-11 11:43:31-03","UFMG","BHCB","71326","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor",NA,NA,NA,NA,"Lombardi, JA; Salino, A; Mota, RC da; Viana, PL","Brasil","Minas Gerais","Januária","Distrito de Tejuco.",NA,"-15.559806",NA,"-15.559806",NA,NA,"PRENSADO EM ÁLCOOL. Mata seca com afloramentos de calcáreo. Erva no afloramento, folhas verdes, flores amareladas, frutos imaturos verde-arroxeados",NA,NA,"4781","2002","05","16","Southern America",NA,NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:43:31-03","UFMG","BHCB","184687","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor",NA,"2020","01","16","Mota, RC da; Vasconcelos, MF de","Brasil","Minas Gerais","Jequitaí","Curral de Pedras","-44.564167","-17.091944","-44.564167","-17.091944",NA,NA,"Projeto desenvolvido pelo Instituto Prístino!; Erva rupestre; cálice castanho-esverdeado, corola verde-acastanhada, filetes verde-claros, anteras e estigmas verdes.; Coletada em afloramento rochoso.",NA,NA,"4091","2016","09","23","Southern America","684","684",NA,"BHCB054314",NA,NA,NA
"20","2020-12-11 11:43:31-03","UFMG","BHCB","70405","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor",NA,NA,NA,NA,"Forzza, RC","Brasil","Minas Gerais","Santo Hipólito",NA,"-44.2230987548828","-18.2968997955322",NA,NA,"32313",NA,NA,"auto",NA,"s.n.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"21","2019-07-11 08:30:53-03","ICAUFMG","MCCA","2587","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm. & R.W.Read",NA,NA,NA,"MUNHOZ, E.J.M.; SOUZA, C.L.L.; MENDES, P.","Brasil","Minas Gerais","Montes Claros","Fazenda Pequi Porteirinha","-43.8616981506348","-16.7350006103516",NA,NA,"72568",NA,"Sobre afloramento, amontoado uma nas outras, em sol pleno","auto",NA,NA,"2016","08","05",NA,NA,NA,NA,"MCCA02701",NA,NA,NA
"22","2019-07-11 08:30:53-03","ICAUFMG","MCCA","2920","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm. & R.W.Read",NA,NA,NA,"MUNHOZ, E.J.M.; SOUZA, C.L.L.; MENDES, P.","Brasil","Minas Gerais","Montes Claros","Fazenda Pequi Porterinha","-43.8616981506348","-16.7350006103516",NA,NA,"72568",NA,"Sobre afloramento, distribuída de forma aglomerada.","auto",NA,"1","2016","08","05",NA,NA,NA,NA,"MCCA03045",NA,NA,NA
"23","2021-03-19 17:45:04-03","UFMA","BMA","2267","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm & Read",NA,NA,NA,"Fonseca, R.S. & Arruda, D.M.","Brasil","MG","Montes Claros","Afloramento calcário, próximo à Sombrita","-43.8616981506348","-16.7350006103516",NA,NA,"72568",NA,"Floresta Estacional Decidual. Afloramento calcário, área aberta, grande população com inflorescências amarronzadas de cerca de 1,5 m.","auto",NA,NA,"2019","02","10",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-19 17:45:04-03","UFMA","BMA","2266","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm & Read",NA,NA,NA,"Fonseca, R.S. & Arruda, D.M.","Brasil","MG","Montes Claros","Afloramento calcário, próximo à Sombrita","-43.8616981506348","-16.7350006103516",NA,NA,"72568",NA,"Afloramento calcário, área aberta, grande população. Inflorescência esverdeada com cerca de 1,5 m de altura.","auto",NA,NA,"2019","02","10",NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-11-24 14:10:18-02","UFLA","ESAL","13651","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm. & Read",NA,NA,NA,"Melo, PHA; Góis, L; Castro, RM","Brasil","Minas Gerais","Jaíba","APA Sabonetal, fazenda Agropeva, Cercadinho","-43.6744003295898","-15.3382997512817",NA,NA,"47016",NA,"erva; ; parda;","auto",NA,"2724",NA,NA,NA,NA,"6","6",NA,NA,NA,NA,NA
"26","2017-11-24 14:10:18-02","UFLA","ESAL","13643","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm. & Read",NA,NA,NA,"Melo, PHA; Góis, L; Castro, RM","Brasil","Minas Gerais","Jaíba","APA Sabonetal, fazenda Agropeva, vertente sul da Serra do Sabonetal","-43.6744003295898","-15.3382997512817",NA,NA,"47016",NA,"erva; ; ; nigrescente","auto",NA,"2699",NA,NA,NA,NA,"6","6",NA,NA,NA,NA,NA
"27","2019-06-10 10:10:27-03","FZB-BH","BHZB","8066","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor",NA,NA,NA,NA,"Ferreira Junior, C.A. et al.","Brasil","MG","Belo Horizonte","FZB-BH - Jardim Botânico - Área de visitação - Estufa de Caatinga","-43.937801361084","-19.9207992553711",NA,NA,"17082",NA,"Origem: Projeto Caatinga. Terrícola. Folha com espinhos enegrecidos de base esbranquiçada e área atropurpurea à castanho. Exsicata subdividida em 4 partes.Cultivado","auto",NA,NA,"2011","04","18",NA,NA,NA,NA,NA,NA,"Carlos Alberto F. Jr & Fernandes, M.G.C.",NA
"28","2019-06-10 10:10:27-03","FZB-BH","BHZB","3824","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor",NA,"2004","06","06","Andrade, I.R.","Brasil","MG","Belo Horizonte","FZB-BH - Jardim Botânico - Area de visitação","-43.937801361084","-19.9207992553711",NA,NA,"17082",NA,"Coletada em 1999 no município de Jaíba, Caatinga.Cultivado","auto",NA,NA,"2003","07","22",NA,NA,NA,NA,NA,NA,"L.M., Versieux",NA
"29","2020-09-12 05:00:02-03","US","US","2490379","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B. Sm. & Read",NA,NA,NA,"H. S. Irwin, R. Souza & R. R. Santos","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 25km N. E. of Brasília.","-47.9296989440918","-15.7797002792358",NA,NA,"70570","1",NA,"auto",NA,"8052","1965","9","7","South America - Neotropics","1000",NA,NA,"US01935065","US01935065_01",NA,"Monocotyledonae"
"30","2020-09-12 05:00:02-03","US","US","2570051","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B. Sm. & Read",NA,NA,NA,"L. Smith","Brazil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,"70570","1",NA,"auto",NA,"15038","1965","3","5","South America - Neotropics",NA,NA,NA,"US01935066","US01935066_01",NA,"Monocotyledonae"
"31","2020-09-12 05:00:02-03","US","US","2748511","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B. Sm. & Read",NA,NA,NA,"W. R. Anderson, P. A. Fryxell, S. R. Hill, R. G. P. Santos & R. Souza","Brazil","Minas Gerais",NA,"15 km by road W of Januaria on road to Serra das Araras.",NA,NA,NA,NA,NA,"1",NA,NA,"Holotype","9259","1973","4","20","South America - Neotropics","575","650",NA,"US00170201","US00170201_01",NA,"Monocotyledonae"
"32","2020-09-12 05:00:02-03","US","US","3439642","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B. Sm. & Read",NA,NA,NA,"R. C. Forzza, A. Marcato, A. Rapini & P. Fiaschi","Brazil","Minas Gerais","Santo Hipólito","Estrada entre Santo Hipólito eonjolos","-44.2230987548828","-18.2968997955322",NA,NA,"32313","1",NA,"auto",NA,"940","1998","8","14","South America - Neotropics",NA,NA,NA,"US01935063","US01935063_01",NA,"Monocotyledonae"
"33","2020-09-12 05:00:02-03","US","US","2748510","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B. Sm. & Read",NA,NA,NA,"W. R. Anderson, P. A. Fryxell, S. R. Hill, R. G. P. Santos & R. Souza","Brazil","Minas Gerais",NA,"15 km by road W of Januaria on road to Serra das Araras.",NA,NA,NA,NA,NA,"1",NA,NA,"Holotype","9259","1973","4","20","South America - Neotropics","575","650",NA,"US00170200","US00170200_01",NA,"Monocotyledonae"
"34","2020-09-12 05:00:02-03","US","US","2490382","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B. Sm. & Read",NA,NA,NA,"H. S. Irwin, R. Souza & R. R. Santos","Brazil","Distrito Federal",NA,"Chapada da Contagem, ca. 25 Km NE of Brasília",NA,NA,NA,NA,NA,"1",NA,NA,NA,"8052","1965","9","7","South America - Neotropics","1000",NA,NA,"US01935064","US01935064_01",NA,"Monocotyledonae"
"35","2020-09-12 05:00:02-03","US","US","3694354","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B. Sm. & Read",NA,NA,NA,"B. R. Silva, R. C. Forzza & R. Dias- Melo","Brazil","Bahia",NA,"Iuiu: Afloramento de calcario a 13 km de Iuiu em direcao a Canabrava, localidade de Jaculhi.","-43.5761","-14.5028","43 34 34 W","14 30 10 S",NA,"1",NA,NA,NA,"4069","2005","7","16","South America - Neotropics","660",NA,NA,"US01907584","US01907584_01","Forzza, R. C.","Monocotyledonae"
"36","2020-09-12 05:00:02-03","US","US","3694353","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B. Sm. & Read",NA,NA,NA,"B. R. Silva, R. C. Forzza & R. Dias- Melo","Brazil","Bahia",NA,"Iuiu: Afloramento de calcario a 13 km de Iuiu em direcao a Canabrava, localidade de Jaculhi.","-43.5761","-14.5028","43 34 34 W","14 30 10 S",NA,"1",NA,NA,NA,"4069","2005","7","16","South America - Neotropics","660",NA,NA,"US01907583","US01907583_01","Forzza, R. C.","Monocotyledonae"
"37","2020-09-12 05:00:02-03","US","US","2570050","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B. Sm. & Read",NA,NA,NA,"L. Smith","Brazil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,"70570","1",NA,"auto",NA,"15038","1965","3","5","South America - Neotropics",NA,NA,NA,"US01935067","US01935067_01",NA,"Monocotyledonae"
"38","2020-09-12 05:00:02-03","US","US","2436454","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B. Sm. & Read",NA,NA,NA,"J. M. Pires, N. T. Silva & R. Souza","Brazil","Distrito Federal",NA,"Zona do calcareo, sobres rochas calcareas. [Zone of calcareous rock, on calcareous rocks.]",NA,NA,NA,NA,NA,"1",NA,NA,"Holotype","9508","1963","4","28","South America - Neotropics",NA,NA,NA,"US00170186","US00170186_01",NA,"Monocotyledonae"
"39","2020-09-12 05:00:02-03","US","US","2436453","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B. Sm. & Read",NA,NA,NA,"J. M. Pires, N. T. Silva & R. Souza","Brazil","Distrito Federal",NA,"Zona do calcareo, sobres rochas calcareas. [Zone of calcareous rock, on calcareous rocks.]",NA,NA,NA,NA,NA,"1",NA,NA,"Holotype","9508","1963","4","28","South America - Neotropics",NA,NA,NA,"US00170185","US00170185_01",NA,"Monocotyledonae"
"40","2020-09-02 16:22:26-03","Cenargen","CEN","46557","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Smith & Read","2016","07",NA,"Rafaela Campostrini Forzza","Brasil","DF","BRASILIA","Pedreira da Contagem.","-47.9296989440918","-15.7797002792358","0.0","0.0","70570","1",NA,"auto",NA,"869","1998","05","26",NA,NA,NA,"Exsicatas","CEN00046557","CEN00046557","C. C. Araújo",NA
"41","2020-09-02 16:22:26-03","Cenargen","CEN","97401","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Smith & Read","2018","03",NA,"Anderson Cássio Sevilha","Brasil","GO","GUARANI DE GOIAS","Fazenda São José.","-46.698611","-13.826111","-46.698611","-13.826111",NA,"2","Bainha de coloração marrom, folhas verdes esbranquiçadas. Escopo vináceo/marrom.",NA,NA,"5222","2009","05","28",NA,"478","478","Exsicatas","CEN00097401","CEN00097401","M. G. C. Nogueira",NA
"42","2020-12-02 09:06:56-03","UNITINS","HUTO","3812","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B. Sm. & R.W. Read","2018","03","07","Oliveira, F.C.A.","Brasil","Tocantins","Novo Alegre","Fazenda Veneza. Bacia do Tocantins. Sub-bacia do rio Palma. Solo com afloramento calcário. Relevo íngreme","-46.5475","-12.905833","-46.5475","-12.905833",NA,NA,"Erva rupícula 1 m de altura. Frutos imaturos cor verde, maduros marrons. Comum; Floresta estacional decidual submontana",NA,NA,"1428","2009","06","30",NA,"533","533",NA,"HUTO003812","HUTO003812","Nogueira, M.",NA
"43","2019-10-07 09:20:36-03","UEFS","HUEFS","221619","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm. & R.W.Read",NA,NA,NA,"Forzza, R.C.","Brasil","Bahia","Iuiu","Afloramento de calcário a 13 Km de Iuiu em direção a Canabrava, localidade de Jaculhi.","-43.576111","-14.502778","43W34'34''","14S30'10''",NA,NA,NA,NA,NA,"4069","2005","07","16",NA,"660","660",NA,"HUEFS0221619","HUEFS0221619",NA,"Lilianae"
"44","2019-10-07 09:20:36-03","UEFS","HUEFS","233972","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm. & R.W.Read","2017",NA,NA,"Barbosa-Silva, R.G.","Brasil","Minas Gerais","Januária","Pandeiros. Afloramento de calcário.","-44.773889","-15.4775","44W46'26''","15S28'39''",NA,NA,NA,NA,NA,"633","2016","11","23",NA,"500","500",NA,"HUEFS0233972","HUEFS0233972","R.C.Forzza","Lilianae"
"45","2019-11-01 15:13:19-03","UnB","UB","10545","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Bromeliaceae","Encholirium","piresianum","Encholirium piresianum","L.B. Sm. & Read",NA,NA,NA,"Pires, JM; Silva, NT; Souza, R","Brasil","Distrito Federal",NA,"Zona do calcáreo. Sobre rochas calcáreas",NA,NA,NA,NA,NA,NA,"Inflorescência até 2 m. Com base das folhas em forma de cebola.; Arbusto; .",NA,"isotype","9508","1963","04","28","Southern America",NA,NA,NA,"UB0036743","UB0036743","Farzza, RC",NA
"46","2019-11-21 10:02:37-03","IBt","SP","276575","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm. & Read","2001",NA,NA,"Simão Bianchini, R","Brasil","Minas Gerais",NA,"Engenheiro Dolabella, morro de calcáreo ca. 1km da BR-135.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"249","1990","06","17",NA,NA,NA,NA,"SP051732","SP051732","Forzza, RC",NA
"47","2019-11-21 10:02:37-03","IBt","SP","356816","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","luxor","Encholirium luxor","L.B.Sm. & Read","2001",NA,NA,"Forzza, RC","Brasil","Minas Gerais","Bocaiúva","Engenheiro Dolabella.","-43.814998626709","-17.1077995300293",NA,NA,"90741",NA,NA,"auto",NA,"922","1998","07","10",NA,NA,NA,NA,"SP051731","SP051731","Forzza, RC",NA
