"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"23","2021-03-01 16:36:19-03","UNICAMP","UEC","28514","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.","Faria Júnior, JEQ","Ratter, JA; Fonseca, SF; Fonsêca Filho, J; Ribeiro, JF; Silva, JCS","s.n.","1976","08","24",NA,"Brazil","Distrito Federal","Brasília","Fazenda Água Limpa, University of Brasília field station, near Vargem Bonita ca. 18 Km SSW of Brasília TV tower.","-47.9296989440918","-15.7797002792358",NA,"Renewable shrub (i.e. producing new alrial parts every year) with climps of shosts to 70cm tall from a common underground system. Petal pale pink.; In cerrado (reserve area).",NA,NA,NA,"2009",NA,NA,NA,NA,NA,"70570","auto","09",NA,NA,NA,NA
"24","2021-03-01 16:36:19-03","UNICAMP","UEC","32930","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.",NA,"Heringer, EP","8618","1961","08","28",NA,"Brazil","Distrito Federal","Brasília","Horto do Guará","-47.9296989440918","-15.7797002792358",NA,"Cerrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA
"25","2019-08-16 08:40:15-03","UTFPR","HCF","1851","S","Plantae",NA,NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","M.G. Caxambu","C. Lima","78","2004","10","04",NA,"Brasil","DF","Brasília","Reserva Ecológica do IBGE. Local próximo","-47.868889","-15.951111",NA,"subarbusto heliófito, ca. 1,20 m alt.; folhas cartáceas; frutos imaturos de cor verde pilosos. Ocasional. Solo: latossolo.",NA,NA,NA,"2011","47°52'08 W","15°57'04 S","1100","1100",NA,NA,NA,"09","02",NA,NA,NA
"26","2021-03-21 19:37:35-03","UFC","EAC","44643","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","Loiola, M.I.B.","Ferreira, R.G.","54","2008","09","11","Southern America","Brasil","Ceará","São Gonçalo do Amarante","Pecém, Substrato arenoso","-38.9682998657227","-3.6072199344635",NA,"Arbusto, flor branca; Tabuleiro litorâneo","EAC0044643","EAC0044643",NA,"2013",NA,NA,NA,NA,NA,"39107","auto","05","07",NA,NA,NA
"27","2021-03-21 19:37:35-03","UFC","EAC","50192","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","Loiola, M.I.B.","Magalhães, H.","105","1999","10",NA,"Southern America","Brasil","Ceará","São Gonçalo do Amarante","Estação Ecológica do Pecém, Substrato arenoso.","-38.816667","-3.566667",NA,"Fanerófito.; Dunas litorâneas","EAC0050192","EAC0050192",NA,"2014","-38.816667","-3.566667",NA,NA,NA,NA,NA,"11",NA,NA,NA,NA
"28","2021-03-21 19:37:35-03","UFC","EAC","49950","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","Loiola, M.I.B.","Magalhães, H.","92","1999","10",NA,"Southern America","Brasil","Ceará","São Gonçalo do Amarante","Estação Ecológica do Pecém, Substrato arenoso.","-38.816667","-3.566667",NA,"Fanerófito.; Dunas litorâneas","EAC0049950","EAC0049950",NA,"2014","-38.816667","-3.566667",NA,NA,NA,NA,NA,"11",NA,NA,NA,NA
"29","2021-03-21 19:37:35-03","UFC","EAC","60581","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","Sampaio, V.S.","Pinheiro, L.F.; Arruda, M.C.; Lucena, E.M.P.","s.n.","2016","11","18","Southern America","Brasil","Ceará","São Gonçalo do Amarante","Jardim Botânico de São Gonçalo do Amarante.","-38.888306","-3.574333",NA,"Arbusto; flor branca; fruto piloso.","EAC0060581","EAC0060581",NA,"2017","-38.888306","-3.574333",NA,NA,NA,NA,NA,"09","12",NA,NA,NA
"30","2021-03-21 19:37:35-03","UFC","EAC","61521","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","Sampaio, V.S.","Sampaio, V.S.; Lucena, E.M.P.; Pinheiro, L.F.","214","2017","10","26","Southern America","Brasil","Ceará","São Gonçalo do Amarante","Jardim Botânico de São Gonçalo do Amarante","-38.888333","-3.574417",NA,"Arbusto, flor alva.; Restinga.","EAC0061521","EAC0061521",NA,"2017","-38.888333","-3.574417","40","40",NA,NA,NA,"10","26",NA,NA,NA
"31","2021-03-21 19:37:35-03","UFC","EAC","41473","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","Loiola, M.I.B.","Moro, M.F.; Menezes, M.O.T.; Souza, S.","306","2007","11","10","Southern America","Brasil","Ceará","São Gonçalo do Amarante","Pecém","-38.9682998657227","-3.6072199344635",NA,"Duna semi-fixa","EAC0041473","EAC0041473",NA,"2014",NA,NA,NA,NA,NA,"39107","auto","11",NA,NA,NA,NA
"32","2021-03-21 19:37:35-03","UFC","EAC","22615","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","Loiola, M.I.B.","Araújo, F.S.","1031","1994","12","02","Southern America","Brasil","Ceará","Ubajara","Jaburuna/Sul, Planalto da Ibiapaba.","-40.9211006164551","-3.85443997383118",NA,"Arbusto, 2m, flor branca, fruto amarelo.; Carrasco","EAC0022615","EAC0022615",NA,"2014",NA,NA,"830","830",NA,"27385","auto","11",NA,NA,NA,NA
"33","2021-03-21 19:37:35-03","UFC","EAC","22633","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","Loiola, M.I.B.","Araújo, F.S.","784","1994","05","26","Southern America","Brasil","Ceará","Ubajara","Jaburuna/Sul, Planalto da Ibiapaba.","-40.9211006164551","-3.85443997383118",NA,"Árvore.; Carrasco","EAC0022633","EAC0022633",NA,"2014",NA,NA,"830","830",NA,"27385","auto","11",NA,NA,NA,NA
"34","2021-03-21 19:37:35-03","UFC","EAC","22652","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","Loiola, M.I.B.","Araújo, F.S.; Bezerra Neto, M.I.","1014","1994","10","21","Southern America","Brasil","Ceará","Ubajara","Jaburuna/Sul, Planalto da Ibiapaba.","-40.9211006164551","-3.85443997383118",NA,"Arbusto, flor branca.; Carrasco","EAC0022652","EAC0022652",NA,"2014",NA,NA,"830","830",NA,"27385","auto","11",NA,NA,NA,NA
"35","2021-03-21 19:37:35-03","UFC","EAC","32855","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","Loiola, M.I.B.","Silveira, E.R.","s.n.","2003","09","03","Southern America","Brasil","Maranhão","Tutoia","MA 230 - estrada p/ Tutoia","-42.2743988037109","-2.76194000244141",NA,"Arbusto, flor branca perfumada.; Margem de estrada","EAC0032855","EAC0032855",NA,"2013",NA,NA,NA,NA,NA,"56398","auto","05","07",NA,NA,NA
"36","2020-12-21 16:36:34-03","MBM","MBM","113150","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.","Sobral, M.","Equipe do JBB","752","1986","10","04","Southern America","Brazil","Distrito Federal",NA,"Jardim Botânico de Brasília",NA,NA,NA,NA,"MBM113150","MBM113150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:36:34-03","MBM","MBM","27531","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.","Sobral, M.","Hatschbach, G.","32360","1973","08","26","Southern America","Brazil","Mato Grosso","Camapuã","Capão Redondo",NA,NA,NA,NA,"MBM027531","MBM027531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:36:43-03","MBM","MBM","64946","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","Sobral, M.","Imaguire, N.","472","1970","09","07","Southern America","Brazil","Rio de Janeiro","Itatiaia","Estrada para Prateleiras","-44.5633010864258","-22.4960994720459",NA,NA,"MBM064946","MBM064946",NA,NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA
"39","2020-12-21 16:36:43-03","MBM","MBM","31345","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","sellowiana","Eugenia sellowiana","DC.","Sobral, M.","Hatschbach, G.","33649","1974","07","11","Southern America","Brazil","Mato Grosso","Alto Araguaia","Ribeirão Claro","-53.2153015136719","-17.3146991729736",NA,NA,"MBM031345","MBM031345",NA,NA,NA,NA,NA,NA,NA,"100273","auto",NA,NA,NA,NA,NA
"40","2015-11-07 06:38:02-02","MNHN","RECOLNAT_MNHN_P","P01902525","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.",NA,"Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil",NA,NA,"Province de Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902525' target='other'> <mi>dwc_moreinfo</mi></a>","P01902525","P01902525_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type","B1 1731",NA
"41","2015-11-07 06:38:10-02","MNHN","RECOLNAT_MNHN_P","P01902526","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.",NA,"Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil",NA,NA,"Province de Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902526' target='other'> <mi>dwc_moreinfo</mi></a>","P01902526","P01902526_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","B1 1731",NA
"42","2015-11-07 06:38:33-02","MNHN","RECOLNAT_MNHN_P","P01902527","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.",NA,"Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil",NA,NA,"Province de Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902527' target='other'> <mi>dwc_moreinfo</mi></a>","P01902527","P01902527_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","B1 1731",NA
"43","2019-01-22 15:42:38-02","MNHN","RECOLNAT_MNHN_P","P01902528","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","lutescens","Eugenia lutescens","Cambess.",NA,"Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil",NA,NA,"Province de Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902528' target='other'> <mi>dwc_moreinfo</mi></a>","P01902528","P01902528_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","B1 1731",NA
"44","2015-09-05 04:51:02-03","MNHN","RECOLNAT_MNHN_P","P04658711","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","regeliana","Eugenia regeliana","O.Berg",NA,"Riedel",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04658711' target='other'> <mi>dwc_moreinfo</mi></a>","P04658711","P04658711_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2015-09-04 22:54:05-03","MNHN","RECOLNAT_MNHN_P","P05322201","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","stephani","Eugenia stephani","O.Berg",NA,"Riedel",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05322201' target='other'> <mi>dwc_moreinfo</mi></a>","P05322201","P05322201_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2015-09-04 22:54:05-03","MNHN","RECOLNAT_MNHN_P","P05322202","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","stephani","Eugenia stephani","O.Berg",NA,"Glaziou, A.",NA,"1892","4","26",NA,"Brasil","Minas Gerais",NA,"Rio das Pedras, au Valée",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05322202' target='other'> <mi>dwc_moreinfo</mi></a>","P05322202","P05322202_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19367",NA
"47","2015-09-04 22:54:05-03","MNHN","RECOLNAT_MNHN_P","P05322203","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","stephani","Eugenia stephani","O.Berg",NA,"Glaziou, A.",NA,"1892","4","26",NA,"Brasil","Minas Gerais",NA,"Rio das Pedras, au Valée",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05322203' target='other'> <mi>dwc_moreinfo</mi></a>","P05322203","P05322203_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19387",NA
"48","2015-09-04 22:54:06-03","MNHN","RECOLNAT_MNHN_P","P05322204","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","stephani","Eugenia stephani","O.Berg",NA,"Regnell, A.F.",NA,"1861","1","12",NA,"Brasil",NA,NA,"Perto da Ponte de Pedra",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05322204' target='other'> <mi>dwc_moreinfo</mi></a>","P05322204","P05322204_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III 560",NA
"49","2015-11-07 07:15:24-02","MNHN","RECOLNAT_MNHN_P","P01902759","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","stephani","Eugenia stephani genuina","O.Berg",NA,"Riedel",NA,"1834","8",NA,NA,"Brésil",NA,NA,"Brasilia: Chapadão de St. Marcos",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902759' target='other'> <mi>dwc_moreinfo</mi></a>","P01902759","P01902759_01","genuina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","2499",NA
