"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","00469026","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","H. H. van der Werff","E. P. Heringer","15975","1975","09","29","Brazil","Minas Gerais","Dionísio","-42.7767","-19.8431",NA,NA,"NY00469026","NY00469026_01",NA,NA,NA,"Parque Estadual do Rio Doce",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421671' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","469020","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.",NA,"A. C. Cervi","s.n.","1986","10","10","Brazil","Paraná","Foz do Iguaçu","-54.5881","-25.5481",NA,NA,"NY00469020","NY00469020_01",NA,NA,NA,"Parque Nacional do Iguaçu",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421696' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","469019","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","J. C. Lindeman","J. C. Lindeman","2474","1966","09","16","Brazil","Paraná","Imbituva","-50.6042","-25.23",NA,NA,"NY00469019","NY00469019_01",NA,NA,NA,"2km E. of Imbituva",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421681' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","533232","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","S. F. de Andrade","A. O. S. Vieira","30471","1999","10","17","Brazil","Paraná","Tibagi","-50.41093","-24.515889",NA,NA,"NY00533232","NY00533232_01",NA,NA,NA,"Cidade: Tibagi. Local: Vila Rural Santa Rosa.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421669' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00918085","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","R. C. Barneby; C. K. Allen","P. Clausen","28",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY00918085","NY00918085_01",NA,NA,NA,"Brésil (Minas Geraes)",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985909' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","355446","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora obovata","Meisn.",NA,"F. Sellow","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00355446","NY00355446_01",NA,NA,NA,"Brasilia",NA,NA,"Com. a. Hb. Reg. Berol. Com. am. DC. 1862. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132599' target='other'> <mi>dwc_moreinfo</mi></a>","possible type","South America","sheet",NA,"Magnoliophyta","Laurales","obovata",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","469021","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","J. G. Rohwer","L. R. Landrum","3943","1981","12","02","Brazil","Paraná","Palmeira","-49.83","-25.42",NA,NA,"NY00469021","NY00469021_01",NA,NA,NA,"Fazenda Santa Rita, ca. 65km W of Curitiba on rd to Ponta Grossa",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421682' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1182025","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","R. C. Barneby; C. K. Allen","P. Clausen","217","1838",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY01182025","NY01182025_01",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391349' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","469016","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","R. C. Barneby; C. K. Allen","J. E. Leite","150","1940",NA,NA,"Brazil","Rio Grande do Sul","Sao Leopoldo","-51.143791","-29.75136",NA,NA,"NY00469016","NY00469016_01",NA,NA,NA,"Sao Leopoldo",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421668' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","469009","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","L. B. Smith","G. G. Hatschbach","2473","1951","08","15","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347",NA,NA,"NY00469009","NY00469009_01",NA,NA,NA,"Vossoroca",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421684' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","469007","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","B. Rambo","E. Henz","35309","1946","10","10","Brazil","Rio Grande do Sul","Sao Leopoldo","-51.143791","-29.75136",NA,NA,"NY00469007","NY00469007_01",NA,NA,NA,"S. Leopoldo",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421673' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","355444","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora barbellata","Meisn.",NA,"J. B. E. Pohl","3718",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00355444","NY00355444_01",NA,NA,NA,"Villariccá.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76403' target='other'> <mi>dwc_moreinfo</mi></a>","isotype","South America","sheet",NA,"Magnoliophyta","Laurales","barbellata",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","355445","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora longifolia","Meisn.",NA,"P. Clausen","166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY00355445","NY00355445_01",NA,NA,NA,"[filed at NY under S. Amer.]",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413829' target='other'> <mi>dwc_moreinfo</mi></a>","possible type","South America","sheet",NA,"Magnoliophyta","Laurales","longifolia",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","469001","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","F. C. Hoehne","F. C. Hoehne","28112","1931","08","04","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,"NY00469001","NY00469001_01",NA,NA,NA,"Jardim Botanico",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421683' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","469025","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","J. G. Rohwer","R. Reitz","2763","1948","12","24","Brazil","Santa Catarina","Bom Retiro","-49.4892","-27.7972",NA,NA,"NY00469025","NY00469025_01",NA,NA,NA,"Riosinho","1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421689' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","469004","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","I. de Vattimo","L. B. Smith","9607","1956","12","29","Brazil","Santa Catarina","Chapecó","-52.6181","-27.0967",NA,NA,"NY00469004","NY00469004_01",NA,NA,NA,"Near Campo Eré","900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421678' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00918084","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","C. C. Mez","P. Clausen","217","1838",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY00918084","NY00918084_01",NA,NA,NA,"Brésil (Minas Geraes)",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985906' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00918086","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","C. C. Mez","P. Clausen","217","1838",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY00918086","NY00918086_01",NA,NA,NA,"Brésil (Minas Geraes)",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985911' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","469024","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","J. G. Rohwer","P. K. H. Dusén","11042","1910","12","31","Brazil","Paraná","Imbituva","-50.6042","-25.23",NA,NA,"NY00469024","NY00469024_01",NA,NA,NA,"Imbituva",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421694' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","469023","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","M. Sobral","M. Sobral","2350","1983","10","12","Brazil","Rio Grande do Sul","Camaqua","-51.834028","-30.916916",NA,NA,"NY00469023","NY00469023_01",NA,NA,NA,"Pessegueiro, Camaqua",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421665' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","02679549","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.",NA,"M. C. W. Vieira","1813","1991","08","28","Brazil","Minas Gerais","Alfenas","-45.9472007751465","-21.42919921875",NA,NA,"NY02679549","NY02679549_01",NA,NA,NA,"Fazenda do Porto.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3181000' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,"32044","auto",NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","469005","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","I. de Vattimo","L. B. Smith","12485","1964","10","13","Brazil","Santa Catarina","Faxinal dos Guedes","-52.43","-26.85",NA,NA,"NY00469005","NY00469005_01",NA,NA,NA,"Forest by road to Xanveré","700","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421679' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","02423599","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.",NA,"C. T. Blum","10-034","2010","08","15","Brazil","Paraná","Tijucas do Sul","-49.0736","-25.8242",NA,NA,"NY02423599","NY02423599_01",NA,NA,NA,"Remanescentes florestais marginais à represa de Vossoroca","850",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669360' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","469012","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","G. G. Hatschbach","G. G. Hatschbach","35187","1975","10","05","Brazil","Paraná","Ponta Grossa","-50.1617","-25.095",NA,NA,"NY00469012","NY00469012_01",NA,NA,NA,"Anfiteatro",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421687' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","459999","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","I. de Vattimo","R. Reitz","7291","1958","10","16","Brazil","Santa Catarina","Rio do Sul","-49.563988","-27.247405",NA,NA,"NY00459999","NY00459999_01",NA,NA,NA,"Alto Matador","800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421676' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","469013","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","G. G. Hatschbach","G. G. Hatschbach","40636","1977","12","16","Brazil","Paraná","Palmeira","-50.0064","-25.4294",NA,NA,"NY00469013","NY00469013_01",NA,NA,NA,"Agarai",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421688' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","469018","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","R. C. Barneby; C. K. Allen","J. Ball","s.n.","1882",NA,NA,"Brazil","São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,"NY00469018","NY00469018_01",NA,NA,NA,"Ex apricis Brasiliae juxta Sao Paolo,","732","732","ineunte Julio <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421693' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","469010","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","G. G. Hatschbach","G. G. Hatschbach","22375","1969","10","08","Brazil","Paraná","Ipiranga","-50.5842","-25.0242",NA,NA,"NY00469010","NY00469010_01",NA,NA,NA,"Coatis",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421685' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","469017","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","R. C. Barneby; C. K. Allen","R. Reiss","24A","1934","09","20","Brazil","Paraná","Ipiranga","-50.5842","-25.0242",NA,NA,"NY00469017","NY00469017_01",NA,NA,NA,"Ypiranga",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421667' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","469008","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","P. K. H. Dusén","P. K. H. Dusén","6854","1908","10","10","Brazil","Paraná","Contenda","-49.5344","-25.6758",NA,NA,"NY00469008","NY00469008_01",NA,NA,NA,"Serrinha",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421666' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","469028","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.",NA,"K. Kubitzki","8146","1981","02","21","Brazil","São Paulo","Cananéia","-47.9197","-25.0103",NA,NA,"NY00469028","NY00469028_01",NA,NA,NA,"Ilha do Cardoso, Morro detras do laboratorio",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421692' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","469022","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","H. H. van der Werff","L. R. Landrum","3943","1981","12","02","Brazil","Paraná","Palmeira","-49.83","-25.42",NA,NA,"NY00469022","NY00469022_01",NA,NA,NA,"Fazenda Santa Rita, ca. 65km W of Curitiba on rd to Ponta Grossa",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421670' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","469029","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","J. G. Rohwer","K. Kubitzki","8116","1981","02","11","Brazil","São Paulo","Cunha","-45.052474","-23.263965",NA,NA,"NY00469029","NY00469029_01",NA,NA,NA,"Reserva Florestal Estadual de Cunha",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421690' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","1016823","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","J. G. Rohwer","J. M. Silva","3084","1999","10","04","Brazil","Paraná","Tunas do Paraná","-49.0856","-24.9744",NA,NA,"NY01016823","NY01016823_01",NA,NA,NA,"Pacas.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193488' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
