"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","imagecode","typeStatus","class","coordinatePrecision","geoFlag","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","sex"
"11","2019-08-27 13:33:47-03","IAP","PACA-AGP","50407","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","B. Irgang","1973",NA,NA,"Sehnem, A.","1950","01","19","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,"PACA050407","Magnoliophyta","Umbellales","4271",NA,"1000","1000",NA,"VULNERÁVEL&nf;fl.; in declivio. Habitat: in rupestribus dumetosis Fenofase: flor",NA,NA,"Magnoliatae","55856","auto",NA,NA,NA,NA,NA
"12","2019-08-27 13:33:47-03","IAP","PACA-AGP","53873","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Diober Lucas","2015","11","26","Rambo, B.","1953","02","03","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,"PACA053873","Magnoliophyta","Umbellales",NA,NA,NA,NA,NA,"fl. Habitat: in rupestribus humidis dumetosis Fenofase: flor",NA,NA,"Magnoliatae","55856","auto",NA,NA,NA,NA,NA
"13","2019-08-27 13:33:47-03","IAP","PACA-AGP","36762","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Diober Lucas","2015","11","26","Rambo, B.","1948","02",NA,"Brasil","RS","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,"PACA036762","Magnoliophyta","Umbellales",NA,NA,NA,NA,NA,"fl. fr. Habitat: in rupestribus dumetosis Fenofase: flor e fruto",NA,NA,"Magnoliatae","30776","auto",NA,NA,NA,NA,NA
"14","2019-08-27 13:33:47-03","IAP","PACA-AGP","51094","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","B. Irgang","1973",NA,NA,"Sehnem, A.","1951","02","24","Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,"PACA051094","Magnoliophyta","Umbellales","5672",NA,NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in rupestribus dumetosis Fenofase: flor",NA,NA,"Magnoliatae","76715","auto",NA,NA,NA,NA,NA
"15","2019-01-17 11:23:55-02","PUCRS","MPUC","15088","S","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","N.I. Matzenbacher","1976","01","01",NA,"1976","01","30","Brasil","SC","Timbó do Sul",".",NA,NA,NA,NA,NA,NA,"Apiales",NA,"South America",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,"1050","1050","2",NA,NA
"16","2020-10-14 09:58:13-03","FURB","FURB","29730","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Sobral, M","2010","08","15","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2010","05","17","Brasil","Santa Catarina","Siderópolis","Serrinha.","-49.59","-28.62","-49.5900000","-28.6200000","FURB00499",NA,NA,"2427",NA,"479","479",NA,"Coleta Extra IFFSC (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; mata ciliar Habito: erva terrícola; Fruto seco;","FURB00499",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-10-14 09:58:13-03","FURB","FURB","32908","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Lucas, D.","2016","08","02","Verdi, M.","2010","12","10","Brasil","Santa Catarina","Bom Jardim da Serra","Morro da Igreja / PARNA São Joaquim.","-49.4916666","-28.1205556","-49.4916666","-28.1205556","FURB12809",NA,NA,"5857",NA,"1727","1727",NA,NA,"FURB12809",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-10-14 09:58:13-03","FURB","FURB","51100","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Funez, L.A.","2016",NA,NA,"Funez, L.A.; Hassemer, G.","2016","02","10","Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.3677778","-28.055","-49.3677778","-28.0550000","FURB51100",NA,NA,"5254",NA,"1228","1228",NA,NA,"FURB51100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-10-14 09:58:13-03","FURB","FURB","65116","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance",NA,NA,NA,NA,"Funez, L.A.; Ribeiro-Nardes, W., Costa-Rezende, D.H., Kassner-Filho, A., Bones, F., Kossmann, T.","2019","01","25","Brasil","Santa Catarina","Urubici","Santa Bárbara, Parcela TS-2500 do Peld-PPBio. Parque Nacional de São Joaquim","-49.6277778","-28.1563889","-49.6277778","-28.1563889","FURB65116",NA,NA,"8676",NA,"1640","1640",NA,"Flores branco-esverdeadas Habitat: Matinha nebular Habito: Erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-24 16:38:34-03","FURB","FURB","67136","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance",NA,NA,NA,NA,"Funez, L.A.; Ribeiro-Nardes, W., Comin, M.","2019","12","17","Brasil","Santa Catarina","Urubici","Santa Bárbara, trilha da goiabinha. Parque Nacional de São Joaquim","-49.6291667","-28.1438889","-49.6291667","-28.1438889","FURB67136",NA,NA,"9721",NA,"1364","1364",NA,"Flores brancas Habitat: Floresta nebular, na borda do um riacho Habito: Erva","FURB67136",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-08 08:48:56-03","FURB","FURB","58264","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Funez, L.A.","2018","03","16","Funez, L.A.; Zermiani, A.E.","2018","03","16","Brasil","Santa Catarina","Bom Jardim da Serra","Serra do Rio do Rastro.","-49.624698638916","-28.3369007110596",NA,NA,"FURB58264",NA,NA,"7452",NA,NA,NA,NA,"Flores alvas Habitat: Aparados da Serra Habito: Erva","FURB58264",NA,NA,"32577","auto",NA,NA,NA,NA,NA
"22","2020-12-21 16:12:13-03","MBM","MBM","173097","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Pedersen, T.M.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","1994","11","23","Brazil","Santa Catarina","Praia Grande","Rod. BR-450, Serra do Faxinal","-49.9502983093262","-29.1966991424561",NA,NA,"MBM173097",NA,NA,"61249","Southern America",NA,NA,NA,NA,"MBM173097",NA,NA,"21549","auto",NA,NA,NA,NA,NA
"23","2020-12-21 16:12:13-03","MBM","MBM","390897","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Cordeiro, J.; Barboza, E.","2012",NA,NA,"Dunaiski Jr.; A.","2011","05","04","Brazil","Santa Catarina","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,"MBM390897",NA,NA,"4353","Southern America","1800","1800",NA,"Planta herbácea.; Em solo hidromófico.","MBM390897",NA,NA,"30102","auto",NA,NA,NA,NA,NA
"24","2020-12-21 16:12:13-03","MBM","MBM","110879","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Pedersen, T.M.",NA,NA,NA,"Pedersen, T.M.","1984","03","10","Brazil","Santa Catarina","Lauro Müller","Lauro Muller","-49.3967018127441","-28.3927993774414",NA,NA,"MBM110879",NA,NA,"13801","Southern America",NA,NA,NA,NA,"MBM110879",NA,NA,"15992","auto",NA,NA,NA,NA,NA
"25","2020-12-21 16:12:13-03","MBM","MBM","143657","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Guimarães, D.D.; Hatschbach, M.; Guimarães, D.D.","1991","04","08","Brazil","Santa Catarina","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,"MBM143657",NA,NA,"55343","Southern America",NA,NA,NA,NA,"MBM143657",NA,NA,"30102","auto",NA,NA,NA,NA,NA
"26","2020-12-21 16:12:13-03","MBM","MBM","173095","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Pedersen, T.M.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","1995","02","16","Brazil","Santa Catarina","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,"MBM173095",NA,NA,"61660","Southern America",NA,NA,NA,NA,"MBM173095",NA,NA,"30102","auto",NA,NA,NA,NA,NA
"27","2015-10-07 02:05:55-03","MNHN","RECOLNAT_MNHN_P","P00130428","PreservedSpecimen",NA,"Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Wörz",NA,NA,NA,"Smith, L.B.|Reitz, Pe.R.","1957","1","25","Brésil",NA,NA,"Santa Catarina : Mun. Bom Retiro : Bog, Fazenda Campo dos Padres, Campo dos Padres",NA,NA,NA,NA,"P00130428",NA,NA,NA,NA,"1650",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00130428' target='other'> <mi>dwc_moreinfo</mi></a>","P00130428_01 P00130428_02","isotype",NA,NA,NA,NA,NA,NA,"10459",NA
"28","2015-09-04 04:46:50-03","MNHN","RECOLNAT_MNHN_P","P03260015","PreservedSpecimen",NA,"Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance",NA,NA,NA,NA,"Ule, E.","1891","1","1","Brasil","Santa Catarina",NA,"Na margem di Capivone acima da Serra Goral.",NA,NA,NA,NA,"P03260015",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03260015' target='other'> <mi>dwc_moreinfo</mi></a>","P03260015_01",NA,NA,NA,NA,NA,NA,NA,"1761",NA
"29","2015-09-04 04:46:50-03","MNHN","RECOLNAT_MNHN_P","P03260016","PreservedSpecimen",NA,"Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance",NA,NA,NA,NA,"Weddell, H.A.","1843","11","1","Brasil","Minas Gerais",NA,"Brésil (Minas-Gerais).",NA,NA,NA,NA,"P03260016",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03260016' target='other'> <mi>dwc_moreinfo</mi></a>","P03260016_01",NA,NA,NA,NA,NA,NA,NA,"16900",NA
"30","2021-02-11 17:17:50-03","UFPR","UPCB","76815","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Cardozo, A.L.","2017","05","10","Matos, F.B.","2012","01","20","Brasil","Santa Catarina","Grão-Pará","Serra do Corvo Branco, na rodovia que liga Urubici a Grão-Pará. Floresta Ombrófila Densa","-49.35","-28.05","-49.350","-28.050","UPCB0034720",NA,NA,"2019",NA,NA,NA,NA,"Erva rupícola em locais expostos da Serra. Folhas verdes com base vinácea. Flores não-vistosas. Material em sílica..","UPCB0034720",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-11 17:17:50-03","UFPR","UPCB","76795","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Cardozo, A.L.","2017","05","10","Matos, F.B.","2012","01","20","Brasil","Santa Catarina","Urubici","Morro da Igreja. Estepe gramíneo-lenhosa","-49.474","-28.126","-49.474","-28.126","UPCB0034719",NA,NA,"2015",NA,NA,NA,NA,"Erva terrestre, crescendo no topo do morro. Folhas verdes com a base vinácea. Flores não-vistosas. Material em sílica..","UPCB0034719",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2018-06-22 05:25:00-03","MO","MOBOT","2454447","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance",NA,NA,NA,NA,"Lyman B. Smith|Pe. Raulino Reitz","1957","1","25","Brazil","Santa Catarina",NA,"Bom Retiro. Fazenda Campo dos Padres",NA,NA,NA,NA,NA,NA,NA,"Smith 10459","South America","1650.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2008-05-27 22:02:00-03","MO","MOBOT","3195149","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","T.M. Pedersen",NA,NA,NA,"Troels M. Pedersen","1979","12","15","Brazil","Santa Catarina",NA,"Mun. Timbé do Sul: Serra do Pinheirinho. Steep slopes with open woodland & lush herbaceous vegetation.",NA,NA,NA,NA,NA,NA,NA,"Pedersen 12714","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2009-07-10 17:58:00-03","MO","MOBOT","3351414","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Tmp",NA,NA,NA,"Troels M. Pedersen","1984",NA,NA,"Brazil","Santa Catarina",NA,"Lauro Muller: Serra do Rio do Rastro. Rocky ground, crevices and ravines.",NA,NA,NA,NA,NA,NA,NA,"Pedersen 13801","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2009-07-10 17:58:00-03","MO","MOBOT","3351533","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","TMP, 83",NA,NA,NA,"Troels M. Pedersen","1979",NA,NA,"Brazil","Santa Catarina",NA,"Timbé do Sul: Serra do Pinheirinho. Steep slopes with open woodland & lush herbaceous vegetation.",NA,NA,NA,NA,NA,NA,NA,"Pedersen 12714","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2014-09-29 21:26:00-03","MO","MOBOT","3351901","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","B. Frgagn",NA,NA,NA,"A. Sehnem","1950","7","10","Brazil",NA,NA,"RS - Serrada Rounba, Bon Jesus in declivio campi.",NA,NA,NA,NA,NA,NA,NA,"Sehnem 4271","South America","1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"37","2021-01-26 14:12:05-03","CPACT","ECT","5773","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","D.B.Lucas","2020","08","17","G.Heiden; J.R.V.Iganci | S.Bernardson | H.Nomoto","2015","02","02","Brasil","Rio Grande do Sul","São José dos Ausentes","Serra da Rocinha. BR 285, próximo da divisa entre São José dos Ausentes/RS e Timbé do Sul/SC. Campo de altitude subtropical (campos de cima da serra), afloramento basáltico.","-49.953056","-28.799722","49º57'11''W","28º47'59''S","ECT0005773","Embryophyta",NA,"2271",NA,"1213","1213",NA,NA,"ECT0005773",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-09-12 05:00:02-03","US","US","2267946","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance",NA,NA,NA,NA,"L. B. Smith & R. Reitz","1957","1","25","Brazil","Santa Catarina","Bom Retiro","Fazenda Campo dos Padres.","-49.489200592041","-27.7971992492676",NA,NA,"US00127040",NA,"Apiales","10459","South America","1650","1650",NA,NA,"US00127040_01","Isotype","Dicotyledonae","35974","auto",NA,NA,"1",NA,NA
"39","2020-09-12 05:00:02-03","US","US","2267927","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance",NA,NA,NA,NA,"L. Smith & R. Reitz","1957","1","17","Brazil","Santa Catarina",NA,"Mun. Orleães: headwalls (aparados da serra), source of Rio do Rastro.",NA,NA,NA,NA,"US03077004",NA,"Apiales","10228","South America","1200",NA,NA,NA,"US03077004_01",NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"40","2021-02-23 13:21:48-03","MN","R-TIPOS","229757","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Lucas, D.","2016","11","03","Smith, L.B. ; Klein, R.M.","1957","01","25","Brasil","Santa Catarina","Bom Retiro","Fazenda Campo dos Padres","-49.489200592041","-27.7971992492676",NA,NA,"R000229757",NA,NA,"10549",NA,"1650","1650",NA,NA,"R000229757_001","Isotypus",NA,"35974","auto",NA,NA,NA,NA,NA
"41","2020-08-20 14:54:33-03","UFSC","FLOR","44400","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Lucas, D.","2016","06","02","Verdi, M.","2010","12","10","Brasil","Santa Catarina","Bom Jardim da Serra","Morro da Igreja/ PARNA São Joaquim.","-49.491667","-28.120556","49º29'30''W","28º7'14''S","FLOR0044400",NA,"Apiales","5857",NA,"1727","1727",NA,"erva terrícola","FLOR0044400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-08-20 14:54:33-03","UFSC","FLOR","47712","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Lucas, D.","2016","06","02","Trevisan, R.; Venturi, S.","2012","12","01","Brasil","Santa Catarina","Urubici","Morro da Igreja, próximo ao portão do CINDACTA (divisa dos Municípios de Urubici, Bom Jardim da Serra e Orleans).","-49.480556","-28.1275","49º28'50''W","28º7'39''S","FLOR0047712",NA,"Apiales","1277",NA,"1784","1784",NA,"Planta faz parte do Projeto Reflora. Possui amostra em sílica para estudos moleculares","FLOR0047712_01 FLOR0047712_02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-08-20 14:54:33-03","UFSC","FLOR","52106","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Lucas, D.","2016","06","02","Zanin, A.; Santos, B.H.","2014","03","01","Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.368333","-28.054444","49º22'6''W","28º3'16''S","FLOR0052106",NA,"Apiales","1647",NA,"1151","1151",NA,NA,"FLOR0052106",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-08-20 14:54:33-03","UFSC","FLOR","58944","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","P. Fiaschi","2014","12",NA,"Fiaschi, P.; Trevisan, R. & Alcantara, S.","2014","12","12","Brasil","Santa Catarina","Orleans","Parque Nacional de São Joaquim, Estrada para o Morro da Igreja. Trilha para a Pedra Furada.","-49.471667","-28.129167","49º28'18''W","28º7'45''S","FLOR0058944",NA,"Apiales","4447",NA,"1740","1740",NA,"Erva com roseta basal, em orla de mata nebular. Capítulos com brácteas esverdeadas, flores alvo-esverdeadasPossui amostra em sílica para estudos moleculares","FLOR0058944",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-08-20 14:54:33-03","UFSC","FLOR","58945","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","P. Fiaschi","2014","12",NA,"Fiaschi, P.; Trevisan, R. & Alcantara, S.","2014","12","12","Brasil","Santa Catarina","Orleans","Parque Nacional de São Joaquim, Estrada para o Morro da Igreja. Trilha para a Pedra Furada.","-49.471667","-28.129167","49º28'18''W","28º7'45''S","FLOR0058945",NA,"Apiales","4448",NA,"1740","1740",NA,"Erva com roseta basal, comum no interior da mata, ao longo da trilha. Capítulos com brácteas verdes, corola alva, estames com filete alvo e anteras azul-arroxeadasPossui amostra em sílica para estudos moleculares","FLOR0058945_1 FLOR0058945_2 FLOR0058945_3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-08-20 14:54:33-03","UFSC","FLOR","16956","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Lucas, D.","2016","06","02","Falkenberg, D.B.; Berry, P.E. & Brako, L.","1987","01","11","Brasil","Rio Grande do Sul","Bom Jesus","Beira da estrada BR 285, após a subida, no topo da Serra da Rocinha.","-50.4166984558105","-28.6678009033203",NA,NA,"FLOR0016956",NA,"Apiales","4190",NA,"1280","1280",NA,"Ao lado de DBF 4189.","FLOR0016956_01 FLOR0016956_02",NA,NA,"55856","auto",NA,NA,NA,NA,NA
"47","2020-08-20 14:54:33-03","UFSC","FLOR","16957","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Lucas, D.","2016","06","02","Falkenberg, D.B.; Berry, P.E. & Brako, L.","1987","01","11","Brasil","Rio Grande do Sul","Bom Jesus","Beira da estrada BR 285, após a subida, no topo da Serra da Rocinha.","-50.4166984558105","-28.6678009033203",NA,NA,"FLOR0016957",NA,"Apiales","4189",NA,"1280","1280",NA,"Ao lado de DBF 4190.","FLOR0016957_01 FLOR0016957_02",NA,NA,"55856","auto",NA,NA,NA,NA,NA
