"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","class","fieldNumber"
"11","2015-09-04 01:58:14-03","MNHN","RECOLNAT_MNHN_P","P03170817","PreservedSpecimen",NA,NA,NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi",NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,"hb","donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03170817' target='other'> <mi>dwc_moreinfo</mi></a>","P03170817","P03170817_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:42:51-03","UFMG","BHCB","114393","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","Mota, NFO; Viana, PL; Silva, LVC; Garcia, LC; Maciel, GM; Silva, DF","1125","2007","12","08","Southern America","Brasil","Pará","Floresta Nacional de Carajás, S11A.","-50.453056","-6.348611",NA,"Mata baixa.","BHCB021357",NA,NA,"Canaã dos Carajás","666","666",NA,NA,NA,NA,NA,"-50.453056","-6.348611",NA,NA,NA
"13","2020-12-11 11:42:51-03","UFMG","BHCB","130822","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","Giorni, VT; Viana, PL; Versieux, LM; Garcia, LC; Silva, LVC; Silva, DF","113","2009","03","13","Southern America","Brasil","Pará","Floresta Nacional de Carajás, Serra do Tarzan.","-50.170833","-6.330556",NA,NA,"BHCB021358",NA,NA,"Canaã dos Carajás","750","750",NA,NA,NA,NA,NA,"-50.170833","-6.330556",NA,NA,NA
"14","2020-12-11 11:42:51-03","UFMG","BHCB","50783","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2009-01-22 08:53:00-02","MO","MOBOT","1337155","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","A.S.L. da Silva","Silva 1940","1984","3","20","South America","Brazil","Pará","Marabá, Serra dos Carajás. N-4, próximo a transicão para a mata. Campo rupestre, solo de canga e na mata de terra firme.",NA,NA,NA,NA,NA,NA,"J.A. Lombardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"16","2009-07-31 17:16:00-03","MO","MOBOT","3086510","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","Howard S. Irwin|H. Maxwell|Dieter C. Wasshausen","Irwin 21176","1968","3","14","South America","Brazil","Goiás","Cut-over sandy cerrado ca. 5km N. of Araguaína, Goiás.",NA,NA,NA,NA,NA,NA,"J.A. Lombardi.",NA,"300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2009-01-22 10:36:00-02","MO","MOBOT","3086625","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","Douglas C. Daly","Daly 1776","1981","12","6","South America","Brazil","Pará","Serra dos Carajás, 20-25 km NW of Serra Norte mining camp.","-50.4333333","-5.9166667",NA,NA,NA,NA,"J.A. Lombardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"18","2020-08-31 09:17:41-03","INPA","INPA","136381","S","Plantae","Dicotyledon Rosids","Viotales","Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","Silva, ASL da","1940","1984","03","20","Southern America","Brasil","Pará","Serra dos Carajás, Serra dos Carajás. N-4, próximo a transição para a mata. Campo rupestre, solo de canga e na mata de terra firme.","-50.4","-5.8",NA,NA,"INPA0136381","INPA0136381 INPA0136381_e INPA0136381_nd","Lombardi, JA","Marabá",NA,NA,NA,"1996",NA,NA,NA,"-50.4","-5.8",NA,NA,NA
"19","2020-08-31 09:17:41-03","INPA","INPA","117256","S","Plantae","Dicotyledon Rosids","Viotales","Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","Daly, DC","1776","1981","12","06","Southern America","Brasil","Pará","Serra dos Carajás, 20-25 km NW of serra Norte mining camp. Semi-deciduous forest and scrub.Common locally at edge of frest and within.","-50.433333","-5.916667",NA,NA,"INPA0117256","INPA0117256 INPA0117256_e INPA0117256_nd",NA,"Serra dos Carajás",NA,NA,NA,NA,NA,NA,NA,"-50.433333","-5.916667",NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","3287056","PreservedSpecimen","Plantae",NA,"Rhamnales","Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","D. C. Daly, R. Callejas, M. G. Silva, E. L. Taylor, C. S. Rosário & M. R. Santos","1776","1981","12","6","South America - Neotropics","Brazil","Pará","Serra dos Carajas, 20 - 25 km NW of Serra Norte mining camp.","-50.43","-5.92",NA,NA,"US01124804","US01124804_01 US01124804_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"21","2019-06-11 13:42:49-03","F","FMNH-SEEDPLANTS","V0389516F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata",NA,"D. C. Daly","1776","1981","12","6","South America","Brazil","Pará",NA,"-53","-4",NA,NA,"V0389516F","V0389516F_01 V0389516F_02","RRC ID Flag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","1776"
