"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","typeStatus","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"12","2016-09-29 17:18:00-03","NY","NYBG","568788","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","B. D. Sucre","1969","10","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568788","6163",NA,"Magnoliophyta","Poales",NA,"M. Alves","Rio de Janeiro","Estado da Guanabara, baixada alagadiça e de mangue de Guaratiba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","777678","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","R. M. Harley","1980","04","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777678","21957",NA,"Magnoliophyta","Poales","(L.) Roem. & Schult.","D. A. Simpson","Bahia","Chapadao Ocidental da Bahia, 37 km N from Correntina, on the Inhaúmas road. F3","-44.78","-13.12","580","580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-29 17:18:00-03","NY","NYBG","622983","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","W. Hoehne","1933","04","13","South America","Brazil","sheet",NA,"Comp. mat. S.B.I. Biol. N° 295 do herb. W. Hoehne coll. et det. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622983","s.n.",NA,"Magnoliophyta","Poales",NA,NA,"São Paulo","C. Jardim S. Paulo.","-46.698324","-23.591462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","636897","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","J. A. Steyermark","1977","10","18","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636897","114913",NA,"Magnoliophyta","Poales","(L.) Roem. & Schult.","S. González; A. A. Reznicek","Delta Amacuro","Depto. Pedernales (boundary with Depto. Tucupita): sand beach bordering open sandy mud flats and wet depressions, mouth of Caño Guiniquina, between Punta Araguabisi and Punta Baja, at Barra Guiniquina.","-60.97","9.5","50","50","Pedernales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","622986","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","A. F. M. Glaziou","1877","11","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622986","9337",NA,"Magnoliophyta","Poales","(L.) Roem. & Schult.","H. K. Svenson","Rio de Janeiro","Fazenda da Sta Cruz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 17:18:00-03","NY","NYBG","622985","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Martii Herbar. Florae Brasil.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622985","229",NA,"Magnoliophyta","Poales",NA,"H. K. Svenson",NA,"Prope Sebastianopolis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","622982","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","D. S. D. de Araújo","1976","02","11","South America","Brazil","sheet",NA,"FEEMA Departamento de Conservaçao Ambiental Tijuca Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685979' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622982","988",NA,"Magnoliophyta","Poales","(L.) Roem. & Schult.","T. M. Koyama","Rio de Janeiro","A beira da Lagoa de Marapendi, Reserva Biológica.","-43.398867","-23.010762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-06 11:42:09-03","UFPI-MRV","HDELTA","868","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Lima, A.A.","2012","09","10",NA,"Brasil",NA,NA,"Inflorescencia espigueta","HDELTA000868","38",NA,NA,NA,"(L.) Roem. & Schult.","Andrade, I. M. de; Nascimento, M. G. P.","Piauí","Lagoa da Prata","-41.766878","-2.924861",NA,NA,"Parnaíba",NA,"2018","08","02","41°46'00,76''W","02°55'29,50''S",NA,NA,NA,NA,NA,NA,NA
"20","2021-01-06 11:42:09-03","UFPI-MRV","HDELTA","3120","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Santos, E.S.","2014","07","02",NA,"Brasil",NA,NA,NA,"HDELTA003120","11",NA,NA,NA,"(L.) Roem. & Schult.","Ivanilza, I.M. de; Santos, E.S.","Piauí","Goiabeira","-41.8213996887207","-2.8583300113678",NA,NA,"Ilha Grande",NA,"2018","08","02",NA,NA,"13228","auto",NA,NA,NA,NA,NA
"21","2021-01-06 11:42:09-03","UFPI-MRV","HDELTA","338","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Nascimento","2010","05","05",NA,"Brasil",NA,NA,NA,"HDELTA000338","117",NA,NA,NA,"(L.) Roem. & Schult.","Andrade, I. M. de; Nascimento, M. G. P.","Piauí","Morro Branco","-41.8213996887207","-2.8583300113678",NA,NA,"Ilha Grande",NA,"2018","08","02",NA,NA,"13228","auto",NA,NA,NA,NA,NA
"22","2021-01-06 11:42:09-03","UFPI-MRV","HDELTA","96","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Brito, A. S.","2012","01","19",NA,"Brasil",NA,NA,"Erva de 1,0 a 1,2m., caule triangular, flor espiga","HDELTA000096","18",NA,NA,NA,"(L.) Roem. & Schult.","Andrade, I. M. de; Silva, M. S.","Piauí","Tatus","-41.8213996887207","-2.8583300113678",NA,NA,"Ilha Grande",NA,"2018","08","02",NA,NA,"13228","auto",NA,NA,NA,NA,NA
"23","2021-01-06 11:42:09-03","UFPI-MRV","HDELTA","911","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Lima, A.A.","2013","12","23",NA,"Brasil",NA,NA,"Inflorescencia tipo espigueta","HDELTA000911","192",NA,NA,NA,"(L.) Roem. & Schult.","Andrade, I. M. de; Nascimento, M. G. P.","Piauí","Lagoa da Prata","-41.7766990661621","-2.90472006797791",NA,NA,"Parnaíba",NA,"2018","08","02",NA,NA,"25571","auto",NA,NA,NA,NA,NA
"24","2021-01-06 11:42:09-03","UFPI-MRV","HDELTA","878","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Lima, A.A.","2013","11","27",NA,"Brasil",NA,NA,"Inflorescencia do tipo espigueta","HDELTA000878","188",NA,NA,NA,"(L.) Roem. & Schult.","Andrade, I. M. de; Nascimento, M. G. P.","Piauí","Lagoa do Bebedouro","-41.7766990661621","-2.90472006797791",NA,NA,"Parnaíba",NA,"2018","08","02",NA,NA,"25571","auto",NA,NA,NA,NA,NA
"25","2020-06-29 11:30:01-03","UFRJ","RFA","34062","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","F. A. Esteves","2005",NA,NA,NA,"Brasil",NA,NA,NA,"RFA51612","3",NA,NA,NA,"(L.) Roem. & Schult.","A. F. P. Machado; M. D. M. Vianna","Pará","Carajás, Lagoa N5 Sul",NA,NA,NA,NA,"Pará",NA,"2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-06-29 11:30:01-03","UFRJ","RFA","38527","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","N. C. Machado; T. U. P. Konno","2010","08","26",NA,"Brasil",NA,NA,NA,"RFA33522","124",NA,NA,NA,"(L.) Roem. & Schult.",NA,"Rio de Janeiro","PARNA Restinga de Jurubatiba. Próximo a lagoa Piri-piri. Poça 29 (fundo da lagoa)","-41.241944","-22.103611",NA,NA,"Quissamã",NA,NA,NA,NA,"41º14'31''W","22º6'13''S",NA,NA,NA,NA,NA,NA,NA
"27","2020-06-29 11:30:01-03","UFRJ","RFA","38585","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","N. C. Machado; T. U. P. Konno","2010","05","21",NA,"Brasil",NA,NA,"Erva com colmos triangulares. Inflorescência em espiga","RFA33890","183",NA,NA,NA,"(L.) Roem. & Schult.",NA,"Rio de Janeiro","PARNA Restinga de Jurubatiba, próximo a lagoa Piri-piri. Poça 05 (ex. linda)","-41.241944","-22.103611",NA,NA,"Quissamã",NA,NA,NA,NA,"41º14'31''W","22º6'13''S",NA,NA,NA,NA,NA,NA,NA
"28","2020-06-29 11:30:01-03","UFRJ","RFA","38614","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","N. C. Machado; T. U. P. Konno","2010","05","21",NA,"Brasil",NA,NA,"Ervas de colmos triangulares","RFA33889","209",NA,NA,NA,"(L.) Roem. & Schult.",NA,"Rio de Janeiro","PARNA Restinga de Jurubatiba. Próximo a lagoa Garças. Poça 27 (fundo da lagoa)","-41.241944","-22.103611",NA,NA,"Quissamã",NA,NA,NA,NA,"41º14'31''W","22º6'13''S",NA,NA,NA,NA,NA,NA,NA
"29","2020-06-29 11:30:01-03","UFRJ","RFA","40565","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Konno, T.U.P.; Machado, N.C.","2011","05","28",NA,"Brasil",NA,NA,NA,"RFA32997","1465",NA,NA,NA,"(L.) Roem. & Schult.",NA,"Rio de Janeiro","PARNA Restinga de Jurubatiba.","-41.241944","-22.103611",NA,NA,"Quissamã",NA,NA,NA,NA,"41º14'31''W","22º6'13''S",NA,NA,NA,NA,NA,NA,NA
"30","2020-11-13 09:19:32-03","UFRJ","RFA","21472","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","C.M. Rizzini","1986","01","16",NA,"Brasil",NA,NA,"Erva de ca. 1,0 m de altura, inflorescência terminal de cor castanho","RFA51707","308",NA,NA,NA,"(L.) Roem. & Schult.","A. Gil","Rio de Janeiro","Ilha da Marambaia, Praia Grande","-43.2075004577637","-22.9027996063232",NA,NA,"Rio de Janeiro",NA,"2001","07","05",NA,NA,"57442","auto",NA,NA,NA,NA,NA
"31","2020-11-13 09:19:32-03","UFRJ","RFA","12902","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","G. Pabst","1963","03","17",NA,"Brasil",NA,NA,NA,"RFA39970","7346 A",NA,NA,NA,"(L.) Roem. & Schult.","A.A.M. Barros","Rio de Janeiro","Restinga de Marapendi, as margens da Lagoa de Marapendi","-43.2075004577637","-22.9027996063232",NA,NA,"Rio de Janeiro",NA,"2008","08","11",NA,NA,"57442","auto",NA,NA,NA,NA,NA
"32","2021-03-30 12:52:01-03","EAO","IAN","183652","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Costa Neto, SV","2005","06","19","Southern America","Brasil",NA,NA,NA,"IAN183652","1877",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.",NA,"Amapá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:52:01-03","EAO","IAN","107314","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Lanjouw, J; Lindeman, JC","1949","05","03","Southern America","Suriname",NA,NA,NA,"IAN107314","3097a",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.","Lindeman, JC",NA,"S.side of Bigie-pan.","-56.5","3.6",NA,NA,NA,NA,NA,NA,NA,"-56.5","3.6",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:52:01-03","EAO","IAN","193872","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Santos, LO; Mehlig, U; Silva, RM; Oliveira, YS","2007","06","05","Southern America","Brasil",NA,NA,"Erva","IAN193872","349",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.","Rocha, AES","Pará","Ajuruteua, dunas e campos ao noroeste da vila Bonifácio. Campo oeste da porção central do 3° cordão de dunas","-46.621389","-0.083611",NA,NA,"Bragança",NA,"2008","02",NA,"-46.621389","-0.083611",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:52:01-03","EAO","IAN","39505","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Bartlett, HH","1941","06","26","Southern America","Haiti",NA,NA,NA,"IAN039505","17480",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.",NA,NA,"Shallow pond and swamp area between. Terrier Rouge and Fort Liberte, northeastern alluviel plain.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:52:01-03","EAO","IAN","43782","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Killip, EP; Cuatrecasas, J","1944","06","05",NA,"Colômbia",NA,NA,NA,"IAN043782","38826",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.","Svenson, HK",NA,"Marsh at edge of mangroves, near highway . El Valle: El Forge, near Buenaventura. Near sea level.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:52:01-03","EAO","IAN","55614","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Black, GA; Lobato, LCB","1950","04","22","Southern America","Brasil",NA,NA,"Caule triangular.","IAN055614","9551",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.","Eiten, LT","Amapá","Entre as fazendas Mongubas e Carmo. Dentro d'água.",NA,NA,NA,NA,NA,NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:52:01-03","EAO","IAN","158389","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Dantas, M","1982","03","18","Southern America","Brasil",NA,NA,"Capim. Fruto marrom.","IAN158389","921",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.","Cordeiro, MR","Amapá","BR-156 a 3 km do Rio Araguari, após Ferreira Gomes. Várzea. Solo argiloso.","-51.0663986206055","-0.366667002439499",NA,NA,"Macapá",NA,NA,NA,NA,NA,NA,"225229","auto",NA,NA,NA,NA,NA
"39","2021-03-30 12:52:01-03","EAO","IAN","56669","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Black, GA; Ledoux, PVD","1950","08","23","Southern America","Brasil",NA,NA,NA,"IAN056669","10107",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.",NA,"Pará","Rio Guamá; arrozal do IAN. Em uma mancha.","-48.5043983459473","-1.4558299779892",NA,NA,"Belém",NA,NA,NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA
"40","2021-03-30 12:52:01-03","EAO","IAN","184515","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Rodrigues, LKM","2009","03","24","Southern America","Brasil",NA,NA,"Planta herbácea. Inflorescência terminal.; Restinga.","IAN184515","58",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.","Maciel-Silva, JF","Pará","Crispim. Encontrada em solo arenoso, próximo à curso d'água.","-47.6996994018555","-0.717499971389771",NA,NA,"Marapanim",NA,"2015","10","15",NA,NA,"39607","auto",NA,NA,NA,NA,NA
"41","2021-03-30 12:52:01-03","EAO","IAN","184482","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Rodrigues, LKM","2008","04","26","Southern America","Brasil",NA,NA,"Herbáceas. Caules trígonos, presença de bainhas.; Restinga.","IAN184482","10",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.","Maciel-Silva, JF","Pará","Crispim. Encontrada em solo arenoso, próximo à curso d'água.","-47.6996994018555","-0.717499971389771",NA,NA,"Marapanim",NA,"2015","10","11",NA,NA,"39607","auto",NA,NA,NA,NA,NA
"42","2021-03-30 12:52:01-03","EAO","IAN","184524","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Rodrigues, LKM","2009","03","24","Southern America","Brasil",NA,NA,"Erva com inflorescências terminais e escapo anguloso.; Restinga.","IAN184524","72",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.","Maciel-Silva, JF","Pará","Crispim. Encontrada em solo arenoso, próximo à curso d'água.","-47.6996994018555","-0.717499971389771",NA,NA,"Marapanim",NA,"2015","10","14",NA,NA,"39607","auto",NA,NA,NA,NA,NA
"43","2021-03-30 12:52:01-03","EAO","IAN","158812","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Dantas, M; Nivaldo, S","1982","04","23","Southern America","Brasil",NA,NA,"Capim.","IAN158812","1127",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.","Cordeiro, MR","Pará","Rio Anabijú. Fazenda Monte Alegre. Campo de várzea.","-49.2167015075684","-1.52832996845245",NA,NA,"Muaná",NA,NA,NA,NA,NA,NA,"72451","auto",NA,NA,NA,NA,NA
"44","2021-03-30 12:52:01-03","EAO","IAN","192567","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Gil, A; Viana, PL; Bastos, MNC; Mota, NFO","2013","09","21","Southern America","Brasil",NA,NA,"Muitas inflorescências maduras, caule trígono.","IAN192567","372",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.","Maciel-Silva, JF","Pará","Cuiarana. Ilha de Itarana. Em brejo temporário na restinga aberta.","-47.3560981750488","-0.613610982894897",NA,NA,"Salinópolis",NA,"2015","10","19",NA,NA,"23190","auto",NA,NA,NA,NA,NA
"45","2021-03-30 12:52:01-03","EAO","IAN","192547","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Gil, A; Viana, PL; Bastos, MNC; Mota, NFO","2013","09","20","Southern America","Brasil",NA,NA,"Inflorescência bem madura.","IAN192547","320",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.","Maciel-Silva, JF","Pará","Cuiarana, transecto II, Projeto Itarana/ MPEG. Cuiarana, transecto II, Projeto Itarana/ MPEG. Apicum, borda da mangue. Solo humoso-arenoso, local alagado.","-47.3560981750488","-0.613610982894897",NA,NA,"Salinópolis",NA,"2015","10","14",NA,NA,"23190","auto",NA,NA,NA,NA,NA
"46","2021-03-30 12:52:01-03","EAO","IAN","54491","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Black, GA; Lobato, JJ","1950","03","16","Southern America","Brasil",NA,NA,"Junco de 3 quinas; caule triquetro; espiga acastanhada.","IAN054491","9190",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.",NA,"Pará","Entre as fazendas Desterro e Cajueiro; mondongo.","-48.5233001708984","-0.716666996479034",NA,NA,"Soure",NA,NA,NA,NA,NA,NA,"69952","auto",NA,NA,NA,NA,NA
"47","2021-03-30 12:52:01-03","EAO","IAN","84471","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Moraes, JC de","1954","07","15","Southern America","Brasil",NA,NA,"Herbácea.","IAN084471","1147",NA,"Monocotiledônea",NA,"(L.) Roem. & Schult.","Barros","Pernambuco","Lugares pantanosos.","-35.2277984619141","-7.74167013168335",NA,NA,"Nazaré da Mata",NA,"1958",NA,NA,NA,NA,"9456","auto",NA,NA,NA,NA,NA
