"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","identifiedBy","relatedCatalogItem","yearIdentified","typeStatus","fieldNumber","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","individualCount","maximumElevationInMeters"
"12","2020-12-21 16:33:05-03","MBM","MBM","9759","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach, G.","20628","1968","12","19","Southern America","Brazil","Paraná","Serra de Araraquara",NA,NA,"MBM009759","MBM009759","Guaratuba","-48.5746994018555","-25.8827991485596","41937","auto",NA,"Cristóbal, C.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:33:05-03","MBM","MBM","60603","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach, G.","41947","1979","01","24","Southern America","Brazil","Paraná","Rio Bromado",NA,NA,"MBM060603","MBM060603","Morretes","-48.834400177002","-25.476900100708","30514","auto",NA,"Cristóbal, C.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-11-06 16:46:21-02","MNHN","RECOLNAT_MNHN_P","P02286193","PreservedSpecimen",NA,NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Krapovickas, A.|Cristobal, C.L.|Marunak, V.",NA,"1973","1","31",NA,"Brésil",NA,"Santa Catarina: Mun. Garuva, Garuva-BR-468","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02286193' target='other'> <mi>dwc_moreinfo</mi></a>","P02286193","P02286193_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","23074",NA,NA,NA,NA,NA,NA,NA
"15","2020-10-01 14:23:12-03","JBB","HEPH","5710","S","Plantae","Dicotyledon","Malvales","Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach, G; Zelma, FJ","50359","1986","03","07","Southern America","Brasil","Paraná","America de Baixo",NA,NA,NA,NA,"Morretes","-48.834400177002","-25.476900100708","30514","auto",NA,"Hatschbach, G",NA,"1986",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-11 17:21:52-03","UFPR","UPCB","29656","PreservedSpecimen","Plantae",NA,NA,"Sterculiaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristobal","Athayde, S.F.","165","1994","11","01",NA,"Brasil","Paraná","Morro do Quitumbê ou do Costão",NA,"Trepadeira, flor branca. Local perturbado, base do morro..",NA,NA,"Guaraqueçaba","-48.333333","-25.283333",NA,NA,NA,"Guimarães, O.A.",NA,"1996",NA,NA,"11","-48.333333","-25.283333",NA,NA,NA,NA
"17","2021-02-11 17:21:52-03","UFPR","UPCB","14711","PreservedSpecimen","Plantae",NA,NA,"Sterculiaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristobal","Hatschbach, G.","50359","1986","03","07",NA,"Brasil","Paraná","América de Baixo",NA,"Trepadeira, apoiante, flor alvescente, ápice vinoso. Orla mata pluvial..",NA,NA,"Morretes","-48.834400177002","-25.476900100708","30514","auto",NA,"Hatschbach, G.",NA,"1986",NA,NA,"01",NA,NA,"01",NA,NA,NA
"18","2016-11-15 05:15:00-02","MO","MOBOT","1896030","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Antonio C. Krapovickas|Carmen L. Cristóbal|Victor Maruñak","Krapovickas 23074","1973","1","31","South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,"250.00000000",NA,NA
"19","2016-11-15 05:15:00-02","MO","MOBOT","2479313","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Antonio C. Krapovickas|et al.","Krapovickas 23074","1973","1","31","South America","Brazil","Santa Catarina","Garuva. BR-468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cristóbal, C. L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2009-12-04 15:48:00-02","MO","MOBOT","3053518","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Apparicio P. Duarte|Gert G. Hatschbach","Duarte 5326","1960",NA,NA,"South America","Brazil","Paraná","Garuva, Mun. de Guaratuba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2010-06-17 11:38:00-03","MO","MOBOT","3053532","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Per Dusén","Dusén 8262","1909","3","18","South America","Brazil","Paraná","Morretes, in fruticeto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C.L. Cristobal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"22","2020-06-22 14:18:42-03","UNESP-IBILCE","SJRP","17555","PreservedSpecimen","Plantae","Tracheophyta","Malvales","Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Gandolfi, S. & Colleti Jr, R. & Cruz, A.T.",NA,NA,NA,NA,"América do Sul","Brasil","São Paulo",NA,NA,NA,NA,NA,"São Pedro","-47.938889","-22.5375",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,"-47.938889","-22.5375",NA,NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","2776124","PreservedSpecimen","Plantae",NA,"Malvales","Sterculiaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","A. Krapovickas","23074","1973","1","31","South America","Brazil","Santa Catarina","Garuva.",NA,NA,"US00102136","US00102136_01",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,"1",NA
"24","2020-09-12 05:00:02-03","US","US","2405234","PreservedSpecimen","Plantae",NA,"Malvales","Sterculiaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","G. Hatschbach","9771","1963","3","10","South America - Neotropics","Brazil","Paraná","Pedra Branca de Araraquara",NA,NA,"US01872730","US01872730_01 US01872730_02","Guaratuba","-48.5746994018555","-25.8827991485596","41937","auto","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","1","150"
"25","2020-09-12 05:00:02-03","US","US","2169688","PreservedSpecimen","Plantae",NA,"Malvales","Sterculiaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","G. Hatschbach","3479","1956","12","23","South America - Neotropics","Brazil","Paraná","Garuva. Da mata das margens do Rio São João",NA,NA,"US01872729","US01872729_01 US01872729_02","Guaratuba","-48.5746994018555","-25.8827991485596","41937","auto","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"26","2021-03-25 13:52:31-03","UNIVILLE","JOI","4207","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","F.C.S. Vieira","1615","2006","01","20",NA,"Brasil","Santa Catarina","Rio do Cristo.",NA,"; HABITO: liana; TIPO VEGETACIONAL: Floresta Ombrófila Densa de Terras Baixas","JOI004207",NA,"Garuva","-48.8549995422363","-26.0266990661621","22441","auto",NA,"F.C.S. Vieira",NA,"2006",NA,NA,"12",NA,NA,"08","30",NA,"30"
"27","2021-03-25 13:52:31-03","UNIVILLE","JOI","2169","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Björn Mehlhaff","150","2006","09","08",NA,"Brasil","Santa Catarina","Vila da Glória, Trilha da Captação (SAMAE).",NA,NA,"JOI002169",NA,"São Francisco do Sul","-48.6380996704102","-26.2432994842529","23627","auto",NA,"Jotham Ziffer Berger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-06-11 13:43:52-03","F","FMNH-SEEDPLANTS","V0389825F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sterculiaceae","Byttneria","implacabilis","Byttneria implacabilis",NA,"P. Dusén","8262","1909","3","18","South America","Brazil","Paraná",NA,NA,NA,"V0389825F","V0389825F_01 V0389825F_02",NA,"-51","-24",NA,NA,"Dicotyledoneae","RRC ID Flag",NA,NA,NA,"8262",NA,NA,NA,NA,NA,NA,NA
"29","2020-11-12 17:01:24-03","UEL","FUEL","7257","PreservedSpecimen","Plantae","Tracheophyta","Malvales","Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach, G","50359","1986","03","07",NA,"Brasil","Paraná","América de Baixo",NA,NA,NA,NA,"Morretes","-48.834400177002","-25.476900100708","30514","auto",NA,"Hatschbach, G",NA,"1986",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-01 15:03:24-03","UnB","UB","173508","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach, G; Zolma, FJ","50359","1986","03","07","Southern America","Brasil","Paraná ","America de Baixo.",NA,"Trepadeira apoiante; flores alvescentes, ápice vinoso.; Orla mata pluvial.",NA,NA,"Morretes","-48.834400177002","-25.476900100708","30514","auto",NA,"Hatschbach, G",NA,"1986",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-08 12:43:18-03","UFRGS","ICN","096742","S","Plantae","Dicotyledon",NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach, G; Zelma, FJ","50359","1986","03","07","América do Sul","Brasil","PR","América de Baixo",NA,"Doação MBM; Trepadeira apoiante; flores alvescentes, ápice vinoso; Orla da mata pluvial",NA,NA,"Morretes","-48.834400177002","-25.476900100708","30514","auto",NA,"Hatschbach, G",NA,"1986",NA,NA,NA,NA,NA,NA,NA,NA,NA
