"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","scientificNameAuthorship","typeStatus","recordNumber","continentOcean","coordinatePrecision","barcode","geoFlag","class","order","occurrenceRemarks","imagecode","year","month","day","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","monthIdentified","relationshipType","relatedCatalogItem","dayIdentified"
"21","2019-10-07 09:17:35-03","UEFS","HUEFS","222652","PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","F.D.Santos","Faria, J.E.Q.","Brasil","Bahia","Abaíra","Chapada Diamantina, estrada para Catolés.","-41.742778","-13.277222","41W44'34''","13S16'38''","Angiospermae","Dammer",NA,"4397",NA,NA,"HUEFS0222652",NA,"Asteranae","Solanales","Cerrado rupestre.","HUEFS0222652 HUEFS0222652_e1","2015","04","20","2018","1064","1064",NA,NA,"11",NA,NA,NA
"22","2019-09-04 18:37:19-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii",NA,"A. Glaziou","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Spermatophyta",NA,"Type [status unknown]","19675","South America",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-09-04 18:18:08-03","F","FMNH-SEEDPLANTS","V0054794F","PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii",NA,"A. Glaziou","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Spermatophyta",NA,"Isotype","19675","South America",NA,"V0054794F",NA,"Dicotyledoneae",NA,NA,"V0054794F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-07-23 12:03:42-03","CEPLAC","CEPEC","150728","PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","R. Asprino","Fernandes, M.H.","Brasil","Bahia","ENCRUZILHADA","Conglomerado BA_1352-1-10-0","-40.860556","-15.66","40W51'38","15S39'36",NA,NA,NA,"67",NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,"2014","11","09",NA,NA,NA,NA,NA,NA,NA,"27/1/2017",NA
"25","2019-08-08 09:59:54-03","UFU","HUFU","78725","S","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","Matallana, C.A.","Romero, R.; Lopes A.G.; Barbosa, B. .D. & Queiroz, L N L","Brasil","Minas Gerais","Diamantina","Estrada Diamantina - Conselheiro da Mata, MG 220, KM 180, próximo a estrada","-43.721667","-18.276667","-43.721667","-18.276667",NA,"Dammer",NA,"9031",NA,NA,"HUFU00076421",NA,NA,NA,"Subarbusto, ca. 0,4m, Cálice verde; corola azulada.; Campo rupestre/ afloramento rochoso",NA,"2019","04","23","2019","1355","1355",NA,NA,"07",NA,NA,"09"
"26","2019-08-08 09:59:54-03","UFU","HUFU","79260","S","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","Godoi, M.V.S.; Lopes, A.G.","Dias, A.G.; Cantarim, G.F.; Oliveira Filho, L.A. & Silva, R.P.","Brasil","Minas Gerais","Diamantina","Estrada Diamantina - Conselheiro Mata, MG 220, Km 180, próximo à estrada","-43.754444","-18.292222","-43.754444","-18.292222",NA,"Dammer",NA,"275",NA,NA,"HUFU00076753",NA,NA,NA,"Arbusto 1m com corola azul; Afloramento rochoso. Campo rupestre",NA,"2019","04","25","2019","1355","1355",NA,NA,"07",NA,NA,NA
"27","2021-02-23 13:22:06-03","MN","R-TIPOS","12194","PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii",NA,"Glaziou, A.F.M.","Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,"Dammer","Isotypus","19675",NA,"101169","R000012194","auto",NA,NA,NA,"R000012194_001","1892","04","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-23 13:22:06-03","MN","R-TIPOS","12194a","PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii",NA,"Glaziou, A.F.M.","Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,"Dammer","Isotypus","19675",NA,"101169","R000012194a","auto",NA,NA,NA,"R000012194a_001","1892","04","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-06-04 11:02:55-03","IBt","SP","271959","S","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii",NA,"Harley, RM","Brasil","Bahia","Barra da Estiva",NA,"-41.266667","-13.5","-41.266667","-13.5",NA,"Dammer",NA,"26901",NA,NA,NA,NA,NA,NA,NA,NA,"1988","11","17",NA,"870","870",NA,NA,NA,NA,NA,NA
"30","2021-01-11 11:19:32-03","IBt","SP","476766","S","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii",NA,"Faria Jr, JEQ","Brasil","Bahia","Abaíra",NA,"-41.6636009216309","-13.2496995925903",NA,NA,NA,"Dammer",NA,"4392",NA,"26531",NA,"auto",NA,NA,NA,NA,"2015","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-26 09:59:50-03","IBt","SP","384465","S","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii",NA,"Souza, VC","Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,"Dammer",NA,"28461",NA,"101169",NA,"auto",NA,NA,NA,NA,"2002","02","25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-26 09:59:50-03","IBt","SP","365946","S","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii",NA,"Giulietti, AM","Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,"Dammer",NA,"CFCR2399",NA,"101169",NA,"auto",NA,NA,NA,NA,"1981","10","30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2015-09-05 08:47:44-03","UM","RECOLNAT_UM_MPU","MPU012082","PreservedSpecimen",NA,"Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii",NA,"Glaziou, A.","Brésil",NA,NA,"Près de Diamantina, Minas",NA,NA,NA,NA,NA,"Dammer","isotype",NA,NA,NA,"MPU012082",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu012082' target='other'> <mi>dwc_moreinfo</mi></a>","MPU012082_01","1892","4","5",NA,NA,NA,"19675","hb",NA,NA,NA,NA
