"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"21","2015-09-04 12:16:39-03","MNHN","RECOLNAT_MNHN_P","P04052157","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Orbigny, A.D. d'",NA,NA,"Bolívia","hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04052157' target='other'> <mi>dwc_moreinfo</mi></a>","P04052157","P04052157_01","Simão-Bianchini",NA,NA,NA,NA,NA,"Chiquitos. Bolívia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"939",NA
"22","2021-02-11 17:18:35-03","UFPR","UPCB","7320","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Moreira Filho, H.","460",NA,"Brasil",NA,"Erva, flor alva. Campo..",NA,NA,"Ferreira, P.P.A & Simão-Bianchini, S.","1968","10","18","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"2013","03","11","46557","auto",NA,NA,NA,NA,NA
"23","2013-02-28 16:03:00-03","MO","MOBOT","100573277","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell","Holotype","Émile Hassler","Hassler 4541","South America","Paraguay",NA,NA,NA,NA,"W.D. Stevens",NA,"9",NA,NA,NA,"in campo pr. flumen Carimbatay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"24","2013-02-28 17:04:00-03","MO","MOBOT","100573309","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell","Type","F. Sellow","Sellow 3098","South America","Brazil",NA,NA,NA,NA,NA,"1814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"25","2014-07-08 09:55:00-03","MO","MOBOT","1974231","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Aurelio Schinini|Massimiliano Dematteis","Schinini Cacace 33662","South America","Paraguay",NA,NA,NA,NA,NA,"1997","12","10","Amambay",NA,"En campos cerrados. Xilopodifera","-56.0666667","-22.4166667","500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"26","2013-02-28 15:52:00-03","MO","MOBOT","2829618","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Per Dusén","Dusén 15683","South America","Brazil",NA,NA,NA,NA,"W.D. Stevens","1914","10","29","Paraná",NA,"Desvio Ribas, Turma in campo n. 23,",NA,NA,"800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"27","2020-09-12 05:00:02-03","US","US","2573466","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"L. Smith & R. M. Klein","13301","South America","Brazil",NA,NA,"US03145342","US03145342_01",NA,"1964","11","15","Santa Catarina",NA,"Mun. Abelardo Luz: Campo, 8-12 km north of Abelardo Luz.","-52.33","-26.53","900","1000",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"28","2020-09-12 05:00:02-03","US","US","2586174A","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"G. Hatschbach","17389","South America","Brazil",NA,NA,"US03145339","US03145339_01",NA,"1967","10","10","Paraná",NA,"Mun. Ponta Grossa, Passo do Pupe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"29","2020-09-12 05:00:02-03","US","US","2484279","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"G. Hatschbach","11775","South America","Brazil",NA,NA,"US03145337","US03145337_01",NA,"1969","10","31","Paraná",NA,"Mun. Palmeira, Rod. do Café, Fda. Sta. Rita.",NA,NA,"850",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"30","2020-09-12 05:00:02-03","US","US","1541031","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"P. Jörgensen","4663*","South America","Paraguay",NA,NA,"US03145348",NA,NA,"1931","3",NA,NA,NA,"The dry campo Tapysta. [interpreted]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"31","2020-09-12 05:00:02-03","US","US","2586183A","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"G. Hatschbach","15096","South America","Brazil",NA,NA,"US03145341","US03145341_01",NA,"1966","11","9","Paraná",NA,"Parque V. Velha (Mun. Ponta Grossa).",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"32","2020-09-12 05:00:02-03","US","US","2252628","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"G. Hatschbach","3675","South America","Brazil",NA,NA,"US03145346","US03145346_01",NA,"1956","10","28","Paraná",NA,"Mun.: Clevelandia, Clevelandia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"33","2020-09-12 05:00:02-03","US","US","2059467","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"G. Hatschbach","2795","South America","Brazil",NA,NA,"US03145347","US03145347_01",NA,"1952","9","13","Paraná",NA,"Mun. Tibagí, Fda. Monte-Alegre; Harmonia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"34","2020-09-12 05:00:02-03","US","US","2267819","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"L. Smith, R. Reitz & O. Sufridini","9378","South America","Brazil",NA,NA,"US03145344","US03145344_01",NA,"1956","12","26","Santa Catarina",NA,"Mun. Chapecó: Campo, Fazenda Campo São Vicente, 24 km west of Campo Erê.",NA,NA,"900","1000",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"35","2020-09-12 05:00:02-03","US","US","2706523","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"G. Hatschbach","30722","South America","Brazil",NA,NA,"US03145336","US03145336_01",NA,"1972","11","19","Paraná",NA,"Morro da Baliza (mun. Palmas).",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"36","2020-09-12 05:00:02-03","US","US","2743237","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"L. Smith & R. M. Klein","7814","South America","Brazil",NA,NA,"US03145345","US03145345_01",NA,"1956","11","21","Santa Catarina",NA,"Mun. Bom Retiro: Campo between Fazenda Campo dos Padres and Fazenda Santo Antônio, Campo dos Padres.",NA,NA,"1400","1650",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"37","2020-09-12 05:00:02-03","US","US","2323614","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Reitz & Klein, --","7897","South America","Brazil",NA,NA,"US03145343","US03145343_01",NA,"1958","12","15","Santa Catarina",NA,"Bom Jardim, S. Joaquim, Campo.",NA,NA,"1300",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"38","2020-09-12 05:00:02-03","US","US","2602332","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"H. Moreira F. & I. Matoso","460","South America","Brazil",NA,NA,"US03145338","US03145338_01",NA,NA,NA,NA,"Paraná",NA,"Procedência Vila Velha, Ponta Grossa, Pr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"39","2020-09-12 05:00:02-03","US","US","2586182A","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"G. Hatschbach","15344","South America","Brazil",NA,NA,"US03145340","US03145340_01",NA,"1966","12","10","Paraná",NA,"Rio Chopim (Mun. Palmas).",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"40","2019-11-13 11:18:05-03","USP","SPF","157428","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Cabral, E","294","Southern America","Argentina",NA,NA,"SPF00157428","SPF00157428","et al.; Ferreira, PPA","1981","12","19","Misiones","Candelaria",NA,NA,NA,NA,NA,"2014","03",NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-09-05 15:30:43-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Convolvulaceae","Breweria","hassleriana","Breweria hassleriana",NA,"Holotype","E. Hassler","4541","South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"42","2015-03-17 14:34:46-03","F","FMNH-SEEDPLANTS","V0093848F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Convolvulaceae","Breweria","hassleriana","Breweria hassleriana",NA,NA,"E. Hassler","4541","South America","Paraguay",NA,NA,"V0093848F","V0093848F_01",NA,NA,NA,NA,NA,NA,"Iter ad Yerbales montinum Sierra de Maracayu; in regione fluminis Carimbatay",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"43","2018-05-22 16:05:04-03","F","FMNH-SEEDPLANTS","V0440572F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus",NA,NA,"E. Hassler","9123","South America","Paraguay",NA,NA,"V0440572F","V0440572F_01",NA,"1905",NA,NA,NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"44","2018-08-28 16:29:06-03","F","FMNH-SEEDPLANTS","V0442943F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus",NA,NA,"P. Jörgensen","4857","South America","Paraguay",NA,NA,"V0442943F","V0442943F_01",NA,"1932","2",NA,NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"45","2018-08-28 16:29:06-03","F","FMNH-SEEDPLANTS","V0442944F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus",NA,NA,"P. Jörgensen","4857","South America","Paraguay",NA,NA,"V0442944F","V0442944F_01",NA,"1932","2",NA,NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"46","2018-08-28 16:29:07-03","F","FMNH-SEEDPLANTS","V0442945F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus",NA,NA,"A. Krapovickas & C. L. Cristóbal","28681","South America","Argentina",NA,NA,"V0442945F","V0442945F_01",NA,"1976","1","12",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"47","2020-11-12 17:03:29-03","UEL","FUEL","6028","PreservedSpecimen","Plantae","Tracheophyta","Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O#?#Donell",NA,"Müller, C; et al.","s.n.",NA,"Brasil",NA,NA,"FUEL020434",NA,"Ferreira, PPA","1988","12","04","Paraná","Sengés","Rodovia Sengés-Jaguariaíva Km 252","-49.4636001586914","-24.1128005981445",NA,NA,"2013","03","11","55682","auto",NA,NA,NA,NA,NA
"48","2020-08-20 16:36:46-03","UFSC","FLOR","50525","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Campestrini, S.; Trevisan, R.; Weber, P.; Venturi, S.","387",NA,"Brasil",NA,"Erva com corola pilosa Habitat: Campo natural seco e pedregoso","FLOR0050525",NA,"Trevisan, R.; Campestrini, S.","2013","01","22","Paraná","Palmas","Interior de Palmas","-51.981111","-26.385278","1035","1035","2013","08","21",NA,NA,NA,"51º58'52''W","26º23'7''S",NA,NA
"49","2020-08-20 16:36:46-03","UFSC","FLOR","53497","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Campestrini, S.; Trevisan, R.; Ferreira, J.P.; Venturi, S.","613",NA,"Brasil",NA,"Erva, com flores brancas Habitat: Campo natural seco e pedregoso","FLOR0053497",NA,"Campestrini, S.","2013","11","24","Paraná","Palmas","Fazenda Rodeio, responsável Sr. Luís, localização das UAL1 e 2 da UAP14.","-51.982778","-26.385556","1046","1046","2013","12","10",NA,NA,NA,"51º58'58''W","26º23'8''S",NA,NA
"50","2021-02-08 12:39:21-03","UFRGS","ICN","135562","S","Plantae","Dicotyledon",NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Hagelund, K","2684","América do Sul","Brasil",NA,"Doação de K. Hagelund","ICN00030442",NA,"Ferreira, PPA","1964","12",NA,"RS","Giruá","Granja Sodal","-54.3497009277344","-28.028299331665",NA,NA,"2012","12","11","23862","auto",NA,NA,NA,NA,NA
"51","2021-02-08 12:39:21-03","UFRGS","ICN","144595","S","Plantae","Dicotyledon",NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Hagelund, K","3016","América do Sul","Brasil",NA,"Doação de Karner Hagelund, Unicata.","ICN00030443",NA,"Ferreira, PPA",NA,NA,NA,"RS","Giruá","Granja Sodol","-54.3497009277344","-28.028299331665",NA,NA,"2012","12","11","23862","auto",NA,NA,NA,NA,NA
