"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","year","month","day","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"11","2019-11-21 14:54:20-03","UFJF","CESJ","20680","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","V.A.O. Dittrich","R.F. Novelino","262","América do Sul","Brasil","Minas Gerais","Entre Rios de Minas","Pedra Branca, R","-44.065601348877","-20.6707992553711",NA,"Rupícola, sobre gnaiss, em tufos de vegetação sobre fina camada de húmus sobre a rocha. Junto com Melinis minutiflora e Tibouchina holosericea.","CESJ020680",NA,NA,"1984","07","24",NA,"2018","11",NA,NA,NA,"20620","auto",NA,NA,NA,NA
"12","2019-11-21 14:54:20-03","UFJF","CESJ","49878","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","F.S. Souza","M.G. Rezende; R.C.L. Elias; F.R.G. Salimena","72","América do Sul","Brasil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Pedra Branca","-46.386100769043","-21.9235992431641",NA,"Rupícola em campo de altitude.","CESJ049878",NA,NA,"2008","03","28",NA,"2009","06",NA,NA,NA,"25710","auto",NA,NA,NA,NA
"13","2019-11-21 14:54:20-03","UFJF","CESJ","52549","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","M.G. Rezende","M.G. Rezende; R.C.L. Elias","274","América do Sul","Brasil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Serra da Pedra Branca.","-46.386100769043","-21.9235992431641",NA,"Saxícola, caule ereto, campo de altitude.","CESJ052549",NA,NA,"2008","12","06",NA,"2009","01","08",NA,NA,"25710","auto",NA,NA,NA,NA
"14","2019-11-21 14:54:20-03","UFJF","CESJ","8357","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","L. Krieger","L. Krieger","CESJ8357","América do Sul","Brasil","Minas Gerais","Entre Rios de Minas",NA,"-44.065601348877","-20.6707992553711",NA,"No morro, entre frestas de pedra. Planta bastante rara.","CESJ008357",NA,NA,"1970","04","18",NA,"1971","07","14",NA,NA,"20620","auto",NA,NA,NA,NA
"15","2019-11-21 14:54:20-03","UFJF","CESJ","10907","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","L. Krieger","L. Krieger","CESJ10907","América do Sul","Brasil","Minas Gerais","Entre Rios de Minas",NA,"-44.065601348877","-20.6707992553711",NA,"Em frestras de gnaiss, sobre húmus, local ensolarado. Pinas duras.","CESJ010907",NA,NA,"1971","10","01",NA,"1971","10",NA,NA,NA,"20620","auto",NA,NA,NA,NA
"16","2019-11-21 14:54:20-03","UFJF","CESJ","2720","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","L. Krieger","s.col.","s.n.","América do Sul","Brasil","Minas Gerais","Entre Rios de Minas","Em frestas de gnaiss sobre húmus local ensolarado.","-44.065601348877","-20.6707992553711",NA,"Pinas duras.","CESJ002720",NA,NA,"1971","10","01",NA,"1971","10",NA,NA,NA,"20620","auto",NA,NA,NA,NA
"17","2021-03-01 16:43:57-03","UNICAMP","UEC","97229","S","Plantae","Pteridophyta",NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Prado, J","Romero, R; Semir, J; Goldenberg, R; Dutilh, JHA","5203",NA,"Brazil","Minas Gerais","Formiga","Morro da Antena de TV","-45.426399230957","-20.4643993377686",NA,"Terrestre.; Afloramento em área bastante degrada.","UEC076798","UEC076798",NA,"1998","02","14",NA,"2009","08",NA,NA,NA,"46203","auto",NA,NA,NA,NA
"18","2021-03-01 16:43:57-03","UNICAMP","UEC","57970","S","Plantae","Pteridophyta",NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Prado, J","Salino, A","1095",NA,"Brazil","São Paulo","Atibaia","Parque Municipal da Grota Funda, Pico da Pedra Grande.","-46.5499992370605","-23.1100006103516",NA,"Rupícola e epilítica.&nf;Porte herbáceo.; Em ilha de Vegatação","UEC076802","UEC076802",NA,"1991","09","14",NA,"2009","08",NA,NA,NA,"21675","auto","1500","1500",NA,NA
"19","2021-03-01 16:43:57-03","UNICAMP","UEC","68776","S","Plantae","Pteridophyta",NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Prado, J","Meirelles, ST","25620",NA,"Brazil","São Paulo","Atibaia","Parque Municipal da Grota Funda, Pico da Pedra Grande.","-46.5499992370605","-23.1100006103516",NA,"Rupícola.; Em ilha de vegetação, sobre rocha.","UEC076800","UEC076800",NA,"1991","05","13",NA,"2009","08",NA,NA,NA,"21675","auto",NA,NA,NA,NA
"20","2021-03-16 17:56:54-03","UCS","HUCS","49080","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Dittrich, V.A.O.","Novelino, R.F.","262",NA,"Brasil","Minas Gerais","Entre Rios de Minas","Pedra Branca","-44.065601348877","-20.6707992553711",NA,"Doação Herbário CESJ 20680&nf;&nf;&nf;&nf;; Rupícola, sobre gnaiss, em tufos de vegetação sobre fina camada de húmus sobre a rocha. Junto com Melinis minutiflora e Tiboichina holosericea","HUCS003982","HUCS003982",NA,"1984","07","24",NA,"2018","12",NA,NA,NA,"20620","auto",NA,NA,NA,NA
"21","2018-02-16 11:05:20-02","MNHN","RECOLNAT_MNHN_P","P00587024","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett. ex Baker",NA,"Regnell, A.F.",NA,NA,"Brésil",NA,NA,"Minas Geraes : Caldas",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00587024' target='other'> <mi>dwc_moreinfo</mi></a>","P00587024","P00587024_01","type","1850","2","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II- 320",NA
"22","2015-09-03 16:26:06-03","MNHN","RECOLNAT_MNHN_P","P01266889","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett. ex Baker",NA,"Mosén, C.W.H.",NA,NA,"Brésil",NA,NA,"Prov. Minas Geraes: Caldas in fissuris rupis aprica Pedra Branca",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01266889' target='other'> <mi>dwc_moreinfo</mi></a>","P01266889","P01266889_01",NA,"1873","11","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2071",NA
"23","2015-09-03 16:26:06-03","MNHN","RECOLNAT_MNHN_P","P01266890","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett. ex Baker",NA,"Mosén, C.W.H.",NA,NA,"Brésil",NA,NA,"Prov. Minas Geraes: Caldas in fissuris rupis aprica Pedra Branca",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01266890' target='other'> <mi>dwc_moreinfo</mi></a>","P01266890","P01266890_01",NA,"1873","11","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2071",NA
"24","2011-08-17 13:55:00-03","MO","MOBOT","3628469","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.",NA,"Eric Schuettpelz|Jefferson Prado|Pedro B. Schwartsburd|George Yatskievych","Schuettpelz 1466","South America","Brazil","São Paulo",NA,"São Bento do Sapucaí. Serra da Mantiqueira: NW of Campos do Jordão, summit of Pedra do Bauzinho, just E of Pedra do Baú.","-45.6569444","-22.6858333",NA,NA,NA,NA,NA,"2010","1","24",NA,NA,NA,NA,NA,NA,NA,NA,"1830.00000000",NA,NA,"1"
"25","2020-09-04 16:38:11-03","FVD","FVD","89","MachineObservation","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","M. Ponce",NA,NA,NA,"Brasil","São Paulo","São Bento do Sapucaí","Monumento Natural Estadual da Pedra do Baú","-45.656389","-22.685556",NA,"Saxícola em área aberta com afloramentos rochosos; Domínio fitogeográfico: Floresta atlântica; Vegetação: Vegetação sobre afloramento rochoso","FVD00089","FVD00089_v1 FVD00089_v2 FVD00089_v3 FVD00089_v4",NA,"2017","12","27",NA,"2020","04",NA,"45°39'23W","22°41'08S",NA,NA,"1760","1760",NA,NA
"26","2019-07-12 15:07:33-03","F","FMNH-PTERIDOPHYTES","C0673731F","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","M. Ponce",NA,"36","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"C0673731F","C0673731F_01 C0673731F_02",NA,NA,NA,NA,"Pteridopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-09-12 05:00:02-03","US","US","532205","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett. ex Mart.",NA,"Glaziou, --","20583","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"US01499352","US01499352_01",NA,NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"28","2020-09-12 05:00:02-03","US","US","201169","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett. ex Mart.",NA,"A. F. Regnell","II 320","South America - Neotropics","Brazil","Minas Gerais",NA,"Caldas.",NA,NA,NA,NA,"US00141680","US00141680_01","Type collection","1850","2","2","Pteridophyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"29","2020-09-12 05:00:02-03","US","US","2675309","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett. ex Mart.",NA,"ex herb. de A. Glaziou","17958","South America","Brazil",NA,NA,"Forumet de la Serra dos Ilhero pres de S. João, Bresil, Mirat. [interpreted]",NA,NA,NA,NA,"US01499351","US01499351_01",NA,"1889","1","21","Pteridophyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"30","2020-09-12 05:00:02-03","US","US","827337","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett. ex Mart.",NA,"A. F. Regnell","II320","South America - Neotropics","Brazil","Minas Gerais",NA,"Caldas.",NA,NA,NA,NA,"US01100677","US01100677_01","Isotype","1850","2","12","Pteridophyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"31","2019-11-13 11:29:36-03","USP","SPF","228964","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Schuettpelz, E","Schuettpelz, E","1466",NA,"Brasil","São Paulo","São Bento do Sapucaí","Serra da Mantiqueira","-45.65701","-22.68578",NA,NA,"SPF00228964",NA,NA,"2010","01","24",NA,NA,NA,NA,"-45.65701","-22.68578",NA,NA,"1830","1830",NA,NA
"32","2020-03-19 10:57:53-03","UEFS","HUEFS","253452","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.",NA,"Novelino, R.F.","CESJ20680",NA,"Brasil","Minas Gerais","Entre Rio de Minas","Pedra Branca.",NA,NA,NA,NA,"HUEFS0253452","HUEFS0253452",NA,"1984","07","24","Polypodiopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-07 11:19:35-03","UFMG","BHCB-SL","4199","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Almeida, TE","Krieger, L; Krieger, L","s.n.","América","Brasil","Minas Gerais","Entre Rios de Minas",NA,"-44.115433","-21.118981",NA,NA,NA,NA,NA,"1971","10","01",NA,"2007","10",NA,"-44.115433","-21.118981",NA,NA,NA,NA,NA,NA
"34","2019-11-07 11:19:35-03","UFMG","BHCB-SL","90309","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Salino, A","Salino, A","9849","América","Brasil","Minas Gerais","Aiuruoca","RPPN do Matutu","-45.105017","-22.143944",NA,"Terrestre em ilha de vegetação em afloramento rochoso.",NA,NA,NA,"2004","10","13",NA,"2004","11",NA,"-45.105017","-22.143944",NA,NA,"1350","1590",NA,NA
"35","2019-11-07 11:19:35-03","UFMG","BHCB-SL","140199","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Ponce, MM","Carmo, FF do","4183","América","Brasil","Minas Gerais","Moeda","Serra da Moeda/GR3","-43.957778","-20.283333",NA,"Afloramento de gnaisse.",NA,NA,NA,"2009","01","12",NA,"2012","03",NA,"-43.957778","-20.283333",NA,NA,"1260","1260",NA,NA
"36","2021-01-12 15:24:43-03","UFMG","BHCB-SL","94683","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Salino, A","Echternacht, LA","829","América","Brasil","Minas Gerais","Carmópolis de Minas","Estação Ecológica Estadual da Mata do Cedro","-45.046219","-20.772144",NA,"Rupícola ereta.",NA,NA,NA,"2005","01","23",NA,"2005","01","23","-45.046219","-20.772144",NA,NA,"848","848",NA,NA
"37","2019-12-19 16:20:56-03","UFMG","BHCB-SL","138574","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Salino, A","Nunes, GFS; Camargos, JC; Silva, MS; Castro, EDP; Ferreira, DS","53","América","Brasil","Minas Gerais","Moeda","Serra da Moeda, Moeda","-43.970556","-20.295139",NA,"Rupícola; Granito","BHCB002181","BHCB002181",NA,"2009","05","23",NA,NA,NA,NA,"-43.970556","-20.295139",NA,NA,"1000","1200",NA,NA
"38","2021-01-12 15:24:42-03","UFMG","BHCB-SL","153902","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Ponce, MM","Giacomin, LL; Mota, NFO; Pustingue, SRR","1668","América","Brasil","Minas Gerais","Caldas","Distrito Pocinhos do Rio Verde; APA Pedra Branca, APA Pedra Branca.","-46.370278","-21.975278",NA,"Erva crescendo em acumulo de solo sobre afloramento de granito rosa, na subida para o pico.",NA,NA,NA,"2011","12","20",NA,"2012","03",NA,"-46.370278","-21.975278",NA,NA,"1781","1781",NA,NA
"39","2021-01-12 15:24:42-03","UFMG","BHCB-SL","111629","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Salino, A","Salino, A","12751","América","Brasil","Minas Gerais","Caldas","Distrito de Pirizal; Baía dos Cavalos","-46.620061","-21.977889",NA,"Rupícola em afloramento rochoso.",NA,NA,NA,"2007","07","15",NA,"2007","08",NA,"-46.620061","-21.977889",NA,NA,"1600","1600",NA,NA
"40","2021-01-12 15:24:43-03","UFMG","BHCB-SL","97641","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Ponce, MM","Tameirão-Neto, E","3938","América","Brasil","Minas Gerais","Lima Duarte","Fazenda Brejos - Saint Gobain","-44.325156","-22.406944",NA,"Herbáceo, em afloramento rochoso. Coordenadas em UTM",NA,NA,NA,"2005","07","14",NA,"2012","03",NA,"-44.325156","-22.406944",NA,NA,NA,NA,NA,NA
"41","2021-01-12 15:24:43-03","UFMG","BHCB-SL","83071","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Almeida, TE","Salino, A","8924","América","Brasil","Minas Gerais","Mariana","Distrito de Alegria, Mina de Conta História (CVRD)","-43.437056","-20.208444",NA,"Em campo rupestre.",NA,NA,NA,"2003","09","10",NA,"2008","08",NA,"-43.437056","-20.208444",NA,NA,"1300","1400",NA,NA
"42","2019-11-07 11:19:35-03","UFMG","BHCB-SL","156698","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Assis, FC","Carmo, FF do","5235","América","Brasil","Minas Gerais","São Gonçalo do Rio Abaixo","PETI/GR","-43.386389","-19.889944",NA,"Coletado afloramento de granito.",NA,NA,NA,"2010","10","28",NA,"2012","04","11","-43.386389","-19.889944",NA,NA,"815","815",NA,NA
"43","2019-11-07 11:19:35-03","UFMG","BHCB-SL","140184","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Ponce, MM","Carmo, FF do","3905","América","Brasil","Minas Gerais","Moeda","Marinho da Serra","-43.958611","-20.33",NA,"Coletado em fendas. Afloramento gnaisse.",NA,NA,NA,"2009","01","12",NA,"2012","03",NA,"-43.958611","-20.33",NA,NA,"1135","1135",NA,NA
"44","2019-12-19 16:19:32-03","UFMG","BHCB-SL","196626","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Salino, A","Novelino, RF","262","América","Brasil","Minas Gerais","Entre Rios de Minas","Pedra Branca","-44.065601348877","-20.6707992553711",NA,"Rupícula sobre gnaiss, em tufos de vegetação sobre fina camada de húmus sobre a rocha. Junto com Melinis minutiflora e Tibouchina holosericea.",NA,NA,NA,"1984","07","24",NA,NA,NA,NA,NA,NA,"20620","auto",NA,NA,NA,NA
"45","2019-11-07 11:19:35-03","UFMG","BHCB-SL","30561","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Ponce, MM","Salino, A; Almeida, TE","1095","América","Brasil","São Paulo","Atibaia","Paruqe Municipal da Grota Funda, Pico da Pedra Grande","-46.5499992370605","-23.1100006103516",NA,"Rupícola e epifítica , em ilhas de vegetação de porte herbáceo.",NA,NA,NA,"2007","10",NA,NA,"2012","03",NA,NA,NA,"21675","auto",NA,NA,NA,NA
"46","2021-01-12 15:24:42-03","UFMG","BHCB-SL","74624","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Salino, A","Rodrigues Jr., CE","1313","América","Brasil","São Paulo","Campos do Jordão","Pedra do Baú","-45.5900001525879","-22.7299995422363",NA,"Terrestre entre as fendas das pedras.",NA,NA,NA,"1996","10","12",NA,"2002","09",NA,NA,NA,"21048","auto",NA,NA,NA,NA
"47","2021-01-12 15:24:42-03","UFMG","BHCB-SL","74624","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Almeida, TE","Salino, A; Dittrich, VAO; Meinberg, AC; Carvalho, FA; Teixeira, LCRS","6755","América","Brasil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar; Núcleo de Picingu","-45.0699996948242","-23.4300003051758",NA,"Terrestre em trilha na floresta",NA,NA,NA,"2001","05","05",NA,"2007","11","09",NA,NA,"34265","auto",NA,NA,NA,NA
"48","2020-03-16 13:44:55-03","UFU","HUFU","79766","S","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.",NA,"Novelino, R.F.","262",NA,"Brasil","Minas Gerais","Entre Rios de Minas","Pedra Branca","-44.065601348877","-20.6707992553711",NA,"Campo rupestre.","HUFU00077242",NA,NA,"1984","07","24",NA,"2018","11",NA,NA,NA,"20620","auto",NA,NA,NA,NA
