"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","month","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","imagecode","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","typeStatus"
"11","2021-01-14 15:31:25-03","MN","R","208896","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Caiophora","eichleri","Caiophora eichleri","Urb.","Santos, E.A.A. & Trinta, E.F.","Smith, L.B. 7248; Reitz, R.",NA,"1956",NA,"Brasil","Santa Catarina","Itajaí",NA,"-48.6618995666504","-26.9078006744385",NA,NA,NA,"11","01",NA,NA,"27253","auto","1985",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:34:20-03","IAP","PACA-AGP","47655","PreservedSpecimen","Plantae","Magnoliophyta","Loasales","Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urb.","Smith","Reitz, R.","2820","1947",NA,"Brasil","SC","Brusque","Azambuja.","-48.9174995422363","-27.0981006622314",NA,"Confirmado por L.P. Deble em 08.03.2009. Habitat: in silva secundaria","PACA047655","09","16",NA,NA,"19684","auto","1954","Magnoliopsida",NA,"08","18",NA,NA,NA,NA,NA
"13","2019-08-27 13:34:20-03","IAP","PACA-AGP","93148","PreservedSpecimen","Plantae","Magnoliophyta","Loasales","Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.","J. Mauhs e N. Bastos","Mauhs, J.","294","1992",NA,"Brasil","RS","Canela","Passo do Louro","-50.815601348877","-29.3656005859375",NA,"HASU 2295&nf;Urticante Habitat: Interior de mato Hábito: erva rastejante","PACA093148","11","06",NA,NA,"16452","auto","1994","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-08-27 13:34:20-03","IAP","PACA-AGP","98412","PreservedSpecimen","Plantae","Magnoliophyta","Loasales","Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.","B. Rambo","Sehnem, A.","3996","1949",NA,"Brasil","RS","Caxias do Sul","galópolis","-51.1794013977051","-29.1681003570557",NA,"Com duplicata no HASU. Habitat: sarmentum in silvatico","PACA098412","10","31",NA,NA,"49662","auto",NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-08-20 10:16:55-03","UNICAMP","UEC","96114","S","Plantae","Magnoliopsida",NA,"Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urb.","Acuña Castillo, R","Hammel, B; Hammar, A","5762","1901",NA,"Brazil","São Paulo",NA,"Serra da Cantareira, Itaguassu.",NA,NA,NA,NA,"UEC128173","10","15",NA,NA,NA,NA,"2016",NA,"UEC128173","11",NA,NA,NA,NA,NA,NA
"16","2019-01-17 11:25:09-02","PUCRS","MPUC","13719","S","Plantae",NA,"Cornales","Loasaceae","Caiophora","eichleri","Caiophora eichleri","Urb.","C. Schlindwein","M. Sobral",NA,"1996","South America","Brasil","RS","Osório","BR 486, entre Terra de Areia e Tainhas. Alt. 0-200m","-50.2694444","-29.8869444",NA,"Margem da estrada, (F:78)",NA,"10","28",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"-50.2694444000","-29.8869444000","1",NA,NA
"17","2019-01-17 11:25:09-02","PUCRS","MPUC","13720","S","Plantae",NA,"Cornales","Loasaceae","Caiophora","eichleri","Caiophora eichleri","Urb.","C. Schlindwein",NA,NA,"1993","South America","Brasil","RS","Osório","BR 486, entre Terra de Areia e Tainhas. Alt. 0-200m","-50.2694444","-29.8869444",NA,"Vegetação ruderal (F: 79)",NA,"11","06",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"-50.2694444000","-29.8869444000","1",NA,NA
"18","2020-10-14 10:02:25-03","FURB","FURB","26951","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urb.","Castillo, R.A.","Korte, A.; Kniess, A.","3918","2010",NA,"Brasil","Santa Catarina","José Boiteux","Rio Platê.","-49.6805556","-26.8202778",NA,"Florística IFFSC 743 (Liana) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: liana; flor branca","FURB36325","06","29","394","394",NA,NA,"2016",NA,"FURB36325","11","17","-49.6805556","-26.8202778",NA,NA,NA
"19","2020-10-14 10:02:25-03","FURB","FURB","38607","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urb.","Castillo, R.A.","Funez, L.A.","735","2012",NA,"Brasil","Santa Catarina","Rodeio","Morro do Ipiranga.","-49.3902777","-26.8741667",NA,"Planta altamente urticante Habitat: Floresta Ombrófila Densa; paredão rochoso Habito: liana; Fruto verde; flor Verde com centro vermelho e amarelo","FURB27900","07","28","620","620",NA,NA,"2016",NA,"FURB27900","11","17","-49.3902777","-26.8741667",NA,NA,NA
"20","2020-10-14 10:02:26-03","FURB","FURB","51098","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urb.","Castillo, R.A.","Funez, L.A.; Hassemer, G.","5252","2016",NA,"Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.3677778","-28.055",NA,NA,"FURB51098","02","10","1228","1228",NA,NA,"2016",NA,"FURB51098","11","17","-49.3677778","-28.0550000",NA,NA,NA
"21","2020-10-14 10:02:26-03","FURB","FURB","51439","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urb.","Funez, L.A.","Funez, L.A.; Rodrigues, A.V., Bones, F.L.V.","5492","2016",NA,"Brasil","Santa Catarina","Rodeio","Caminho para a Fazenda Cristal.","-49.42","-26.9161111",NA,"Flores brancas com máculas vermelhas e amarelas Habitat: borda de fragmento florestal Habito: Liana","FURB51439","09","12","671","671",NA,NA,"2016",NA,"FURB51439","11","17","-49.4200000","-26.9161111",NA,NA,NA
"22","2021-03-16 17:51:41-03","UCS","HUCS","1393","PreservedSpecimen","Plantae","Angiospermae","Cornales","Loasaceae","Caiophora","eichleri","Caiophora eichleri","Urb.","Rambo, B.","Sehnem, A.","s.n.","1949",NA,"Brasil","Rio Grande do Sul","Caxias do Sul","Galópolis","-51.1794013977051","-29.1681003570557",NA,"ASSL - 3996; sarmentosum in silvatico",NA,"10","31",NA,NA,"49662","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:31:41-03","MBM","MBM","39278","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urban","Weigend, M.","Hatschbach, G.","1495",NA,"Southern America","Brazil","Paraná","Cerro Azul","Cerro Azul","-49.261100769043","-24.823600769043",NA,"Trepadeira, flor verde-claro. Matas justapluvial","MBM039278",NA,NA,NA,NA,"32006","auto","1996",NA,"MBM039278",NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:31:41-03","MBM","MBM","60272","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.","Hatschbach, G.","Hatschbach, G.","41572","1978","Southern America","Brazil","Paraná","Cerro Azul","Barra do Lageado","-49.261100769043","-24.823600769043",NA,NA,"MBM060272","08","31",NA,NA,"32006","auto",NA,NA,"MBM060272",NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:31:41-03","MBM","MBM","17413","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.","Hatschbach, G.","Hatschbach, G.","21702","1969","Southern America","Brazil","Paraná","Antonina","São Sebastião","-48.7118988037109","-25.4286003112793",NA,NA,"MBM017413","07","03",NA,NA,"38300","auto",NA,NA,"MBM017413",NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:31:41-03","MBM","MBM","2557","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.","Hatschbach, G.","Hatschbach, G.","16334","1967","Southern America","Brazil","Paraná","Antonina","Serra Capivari Grande","-48.7118988037109","-25.4286003112793",NA,"Encosta ocidental da serra, em caminho de acesso ao morro (locais insolaradas da beira da mata) Flor creme, volúvel, urticante","MBM002557","03","14",NA,NA,"38300","auto","1967",NA,"MBM002557",NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:31:41-03","MBM","MBM","39276","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.","Sleumer, H.","Hatschbach, G.","6812","1960","Southern America","Brazil","Paraná","Campina Grande do Sul","Jaguatirica","-49.0553016662598","-25.3055992126465",NA,"Liana da capoeira, planta urticante","MBM039276","01","12",NA,NA,"55154","auto","1960",NA,"MBM039276",NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:31:41-03","MBM","MBM","218108","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.","Sobral, M.","Jarenkow, J.A.; Sobral, M.; Sobral, M.","3227",NA,"Southern America","Brazil","Rio Grande do Sul","Morrinhos do Sul","Morro do Forno","-49.934700012207","-29.3649997711182",NA,"Trepadeira sobre grande bloco de pedra, em área alterada. Flores com cálice verde; corola de base verde passando gradualmente a branca até o ápice. Glândulas vermelhas; estames brancos; ovário (inf.) verde","MBM218108",NA,NA,NA,NA,"12766","auto","1996",NA,"MBM218108","10",NA,NA,NA,NA,NA,NA
"29","2016-11-03 13:47:06-02","MNHN","RECOLNAT_MNHN_P","P02273180","PreservedSpecimen",NA,NA,NA,"Loasaceae","Caiophora","eichleri","Caiophora eichleri","Urb.",NA,"Ule, E.",NA,"1888",NA,"Brésil",NA,NA,"Enrodeando se no mato de Velha perto de Blumenau. Prov. de St. Catharina",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02273180' target='other'> <mi>dwc_moreinfo</mi></a>","P02273180","10",NA,NA,NA,NA,NA,NA,NA,"P02273180_01",NA,NA,NA,NA,NA,"924",NA
"30","2021-02-11 17:19:24-03","UFPR","UPCB","7063","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urban","Weingend","Hatschbach, G.",NA,"1967",NA,"Brasil","Paraná","Antonina","Cab. Rio Faisqueira","-48.7118988037109","-25.4286003112793",NA,"Volúvel, flor verde, ao longo do caminho..",NA,"10","20",NA,NA,"38300","auto","2013",NA,NA,"09","30",NA,NA,NA,NA,NA
"31","2021-02-11 17:19:24-03","UFPR","UPCB","6249","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urban","Weingend","Hatschbach, G.","16334","1967",NA,"Brasil","Paraná","Antonina","Serra Capivari Grande","-48.7118988037109","-25.4286003112793",NA,"Encosta ocidental da serra, em caminho de acesso ao morro (locais ensolarados da beira da mata). Flor creme, volúvel, urticante..",NA,"03","14",NA,NA,"38300","auto","2013",NA,NA,"09","30",NA,NA,NA,NA,NA
"32","2020-08-31 08:53:27-03","INPA","INPA","88289","S","Plantae","Dicotyledon Asterids","Cornales","Loasaceae","Caiophora","eichleri","Caiophora eichleri","Urb.","Hatschbach, GG","Hatschbach, GG","41572","1978","Southern America","Brasil","Paraná","Cerro Azul","Barra do Lageado Grande","-49.261100769043","-24.823600769043",NA,NA,"INPA0088289","08","31",NA,NA,"32006","auto","1979",NA,"INPA0088289 INPA0088289_1 INPA0088289_e","02",NA,NA,NA,NA,NA,NA
"33","2015-03-07 08:14:23-03","F","FMNH-SEEDPLANTS","V0173794F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri",NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0173794F",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","V0173794F_01",NA,NA,NA,NA,NA,NA,NA
"34","2019-09-04 19:16:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Loasaceae","Caiophora","eichleri","Caiophora eichleri",NA,NA,"E. H. G. Ule",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]"
"35","2020-08-20 20:38:29-03","UFSC","FLOR","27950","PreservedSpecimen","Plantae",NA,"Cornales","Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.","Sobral, M.","Jarenkow, J.A.; Sobral, M.","3227","1996",NA,"Brasil","Rio Grande do Sul","Morrinhos do Sul","Morro do Forno.","-49.934700012207","-29.3649997711182",NA,"trepadeira, flor cálice verde; corola de base verde passando gradualmente a branca até o ápice; glândulas vermelhas; estames brancos; ovário (ínf.) verde","FLOR0027950","10","19",NA,NA,"12766","auto","1996",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2017-09-11 17:10:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urb.",NA,"Schenck, H","175",NA,"Southern America","Brazil","Santa Catarina",NA,"Habitat in Brasiliae prov. St. Catharina prope Blumenau in Velha",NA,NA,NA,"m. Sept. flor. et fruct.; DESC: m. Sept. flor. et fruct.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P13P3N0055",NA,NA,NA,NA,NA,NA,NA
"37","2021-02-08 12:43:03-03","UFRGS","ICN","112680","S","Plantae","Dicotyledon",NA,"Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urb.","Deble, LP","Larocca, J; Babueno, R; JL","95038","1995","América do Sul","Brasil","RS","São Francisco de Paula","Aratinga","-50.5835990905762","-29.4480991363525",NA,NA,NA,"11","01",NA,NA,"76715","auto","2006",NA,NA,"05","24",NA,NA,NA,NA,NA
