"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","locality","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","fieldNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount"
"11","2015-09-04 20:57:44-03","MNHN","RECOLNAT_MNHN_P","P05314752","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05314752' target='other'> <mi>dwc_moreinfo</mi></a>","P05314752","P05314752_01",NA,"1892","6","6","Alto Macahé.",NA,NA,NA,NA,"19328","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto",NA
"12","2015-09-04 20:57:45-03","MNHN","RECOLNAT_MNHN_P","P05314753","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05314753' target='other'> <mi>dwc_moreinfo</mi></a>","P05314753","P05314753_01",NA,"1888","4","21","Alto Macahé.",NA,NA,NA,NA,"16943","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto",NA
"13","2015-09-04 20:57:45-03","MNHN","RECOLNAT_MNHN_P","P05314754","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Glaziou",NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05314754' target='other'> <mi>dwc_moreinfo</mi></a>","P05314754","P05314754_01",NA,"1888","4","21","Alto Macahé.",NA,NA,NA,NA,"16943","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto",NA
"14","2015-09-04 21:08:31-03","MNHN","RECOLNAT_MNHN_P","P05128173","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","pulchra","Miconia pulchra","Cogn.","Weddell, H.A.",NA,NA,"Brasil","Minas Gerais","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05128173' target='other'> <mi>dwc_moreinfo</mi></a>","P05128173","P05128173_01",NA,"1843","11","1",NA,NA,NA,NA,NA,"909",NA,NA,NA,NA,NA,NA
"15","2017-05-04 15:44:28-03","MNHN","RECOLNAT_MNHN_P","P01168014","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","pulchra","Miconia pulchra","Cogn.","Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","Donné par Mme Simart, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01168014' target='other'> <mi>dwc_moreinfo</mi></a>","P01168014","P01168014_01",NA,"1888","7","13","Tijuca",NA,NA,"isotype",NA,"17541",NA,NA,NA,NA,NA,NA
"16","2009-07-27 09:36:00-03","MO","MOBOT","1941419","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Auguste F.M. Glaziou","Glaziou 13850","South America","Brazil",NA,NA,NA,NA,NA,NA,"1861",NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","3244613","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Troels M. Pedersen","Pedersen 12673","South America","Brazil","Paraná",NA,NA,NA,NA,"Carlo Hansen","1979","12","12","Mun. Antonina: Sapetranduva. Woodland.",NA,NA,NA,NA,NA,NA,"-48.71666","-25.45",NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","2405504","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn. in Mart.","A. F. M. Glaziou","13850","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,"US00120986","US00120986_01",NA,NA,NA,NA,NA,NA,NA,"Isotype","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1"
"19","2020-09-12 05:00:02-03","US","US","259824","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn. in Mart.","A. F. M. Glaziou","16943","South America","Brazil",NA,NA,NA,"US02939497","US02939497_01",NA,"1888",NA,NA,"Brasilia.",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1"
"20","2015-03-07 08:53:29-03","F","FMNH-SEEDPLANTS","V0136611F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana",NA,NA,NA,"South America","Brazil",NA,NA,NA,"V0136611F","V0136611F_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,NA
"21","2019-09-04 19:26:59-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Miconia","pulchra","Miconia pulchra",NA,"A. Glaziou","17541","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]","Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,NA
"22","2019-01-25 15:35:25-02","IAC","IAC","17007","S","Plantae",NA,NA,"Melastomataceae-2.Melastomoideae","Miconia","glazioviana","Miconia glazioviana","Cogn.","A.F.M. Glaziou","13850",NA,NA,NA,NA,"ISOTYPUS - DC. Monog. Phan. 7: 794. 1891.",NA,NA,"A.F.M. Glaziou",NA,NA,NA,NA,NA,NA,"Isótipo",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-23 13:22:45-03","MN","R-TIPOS","9613","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Glaziou, A.F.M.","13850",NA,"Brasil","Rio de Janeiro",NA,NA,"R000009613","R000009613_001",NA,"1882","04","12","Alto Macaé",NA,NA,"Isotypus",NA,NA,"Macahé","-41.7868995666504","-22.3708000183105","47209","auto",NA
"24","2021-02-23 13:22:45-03","MN","R-TIPOS","9613a","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Glaziou, A.F.M.","13850",NA,"Brasil","Rio de Janeiro",NA,NA,"R000009613a","R000009613a_001",NA,"1882","04","12","Alto Macaé",NA,NA,"Isotypus",NA,NA,"Macahé","-41.7868995666504","-22.3708000183105","47209","auto",NA
