"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","fieldNumber","verbatimLongitude","verbatimLatitude"
"11","2020-12-21 16:18:31-03","MBM","MBM","151807","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","arianeae","Tabebuia arianeae","A. Gentry","Gentry, A.","Peixoto, A.; Gentry, A.; Zardini, E.; Proença, C.; Peixoto, O.; Gentry, A.; Zardini, E.; Proença, C.; Peixoto, O.","3066","1985","02","01","Southern America","Brazil","Espírito Santo",NA,"Córrego do Rancho Alto. Estrada 351",NA,NA,NA,"Árvore, ca. 40m, botões amarelos, jovens; Árvore, ca. 40m, botões amarelos.","MBM151807","MBM151807","PARATYPE","1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2009-09-29 12:05:00-03","MO","MOBOT","100218321","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose","A.R. Zuntini","A.R. Zuntini","Zuntini 114","2007","9","18","South America","Brazil","Espírito Santo",NA,"Sooretama: Reserva Natural da Companhia Vale do Rio Doce (Reserva de Linhares). Estrada do Refúgio Cupido, lado direito.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","1047765","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","arianeae","Tabebuia arianeae","A.H. Gentry","A. Gentry, 1988 (MO)","D.A. Folli","Folli 455","1983","7","21","South America","Brazil","Espírito Santo",NA,"Reserva Florestal da CVRD Est. Louro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","1048256","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","arianeae","Tabebuia arianeae","A.H. Gentry",NA,"D.A. Folli","Folli 658","1987","11","22","South America","Brazil","Espírito Santo",NA,"Reserva Florestal da CVRD. Linhares, Est. Santa Terezinha, Km 0,600, lado direito.",NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","1048257","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","arianeae","Tabebuia arianeae","A.H. Gentry",NA,"G.L. Farias","Farias 140","1987","9","29","South America","Brazil","Espírito Santo",NA,"Linhares, Est. Mantegueira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","1048258","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","arianeae","Tabebuia arianeae","A.H. Gentry",NA,"G.L. Farias","Farias 139","1987","9","29","South America","Brazil","Espírito Santo",NA,"Linhares.","-40.06666","-19.41666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","1049578","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","arianeae","Tabebuia arianeae","A.H. Gentry",NA,"Hugh M. Curran","Curran 2pp","1921","3","29","South America","Brazil","Bahia",NA,"Rio Grongogy basin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00000000","500.00000000",NA,NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","1268966","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","arianeae","Tabebuia arianeae","A.H. Gentry","A. Gentry, 1993 (MO)","Hugh M. Curran","Curran 2","1921","3","29","South America","Brazil","Bahia",NA,"Forests of the Rio Grongogy Basin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00000000","500.00000000",NA,NA,NA,NA,NA
"19","2013-08-23 04:12:00-03","MO","MOBOT","485099","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","arianeae","Tabebuia arianeae","A.H. Gentry","A. Gentry","Ariane L. Peixoto|et al.","Peixoto 3066","1985","2","1","South America","Brazil","Espírito Santo",NA,"Córrego do Rancho Alto, Estrada 351.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","85-4",NA,NA
"20","2020-06-15 15:29:09-03","UNESP-RC","HRCB","49166","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H.Gentry) S.O.Grose","Lorenzi, H.","Lombardi","7123","2008","01","23",NA,"Brasil","Espírito Santo","Linhares","Próximo a entrada da Reserva Natural da Companhia Vale do Rio Doce (CVRD), margem da BR-101","-39.966667","-19.133333",NA,"Prensado em álcool. Árvore ca. 15m, pilosidade ferrugínea, folhas cartáceas, estéril.",NA,NA,NA,"2008",NA,NA,"01",NA,NA,NA,NA,NA,NA,"39º58'W","19º08'S"
"21","2021-02-25 10:12:29-03","CVRD","CVRD","13734","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose","Zuntini, A.R.","Zuntini, A.R. et al.","326","2011","10","05","América do Sul","BRASIL","ES","Linhares",NA,"-39.986611","-18.992722",NA,"Fragmento de Mata no meio da plantação Caliman <ll>dwc_commonname:</ll> Ipê preto","CVRD013734",NA,NA,"2011",NA,NA,"10","05","46","46","Magnoliopsida",NA,NA,"39°59'11,8W","18°59'33,8S"
"22","2021-02-25 10:12:29-03","CVRD","CVRD","124","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose","A. H. Gentry","Farias, G.L.","140","1987","09","29","América do Sul","BRASIL","ES","Linhares",NA,"-40.063646","-19.14265",NA,"<ll>dwc_commonname:</ll> Ipê preto","CVRD000124",NA,"PARATYPUS","1988",NA,NA,"05","30","72","72","Magnoliopsida",NA,NA,"-40,063646","-19,14265"
"23","2021-02-25 10:12:29-03","CVRD","CVRD","12577","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose","Domingos A. Folli","Folli, D.A.","6435","2009","10","16","América do Sul","BRASIL","ES","Jaguaré",NA,"-40.10194","-18.875165",NA,"<ll>dwc_commonname:</ll> Ipê preto","CVRD012577",NA,NA,"2009",NA,NA,"10","16","82","82","Magnoliopsida",NA,NA,"-40,10194","-18,875165"
"24","2021-02-25 10:12:29-03","CVRD","CVRD","13735","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose","Zuntini, A.R.","Zuntini, A.R. et al.","329","2011","10","06","América do Sul","BRASIL","ES","Linhares",NA,"-39.986722","-18.993806",NA,"Fragmento de Mata no meio da plantação Caliman <ll>dwc_commonname:</ll> Ipê preto","CVRD013735",NA,NA,"2011",NA,NA,"10","06","46","46","Magnoliopsida",NA,NA,"39°59'12,2W","18°59'37,7S"
"25","2021-02-25 10:12:29-03","CVRD","CVRD","11278","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose","Julio A. Lombardi","Lombardi, J.A.","7123","2008","01","23","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"Coleta stereo <ll>dwc_commonname:</ll> Ipê preto","CVRD011278",NA,NA,"2008","48094","auto","01","23",NA,NA,"Magnoliopsida",NA,NA,NA,NA
"26","2021-02-25 10:12:29-03","CVRD","CVRD","1678","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose","A. H. Gentry","Folli, D.A.","658","1987","10","22","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Ipê preto","CVRD001678","CVRD001678","HOLOTYPUS","1988","48094","auto","05","30",NA,NA,"Magnoliopsida",NA,NA,NA,NA
"27","2021-02-25 10:12:29-03","CVRD","CVRD","122","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose","A. H. Gentry","Farias, G.L.","139","1987","09","29","América do Sul","BRASIL","ES","Linhares","Aceiro próximo ao Posto Meteorológico","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Ipê preto","CVRD000122","CVRD000122","PARATYPUS","1988","48094","auto","05","30",NA,NA,"Magnoliopsida",NA,NA,NA,NA
"28","2021-02-25 10:12:29-03","CVRD","CVRD","1050","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose","A. H. Gentry","Folli, D.A.","455","1983","07","21","América do Sul","BRASIL","ES","Linhares","Ao lado - Louro 12","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Ipê preto","CVRD001050",NA,"PARATYPUS","1988","48094","auto","05","30",NA,NA,"Magnoliopsida",NA,NA,NA,NA
"29","2021-02-25 10:12:29-03","CVRD","CVRD","12745","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose","Alexandre R. Zuntini","Zuntini, A.R. et al.","114","2007","09","18","América do Sul","BRASIL","ES","Linhares","Estrada do Refúgio Cupido, lado direito.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Ipê preto","CVRD012745",NA,NA,"2007","48094","auto","09","18",NA,NA,"Magnoliopsida",NA,NA,NA,NA
"30","2021-02-25 10:12:29-03","CVRD","CVRD","10403","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose","Domingos A. Folli","Folli, D.A.","5664","2007","08","21","América do Sul","BRASIL","ES","Linhares","Fazenda Cúpido e Refúgio","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Ipê preto","CVRD010403",NA,NA,"2007","48094","auto","08","21",NA,NA,"Magnoliopsida",NA,NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US","3312462","PreservedSpecimen","Plantae",NA,"Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose",NA,"A. L. Peixoto, A. H. Gentry, E. Zardini, C. Proenca & O. L. Peixoto","3066","1985","2","1","South America - Neotropics","Brazil","Espírito Santo",NA,"Córrego do Rancho Alto, Estrada 351.",NA,NA,NA,NA,"US03207547","US03207547_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"32","2020-09-12 05:00:02-03","US","US","1067682","PreservedSpecimen","Plantae",NA,"Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose",NA,"H. M. Curran","2","1921","3","29","South America - Neotropics","Brazil","Bahia",NA,"Forests of Rio Grongogy Basin.",NA,NA,NA,NA,"US03207548","US03207548_01",NA,NA,NA,NA,NA,NA,"100","500","Dicotyledonae","1",NA,NA,NA
"33","2021-03-15 18:26:00-03","USP","SPF","195363","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H.Gentry) S.O.Grose","Zuntini, AR","Folli, DA","5664","2007","08","21",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural da CVRDEstrada Calimã, km 0,04","-40.0722007751465","-19.3910999298096",NA,"Árvore, 18m de altura. Botões amarelos e flores amarelas.","SPF00195363",NA,NA,"2009","48094","auto","03",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 18:26:00-03","USP","SPF","195362","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H.Gentry) S.O.Grose","Zuntini, AR","Zuntini, AR","114","2007","09","18",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRDEstrada do Refugio Cupido, lado direito","-40.0978012084961","-19.1968994140625",NA,"Árvore, 15m. Frutos imaturos verfe. Ramos com botões muito imaturos. Possível segunda florada","SPF00195362",NA,NA,"2007","33715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-10-07 09:15:37-03","UEFS","HUEFS","126759","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H.Gentry) S.Grose","F.S.Espírito-Santo","Bautista, H.P.","1054A","1986","02","25",NA,"Brasil","Bahia","Mata de São João",NA,"-38.2991981506348","-12.5303001403809",NA,NA,"HUEFS0126759","HUEFS0126759",NA,"2012","47329","auto","07",NA,NA,NA,"Asteranae",NA,NA,NA,NA
"36","2017-08-04 10:50:29-03","F","FMNH-SEEDPLANTS","V0316676F","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae",NA,NA,"A. L. Peixoto et al.","3066","1985","2","1","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0316676F","V0316676F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
